1,(单选题)()是指信用风险管理者通过各种监控技术，动态捕捉信用风险指标的异常变动，判断其是否已达到引起关注的水平或已经超过阀值。,<p>A信用风险识别</p><p>B信用风险度量</p><p>C信用风险监测</p><p>D信用风险控制</p>,4,C,暂无解析,0,0
1,(单选题)商业银行的声誉危机管理应当建立在()的基础上，而且如果能够在监管部门采取行动之前妥善处理，将取得更好的效果。,<p>A良好的内部控制和机构利益</p><p>B良好的道德规范和公众利益</p><p>C良好的道德规范和股东利益</p><p>D维护股东利益</p>,4,B,传统上，危机管理主要采用“辩护或否认”的对抗战略推卸责任，但往往招致更强烈的对抗行动，如今更加具有建设性的危机处理方法是“化敌为友”，敢于面对暂时性的危机或挑战，勇于承担责任并与内外部利益持有者协商解决问题，以缓解利益持有者的持续对抗。因此，声誉危机管理应当建立在良好的道德规范和公众利益基础上，而且如果能够在监管部门采取行动之前妥善处理，将取得更好的效果。,0,0
1,(单选题)假设某商业银行以市场价值表示的简化资产负债表中，资产A=2000亿元，负债L=1800亿元，资产加权平均久期为DA=5年，负债加权平均久期为DL=3年。根据久期分析法，如果市场利率从4%下降到3.5%，则商业银行的整体价值约()。,<p>A增加22亿元</p><p>B减少26亿元</p><p>C减少22亿元</p><p>D增加2亿元</p>,4,A,用DA表示总资产的加权平均久期，DL表示负债的加权平均久期，VA表示总资产的初始值，VL表示总负债的初始植。当市场利率变动时，资产和负债的变化具体为：①△VA=-[DA*VA*△y/(1+y)]-5*2000*0.5%/(1+4%)≈48.0769（亿元）；②△VL=-[DL*VL*△y/(1+y)]=3*1800*0.5%/(1+4%)]=25.9615（亿元）；③△VA-△VL=48.0769-25.9615≈22（亿元），即商业银行的整体价值增加了22亿元。,0,0
1,(单选题)将商业银行的()和经营目标结合起来，是创造公共透明度、维护商业银行声誉的一个重要层面。,<p>A盈利能力</p><p>B企业社会责任</p><p>C领导能力</p><p>D战略发展计划</p>,4,B,将商业银行的企业社会责任和经营目标结合起来，是创造公共透明度、维护商业银行声誉的一个重要层面。商业银行应当不仅在其内部广泛传播价值理念，也应当将这种价值观延续到其合作伙伴、客户和供应商/服务商，并在整个经济和社会环境中，树立富有责任感并值得信赖的机构形象。,0,0
1,(单选题)()是审慎银行监管的核心。,<p>A资本监管</p><p>B市场准入</p><p>C现场检查</p><p>D风险评级</p>,4,A,资本监管是审慎银行监管的核心。建立在审慎贷款风险分类、充足计提各类资产损失准备基础上计算的资本充足率，是衡量银行综合经营实力和抵御风险能力的重要指标。,0,0
1,(单选题)在声誉风险管理中，董事会及高级管理层的责任不包括()。,<p>A不定期审核声誉风险管理政策</p><p>B识别、评估、监测和控制声誉风险</p><p>C制定危机处理程序</p><p>D制定声誉风险管理政策和操作流程</p>,4,A,董事会和高级管理层负责制定商业银行的声誉风险管理政策和操作流程，负责识别、评估、监测和控制声誉风险。除制定常态的风险处理政策和流程外，董事会和高级管理层还应当制定危机处理程序，定期根据自身情况对声誉风险进行情景分析和压力测试，以应对突发事件可能造成的管理混乱和重大损失。A项董事会及高级管理层应当定期审核声誉风险管理政策。,0,0
1,(单选题)根据监管要求，商业银行不需要计提市场风险资本的业务活动是()。,<p>A外币债券投资的利率风险</p><p>B外币贷款、外币债券投资和外汇交易中的利率风险</p><p>C交易性人民币债券投资的利率风险</p><p>D人民币贷款的利率风险</p>,4,D,《资本协议市场风险补充规定》要求商业银行对交易账户中受利率影响的各类金融工具及股票所涉及的风险、商业银行全部的外汇风险和商品风险计提资本。由于我国商业银行在境内不得从事、参与股票交易和商品交易。因此，目前商业银行需计提资本的市场风险主要包括交易性人民币债券投资、外币债券投资的利率风险、外币贷款、外币债券投资和外汇交易中的汇率风险。,0,0
1,(单选题)为确保客观、公正地发表审计意见，外部审计机构有权()。,<p>A要求被审计银行按照规定提供员工个人信息</p><p>B检查被审计银行的会计凭证等资料，但涉及被审计银行的客户信息时，银行可以拒绝或隐瞒</p><p>C要求被审计银行按照规定提供衣食住行的安排</p><p>D要求被审计银行按照规定提供财务收支计划等相关资料</p>,4,D,为确保客观、公正地发表审计意见，有关法律赋予了外部审计机构以下权利：①要求被审计单位按照规定提供预算或者财务收支计划、预算执行情况、决算、财务报告以及其他与财政收支或者财务收支有关的资料，被审计机构不得拒绝、拖延、谎报；②检查被审计单位的会计凭证、会计账簿、会计报表以及其他与财政收支或者财务收支有关的资料和资产，被审计单位不得拒绝、隐瞒；③有关单位和个人应当支持、协助审计机构的工作，包括如实向外部审计机构反映情况，提供有关说明材料；④及时向有关监管机构反映被审计单位的严重违反国家规定的财政收支、财务收支行为和其他阻碍审计工作的行为。,0,0
1,(单选题)银行监管的首要环节是()。,<p>A市场准入</p><p>B信息披露</p><p>C现场检查</p><p>D非现场监管</p>,4,A,市场准入是银行监管的首要环节，是指监管部门采取行政许可手段审查、批准市场主体可以进入某一领域并从事相关活动的机制。,0,0
1,(单选题)银行监管与外部审计各有侧重，通常情况下，银行监管侧重于()。,<p>A财务报表检查</p><p>B关注财务数据完整性、准确性和可靠性</p><p>C金融机构风险和合规性的分析、评价</p><p>D会计资料规范性</p>,4,C,通常情况下，银行监管侧重于金融机构合规管理与风险控制的分析和评价，外部审计则侧重于财务报表审计，关注财务信息的完整性、准确性、可靠性。但随着银行经营管理的发展，外部审计也逐步向风险管理领域扩延。,0,0
1,(单选题)某商业银行的核心资本为50亿元，附属资本为40亿元，信用风险加权资产为900亿元，市场风险价值(VaR)为8亿元。依据我国《商业银行资本充足率管理办法》的规定，该商业银行的资本充足率为()。,<p>A0.09</p><p>B0.1</p><p>C0.08</p><p>D0.11</p>,4,A,资本充足率=（核心资本+附属资本）/（信用风险加权资产+12.5*市场风险资本要求）*100%-(50+40)/(900+12.5*8)*100%=9%。,0,0
1,(单选题)根据中国银监会颁布的《商业银行风险监管核心指标（试行）》的规定，商业银行信用风险监管指标中的不良贷款率不应高于()。,<p>A0.05</p><p>B0.055</p><p>C0.04</p><p>D0.06</p>,4,A,《商业银行风险监管核心指标（试行）》第9条规定，不良资产率为不良资产与资产总额之比，不应高于4%。该项指标为一级指标，包括不良贷款率一个二级指标；不良贷款率为不良贷款与货款总额之比，不应高于5%。,0,0
1,(单选题)()是指商业银行利用资产负债表或某些具有收益负相关性质的业务组合本身所具有的对冲特性进行风险对冲。,<p>A组合风险</p><p>B风险对冲</p><p>C自我对冲</p><p>D市场对冲</p>,4,C,风险对冲可分为自我对冲和市场对冲两种情况。自我对冲是指商业银行利用资产负债表或某些具有收益负相关性质的业务组合本身所具有的对冲特性进行风险对冲；市场对冲是指对于无法通过资产负债表和相关业务调整进行自我对冲的风险（又称残余风险），通过衍生产品市场进行对冲。,0,0
1,(单选题)如果商业银行提供的产品和服务存在缺陷引发公众抗议，则首先造成的是()损失。,<p>A市场风险</p><p>B操作风险</p><p>C流动性风险</p><p>D声誉风险</p>,4,D,声誉风险是指由于意外事件、商业银行的政策调整、市场表现或日常经营活动产生的负面结果，可能对商业银行的无形资产造成损失的风险。商业银行通常将声誉风险看作是对其经济价值最大的威胁。题干所述情况会使公众对银行丧失信心，首先造成的是声誉风险。,0,0
1,(单选题)经济资本是商业银行为应对未来一定时期内资产的而持有的资本.其规模取决于自身的和风险管理策略。(),<p>A预期损失；实际风险水平</p><p>B非预期损失；实际风险水平</p><p>C灾难性损失；预期风险水平</p><p>D非预期损失；预期风险水平</p>,4,B,经济资本是指商业银行在一定的置信水平下，为了应对未来一定期限内资产的非预期损失而应该持有的资本金。根据经济资本的定义，经济资本是一种取决于商业银行实际风险水平的资本，商业银行的整体风险水平高，要求的经济资本就多，反之则要求的经济资本就少。,0,0
1,(单选题)假设投资组合A的半年收益率为4%，B的年收益率为8%，C的季度收益率为2%，则三个投资组合的年化收益率依次为()。,<p>AC＞A＞B</p><p>BB＞C＞A</p><p>CB＞A＞C</p><p>DA＞B＞C</p>,4,A,假设投资组合A期初投资100元，其半年收益率为4%，即半年后可得到104元，如果再将这104元投资半年，假设同样获得半年4%的收益率，则1年末得到104*1.04=108.16（元），其投资的年化收益率为8.16%。同理，如果投资组合C每季度的百分比收益率为2%，则年化收益率为[(100*1.02*1.02*1.02*1.02)-100]/100*100%≈8.24%。因此，三个投资组合的年化收益率依次为C＞A＞B。,0,0
1,(单选题)下列关于商业银行常用的风险规避策略的说法，错误的是()。,<p>A资产结构短期化策略</p><p>B“收软付硬”、“接硬带软”的币种选择原则</p><p>C扬长避短、趋利避害的债务互换策略</p><p>D着重就轻的投资选择策略</p>,4,B,商业银行的币种选择原则是“收硬付软”、“接软带硬”。具体来说，在国际业务中，对将要收入或构成债权的项目选用汇率稳定趋升的“硬”货币；对将要支付或构成债务的项目选用汇价明显趋跌的“软”货币。,0,0
1,(单选题)()是商业银行进行有效风险管理的最前端。,<p>A外部风险监督机构</p><p>B内部审计部门</p><p>C法律/合规部门</p><p>D财务控制部门</p>,4,D,现代商业银行的财务控制部门通常采取每日参照市场定价的方法及时捕捉市场价格，价值的变化，因此所提供的数据最为真实、准确，这使得财务控制部门处在有效风险管理的最前端。,0,0
1,(单选题)下列关于红色预警法的说法，错误的是()。,<p>A是一种定性分析的方法</p><p>B要进行不同时期的对比分析</p><p>C要对影响警素变动的有利因素与不利因素进行全面的分析</p><p>D要结合风险分析专家的直觉和经验进行预警</p>,4,A,红色预警法重视定量分析与定性分析相结合，A说法错误。,0,0
1,(单选题)公司治理是现代商业银行稳健运营/发展的核心，完善的公司治理结构是商业银行有效防范和控制操作风险的前提商业银行治理结构中，“将风险管理系统转化为具体的政策、程序和步骤，便于贯彻落实”，是()的责任。,<p>A风险管理部门</p><p>B监事会</p><p>C高级管理层</p><p>D业务管理部门</p>,4,C,高级管理层负责具体执行经董事会批准的操作风险管理系统，即将该系统转化为具体的政策、程序和步骤，以便于业务部门的贯彻落实和对照检查。,0,0
1,(单选题)我国商业银行内部控制存在的最严重问题是制度的遵循性，也就是内部控制的符合性或者合规性问题。因此，当前我国商业银行操作风险管理的核心问题是()。,<p>A技术创新</p><p>B合规问题</p><p>C管理问题</p><p>D风险监管</p>,4,B,违规、内部欺诈等损失事件在我国商业银行操作风险中所占比例超过80%，这说明我国商业银行内部控制存在的最严重问题是制度的遵循性，也就是内部控制的符合性或者合规性问题。合规问题是当前我国商业银行操作风险管理的核心问题。,0,0
