1,(单选题)巴塞尔协议Ⅲ中，商业银行的核心一级资本不包括(),<p>A普通股</p><p>B资本公积</p><p>C盈余公积</p><p>D超额贷款损失准备</p>,4,D,选项D属于二级资本的内容。,69,1,0,0
1,(单选题)全面风险管理模式体现了很多先进的风险管理理念和方法，下列选项没有体现的是(),<p>A全球的风险管理体系</p><p>B全面的风险管理范围</p><p>C全程的风险管理过程</p><p>D完全的风险规避制度</p>,4,D,全面风险管理模式体现了以下先进的风险管理理念和方法：全球的风险管理体系、全面的风险管理范围、全程的风险管理过程、全新的风险管理方法和全员的风险管理文化。,69,1,0,0
1,(单选题)法律风险与操作风险之间的关系是(),<p>A操作风险和法律风险产生的原因相同</p><p>B外部合规风险与法律风险是相同的</p><p>C法律风险与操作风险相互独立</p><p>D法律风险是操作风险的一种特殊类型</p>,4,D,按照巴塞尔协议Ⅱ的规定，法律风险是一种特殊类型的操作风险。,69,1,0,0
1,(单选题)下列关于银行资本的说法中，正确的是(),<p>A经济资本也就是账面资本</p><p>B会计资本是监管部门规定的商业银行应持有的同其所承担的业务总体风险水平相匹配的资本</p><p>C经济资本是商业银行在一定的置信水平下，为了应对未来一定期限内资产的非预期损失而应该持有的资本金</p><p>D监管资本是一种完全取决于商业银行实际风险水平的资本</p>,4,C,通常所说的资本是指会计资本，也就是账面资本，A选项错误；B选项应改为：监管资本是监管部门规定的商业银行应持有的同其所承担的业务总体风险水平相匹配的资本；D选项应改为：经济资本是一种取决于商业银行实际风险水平的资本。,69,1,0,0
1,(单选题)根据2013年1月1日起实行的《商业银行资本管理办法（试行）》，我国非系统重要性银行的资本充足率不得低于(),<p>A0.06</p><p>B0.07</p><p>C0.105</p><p>D0.09</p>,4,C,2013年1月1日《商业银行资本管理办法（试行）》正式施行后，通常情况下，我国系统重要性银行和非系统重要性银行的资本充足率分别不得低于11.5%和10.5%。,69,1,0,0
1,(单选题)下列关于风险管理策略的说法中，正确的是(),<p>A对于由相互独立的多种资产组成的资产组合，只要组成的资产个数足够多，其系统性风险就可以通过分散化的投资完全消除</p><p>B风险补偿是指事前（损失发生以前）以风险承担的价格补偿</p><p>C风险转移只能降低非系统性风险</p><p>D风险规避可分为保险规避和非保险规避</p>,4,B,A项中的非系统性风险是可以完全消除的。风险转移既可以降低非系统风险，也可以转移部分系统风险，只能降低非系统风险的策略是风险分散。风险规避就是不做业务，不承担风险，并没有保险规避或非保险规避的说法。,69,1,0,0
1,(单选题)监管机构要求我国商业银行2013年起执行《商业银行资本管理办法（试行）》，将显著改变商业银行的经营管理方式，短期内也可能导致其盈利能力面临新的挑战和困难。这属于商业银行面临的(),<p>A违规风险</p><p>B监管风险</p><p>C政策风险</p><p>D经济风险</p>,4,B,题目所述为监管风险的含义。,69,1,0,0
1,(单选题)风险是指(),<p>A损失的大小</p><p>B损失的分布</p><p>C未来结果出现收益或损失的不确定性</p><p>D收益的分布</p>,4,C,风险被定义为未来结果出现收益或损失的不确定性。具体来说，如果某个事件的收益或损失是固定的并已经被事先确定下来，就不存在风险；若该事件的收益或损失存在变化的可能，且这种变化过程事先无法确定，则存在风险。,69,1,0,0
1,(单选题)()的推出标志着商业银行风险管理的模式发生了本质的变化。,<p>A《全面风险管理框架》</p><p>B巴塞尔协议Ⅲ</p><p>C巴塞尔协议Ⅱ</p><p>D以上都不是</p>,4,B,2010年12月巴塞尔委员会正式发布的第三版巴塞尔协议（巴塞尔协议Ⅲ），确立了银行资本监管新标杆和新高度，商业银行风险管理的模式发生了本质的变化。,69,1,0,0
1,(单选题)巴塞尔委员会以()方式把商业银行面临的风险分为八大类。,<p>A损失结果</p><p>B风险事故</p><p>C风险发生的范围</p><p>D商业银行的业务特征和诱发风险的原因</p>,4,D,根据商业银行的业务特征及诱发风险的原因，巴塞尔委员会将商业银行面临的风险划分为信用风险、市场风险、操作风险、流动性风险、国别风险、声誉风险、法律风险以及战略风险八大类。,69,1,0,0
1,(单选题)经济资本主要用于抵御银行的(),<p>A非预期损失</p><p>B预期损失</p><p>C大规模损失</p><p>D普通性损失</p>,4,A,经济资本是针对非预期损失的，用于抵御银行的非预期损失。,69,1,0,0
1,(单选题)下列关于风险管理和商业银行关系的说法中，不正确的是(),<p>A承担和管理风险是商业银行的基本职能，也是商业银行业务不断创新发展的原动力</p><p>B风险管理从根本上改变了商业银行的经营模式</p><p>C风险管理是能够为商业银行风险管理技术提供依据，并有效管理商业银行的业务模式</p><p>D风险管理水平体现了商业银行的核心竞争力，不仅是商业银行生存发展的需要，也是现代金融监管的迫切要求</p>,4,C,风险管理能够为商业银行风险定价提供依据，并有效管理金融资产和业务组合，所以C项说法不正确。,69,1,0,0
1,(单选题)20世纪80年代以后，商业银行的风险管理进入(),<p>A全面风险管理模式阶段</p><p>B资产风险管理模式阶段</p><p>C负债风险管理模式阶段</p><p>D资产负债风险管理模式阶段</p>,4,A,20世纪80年代之后，随着银行业竞争加剧，存贷利差变窄，金融衍生工具广泛使用，商业银行开始意识到可以从事更多的中介业务，非利息收入所占的比重因此迅速增加，进入了全面风险管理模式阶段。,69,1,0,0
1,(单选题)在商业银行风险管理理论的四种管理模式中，不包括(),<p>A资产风险管理模式</p><p>B负债风险管理模式</p><p>C综合风险管理模式</p><p>D全面风险管理模式</p>,4,C,商业银行风险管理理论的四种管理模式包括资产风险管理模式、负债风险管理模式、资产负债风险管理模式、全面风险管理模式，不存在综合风险管理模式。,69,1,0,0
1,(单选题)()是指商业银行业务发展中基于历史数据分析可以预见的损失。,<p>A已造成损失</p><p>B非预期损失</p><p>C预期损失</p><p>D灾难性损失</p>,4,C,预期损失是指商业银行业务发展中基于历史数据分析可以预见的损失，通常为一定历史时期内损失的平均值。,69,1,0,0
1,(单选题)假设一位投资者将1万元存入银行，1年到期后得到本息支付共计11000元，投资的绝对收益是(),<p>A1000元</p><p>B100元</p><p>C0.099</p><p>D0.1</p>,4,A,绝对收益=期末的资产价值总额-期初投入的资金总额=11000-10000=1000（元）。,69,1,0,0
1,(单选题)与市场风险和信用风险相比，商业银行的操作风险具有(),<p>A特殊性、非营利性</p><p>B普遍性、非营利性</p><p>C特殊性、营利性</p><p>D普遍性、营利性</p>,4,B,与市场风险和信用风险相比，商业银行的操作风险具有普遍性，操作风险广泛存在于商业银行业务和管理的各个领域。此外还具有非营利性，操作风险并不能为商业银行带来盈利。,69,1,0,0
1,(单选题)下列不属于市场风险的是(),<p>A利率风险</p><p>B汇率风险</p><p>C法律风险</p><p>D商品风险</p>,4,C,市场风险是指金融资产价格和商品价格的波动给商业银行表内头寸、表外头寸造成损失的风险。市场风险包括利率风险、汇率风险、股票风险和商品风险四种，其中利率风险尤为重要。,69,1,0,0
1,(单选题)下列关于商业银行资本的说法中，不正确的是(),<p>A账面资本即所有者权益，是商业银行资产负债表上所有者权益部分</p><p>B账面资本包括实收资本、资本公积、盈余公积、一般风险准备、投资重估储备和未分配利润等</p><p>C监管资本是指监管部门规定的商业银行必须持有的与其业务总体风险水平相匹配的资本</p><p>D经济资本是指商业银行用于弥补预期损失的资本</p>,4,D,经济资本是指商业银行用于弥补非预期损失的资本。可估计的预期损失是用正常的收益来弥补的。,69,1,0,0
1,(单选题)关于风险的概念，以下理解正确的是(),<p>A风险是一个事前的概念</p><p>B风险是一个事后的概念</p><p>C风险是一个贯穿于事前和事后的概念</p><p>D风险是一个无法确定的概念</p>,4,A,风险是未来结果出现收益或损失的不确定性，风险是一个明确的事前概念，反映的是损失发生前的事物发展状态，所以A项正确。,69,1,0,0
1,(单选题)银行可能遭受的国别风险包括(),<p>A流动性风险</p><p>B间接国别风险</p><p>C声誉风险</p><p>D操作风险</p>,4,B,只有B项属于国别风险。,69,1,0,0
1,(单选题)将许多类似的但不会同时发生的风险集中起来考虑，从而使这一组合中发生风险损失的部分能够得到其他未发生损失的部分的补偿，属于()的风险管理方式。,<p>A风险对冲</p><p>B风险转移</p><p>C风险规避</p><p>D风险分散</p>,4,D,对于由相互独立的多种资产组成的资产组合，从而使这一组合中发生风险损失的部分能够得到其他未发生损失的部分的补偿，属于风险分散的风险管理方式。,69,1,0,0
1,(单选题)()阶段的金融理论被称为华尔街的第一次数学革命。,<p>A资产风险管理模式</p><p>B负债风险管理模式</p><p>C资产负债风险管理模式</p><p>D全面风险管理模式</p>,4,B,马柯维茨于20世纪50年代提出的不确定条件下的投资组合理论，即如何在风险与收益之间寻求最佳平衡点，已经成为现代风险管理的重要基石；而威廉夏普在1964年提出的资本资产定价模型(CAPM)揭示了在一定条件下资产的风险溢价、系统性风险和非系统性风险的定量关系，为现代风险管理提供了重要的理论基础。这一阶段的金融理论被称为华尔街的第一次数学革命。,69,1,0,0
1,(单选题)甲、乙两家企业均为某商业银行的客户，甲的信用评级低于乙，在其他条件相同的情况下，商业银行为甲设定的贷款利率高于为乙设定的贷款利率，这种风险管理的方法属于(),<p>A风险补偿</p><p>B风险转移</p><p>C风险分散</p><p>D风险对冲</p>,4,A,从字面意思看，题干所给情景并没有发生将甲风险进行转移的情况，因此排除B；也没有通过组合甲乙进行风险分散，由此排除C；也没有购买别的产品来对冲甲风险，排除D。事实上，这是一种风险补偿方式，通过对信用评级低的客户收取较高的贷款利率，对自己承担更高的风险进行补偿。,69,1,0,0
1,(单选题)对于巨大的灾难性损失，商业银行通常采用()来转移。,<p>A提取损失准备金</p><p>B资本金</p><p>C购买商业保险</p><p>D冲减利润</p>,4,C,对于规模巨大的灾难性损失，一般需要通过购买商业保险的手段来转移。,69,1,0,0
1,(单选题)以下属于华尔街的第一次数学革命的金融理论的是(),<p>A马柯维茨提出的现代资产组合理论</p><p>B夏普提出的CAPM模型</p><p>C布莱克、舒尔斯、默顿推导出的欧式期权定价的一般模型</p><p>D罗斯提出套利定价理论</p>,4,B,负债风险管理模式阶段的金融理论被称为华尔街的第一次数学革命，这些理论包括：马柯维茨提出的投资组合理论和夏普提出的资本资产定价模型(CAPM)。,69,1,0,0
1,(单选题)全面的风险管理模式强调信用风险、()和操作风险管理并举，组织流程再造与定量分析技术并举的全面风险管理模式。,<p>A市场风险</p><p>B流动风险</p><p>C战略风险</p><p>D法律风险</p>,4,A,全面的风险管理模式强调信用风险、市场风险和操作风险并举，组织流程再造与定量分析技术并举的全面风险管理模式。,69,1,0,0
2,(多选题)根据不同的管理需要和本质特性，商业银行资本分为(),<p>A账面资本</p><p>B经济资本</p><p>C监管资本</p><p>D实收资本</p><p>E风险资本</p>,5,ABC,根据不同的管理需要和本质特性，商业银行资本有账面资本、经济资本和监管资本。,69,1,0,0
2,(多选题)以下关于RAROC的说法正确的有(),<p>A可以全面反映银行经营长期的稳定性和健康性</p><p>B可以在揭示盈利性的同时，反映银行所承担的风险水平</p><p>CRAROC=（收益-预期损失）/经济资本</p><p>D使银行不再注重盈利性</p><p>E放弃了股东价值最大化的目标</p>,5,ABC,D、E项错误，在商业银行总体层面上，高级管理层将股东回报要求转化为全行、各业务部门和各个业务条线的经营目标，并直接应用于绩效考核，促使商业银行实现在可承受风险水平之下的收益最大化，以及最终实现股东价值最大化。,69,1,0,0
2,(多选题)决定商业银行的风险承担能力的因素有(),<p>A资本金规模</p><p>B风险管理水平</p><p>C资产管理</p><p>D负债管理</p><p>E资产负债管理</p>,5,AB,在商业银行的经营过程中，有两个因素决定其风险承担能力：(1)资本金规模；(2)商业银行的风险管理水平。,69,1,0,0
2,(多选题)操作风险可以分为由人员、系统、流程和外部事件所引发的四类风险，并由此可能造成的实质性损失的事件类型为(),<p>A就业制度</p><p>B工作场所安全事件</p><p>C客户、产品及业务活动事件</p><p>D信息科技系统事件</p><p>E交割及流程管理事件</p>,5,ABCDE,操作风险可分为人员因素、内部流程、系统缺陷和外部事件四大类别，并由此分为内部欺诈，外部欺诈，就业制度和工作场所安全事件，客户、产品和业务活动事件，实物资产损坏，信息科技系统事件，执行、交割和流程管理事件等七种可能造成实质性损失的事件类型。,69,1,0,0
2,(多选题)商业银行积极、主动地承担和管理风险的益处有(),<p>A有助于金融产品的开发</p><p>B降低现金流的波动性</p><p>C有利于商业银行更加有效地配置资本</p><p>D有利于商业银行改善资本结构</p><p>E有助于获得更多收益</p>,5,ACD,积极、主动地承担和管理风险，有助于商业银行改善资本结构，更加有效地配置资本，以及大力推动金融产品的开发，所以ACD正确。,69,1,0,0
2,(多选题)中国银监会2012年颁布的《商业银行资本管理办法（试行）》明确提出了四个层次的监管资本要求的内容有(),<p>A最低资本要求，核心一级资本充足率、一级资本充足率和资本充足率分别为5%、6%和8%</p><p>B储备资本要求和逆周期资本要求，包括2.5%的储备资本要求和0～2.5%的逆周期资本要求</p><p>C系统重要性银行附加资本要求，为1%</p><p>D以及针对特殊资产组合的特别资本要求和针对单家银行的特定资本要求，即第二支柱资本要求</p><p>E监管资本是从会计准则的角度进行的要求</p>,5,ABCD,中国银监会2012年颁布的《商业银行资本管理办法（试行）》明确提出了四个层次的监管资本要求：(1)最低资本要求，核心一级资本充足率、一级资本充足率和资本充足率分别为5%、6%和8%；(2)储备资本要求和逆周期资本要求，包括2.5%的储备资本要求和0～2.5%的逆周期资本要求；(3)系统重要性银行附加资本要求，为1%；(4)以及针对特殊资产组合的特别资本要求和针对单家银行的特定资本要求，即第二支柱资本要求。,69,1,0,0
2,(多选题)巴塞尔委员会将商业银行面临的风险划分为八大类，其中包括(),<p>A系统风险</p><p>B信用风险</p><p>C操作风险</p><p>D战略风险</p><p>E声誉风险</p>,5,BCDE,结合商业银行经营的主要特征，按诱发风险的原因，巴塞尔委员会将商业银行面临的风险划分为信用风险、市场风险、操作风险、流动性风险、国别风险、声誉风险、法律风险以及战略风险八大类。,69,1,0,0
2,(多选题)在实际生活中，计量方式有(),<p>A百分比收益率</p><p>B对数收益率</p><p>C绝对收益</p><p>D标准差</p><p>E方差</p>,5,AC,在实际生活中，最常用的两种收益计量方法是百分比收益率和绝对收益。,69,1,0,0
2,(多选题)下列关于信用风险、市场风险与操作风险关系的说法中，正确的有(),<p>A信用风险主要存在于授信业务</p><p>B操作风险普遍存在于商业银行业务和管理的各个领域</p><p>C市场风险存在于交易类业务</p><p>D操作风险具有营利性，能为商业银行带来盈利</p><p>E操作风险与市场风险、信用风险存在内在的联系</p>,5,ABCE,操作风险具有非营利性，它不能为商业银行带来盈利。故D项错误。,69,1,0,0
2,(多选题)操作风险可以分为(),<p>A技术</p><p>B系统缺陷</p><p>C内部流程</p><p>D外部事件</p><p>E人员因素</p>,5,BCDE,操作风险可以分为内部流程、人员因素、系统缺陷以及外部事件四大类别。,69,1,0,0
2,(多选题)应对和吸收预期损失，商业银行经常采取的方式有(),<p>A提取损失准备金</p><p>B冲减利润</p><p>C保险手段</p><p>D资本金</p><p>E核心资本</p>,5,AB,商业银行通常采取提取损失准备金和冲减利润的方式来应对和吸收预期损失，因此AB正确；利用资本金来应对非预期损失；对于规模巨大的灾难性损失，如地震、火灾等，可以通过购买商业保险来转移风险；但对于因衍生产品交易等过度投机行为所造成的灾难性损失，则应当采取严格限制高风险业务/行为的做法加以规避。,69,1,0,0
2,(多选题)下列关于正态分布图的说法中，正确的有(),<p>A正态分布是描述离散型随机变量的一种重要概率分布</p><p>B整个曲线下的面积为1</p><p>C关于χ=μ对称，在χ=μ处曲线最高</p><p>D当μ=O，σ=1时，称正态分布为标准正态分布</p><p>E若固定μ，σ大时，曲线瘦而高</p>,5,BCD,正态分布是描述连续型随机变量的一种重要概率分布，所以A选项错误；关于χ=μ对称，在χ=μ处曲线最高；整个曲线下的面积为1；当μ=0，σ=1时，称正态分布为标准正态分布。所以B、C、D项正确；若固定μ，σ大时，曲线矮而胖，所以E选项错误。,69,1,0,0
2,(多选题)下列属于风险转移的有(),<p>A不同信用等级的贷款人实行差别定价</p><p>B备用信用证</p><p>C商业银行参加存款保险</p><p>D信用担保</p><p>E利用远期利率协议规避未来利率波动风险</p>,5,BCDE,A选项是通过制度安排降低了风险，并没有对风险进行转移。,69,1,0,0
2,(多选题)商业银行的资本肩负着比一般企业更为重要的责任，主要体现在(),<p>A资本为商业银行提供融资</p><p>B吸收和消化损失</p><p>C限制商业银行业务过度扩张和风险承担</p><p>D维持市场信心</p><p>E是商业银行风险管理最根本的驱动力</p>,5,ABCDE,商业银行的资本肩负着比一般企业更为重要的责任，发挥着更加重要的作用，A、B、C、D、E五项均为商业银行资本这一特性的体现。,69,1,0,0
2,(多选题)信用风险存在于()表内业务中。,<p>A贷款</p><p>B债券投资</p><p>C信用担保</p><p>D贷款承诺</p><p>E衍生产品交易</p>,5,AB,信用风险既存在于传统的贷款、债券投资等表内业务中，又存在于信用担保、贷款承诺及衍生产品交易等表外业务中。,69,1,0,0
2,(多选题)依照金融体系的变迁和金融实践的发展过程，国外商业银行风险管理大体经过四种风险管理模式的发展阶段，即(),<p>A资产风险管理阶段</p><p>B负债风险管理阶段</p><p>C资产负债管理阶段</p><p>D全面风险管理阶段</p><p>E市场风险管理阶段</p>,5,ABCD,商业银行的风险管理模式大致经历了四个发展阶段：资产风险管理模式阶段、负债风险管理模式阶段、资产负债风险管理模式阶段和全面风险管理模式阶段，故本题选ABCD。,69,1,0,0
2,(多选题)国别风险的主要类型包括(),<p>A转移风险</p><p>B主权风险</p><p>C传染风险</p><p>D货币风险</p><p>E政治风险</p>,5,ABCDE,国别风险的主要类型包括转移风险、主权风险、传染风险、货币风险、宏观经济风险、政治风险、间接国别风险七类。,69,1,0,0
2,(多选题)我国商业银行的经营原则有(),<p>A效益性</p><p>B流动性</p><p>C安全性</p><p>D效率性</p><p>E风险分散性</p>,5,ABC,我国商业银行的经营原则有：(1)流动性；(2)效益性；(3)安全性。,69,1,0,0
2,(多选题)战略风险主要体现在(),<p>A商业银行战略目标缺乏整体兼容性</p><p>B商业银行经营目标不能按时实现</p><p>C为实现战略目标而制定的经营战略存在缺陷，为实现目标所需要的资源匮乏</p><p>D风险进程快</p><p>E整个战略实施过程的质量难以保证</p>,5,ACE,战略风险来自四个方面：商业银行战略目标缺乏整体兼容性；为实现这些目标而制定的经营战略存在缺陷；为实现目标所需要的资源匮乏；整个战略实施过程的质量难以保证。,69,1,0,0
2,(多选题)如果房地产市场发展过热，一方面居民大量提取存款买房，另一方面地产企业和个人向银行借款，这种情况下，如果由于房地产市场价格严重下降，大量个人住房贷款无法偿还，房地产企业也由于倒闭而无力偿还贷款，这时商业银行所面临的主要风险包括(),<p>A国别风险</p><p>B流动性风险</p><p>C信用风险</p><p>D战略风险</p><p>E操作风险</p>,5,BC,本题中“房地产企业也由于倒闭而无力偿还贷款”属于“信用风险”，“居民大量提取存款买房”属于“流动性风险”。而根据题中所给出的资料，无法判断该商业银行是否面临战略风险、操作风险和国别风险。故选BC。,69,1,0,0
2,(多选题)以下关于会计资本的说法中，正确的是(),<p>A会计资本也称为账面资本，与银行风险并无关系</p><p>B会计资本是银行资产负债表中资产减去负债后的余额，即所有者权益</p><p>C会计资本是银行可以实际利用的资本</p><p>D会计资本包括实收资本、资本公积、盈余公积、一般风险准备、未分配利润（累计亏损）和投资重估储备六个部分</p><p>E会计资本就是经济资本</p>,5,BCD,会计资本虽然不和风险直接挂钩，但是风险带来的任何损失最终都会反映在账面上，故A选项错误。会计资本在数额上应当不小于体现实际风险水平的经济资本，E选项错误。,69,1,0,0
2,(多选题)可以用来量化收益率的风险或者说收益率的波动性的指标有(),<p>A预期收益率</p><p>B中位数</p><p>C方差</p><p>D标准差</p><p>E众数</p>,5,CD,预期收益率是一种平均水平的概念，众数和中位数不具有衡量收益率比重的特性，标准差和方差可，用来量化收益率的波动情况，例如，标准差越大表明不确定性越大，即出现较大收益或损失的机会越大。,69,1,0,0
2,(多选题)关于全面风险管理模式的先进理念和方法，下列说法正确的有(),<p>A全员的风险管理文化</p><p>B全面的风险管理范围</p><p>C全新的风险管理方法</p><p>D全程的风险管理过程</p><p>E全球的风险管理体系</p>,5,ABCDE,全面风险管理模式体现了以下风险管理理念和方法：(1)全球的风险管理体系；(2)全面的风险管理范围；(3)全程的风险管理过程；(4)全新的风险管理方法；(5)全员的风险管理文化。,69,1,0,0
2,(多选题)风险规避策略的实施成本主要在于()的支出。,<p>A人员工资</p><p>B风险分析</p><p>C经济资本配置</p><p>D风险补偿</p><p>E风险转移</p>,5,BC,风险规避策略的实施成本主要在于风险分析和经济资本配置方面的支出。,69,1,0,0
3,(判断题)既存在于表内业务，又存在于表外业务，还存在于衍生产品交易中的风险是信用风险。(),<p>A正确</p><p>B错误</p>,2,A,信用风险既存在于传统的贷款等表内业务中，又存在于信用担保等表外业务中，还存在于衍生产品交易中。,69,1,0,0
3,(判断题)根据马柯维茨资产组合管理理论，多样化的组合投资具有降低系统性风险的作用。(),<p>A正确</p><p>B错误</p>,2,B,根据马柯维茨资产组合管理理论，多样化的组合投资具有降低非系统性风险的作用，而系统性风险不能被降低。,69,1,0,0
3,(判断题)结算风险既可以针对个人，也可以针对企业。(),<p>A正确</p><p>B错误</p>,2,B,违约风险既可以针对个人，也可以针对企业。,69,1,0,0
3,(判断题)操作风险主要是由内部人员因素和技术因素造成，因此操作风险的成因源于内部因素，而不是外部因素。(),<p>A正确</p><p>B错误</p>,2,B,操作风险是指由于人为错误、技术缺陷或不利的外部事件所造成损失的风险。,69,1,0,0
3,(判断题)国别风险存在于授信、国际资本市场业务、设立境外机构、代理行往来和由境外服务提供商提供的外包服务等经营活动中。(),<p>A正确</p><p>B错误</p>,2,A,国别风险存在于授信、国际资本市场业务、设立境外机构、代理行往来和由境外服务提供商提供的外包服务等经营活动中。,69,1,0,0
3,(判断题)监管资本是商业银行用于弥补非预期损失的资本。(),<p>A正确</p><p>B错误</p>,2,B,经济资本是指商业银行在一定的置信水平下，为了应对未来一定期限内资产的非预期损失而应该持有的资本金。监管资本是监管部门规定的商业银行应持有的同其所承担的业务总体风险水平相匹配的资本，是监管当局针对商业银行的业务特征按照统一的风险资本计量方法计算得出的。,69,1,0,0
3,(判断题)商业银行风险管理的主要策略是风险分离、风险缓解、风险转嫁、风险规避、风险赔偿。(),<p>A正确</p><p>B错误</p>,2,B,商业银行风险管理的主要策略是风险分散、风险对冲、风险转移、风险规避和风险补偿。,69,1,0,0
3,(判断题)2012年颁布的《商业银行资本管理办法（试行）》规定的国际活跃银行的核心一级资本充足率不得低于8%。(),<p>A正确</p><p>B错误</p>,2,B,应为5%。,69,1,0,0
3,(判断题)战略风险也与其他主要风险密切联系且相互作用，因此同样是一种单维风险。(),<p>A正确</p><p>B错误</p>,2,B,战略风险也与其他主要风险密切联系且相互作用，因此同样是一种多维风险。,69,1,0,0
3,(判断题)战略风险是一种简单的风险体系。(),<p>A正确</p><p>B错误</p>,2,B,战略风险是指商业银行在追求短期商业目的和长期发展目标的过程中，因不适当的发展规划和战略决策给商业银行造成损失或不利影响的风险。战略风险与其他主要风险密切联系且相互作用，因此同样是一种多维风险。如果缺乏结构化和系统化的风险识别和分析方法，深入理解并有效控制战略风险是相当困难的。,69,1,0,0
3,(判断题)如果某个事件的损失是固定的并已经被事先确定下来，那么这个事件就是存在风险的。(),<p>A正确</p><p>B错误</p>,2,B,风险就是未来结果出现收益或损失的不确定性。如果某个事件的收益或损失是固定的并已经被事先确定下来，就不存在风险；若该事件的收益或损失存在变化的可能，且这种变化过程事先无法确定，则存在风险。,69,1,0,0
3,(判断题)对风险进行正确的识别、计量、监测并采取有效的控制手段和方法，是商业银行保持稳健经营，实现“安全性、流动性、效益性”经营原则的根本所在。(),<p>A正确</p><p>B错误</p>,2,A,对风险进行正确的识别、计量、监测并采取有效的控制手段和方法，是商业银行保持稳健经营，实现“安全性、流动性、效益性”经营原则的根本所在。,69,1,0,0
3,(判断题)市场风险具有明显的非系统性特征。(),<p>A正确</p><p>B错误</p>,2,B,市场风险具有明显的系统性风险特征。,69,1,0,0
