1,(单选题)通过银行柜台认购凭证式长期国债的市场不属于（）.,<p>A发行市场</p><p>B场内市场</p><p>C资本市场</p><p>D直接融资市场</p>,4,B,通过银行柜台认购凭证式长期国债的市场不属于场内市场。,22,1,0,0
1,(单选题)金融衍生品工具越来越被银行所广泛使用，下列有关金融衍生品的说法，错误的是（）。,<p>A是重要的风险管理工具，其交易总是会降低银行的风险</p><p>B其价格受基础金融产品或基础变量的影响</p><p>C包括期权、期货、互换等</p><p>D金融衍生品是相对于基础金融产品的概念</p>,4,A,银行交易金融衍生品的主要目的是风险管理，但也有客户委托银行进行不以风险管理为目的的投机或炒作交易，并不能确保交易总是会降低风险。故选A。,22,1,0,0
1,(单选题)下列关于金融市场功能的说法，错误的是（）。,<p>A金融市场承担着商品价格等重要价格信号的决定功能</p><p>B金融市场参与者通过组合投资可以分散非系统风险</p><p>C融通货币资金是金融市场最主要、最基本的功能</p><p>D金融市场借助货币资金的流动和配置可以影响经济结构和布局</p>,4,A,"BCD选项分别是对金融市场的风险分散与风险管理功能、融通货币资金、经济调节功能的正确表述。金融市场具有决定利率、汇率、证券价格等重要价格信号的功能，并通过调节价格引导资源配置，但并不决定普通商品的价格。
",22,1,0,0
1,(单选题)金融衍生品是一种金融合约，合约的基本种类之一为互换，下列关于货币互换的说法错误的是（）。,<p>A货币互换是指在约定期限内交换约定数量两种货币的本金，同时定期交换两种货币利息的交易</p><p>B在协议生效日双方按约定汇率交换人民币与外币的本金，在协议到期日双方再以相同汇率、相同金额进行一次本金的反向交换</p><p>C交易双方定期向对方支付以换入货币计算的利息金额，交易双方应按照固定利率计算利息</p><p>D交易双方定期向对方支付以换入货币计算的利息金额，交易双方可以按照浮动利率计算利息</p>,4,B,货币交易的利息交换形式是：交易双方定期向对方支付以换入货币计算的利息金额，交易双方可以按照固定利率计算利息，也可以按照浮动利率计算利息。,22,1,0,0
1,(单选题)中央银行可以采取（）的货币政策工具减少货币供应量。,<p>A在公开市场上卖出证券</p><p>B降低存款准备金率</p><p>C降低再贴现率</p><p>D通过窗口指导鼓励商业银行增加贷款发放</p>,4,A,"中央银行卖出证券货币供应量减少，市场利率上升。当中央银行提高法定存款准备金率时，货币供应量减少。当中央银行降低法定存款准备金率时，货币供应量增加。中央银行提高再贴现率货币供应量减少，市场利率上升。中央银行降低再贴现率货币供应量增加，市场利率下降。
",22,1,0,0
1,(单选题)下列金融市场中不属于有形市场的是（）。,<p>A上海证券交易所</p><p>B大连商品交易所 </p><p>C全国银行间债券市场</p><p>D中国金融期货交易所</p>,4,C,"场内交易市场又称有形市场，是指有固定场所、有组织、有制度的金融交易市场，如证券交易所、商品交易所、期货交易所。所以答案是C。
",22,1,0,0
1,(单选题)下列关于货币政策的说法错误的是（）。,<p>A货币政策是国家调节和控制宏观经济的一种手段</p><p>B公开市场业务、存款准备金政策、再贴现政策被称为货币政策的“三大法宝”</p><p>C货币供应量是货币政策的中介目标</p><p>D利率是我国货币政策的中介目标</p>,4,D,货币政策是国家调节和控制宏观经济的主要手段之一，并不是唯一手段。公开市场业务、存款准备金政策、再贴现政策被称为货币政策的“三大法宝”。货币供应量是货币政策的中介目标。所以只有选项D正确。,22,1,0,0
1,(单选题)现阶段，我国货币政策的操作目标和中介目标分别是（）和（）。,<p>A货币供应量，基础货币 </p><p>B基础货币，高能货币</p><p>C基础货币，流通中现金</p><p>D基础货币，货币供应量</p>,4,D,现阶段我国货币政策的操作目标是基础货币，中介目标是货币供应量。,22,1,0,0
1,(单选题)根据最新规定我国规定系统重要性银行的实际资本充足率要达到（）。,<p>A0.1</p><p>B0.115</p><p>C0.08</p><p>D0.105</p>,4,B,根据最新规定我国规定系统重要性银行的实际资本充足率要达到0.115。,22,1,0,0
1,(单选题)以下金融工具中，（）的职能主要是用于保值、投机。,<p>A股票</p><p>B公司债券</p><p>C商业票据</p><p>D期货</p>,4,D,按金融工具的职能划分：①用于投资和筹资的为股票、债券等；②用于支付、便于商品流通的为各种票据等；③用于保值、投机的为期权、期货等衍生金融工具。,22,1,0,0
1,(单选题)金融市场最主要、最基本的功能是（）。,<p>A货币资金融通功能</p><p>B资源配置功能</p><p>C经济调节功能</p><p>D定价功能</p>,4,A,金融市场最主要、最基本的功能是货币资金融通功能。,22,1,0,0
1,(单选题)（）被称为狭义货币供应量。,<p>A基础货币</p><p>BM0</p><p>CM1</p><p>DM2</p>,4,C,M1被称为狭义货币供应量。,22,1,0,0
1,(单选题)商业承兑汇票的提示付款期限，自汇票到期日起（）。,<p>A10天</p><p>B20天</p><p>C1个月</p><p>D半年</p>,4,A,商业承兑汇票的提示付款期限，自汇票到期日起10天。,22,1,0,0
1,(单选题)根据《金融机构大额交易和可疑交易报告管理办法》的规定，不能免于报告的大额交易是（）。,<p>A当日累计45万元人民币的现钞结汇</p><p>B金融机构在银行间债券市场进行的债券交易</p><p>C自然人实盘外汇买卖交易过程中不同外币币种间的转换 </p><p>D同一金融机构开立的同一户名下的定期存款续存、活期存款与定期存款的互转</p>,4,A,除B、C、D三项外，《金融机构大额交易和可疑交易报告管理办法》规定的九类可以免于报告的大额交易还包括：交易一方为各级党的机关、国家权力机关、行政机关、司法机关、军事机关、人民政协机关和人民解放军、武警部队，但不含其下属的各类企事业单位；金融机构在黄金交易所进行的黄金交易；金融机构内部调拨资金；国际金融组织和外国政府贷款转贷业务项下的交易；国际金融组织和外国政府贷款项下的债务掉期交易；商业银行、城市信用合作社、农村信用合作社、邮政储汇机构、政策性银行发起的税收、错账冲正、利息支付以及中国人民银行确定的其他情形。A项超过了当日累计20万元人民币现钞结售汇的额度。属于应报告的大额交易。,22,1,0,0
2,(多选题)严格意义上讲，金融衍生产品包括（）。,<p>A远期</p><p>B期货</p><p>C期权</p><p>D互换</p><p>E外汇</p>,5,ABCD,外汇不属于金融衍生产品。,22,1,0,0
2,(多选题)下列资产工具可以作为金融期货合约标的物的有（）。,<p>A股票指数</p><p>B农产品</p><p>C黄金</p><p>D利率</p><p>E汇率</p>,5,ADE,根据合约标的物的不同，期货合约分为商品期货合约和金融期货合约。（本题来自嗨考网）,22,1,0,0
2,(多选题)关于手机银行和电话银行，下列说法正确的有（）。,<p>A手机银行和电话银行都属于电子银行</p><p>B手机银行是银行利用移动电话技术为客户提供的金融服务</p><p>C电话银行提供的服务包括各类账户之间的转账、代收代付等银行服务</p><p>D电话银行业务是银行通过电话自动语音及人工服务应答方式为客户提供的银行服务</p><p>E所有的电话银行的服务都是收费的</p>,5,ABCD,"手机银行和电话银行都属于电子银行。手机银行是银行利用移动电话技术为客户提供的金融服务。电话银行提供的服务包括各类账户之间的转账、代收代付等银行服务。电话银行业务是银行通过电话自动语音及人工服务应答(客户服务中心)方式为客户提供的银行服务。有的电话银行的服务收费，有的不收费。ABCD选项，正确；E项说法错误。故选ABCD。
",22,1,0,0
2,(多选题)下列关于金融工具和金融市场的叙述，正确的是（）。,<p>A贷款属于间接融资工具，其所在市场属于间接融资市场</p><p>B股票属于直接融资工具，其发行、交易的市场属于直接融资市场</p><p>C银行间同业拆借市场属于货币市场，同业拆借是其中的一种短期金融工具</p><p>D银行间债券市场属于资本市场，债券回购是其中的一种长期金融工具</p><p>E以上选项都对</p>,5,ABC,银行间债券市场属于货币市场。债券回购是短期金融工具。选项DE错误。,22,1,0,0
2,(多选题)中央银行发行1年期央行票据进行公开市场业务的市场属于（）。,<p>A货币市场</p><p>B资本市场</p><p>C现货市场</p><p>D期货市场</p><p>E一级市场</p>,5,ADE,发行市场也叫一级市场，所以选项E正确。央行票据说明是要在货币市场流通。选项A正确。1年期说明是期货。选项D正确。,22,1,0,0
2,(多选题)下列关于金融市场的功能的说法，不正确的有（）。,<p>A金融市场具有决定利率、汇率、证券价格等重要价格信号的功能</p><p>B金融市场参与者通过组合投资可以分散系统风险</p><p>C经济调节功能是金融市场最主要、最基本的功能</p><p>D通常货币资金总是流向最有发展潜力、能为投资者带来最大利益的地区、部门和企业，从而达到资源配置的功能</p><p>E金融市场借助货币资金的流动和配置可以影响经济结构和布局</p>,5,BC,"金融市场参与者通过组合投资可以分散非系统风险。货币资金融通功能是金融市场最主要、最基本的功能选项BC说法有误。
",22,1,0,0
2,(多选题)个人税收规划的基本内容包括（）。,<p>A避税规划</p><p>B节税规划</p><p>C转嫁规划</p><p>D目的性规划</p><p>E合法性规划</p>,5,ABC,避税规划、节税规划和转嫁规划是税收规划由于其依据的原理不同，采用的方法和手段不同进行的分类。,22,1,0,0
2,(多选题)银行业金融机构有（）情形，由银监会责令改正。,<p>A未经批准变更、终止</p><p>B自行确定有关雇员的高额薪酬</p><p>C未经批准设立分支机构</p><p>D违反规定从事未经批准或者未备案的业务活动</p><p>E发生年度亏损</p>,5,ACD,"电子银行业务中的电子渠道主要有网上银行、电话银行、手机银行、自助终端。
",22,1,0,0
2,(多选题)下列属于农村金融机构的有（）。,<p>A农村商业银行</p><p>B中国农业银行</p><p>C农村资金互助社</p><p>D乡村银行</p><p>E村镇银行</p>,5,ACE,B是大型商业银行，D不是正确的银行名称。,22,1,0,0
2,(多选题)关于金融市场的分类，下列说法正确的是（）。,<p>A按照交易的阶段划分，可分为发行市场和流通市场</p><p>B按照交易活动是否为固定场所划分，可分为场内市场和场外市场</p><p>C按照金融工具的具体类型划分，可分为债券市场、股票市场、外汇市场等</p><p>D按照金融工具所约定的期限长短划分，可分为现货市场和期货市场</p><p>E按照金融工具所约定的期限长短划分，可分为货币市场和资本市场</p>,5,ABCE,按金融工具交割日期不同，金融市场可分为现货市场和期货市场；按照金融工具上所约定的期限长短不同，金融市场可分为货币市场和资本市场。,22,1,0,0
1,(单选题)金融机构市场准入主要包括（）。,<p>A机构准入 </p><p>B法人准入 </p><p>C技术准入</p><p>D业务准入</p><p>E高级管理人员准入</p>,5,ADE,金融机构市场准入包括：机构准入指金融机构法人或分支机构的法人；（本题来自嗨考网）业务准入是指批准金融机构的业务范围以及允许推出新的产品和服务；高级管理人员准入指对董事及高级管理人员即经营管理层高管的任职资格进行审查核准。,22,1,0,0
3,(判断题)电子银行业务中的电子渠道主要有网上银行、电话银行、手机银行、自助终端。（）。,<p>A正确</p><p>B错误</p>,2,A,电子银行业务中的电子渠道主要有网上银行、电话银行、手机银行、自助终端。,22,1,0,0
3,(判断题)成长型基金强调为投资者带来经常性收益，所以常按时派息给投资者，使投资者有固定的收入来源。（）,<p>A正确</p><p>B错误</p>,2,B,"收入型基金强调为投资者带来经常性收益，所以常按时派息给投资者，使投资者有固定的收入来源。成长型基金注重资本增值和长期收益，很少派股息，一般分派股票等。
",22,1,0,0
3,(判断题)我们一般所指的货币供应量是M1，广义的货币供应量()。,<p>A正确</p><p>B错误</p>,2,B,我们一般所指的货币供应量是M1，广义的货币供应量。是错误的。,22,1,0,0
3,(判断题)远期外汇买卖是一种预约性交易，是由于外汇购买者为了规避外汇汇率变动风险而引起的（）。,<p>A正确</p><p>B错误</p>,2,A,"远期外汇买卖是一种预约性交易，是由于外汇购买者为了规避外汇汇率变动风险而引起的。
",22,1,0,0
3,(判断题)金融工具可分为债权工具、股权工具和混合工具，比如可转换债券，就是一种债权工具（)。,<p>A正确</p><p>B错误</p>,2,B,金融工具可分为债权工具、股权工具和混合工具，比如可转换债券，就是一种债权工具。是错误的。,22,1,0,0
3,(判断题)资产托管业务是指银行利用自身安全设施齐全等有利条件设置保险箱库，为客户代理保管各种贵重物品和单证并收取手续费的业务。（）,<p>A正确</p><p>B错误</p>,2,B,"题干所述为银行代保管业务。资产托管业务是指具备托管资格的商业银行作为托管人，依据有关法律法规，与委托人签订委托资产托管合同，履行托管人相关职责的业务。
",22,1,0,0
3,(判断题)银行金融创新最终体现为银行风险的完全规避。（）,<p>A正确</p><p>B错误</p>,2,B,银行金融创新最终体现为银行风险的完全规避。是错误的。,22,1,0,0
3,(判断题)金融市场的经济调节功能仅仅表现在借助货币资金供应总量的变化可以影响经济的发展规模和速度。（）,<p>A正确</p><p>B错误</p>,2,B,金融市场的功能还表现在借助货币资金的流动和配置影响经济结构和布局，借助利率、汇率、金融资产价格变动促进社会经济效益的提高。,22,1,0,0
