1,(单选题)某股价指数，按基期加权法编制，并以样本股的流通股数为权数。选取A、B、C三种股票为样本股，样 本股的基期价格分别为5.00元，8.00元，4.00元，流通股数分别为7000万股，9000万股，8000万股。某交 易日，这三种股票的收盘价分别为9.50元，15.00元，8.5元，设基础指数为1000点，则该日的加权股价指 数是( )。 ,<p>A1938.85</p><p>B1939.84</p><p>C1938.86</p><p>D1938.84</p>,4,A,该日的加权股价指数是[（7000*9.5+9000*15+8000*8.5）/（7000*5+9000*8+8000*4)]*1000=1938.849。,0,0
1,(单选题)基金管理费是支付给( )的费用。 ,<p>A基金管理人</p><p>B基金托管人</p><p>C基金投资者</p><p>D基金监管部门</p>,4,A,基金管理费是指从基金资产中提取的、支付给为基金提供专业化服务的基金管理人的费用，即管理人 为管理和操作基金而收取的费用。,0,0
1,(单选题)一般意义上的优先股具有的特点之一是在发行时事先确定( )。 ,<p>A红利率</p><p>B股息率</p><p>C现金额</p><p>D票面金额</p>,4,B,优先股的股息率固定。,0,0
1,(单选题)( )于2004年1月31日发布《关于推进资本市场改革开放和稳定发展的若干意见》，对中国资本市场的改革 与发展具有重要的现实意义和深远的历史影响。 ,<p>A国务院</p><p>B证监会</p><p>C发改委</p><p>D商务部</p>,4,A,国务院于2004年1月31日发布《关于推进资本市场改革开放和稳定发展的若干意见》，对中国资本市场 的改革与发展具有重要的现实意义和深远的历史影响。,0,0
1,(单选题)南方积极配置证券投资基金是( )。 ,<p>A公司型基金</p><p>B指数基金</p><p>CETF</p><p>DLOF</p>,4,D,2004年10月14日，南方基金管理公司募集设立了南方积极配置证券投资基金( LOF)，并于2004年12月20日在深圳证券交易所上市交易。,0,0
1,(单选题)按照债券票面载明的利率及支付方式定期分次付息的债券是指( )。 ,<p>A附息债券</p><p>B贴现债券</p><p>C缓息债券</p><p>D零息债券</p>,4,A,考察附息债券的定义。,0,0
1,(单选题)我国证券市场监管部门的主要手段是( )。 ,<p>A法律手段</p><p>B经济手段</p><p>C行政手段</p><p>D财政手段</p>,4,A,我国证券市场监管部门的主要手段是法律手段。,0,0
1,(单选题)创业板上市公司的董事长、经理、( )应当对公司临时报告信息披露的真实性、准确性、完整性、及时性、 公平性承担主要责任。 ,<p>A董事会秘书</p><p>B总经理秘书</p><p>C股东大会</p><p>D财务负责人</p>,4,A,考察上市公司信息披露的监督管理与法律责任。创业板上市公司的董事长、经理、董事会秘书应当对 公司临时报告信息披露的真实性、准确性、完整性、及时性、公平性承担主要责任。,0,0
1,(单选题)可转换公司债券的赎回条件一般是( )。 ,<p>A当公司股票价格在一段时间内连续低于转换价格达一定幅度时</p><p>B当公司股票价格在一段时间内连续高于转换价格达一定幅度时</p><p>C当公司股票价格在一段时间内连续等于转换价格达一定幅度时</p><p>D当公司股票价格持续低迷时</p>,4,B,可转换公司债券的赎回条件一般是当公司股票价格在一段时间内连续高于转换价格达一定幅度时，公 司可按事先约定的赎回价格买回发行在外尚未转股的可转换公司债券。,0,0
1,(单选题)我国《证券法》规定，持有公司( )以上股份的股东为知悉证券交易内幕信息的知情人员。 ,<p>A0.05</p><p>B0.1</p><p>C0.3</p><p>D0.5</p>,4,A,考察内幕交易的行为主体。,0,0
1,(单选题)中央银行的货币政策对股票价格有直接的影响，其手段包括( )。 ,<p>A存款准备金制度</p><p>B发行国债</p><p>C调节税率</p><p>D国家预算</p>,4,A,此题考察货币政策的工具。调节税率、发行国债和国家预算属于财政政策。,0,0
1,(单选题)证券发行与承销管理办法》规定，战略投资者不得参与首次公开发行股票的初步询价和累计投标询价， 并应当承诺获得本次配售的股票持有期限为( )。 ,<p>A不少于3个月</p><p>B不多于3个月</p><p>C不少于12个月</p><p>D不多于12个月</p>,4,C,战略投资者应当承诺获得配售的股票持有期限不少于12个月。,0,0
1,(单选题)发行人和主承销商应当签订承销协议，在承销协议中界定双方的权利义务关系，约定明确的承销基数。 采用( )方式的，应当约定发行失败后的处理措施。 ,<p>A包销</p><p>B代销</p><p>C经销</p><p>D传销</p>,4,B,发行人和主承销商应当签订承销协议，在承销协议中界定双方的权利义务关系，约定明确的承销基 数。采用包销方式的，应当明确包销责任；采用代销方式的，应当约定发行失败后的处理措施。,0,0
1,(单选题)从业人员在执业过程中违反有关证券法律、行政法规以及中国证监会有关规定，受到聘用机构处分的， 该机构应当在处分后( )日内向协会报告。 ,<p>A7</p><p>B10</p><p>C15</p><p>D20</p>,4,B,从业人员在执业过程中违反有关证券法律、行政法规以及中国证监会有关规定，受到聘用机构处分 的，该机构应当在处分后10日内向协会报告。,0,0
1,(单选题)设立限定性集合资产管理计划的净资本限额为( )亿元。 ,<p>A5</p><p>B3</p><p>C2</p><p>D1</p>,4,B,设立限定性集合资产管理计划的净资本限额为3亿元。,0,0
1,(单选题)《中华人民共和国刑法》第一百六十一条规定，提供虚假财务会计报告的公司直接负责的主管人员和其 他直接责任人员。处( )以下有期徒刑或者拘役，并处或者单处( )以上( )以下罚金。 ,<p>A3年，2万元，10万元</p><p>B3年，2万元，20万元</p><p>C5年，2万元，20万元</p><p>D5年，2万元，10万元</p>,4,B,《中华人民共和国刑法》第一百六十一条规定，提供虚假财务会计报告的公司直接负责的主管人员和 其他直接责任人员。处3年以下有期徒刑或者拘役，并处或者单处2万以上20万以下以下罚金。,0,0
1,(单选题)从业人员拒绝协会调查或者检查的，或者所聘用机构拒绝配合调查的，由协会责令改正；拒不改正的， 给予纪律处分；情节严重的，由中国证监会给予从业人员暂停执业( )个月。 ,<p>A3～6</p><p>B6～12</p><p>C3～9</p><p>D3～12 </p>,4,D,从业人员拒绝协会调查或者检查的，或者所聘用机构拒绝配合调查的，由协会责令改正；拒不改正 的，给予纪律处分；情节严重的，由中国证监会给予从业人员暂停执业3个月至12个月，或者吊销其执 业证书的处罚；对机构单处或者并处警告、3万元以下罚款。,0,0
1,(单选题)上市公司在一年内购买、出售重大资产或者担保金额超过公司资产总额30%的，应当由股东大会作出决 议，并经出席会议的股东所持表决权的( )以上通过。 ,<p>A42038</p><p>B42007</p><p>C42006</p><p>D42067</p>,4,A,《中华人民共和国公司法》第一百二十二条规定：“上市公司在一年内购买、出售重大资产或者担保 金额超过公司资产总额30%的，应当由股东大会作出决议，并经出席会议的股东所持表决权的2/3以上 通过。”,0,0
1,(单选题)我国货币市场基金的份额净值固定在( )。 ,<p>A1元人民币</p><p>B2元人民币</p><p>C5元人民币</p><p>D10元人民币</p>,4,A,货币市场基金的份额净值固定在1元人民币。,0,0
1,(单选题)长期国债的偿还期限一般为( )。 ,<p>A1年或1年以内</p><p>B1年以上、10年以下</p><p>C10年或10年以上</p><p>D20年或20年以上</p>,4,C,长期国债的偿还期限一般为10年或10年以上。,0,0
1,(单选题)证券公司开展融资融券业务必须经()批准。 ,<p>A中国证监会</p><p>B证券交易所</p><p>C省级人民政府</p><p>D中国证券业协会</p>,4,A,证券公司开展融资融券业务必须经中国证监会批准。,0,0
1,(单选题)依据证券公司客户信用交易.担保证券账户内的记录，确认证券公司受托持有证券的事实，并以证券公司 为名义持有人，登记于证券持有人名册的证券市场主体是()。 ,<p>A中国证监会</p><p>B证券登记结算机构</p><p>C中国证券业协会</p><p>D证券交易所 </p>,4,B,证券登记结算机构依据证券公司客户信用交易担保证券账户内的记录，确认证券公司受托持有证券的 事实，并以证券公司为名义持有人，登记于证券持有人名册。,0,0
1,(单选题)下列不属于证券经纪业务营业部管理方面法律法规的是()。 ,<p>A《证券业从业人员资格管理办法》</p><p>B《证券公司董事、监事和高级管理人员任职资格监管办法》</p><p>C《证券从业人员行为守则（试行）》</p><p>D《证券公司融资融券业务试点管理办法》 </p>,4,D,证券经纪业务营业部管理方面的法律法规包括《证券业从业人员资格管理办法》《证券公司董事、监 事和高级管理人员任职资格监管办法》和《证券从业人员行为守则（试行）》等。D项属于融资融券 方面的法律法规。,0,0
1,(单选题)合规负责人为证券公司高级管理人员，由()决定聘任，并应当经国务院证券监督管理机构认可。 ,<p>A董事会</p><p>B监事会</p><p>C董事会执行委员会</p><p>D股东大会</p>,4,A,合规负责人为证券公司高级管理人员，由董事会决定聘任，并应当经国务院证券监督管理机构认可。,0,0
1,(单选题)证券公司从事自营业务，应当遵循真实、合法的资金和账户的规定，即（）。 Ⅰ.证券公司从事自营业务必须以自己的名义进行，不得假借他人名义或者以个人名义进行 Ⅱ.证券公司的自营业务必须使用自有资金和依法筹集的资金，不得通过“保本保底”的委托理财、发行 柜台债券等非法方式融资 Ⅲ.不得以他人名义开立多个账户 Ⅳ.证券公司不得将其自营账户转借给他人使用,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,真实、合法的资金和账户的规定是指证券公司从事自营业务必须以自己的名义进行，不得假借他人名 义或者以个人名义进行。证券公司的自营业务必须使用自有资金和依法筹集的资金，不得通过“保本 保底”的委托理财、发行柜台债券等非法方式融资，不得以他人名义开立多个账户。证券公司不得将 其自营账户转借给他人使用。,0,0
1,(单选题)自营业务中涉及（）方面的重大决策，应当经过集体决策并采取书面形式，由相关人员签字确认后存 档。 Ⅰ.自营规模 Ⅱ.风险限额 Ⅲ.资产配置 Ⅳ.业务授权,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,自营业务中涉及自营规模、风险限额、资产配置、业务授权等方面的重大决策，应当经过集体决策并 采取书面形式，由相关人员签字确认后存档。,0,0
1,(单选题)发行上市信息披露的基本要求包括（）。 Ⅰ.全面性 Ⅱ.真实性 Ⅲ.时效性 Ⅳ.完整性 ,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,D,信息披露的基本要求包括全面性、真实性和时效性。,0,0
1,(单选题)证券公司代销金融产品，应当遵循的原则包括（）。 Ⅰ.平等 Ⅱ.自愿 Ⅲ.专业性 Ⅳ.适当性 ,<p>AⅡ.Ⅳ</p><p>BⅢ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅳ.Ⅲ</p>,4,C,证券公司代销金融产品，应当遵守法律、行政法规和中国证监会的规定，遵循平等、自愿、公平、诚 实信用和适当性原则，避免利益冲突，不得损害客户合法权益。,0,0
1,(单选题)使用中国证券登记结算有限责任公司网络投票系统进行投票的具体流程包括（）。 Ⅰ.登录中国证券登记结算有限责任公司网站注册，取得用户名和身份确认码 Ⅱ.向结算公司提交网络申请 Ⅲ.到身份验证机构办理身份验证，激活网上用户名 Ⅳ.使用用户名、密码及附加码登录网站并进行投票 ,<p>AⅡ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,B,根据操作流程，投资者办理股东大会网络投票等网络服务业务，需首先登录中国结算公司网站注册， 然后到证券公司营业部(“身份验证机构”)办理身份验证。投资者办理身份验证，须遵循“先注册、 后激活”的程序。投资者办理身份验证并激活网上用户名后，即可参加今后各有关上市公司股东大会 网络投票。流程如下：登录网站www.chinaclear.cn；输入网上用户名、密码及附加码；点击“投票表 决”下的“网上行权”；浏览股东大会列表，选择具体的投票参与方式；进行投票。,0,0
1,(单选题)在证券经纪商与客户的委托代理关系中，客户是（）。 Ⅰ.代理人 Ⅱ.授权人 Ⅲ.委托人 Ⅳ.受托人 ,<p>AⅡ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,A,在证券经纪商与客户的委托代理关系中，客户是授权人、委托人。,0,0
1,(单选题)以下关于我国证券公司短期融资券的说法，正确的是（）。 Ⅰ.以短期融资为目的 Ⅱ.在银行间债券市场发行 Ⅲ.在证券交易所上市交易 Ⅳ.约定在一定期限内还本付息,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,C,证券公司短期融资券是指证券公司以短期融资为目的，在银行间债券市场发行的约定在一定期限内还 本付息的金融债券。,0,0
1,(单选题)证券公司从事上市公司并购重组财务顾问业务应当具备的条件包括（）。 Ⅰ.公司净资本符合中国证监会的规定 Ⅱ.财务顾问主办人不少于3人 Ⅲ.建立健全的尽职调查制度，具备良好的项目风险评估和内核机制 Ⅳ.公司控股股东、实际控制人信誉良好且最近3年无重大违法违规记录,<p>AⅠ．Ⅱ．Ⅲ</p><p>BⅠ．Ⅱ．Ⅳ</p><p>CⅠ．Ⅲ．Ⅳ</p><p>DⅠ．Ⅱ．Ⅲ．Ⅳ</p>,4,C,证券公司从事上市公司并购重组财务顾问业务，应当具备下列条件：(1)公司净资本符合中国证监会的 规定。(2)具有健全且运行良好的内部控制机制和管理制度，严格执行风险控制和内部隔离制度。(3)建 立健全的尽职调查制度，具备良好的项目风险评估和内核机制。(4)公司财务会计信息真实、准确、完 整。(5)公司控股股东、实际控制人信誉良好且最近3年无重大违法违规记录。(6)财务顾问主办人不少于5人。(7)建立健全的尽职调查制度，具备良好的项目风险评估和内核机制。(8)中国证监会规定的其 他条件。,0,0
1,(单选题)下列属于我国基金信息披露制度体系的是（）。 Ⅰ.基金信息披露的规范性文件 Ⅱ.基金信息披露的地方政策 Ⅲ.信息披露自律规则 Ⅳ.基金信息披露的国家法律 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,我国基金信息披露制度体系可分为国家法律、部门规章、规范性文件与自律规则四个层次。,0,0
1,(单选题)证券、期货投资咨询机构办理年检时应当提交的文件包括（）。 Ⅰ.企业法人营业执照 Ⅱ.年检申请报告 Ⅲ.年度业务报告 Ⅳ.经注册会计师审计的财务会计报表,<p>AⅠ．Ⅱ．Ⅲ</p><p>BⅠ．Ⅱ．Ⅳ</p><p>CⅡ．Ⅲ．Ⅳ</p><p>DⅠ．Ⅱ．Ⅲ．Ⅳ</p>,4,C,证券、期货投资咨询机构办理年检时，应当提交的文件包括：(1)年检申请报告。(2)年度业务报告。(3)经注册会计师审计的财务会计报表。,0,0
1,(单选题)下列属于自营业务后台职能的是（）。 Ⅰ.账户管理 Ⅱ.账户开户 Ⅲ.资金清算 Ⅳ.会计核算 ,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅳ</p>,4,B,自营业务的投资决策、投资操作、风险监控的机构和职能应当相互独立；自营业务的账户管理、资金 清算、会计核算等后台职能应当由独立的部门或岗位负责，以形成有效的自营业务前、中、后相互制 衡的监督机制。,0,0
1,(单选题)下列关于银行业金融机构证券投资范围的表述中，错误的是（）。 Ⅰ.银行业金融机构一般仅限于政府债券和地方政府债券 Ⅱ.银行业金融机构通常以长期国债作为其超额储备的持有形式 Ⅲ.银行业金融机构不得用自有资金及中国银监会规定的可用于投资的表内资金买卖政府债券和金融债券 Ⅳ.对于因处置贷款质押资产而被动持有的股票，可以买入或卖出 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,银行业金融机构通常以短期国债作为其超额储备的持有形式；银行业金融机构可用自有资金及中国银 监会规定的可用于投资的表内资金买卖政府债券和金融债券；对于因处置贷款质押资产而被动持有的 股票，只能单向卖出。,0,0
1,(单选题)申请投资主办人注册的人员应当具备的条件包括（）。 Ⅰ.取得证券从业资格 Ⅱ.取得证券经纪人资格 Ⅲ.具备良好的诚信记录及职业操守 Ⅳ.具有3年以上证券投资、研究、投资顾问或类似从业经历,<p>AⅠ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,申请投资主办人注册的人员应当具备下列条件：(1)已取得证券从业资格。(2)具有3年以上证券投资、 研究、投资顾问或类似从业经历。(3)具备良好的诚信记录及职业操守，且最近3年内没有受到监管部 门的行政处罚。,0,0
1,(单选题)中国证监会可以对保荐机构、保荐代表人、保荐业务负责人采取的监管措施包括（）。 Ⅰ.监管谈话、重点关注 Ⅱ.责令进行业务学习、出具警示函 Ⅲ.没收违法所得、没收非法财物 Ⅳ.责令公开说明、认定为不适当人选,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,D,保荐机构、保荐代表人、保荐业务负责人和内核负责人违反《证券发行上市保荐业务管理办法》，未 诚实守信、勤勉尽责地履行相关义务的，中国证监会责令改正，并对其采取监管谈话、重点关注、责 令进行业务学习、出具警示函、责令公开说明、认定为不适当人选等监管措施；依法应给予行政处罚 的，依照有关规定进行处罚；情节严重涉嫌犯罪的，依法移送司法机关，追究其刑事责任。,0,0
1,(单选题)发行人应当就（）聘请具有保荐机构资格的证券公司履行保荐职责。 Ⅰ.首次公开发行股票并上市 Ⅱ.上市公司发行新股、可转换公司债券 Ⅲ.股票在二级市场上进行转让 Ⅳ.中国证监会认定的其他情形,<p>AⅠ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,C,发行人应当就下列事项聘请具有保荐机构资格的证券公司履行保荐职责：(1)首次公开发行股票并上 市。(2)上市公司发行新股、可转换公司债券。(3)中国证监会认定的其他情形。,0,0
