1,(单选题)()是基金一切活动的中心。,<p>A基金经理</p><p>B基金管理人</p><p>C基金托管人</p><p>D基金份额持有人</p>,4,D,基金份额持有人是基金一切活动的中心。,0,0
1,(单选题)上市公司购买的资产为股权的，其资产总额以()为准。,<p>A被投资企业的资产总额</p><p>B被投资企业的资产总额与该项投资所占股权比例的乘积和成交金额二者中的较高者</p><p>C成交金额</p><p>D被投资企业的资产总额与该项投资所占股权比例的乘积</p>,4,B,上市公司购买的资产为股权的，其资产总额以被投资企业的资产总额与该项投资所占股权比例的乘积和成交金额二者中的较高者为准，营业收入以被投资企业的营业收入与该项投资所占股权比例的乘积为准，资产净额以被投资企业的净资产额与该项投资所占股权比例的乘积和成交金额二者中的较高者为准；出售的资产为股权的，其资产总额、营业收入以及资产净额分别以被投资企业的资产总额、营业收入以及净资产额与该项投资所占股权比例的乘积为准。,0,0
1,(单选题)上市公司向国务院证券监督管理机构和证券交易所报送的年度报告记载的内容不包括()。,<p>A公司概况</p><p>B公司财务会计报告和经营情况</p><p>C董事、监事、高级管理人员简介及其持股情况</p><p>D已发行的股票、公司债券情况，包括持有公司股份最多的前15名股东的名单和持股数额</p>,4,D,上市公司和公司债券上市交易的公司，应当在每一会计年度结束之日起4个月内，向国务院证券监督管理机构和证券交易所报送记载以下内容的年度报告，并予公告：①公司概况；②公司财务会计报告和经营情况；③董事、监事、高级管理人员简介及其持股情况；④已发行的股票、公司债券情况，包括持有公司股份最多的前10名股东的名单和持股数额；⑤公司的实际控制人；⑥国务院证券监督管理机构规定的其他事项。,0,0
1,(单选题)设立期货公司的注册资本是()。,<p>A认缴资本</p><p>B实缴资本</p><p>C注册资本</p><p>D实收资本</p>,4,B,申请设立期货公司要求注册资本是实缴资本。,0,0
1,(单选题)收购人拟以重组面临严重财务困难的上市公司为理由申请豁免要约收购义务时，不能通过()来判断重组方案是否切实可行。,<p>A重组方案的授权</p><p>B重组方案的批准</p><p>C重组方案的内容</p><p>D重组方案对上市公司的影响</p>,4,C,收购人拟以重组面临严重财务困难的上市公司为理由申请豁免要约收购义务时，关注重组方案是否切实可行，包括以下内容：①重组方案的授权和批准；②重组方案对上市公司的影响。,0,0
1,(单选题)通过证券交易所的证券交易，投资者持有或者通过协议、其他安排与他人共同持有一个上市公司已发行的股份达到()时，继续进行收购的，应当依法向该上市公司所有股东发出收购上市公司全部或者部分股份的要约。,<p>A0.25</p><p>B0.3</p><p>C0.05</p><p>D0.75</p>,4,D,通过证券交易所的证券交易，投资者持有或者通过协议、其他安排与他人共同持有一个上市公司已发行的股份达到75%时，继续进行收购的，应当依法向该上市公司所有股东发出收购上市公司全部或者部分股份的要约。,0,0
1,(单选题)投资主办人从事投资管理活动，应当遵循相关原则，自觉维护所在证券公司及行业的声誉，公平对待客户，保护投资者合法权益。这里的相关原则不包括()。,<p>A诚实守信</p><p>B勤勉尽责</p><p>C独立客观</p><p>D公平公正</p>,4,D,投资主办人从事投资管理活动，应当遵循诚实守信、勤勉尽责、独立客观、专业审慎的原则，自觉维护所在证券公司及行业的声誉，公平对待客户，保护投资者合法权益。,0,0
1,(单选题)下列()不属于融资买人或融券卖出的标的证券为股票应当符合的条件。,<p>A在交易所上市交易满3个月</p><p>B融资买入标的股票的流通股本不少于1亿股或流通市值不低于5亿元，融券卖出标的股票的流通股本不少于2亿股或流通市值不低于8亿元</p><p>C股东人数不少于4000人</p><p>D近3个月内日均换手率不低于基准指数日均换手率的15%</p>,4,D,标的证券为股票的，应当符合下列条件：①在交易所上市交易满3个月；②融资买入标的股票的流通股本不少于1亿股或流通市值不低于5亿元，融券卖出标的股票的流通股本不少于2亿股或流通市值不低于8亿元；③股东人数不少于4000人；④近3个月内日均换手率不低于基准指数日均换手率的20%(试点初期暂不执行)，日均涨跌幅的平均值与基准指数涨跌幅的平均值的偏离值不超过4个百分点，且波动幅度不超过基准指数波动幅度的500%以上；⑤股票发行公司已完成股权分置改革；⑥股票交易未被交易所实行特别处理；⑦交易所规定的其他条件。交易所按照从严到宽、从少到多、逐步扩大的原则，根据融资融券业务试点的进展情况，从满足上述规定的证券范围内审核、选取并确定试点初期标的证券的名单，并向市场公布。,0,0
1,(单选题)下列不属于定向资产管理合同内容的是()。,<p>A风险揭示</p><p>B客户资产的清算返还事宜</p><p>C发放证券</p><p>D当事人的权利和义务</p>,4,C,定向资产管理合同应当包括下列基本事项：①客户资产的种类和数额；②投资范围、投资限制和投资比例；③投资目标和管理期限；④客户资产的管理方式和管理权限；⑤各类风险揭示；⑥资产管理信息的提供及查询方式；⑦当事人的权利与义务；⑧客户所持有证券的权利的行使和义务的履行；⑨管理费、托管费、业绩报酬等费用的支付标准、计算方法、支付方式和支付时间；⑩与资产管理有关的其他费用的提取、支付方式；合同解除、终止的条件、程序及客户资产的清算返还事宜；违约责任和纠纷的解决方式；中国证监会规定的其他事项。,0,0
1,(单选题)下列不属于商品期货的是()。,<p>A贵金属期货</p><p>B能源期货</p><p>C大豆期货</p><p>D股指期货</p>,4,D,商品期货中主要品种可以分为农产品期货、金属期货(包括基础金属与贵金属期货)、能源期货3大类。选项D属于金融期货。,0,0
1,(单选题)下列不属于证券公司开展自营业务应向中国证券监督管理委员会和交易所报送自营业务情况的时间的是()。,<p>A每月</p><p>B每季</p><p>C每半年</p><p>D每年</p>,4,B,根据现行规定，证券公司应每月、每半年、每年向中国证监会和交易所报送自营业务情况，并且每年要向中国证监会、交易所报送年检报告，其中自营业务情况也是主要内容之一。,0,0
1,(单选题)下列不属于中国证监会对有关责任人员采取的禁人措施的是()。,<p>A1至3年的证券市场禁入措施</p><p>B3至5年的证券市场禁人措施</p><p>C5至10年的证券市场禁入措施</p><p>D终身的证券市场禁人措施</p>,4,A,根据《证券市场禁入规定》第5条的规定，中国证监会对有关责任人员可以采取的措施包括：3至5年的证券市场禁入措施；5至10年的证券市场禁入措施；终身的证券市场禁入措施。,0,0
1,(单选题)下列关于询价制度的说法中，错误的是()。,<p>A对在深圳证券交易所中小企业板上市的公司，可以通过初步询价直接定价</p><p>B在主板市场上市的公司规定可以通过初步询价直接定价</p><p>C只有参与初步询价的询价对象才能参与网下申购</p><p>D所有询价对象均可自主选择是否参与初步询价，主承销商不得拒绝询价对象参与初步询价</p>,4,B,《证券发行与承销管理办法》对在深圳证券交易所中小企业板上市的公司，规定可以通过初步询价直接定价，在主板市场上市的公司必须经过初步询价和累计投标询价两个阶段定价，不再强制所有公司都要经过两个询价阶段。,0,0
1,(单选题)下列情形不应立案追诉的是()。,<p>A商业银行运用客户资金40万元</p><p>B证券交易所擅自运用客户资金达50万元</p><p>C信托投资公司挪用客户约定用途的信托财产5万元</p><p>D投资咨询公司擅自运用多个客户资金未达到30万元，但多次擅自运用客户资金</p>,4,C,商业银行、证券交易所、期货交易所、证券公司、期货公司、保险公司或者其他金融机构，违背受托义务，擅自运用客户资金或者其他委托、信托的财产，涉嫌下列情形之一的，应予立案追诉：①擅自运用客户资金或者其他委托、信托的财产数额在30万元以上的；②虽未达到上述数额标准，但多次擅自运用客户资金或者其他委托、信托的财产，或者擅自运用多个客户资金或者其他委托、信托的财产的；③其他情节严重的情形。,0,0
1,(单选题)下列说法错误的是()。,<p>A证券服务机构从业人员对证券交易中发现的禁止的交易行为，应当及时向证券监督机构报告</p><p>B国有企业和国有资产控股的企业买卖上市交易的股票，必须遵守国家有关规定</p><p>C特殊情况下，法人可以出借自己或者他人的证券账户</p><p>D任何人都不得挪用公款买卖证券</p>,4,C,我国《证券法》规定：①禁止法人非法利用他人账户从事证券交易；禁止法人出借自己或者他人的证券账户；②依法拓宽资金入市渠道，禁止资金违规流入股市；③禁止任何人挪用公款买卖证券；④国有企业和国有资产控股的企业买卖上市交易的股票，必须遵守国家有关规定；⑤证券交易所、证券公司、证券登记结算机构、证券服务机构及其从业人员对证券交易中发现的禁止的交易行为，应当及时向证券监督管理机构报告。,0,0
1,(单选题)下列说法错误的是()。,<p>A证券公司与证券经纪人之间的法律关系是委托代理关系</p><p>B证券经纪人是自然人</p><p>C证券经纪人可以是证券公司的代理人也可以是员工或居间人</p><p>D证券经纪人应根据证券公司的授权开展范围内客户招揽和客户服务等活动</p>,4,C,证券经纪人，是指接受证券公司的委托，代理其从事客户招揽和客户服务等活动的证券公司以外的自然人。这一界定有3层含义：①证券公司与证券经纪人之间的法律关系是委托代理关系，证券经纪人应根据证券公司的授权开展范围内客户招揽和客户服务等活动，在授权范围内的行为，由证券公司依法承担相应的法律责任，超出授权范围的行为，证券经纪人应当依法承担相应的法律责任；②证券经纪人是自然人，不能是机构或团体；③证券经纪人只能是证券公司的代理人而不能是员工或居间人，证券公司委托公司以外的自然人从事客户招揽和客户服务等活动，只能采取证券经纪人的形式，不能采取居间人等其他形式。,0,0
1,(单选题)下列说法错误的是()。,<p>A经政府或者国有资产管理部门批准进行国有资产无偿划转、变更、合并，导致投资者在一个上市公司中拥有权益的股份占该公司已发行股份的比例超过60%</p><p>B在一个上市公司中拥有权益的股份达到或者超过该公司已发行股份的30%的，自相关事实发生之日起1年后，每12个月内增持该公司中拥有权益的股份不超过该公司已发行股份的30%</p><p>C在一个上市公司中拥有权益的股份达到或者超过该公司已发行股份的50%的，继续增加其在该公司拥有的权益不影响该公司的上市地位</p><p>D因上市公司按照股东大会批准的确定价格向特定股东回购股份而减少股本，导致当事人在该公司中拥有权益的股份超过该公司已发行股份的30%</p>,4,A,经政府或者国有资产管理部门批准进行国有资产无偿划转、变更、合并，导致投资者在一个上市公司中拥有权益的股份占该公司已发行股份的比例超过30%，故选项A表述错误。,0,0
1,(单选题)下列说法正确的是()。,<p>A公司股东会、股东大会或者董事会就解聘会计师事务所进行表决时，应当允许会计师事务所陈述意见</p><p>B公司对涉及公司机密的会计信息，不得向聘用的会计师事务所提供相关的会计账簿和凭证</p><p>C公司除法定的会计账簿外，也可以另立会计账簿</p><p>D公司资产可以公司负责人名义开立账户储存</p>,4,A,公司应当向聘用的会计师事务所提供真实、完整的会计凭证、会计账簿、财务会计报告及其他会计资料，不得拒绝、隐匿、谎报，故选项B说法错误。公司除法定的会计账簿外，不得另立会计账簿，故选项C说法错误。对公司资产，不得以任何个人名义开立账户存储，故选项D说法错误。,0,0
1,(单选题)下列选项中，()不属于规范证券业从业人员执业行为的法律法规。,<p>A《中华人民共和国证券法》</p><p>B《中华人民共和国证券投资基金法》</p><p>C《证券公司监督管理条例》</p><p>D《中华人民共和国公司法》</p>,4,D,规范证券业从业人员执业行为的法律法规包括《中华人民共和国证券法》《中华人民共和国证券投资基金法》《证券公司监督管理条例》等。,0,0
1,(单选题)向特定对象发行证券累计超过()人的，属于公开发行证券。,<p>A50</p><p>B100</p><p>C150</p><p>D200</p>,4,D,向特定对象发行证券累计超过200人的为公开发行。,0,0
1,(单选题)以下关于内幕交易表述错误的是()。,<p>A该行为尚未违反法律法规</p><p>B该行为损害了投资者和上市公司的合法权益</p><p>C上市公司并购重组是内幕交易的高发领域</p><p>D内幕交易指上市公司高管人员、控股股东等方面的知情人员，利用工作之便，在公司并购、业绩增长等重大信息发布之前，泄露信息或者利用内幕信息买卖证券牟取私利的行为</p>,4,A,内幕交易行为严重违反了法律法规，损害投资者和上市公司合法权益，故选项A说法错误。,0,0
1,(单选题)有限责任公司股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表()以上表决权的股东通过。,<p>A3分之1</p><p>B3分之2</p><p>C2分之1</p><p>D5分之1</p>,4,B,有限责任公司股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表2／3以上表决权的股东通过。,0,0
1,(单选题)在上市公司收购中，收购人持有的被收购的上市公司的股票，在收购行为完成后的()个月内不得转让。,<p>A12</p><p>B18</p><p>C24</p><p>D36</p>,4,A,在上市公司收购中，收购人持有的被收购的上市公司的股票，在收购行为完成后的12个月内不得转让。,0,0
1,(单选题)证券从业人员禁止的行为是()。,<p>A接受投资人和客户的委托，提供证券投资咨询服务</p><p>B以获取投机利益为目的，利用职务之便从事证券买卖活动</p><p>C接受客户委托，按规定的标准收取各项费用</p><p>D举办有关证券投资咨询服务的讲座、报告会、分析会</p>,4,B,证券从业人员禁止性行为包括：①不得以获取投机利益为目的，利用职务之便从事证券买卖活动；②不得向客户提供证券价格上涨或下跌的肯定性意见；③不得与发行公司或相关人员之间有获取不当利益的约定；④不得劝诱客户参与证券交易；⑤不得接受分享利益的委托；⑥不得向客户保证收益；⑦不得接受客户对买卖证券的种类、数量、价格及买进或卖出的全权委托；⑧不得为达到排除竞争的目的，不正当地运用自己在交易中的优越地位限制某一客户的业务活动。,0,0
1,(单选题)证券公司、资金托管机构为集合资产管理计划单独开立的资金账户名称应当是()。,<p>A集合资产管理计划名称</p><p>B证券公司名称</p><p>C资产托管机构名称</p><p>D证券账户名称</p>,4,A,证券公司、资产托管机构应当为集合资产管理计划单独开立证券账户和资金账户。资金账户名称应当是集合资产管理计划名称。,0,0
1,(单选题)证券公司股东的非货币财产出资总额不得超过证券公司注册资本的()。,<p>A0.1</p><p>B0.15</p><p>C0.3</p><p>D0.5</p>,4,C,证券公司股东的非货币财产出资总额不得超过证券公司注册资本的30%。,0,0
1,(单选题)证券公司实施重整的，重整计划涉及()事项时，无须报经中国证监会批准。,<p>A变更业务范围</p><p>B变更主要董事会会员</p><p>C变更公司形式</p><p>D公司合并、分立</p>,4,B,证券公司实施重整的，重整计划涉及需要中国证监会批准事项的，如变更业务范围、主要股东、公司形式，公司合并、分立等，应当报经中国证监会批准。,0,0
1,(单选题)证券公司应当依法向社会公开披露的信息不包括()。,<p>A参股及控股情况</p><p>B负债及或有负债情况</p><p>C经营管理状况</p><p>D员工薪酬</p>,4,D,证券公司应当依法向社会公开披露其基本情况、参股及控股情况、负债及或有负债情况、经营管理状况、财务收支状况、高级管理人员薪酬和其他有关信息。具体办法由国务院证券监督管理机构制定。,0,0
1,(单选题)证券监管机构对证券公司的业务活动、财务状况、经营管理情况进行检查时，有权采取的措施不包括()。,<p>A询问证券公司的董事、监事、工作人员，要求其就有关检查事项作出说明</p><p>B进入证券公司营业场所检查</p><p>C封存所有与检查事项相关的文件、资料</p><p>D检查证券公司计算机信息管理系统复制有关资料</p>,4,C,证券监管机构有权采取下列措施，对证券公司的业务活动、财务状况、经营管理情况进行检查：①询问证券公司的董事、监事、工作人员，要求其对有关检查事项作出说明；②进入证券公司的办公场所或者营业场所进行检查；③查阅、复制与检查事项有关的文件、资料，对可能被转移、隐匿或者毁损的文件、资料、电子设备予以封存；④检查证券公司的计算机信息管理系统，复制有关数据资料。,0,0
1,(单选题)证券金融公司融出的每种证券余额不得超过该证券上市可流通市值的()。,<p>A0.1</p><p>B0.15</p><p>C0.5</p><p>D1</p>,4,A,证券金融公司融出的每种证券余额不得超过该证券上市可流通市值的10%。,0,0
1,(单选题)直投子公司及其下属机构、直投基金在有效控制风险、保持()的前提下，可以以现金管理为目的，将闲置资金投资于依法公开发行的国债、央行票据、投资级公司债、货币市场基金及保本型银行理财产品等风险较低、流动性较强的证券，以及证券投资基金、集合资产管理计划或专项资产管理计划。,<p>A收益性</p><p>B流动性</p><p>C偿还性</p><p>D返还性</p>,4,B,直投子公司及其下属机构、直投基金在有效控制风险、保持流动性的前提下，可以以现金管理为目的，将闲置资金投资于依法公开发行的国债、央行票据、投资级公司债、货币市场基金及保本型银行理财产品等风险较低、流动性较强的证券，以及证券投资基金、集合资产管理计划或专项资产管理计划。,0,0
1,(单选题)子公司为母公司担保要经过子公司()决议。,<p>A董事会</p><p>B监事会</p><p>C理事会</p><p>D股东会</p>,4,D,子公司为母公司担保属于公司为自己的股东担保，要经过子公司的股东会决议。,0,0
1,"(单选题)()及其直接负责的主管人员和其他直接责任人员有失诚信、违反法律、行政法规或者《证券发行与承销管理办法》规定的,中国证监会可以视情节轻重采取责令改正、监管谈话,出具警示函、责令公开说明、认定为不适当人选等监管措施,并记入诚信档案Ⅰ.发行人Ⅱ.证券公司Ⅲ.证券服务机构Ⅳ.投资者",<p>AⅠ.Ⅱ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,"发行人、证券公司、证券服务机构、投资者及其直接负责的主管人员和其他直接责任人员有失诚信、违反法律、行政法规或者《证券发行与承销管理办法》规定的,中国证监会可以视情节轻重采取责令改正、监管谈话、出具警示函、责令公开说明、认定为不适当人选等监管措施,并记入诚信档案。",0,0
1,"(单选题)《中华人民共和国公司法》规定,公司向其他企业投资或者为他人提供担保,依照公司章程的规定,由()决议；公司章程对投资或者担保总额及单项投资或者担保的数额有限额规定的,不得超过规定的限额。Ⅰ.监事会Ⅱ.理事会Ⅲ.董事会或股东大会Ⅳ.股东大会或股东会",<p>AⅠ.Ⅱ</p><p>BⅢ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,"《中华人民共和国公司法》规定,公司向其他企业投资或者为他人提供担保,依照公司宣程的规定,由董事会或者股东会、股东大会决议；公司章程对投资或者担保总额及单项投资或者担保的数额有限额规定的,不得超过规定的限额。",0,0
1,"(单选题)财务顾问应当采取有效方式对新进入上市公司的()进行证券市场规范化运作的辅导,并对辅导结果进行验收,将验收结果存档。Ⅰ.董事Ⅱ.高级管理人员Ⅲ.控股股东Ⅳ.基层员工",<p>AⅡ.Ⅲ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,C,"财务顾问应当采取有效方式对新进入上市公司的董事、监事和高级管理人员、控股股东和实际控制人的主要负责人进行证券市场规范化运作的辅导,并指导结果进行验收,将验收结果存档。",0,0
1,(单选题)财务顾问主办人应当具备的条件包括()Ⅰ.最近24个月无违反诚信的不良记录Ⅱ.最近24个月未因执业行为违反行业规范而受到行业自律组织的纪律处分Ⅲ.最近36个月未因执业行为违法违规受到处罚Ⅳ.最近48个月未因执业行为违法违规受到处罚,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,财务顾问主办人应当具备的条件编辑知识点批量1.具有证券业从业资格。2.具备中国证监会规定的投资银行业务经历。1.参加中国证监会认可的财务顾问主办人胜任能力考试且成绩合格。今所任职机构同意推荐其担任本机构的财务顾问主办人。5.未负有数额较大到期未清偿的债务。6.最近24个月无违反诚信的不良记录。7.最近24个月未因执业行为违反行业规范而受到行业自律组织的纪律处分。8.最近36个月未因执业行为违法违规受到处罚9.中国证监会规定的其他条件。,0,0
1,"(单选题)当证券账户注册资料中的自然人姓名或机构名称、有效身份证明文件号码或中国结算公司要求的()情形发生变化时,账户持有人应及时办理注册资料变更手续。Ⅰ.自然人申请变更Ⅱ.法人申请变更Ⅲ.合伙企业申请变更Ⅳ.创业投资企业申请变更",<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅢ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,"当证券账户注册资料中的自然人控名或机构名称、有效身份证明文件号码或中国结算公司要求的冥他情形之一发生变化时,账户持有人应及时办理注册资料变更手续;(1)自然人申请变更。(2)法人申请变更。(3)合伙企业、创业投资企业申请变更。(4)经办人查验申请人所提供资料的实性、有效性、完整性及一致性,在申请表单上签章将所有资料交复核员实时复核。(5)复核员实时复核并在申请表单上签章后,将资料交还经办人；经办人将有效身份证明原件交还客户,其余资料留存。(6)收市后经办人将客户留存资料归入客户资料档案留存。(7)客户证券账户卡、授权委托书、发证机关出具的变更证明等原件及有效身份证明复印件寄送中国结算公司审核。",0,0
1,(单选题)定向资产管理合同中至少包括()。Ⅰ.客户资产的管理方式和管理权限Ⅱ.各类风险揭示Ⅲ.当事人的权利和义务Ⅳ.客户资产的清算返还事宜,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,A,"考察定向资产管理合同包括的基本事项,以上各项都是。",0,0
