1,(单选题)北平证券交易所作为中国人自己创办的第一家证券交易所，创办于( )年。,<p>A1918</p><p>B1920</p><p>C1914</p><p>D1872</p>,4,A,北平证券交易所作为中国人自己创办的第一家证券交易所，创办于1918年。,0,0
1,(单选题)我国《公司法》规定，公司分配当年税后利润时，应当提取利润的( )列入公司法定公积金。,<p>A0.1</p><p>B0.15</p><p>C0.2</p><p>D0.5</p>,4,A,我国《公司法》规定，公司分配当年税后利润时，应当提取利润的10%列入公司法定公积金。,0,0
1,(单选题)《中华人民共和国刑法》规定，以自己为交易对象，自买自卖期货合约，影响证券交易价格或者证券交 易量的，给予的处罚是（）。,<p>A处5年以下有期徒刑或者拘役，并处或者单处罚金；情节特别严重的，处5年以上10年以下有期徒刑， 并处罚金</p><p>B处5年以下有期徒刑或者拘役，并处或者单处1万元以上10万元以下罚金</p><p>C处5年以上10年以下有期徒刑，并处2万元以上20万元以下罚金</p><p>D处3年以上10年以下有期徒刑，并处5万元以上50万元以下罚金</p>,4,A,题中的行为属于操纵证券市场的行为，根据《中华人民共和国刑法》第一百八十二条的规定，犯操纵 证券市场罪，情节严重的，处5年以下有期徒刑或者拘役，并处或者单处罚金；情节特别严重的，处5 年以上10年以下有期徒刑，并处罚金。,0,0
1,(单选题)储蓄国债（电子式）是指财政部面向境内中国公民储蓄类资金发行的，以电子方式记录债权的( )的人民币 债券。,<p>A不可流通</p><p>B可流通</p><p>C可转让</p><p>D不可免税</p>,4,A,考察储蓄国债。,0,0
1,(单选题)证券公司选择客户时，要求客户在申请开展融资融券业务的证券公司所属营业部开设普通证券账户并从 事交易满( )年以上。,<p>A半</p><p>B1</p><p>C2</p><p>D3</p>,4,A,证券公司选择客户时，要求客户在申请开展融资融券业务的证券公司所属营业部开设普通证券账户并 从事交易满半年以上（试点初期一般要求满18个月以上）。,0,0
1,(单选题)同时申请从事证券和期货投资咨询业务的机构，要求有( )名以上取得证券、期货投资咨询从业资格的专职 人员。,<p>A5名</p><p>B8名</p><p>C10名</p><p>D15名</p>,4,C,同时申请从事证券和期货投资咨询业务的机构，要求有10名以上取得证券、期货投资咨询从业资格的 专职人员。,0,0
1,(单选题)收购人公告要约收购报告书摘要后( )日内未能发出要约的，财务顾问应当督促收购人立即公告未能如期发 出要约的原因及中国证券监督管理委员会提出的反馈意见。,<p>A5</p><p>B10</p><p>C15</p><p>D30</p>,4,C,收购人公告要约收购报告书摘要后15日内未能发出要约的，财务顾问应当督促收购人立即公告未能如 期发出要约的原因及中国证券监督管理委员会提出的反馈意见。,0,0
1,(单选题)向不特定对象公开发行的证券票面总值超过人民币( )万元的，应当由承销团承销。,<p>A3000</p><p>B4000</p><p>C5000</p><p>D6000</p>,4,C,《中华人民共和国证券法》第三十二条规定，向不特定对象公开发行的证券票面总值超过人民币5000 万元的，应当由承销团承销。承销团应当由主承销和参与承销的证券公司组成。,0,0
1,(单选题)我国股份有限公司申请股票上市必须符合的条件之一是，向社会公开发行的股份达到公司股份总数的( )以 上，公司股本总额超过人民币四亿元的，公开发行股份的比例为( )以上。,"<p>A25%, 10%</p><p>B35%, 10%</p><p>C30%. 15%</p><p>D25%, 15%</p>",4,A,考察股份有限公司申请股票上市的条件。,0,0
1,(单选题)证券公司应当有( )名以上在证券业担任高级管理人员满两年的高级管理人员。,<p>A2</p><p>B3</p><p>C5</p><p>D10</p>,4,B,证券公司应当有3名以上在证券业担任高级管理人员满2年的高级管理人员。,0,0
1,(单选题)根据《货币市场基金管理暂行办法》的规定，目前我国货币市场基金不能投资的金融工具是( )。,<p>A1年以内(含l年)的银行定期存款、大额存单</p><p>B剩余期限在450天以内（含450天）的债券</p><p>C期限在1年以内（含1年）的债券回购</p><p>D剩余期限在397天以内（含397天）的资产支持证券</p>,4,B,剩余期限在397天以内(含397天)的债券才是目前我国货币市场基金能投资的金融工具之一。,0,0
1,(单选题)2007年以来发生的全球性金融危机当中，导致大量金融机构陷入危机的最重要一类衍生金融产品是( )。,<p>AADR</p><p>BCDOs</p><p>CCDS</p><p>DABS</p>,4,C,2007年以来发生的全球性金融危机当中，导致大量金融机构陷入危机的最重要一类衍生金融产品是信 用违约互换(CDS)。,0,0
1,(单选题)( )的颂布实施标志着我国公司债券发行工作正式启动，使我国证券市场有了真正意义上的公司债券。,<p>A《公司债发行试点办法》</p><p>B《公司债发行管理办法》</p><p>C《证券法》</p><p>D《企业债发行试点办法》</p>,4,A,《公司债发行试点办法》的颂布实施标志着我国公司债券发行工作正式启动，使我国证券市场有了真 正意义上的公司债券。,0,0
1,(单选题)下列关于证券公司申请融资融券业务试点业务规则的说法中，错误的是()。,<p>A客户融资买入或者融券卖出的证券预定终止交易，且最后交易日在融资融券债务到期日之前的，融资 融券的期限是最后交易日前的第10个交易日</p><p>B证券公司以自己的名义在证券登记结算机构分别开立融券专用证券账户、客户信用交易担保证券账 户、信用交易证券交收账户和信用交易资金交收账户</p><p>C证券公司以自己的名义在商业银行分别开立融资专用资金账户和客户信用交易担保资金账户</p><p>D证券公司向客户融资，只能使用融资专用资金账户内的资金；向客户融券，只能使用融券专用证券账 户内的证券 </p>,4,A,客户融资买入或者融券卖出的证券预定终止交易，且最后交易日在融资融券债务到期日之前的，融资 融券的期限缩短至最后交易日的前一交易日。融资融券合同另有约定的，从其约定。,0,0
1,(单选题)通常来讲，资产证券化基本运作程序的首要步骤是()。,<p>A组建特设信托机构，实现真实出售，达到破产隔离</p><p>B完善交易结构，进行信用增级</p><p>C资产证券化的信用评级</p><p>D重组现金流，构造证券化资产</p>,4,D,通常来讲，资产证券化的基本运作程序主要有以下几个步骤：(1)重组现金流，构造证券化资产。(2)组 建特设信托机构，实现真实出售，达到破产隔离。(3)完善交易结构，进行信用增级。(4)资产证券化的 信用评级。(5)安排证券销售，向发起人支付。(6)挂牌上市交易及到期支付。故本题选D；,0,0
1,(单选题)个人申请保荐代表人资格，应当具备的条件不包括()。,<p>A诚实守信，品行良好，无不良诚信记录</p><p>B最近3年内在境内证券发行项目中担任过项目协办人</p><p>C最近2年未受到中国证监会的行政处罚</p><p>D未负有数额较大到期未清偿的债务</p>,4,C,个人申请保荐代表人资格，应当具备下列条件：(1)具备3年以上保荐相关业务经历。(2)最近3年内在境内证券发行项目中担任过项目协办人。(3)参加中国证监会认可的保荐代表人胜任能力考试且成绩合格 有效。(4)诚实守信，品行良好，无不良诚信记录，最近3年未受到中国证监会的行政处罚。(5)未负有 数额较大到期未清偿的债务。(6)中国证监会规定的其他条件。,0,0
1,(单选题)从2002年5月1日开始，（）的交易佣金实行最高上限向下浮动制度。 Ⅰ.A股 Ⅱ.B股 Ⅲ.权证 Ⅳ.证券投资基金,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,A,从2002年5月1日开始，A股、B股、证券投资基金的交易佣金实行最高上限向下浮动制度。,0,0
1,(单选题)下列属于证券自营业务特点的是（）。 Ⅰ.风险性 Ⅱ.收益性 Ⅲ.保密性 Ⅳ.被动性,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ</p>,4,C,证券自营业务的特点包括自主性、风险性、收益性、专业性、保密性。,0,0
1,(单选题)以下几种基金，适宜长期投资的是（）。 Ⅰ.货币市场基金 Ⅱ.股票基金 Ⅲ.债券基金 Ⅳ.混合基金,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,A,与其他类型基金相比，货币市场基金具有风险低、流动性好的特点。货币市场基金是厌恶风险、对资 产流动性和安全性要求较高的投资者进行短期投资的理想工具，或是暂时存放现金的理想场所。需要 注意的是，货币市场基金的长期收益率较低，并不适合长期投资。,0,0
1,(单选题)以下关于封闭式基金的陈述，正确的是（）。 Ⅰ.市场价格低于份额净值时，为折价交易 Ⅱ.市场价格高于份额净值时，为溢价交易 Ⅲ.价格与净值同比例下降时，折价率也下降 Ⅳ.折价率反映了基金份额净值与二级市场价格之间的关系,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,C,有时折价率会继续攀升，在弱市时更有可能出现价格与份额净值同步下降的情形。,0,0
1,(单选题)依据《证券投资基金法》的规定，中国证监会依法履行职责，有权采取的监管措施包括（）。 Ⅰ.调查取证 Ⅱ.刑事处罚 Ⅲ.限制交易 Ⅳ.行政处罚,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,依据《证券投资基金法》的规定，中国证监会依法履行职责，有权采取下列监管措施：①检查；②调 查取证；③限制交易；④行政处罚。,0,0
1,(单选题)下列选项中，属于衍生金融工具的是（）。 Ⅰ.远期合约 Ⅱ.期货合约 Ⅲ.股票 Ⅳ.互换协议,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,C,衍生金融工具包括远期合约、期货合约、期权合约、互换协议等，其种类仍在不断增加。衍生金融工 具在金融交易中具有套期保值、防范风险的作用。,0,0
1,(单选题)下列关于证券公司从事证券经纪业务的说法中，正确的是（）。 Ⅰ.应当客观说明公司业务资格、服务职责、范围等情况 Ⅱ.不得提供虚假、误导性信息 Ⅲ.不得采取不正当竞争手段开展业务 Ⅳ.按照风险分散的原则指导投资者参与证券交易活动,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,证券公司从事证券经纪业务，应当客观说明公司业务资格、服务职责、范围等情况，不得提供虚假、 误导性信息，不得采取不正当竞争手段开展业务，不得诱导无投资意愿或者无风险承受能力的投资者 参与证券交易活动。,0,0
1,(单选题)下列关于中间介绍业务禁止行为的说法中，正确的是（）。 Ⅰ.证券公司可以直接或者间接为客户从事期货交易提供融资或者担保 Ⅱ.期货、现货市场行情发生重大变化或者客户可能出现风险时，证券公司及其营业部可以协助期货公司 向客户提示风险 Ⅲ.证券公司应当协助维护期货交易系统的稳定运行，保证期货交易数据传送的安全和独立Ⅳ.证券公司应 当在营业场所妥善保存有关介绍业务的凭证、单据、账簿、报表、合同、数据信息等资料,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,证券公司不得直接或者，间接为客户从事期货交易提供融资或者担保，I项说法错误。,0,0
1,(单选题)证券投资者保护基金公司的职责包括（）。 Ⅰ. 筹集、管理和运作基金 Ⅱ. 依法制定从事证券业务人员的资格标准和行为准则，并监督实施 Ⅲ. 监测证券公司风险，参与证券公司风险处置工作 Ⅳ. 组织、参与被撤销、关闭或破产证券公司的清算工作,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅢ.Ⅳ</p>,4,B,证券投资者保护基金公司的职责包括：(1)筹集、管理和运作基金。(2)监测证券公司风险，参与证券公 司风险处置工作。(3)证券公司被撤销、关闭和破产或被中国证监会实施行政接管、托管经营等强制性 监管措施时，按照国家有关政策规定对债权人予以偿付。(4)组织、参与被撤销、关闭或破产证券公司 的清算工作。(5)管理和处分受偿资产，维护基金权益。(6)发现证券公司经营管理中出现可能危及投资 者利益和证券市场安全的重大风险时，向中国证监会提出监管、处置建议；对证券公司运营中存在的 风险隐患会同有关部门建立纠正机制。(7)国务院,0,0
1,(单选题)下列人员属于A上市公司证券交易内幕信息知情人的有（）。 Ⅰ.公司的董事甲某 Ⅱ.持有A公司10%股份的股东B公司的普通员工乙某 Ⅲ.A公司的实际控制人丙某 Ⅳ.为A公司本次交易涉及的资产进行评估的注册评估师丁某,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,C,《中华人民共和国证券法》第七十四条规定，证券交易内幕信息的知情人包括：发行人的董事、监 事、高级管理人员；持有公司百分之五以上股份的股东及其董事、监事、高级管理人员，公司的实际 控制人及其董事、监事、高级管理人员；发行人控股的公司及其董事、监事、高级管理人员；由于所 任公司职务可以获取公司有关内幕信息的人员；证券监督管理机构工作人员以及由于法定职责对证券 的发行、交易进行管理的其他人员；保荐人、承销的证券公司、证券交易所、证券登记结算机构、证 券服务机构的有关人员；国务院证券监督管理机构规定的其他人。,0,0
1,(单选题)财务顾问及其财务顾问主办人应当严格履行保密责任，不得利用职务之便买卖相关上市公司的证券或者 牟取其他不当利益，并应当督促（）严格保密，不得进行内幕交易。 Ⅰ.委托人的高级管理人员 Ⅱ.委托人的董事 Ⅲ.委托人的监事 Ⅳ.委托人,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,财务顾问及其财务顾问主办人应当严格履行保密责任，不得利用职务之便买卖相关上市公司的证券或 者牟取其他不当利益，并应当督促委托人、委托人的董事、监事和高级管理人员及其他内幕信息知情 人严格保密，不得进行内幕交易。,0,0
1,(单选题)下列关于证券发行的描述中，正确的是（）。 Ⅰ.未经依法核准，任何单位和个人不得公开发行证券 Ⅱ.向不特定对象发行证券属于公开发行 Ⅲ.向累计超过200人的特定对象发行证券属于公开发行 Ⅳ.公开发行证券，不得采用广告、公开劝诱和变相公开方式,<p>AⅠ．Ⅱ．Ⅲ</p><p>BⅠ．Ⅱ．Ⅳ</p><p>CⅠ．Ⅲ．Ⅳ</p><p>DⅠ．Ⅱ．Ⅲ．Ⅳ</p>,4,A,有下列情形之一的，为公开发行：(1)向不特定对象发行证券。(2)向累计超过200人的特定对象发行证 券。(3)法律、行政法规规定的其他发行行为。非公开发行证券，不得采用广告、公开劝诱和变相公开 方式。,0,0
1,(单选题)下列有关ETF申购赎回原则的表述，正确的是（）。 Ⅰ.场外申购赎回ETF的申购对价和赎回对价包括组合证券、现金替代、现金差额及其他对价 Ⅱ.场内申购和赎回ETF采用份额申购、份额赎回的方式 Ⅲ.场外申购赎回采用现金申购、份额赎回的方式 Ⅳ.申购和赎回申请提交后可以撤销,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,D,申购和赎回申请后提交后不得撤销.,0,0
1,(单选题)关于基金份额认购的收费模式的表述，不正确的是（）。 Ⅰ.存在前端收费和后端收费两种模式 Ⅱ.后端收费模式是指在认购基金份额时就支付费用 Ⅲ.前端收费模式是指在认购基金份额时不收费 Ⅳ.前端收费的认购费率一般会随着基金持有时间的延长而递减,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,前端收费是指认购基金份额时就支付认购费用的付费模式；后端收费是指在认购基金份额时不收费， 在赎回基金份额时才支付认购费用的收费模式。后端收费的认购费率一般设计为随着基金份额持有时 间的延长而递减，持有至一段时间后费率可降为零。,0,0
1,(单选题)基金净值公告的主要内容包括（）。 Ⅰ.份额累计净值 Ⅱ.份额净值 Ⅲ.基金净值增长率 Ⅳ.基金资产净值,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,D,普通基金净值公告主要包括基金资产净值、份额净值和份额累计净值等信息。,0,0
1,(单选题)下列关于擅自公开或者变相公开发行证券的说法中，正确的是（）。 Ⅰ.对擅自公开或者变相公开发行证券设立的公司，由依法履行监督管理职责的机构或者部门会同县级以 上地方人民政府予以取缔Ⅱ.未经法定机关核准，擅自公开或者变相公开发行证券的，责令停止发行，退还所募资金并加-算银行同 期存款利息，处以非法所募资金金额1%以上3%以下的罚款 Ⅲ.未经法定机关核准，擅自公开或者变相公开发行证券的，责令停止发行，退还所募资金并加算银行同 期存款利息，处以非法所募资金金额1%以上5%以下的罚款 Ⅳ.对直接负责的主管人员和其他,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,未经法定机关核准，擅自公开或者变相公开发行证券的，责令停止发行，退还所募资金并加算银行同 期存款利息，处以非法所募资金金额1%以上5%以下的罚款。,0,0
