1,(单选题)深证成份股指数由( )家有代表性的上市公司作为成分股。,<p>A15</p><p>B20</p><p>C35</p><p>D40</p>,4,D,深证成份股指数由40家有代表性的上市公司作为成分股。,0,0
1,(单选题)证券公司为单一客户办理定向资产管理业务，应当与客户签订定向资产管理合同，通过( )的账户为客户提 供资产管理服务。,<p>A客户</p><p>B证券公司</p><p>C客户的配偶</p><p>D其他证券公司 </p>,4,A,证券公司为单一客户办理定向资产管理业务，应当与客户签订定向资产管理合同，通过该客户的账户 为客户提供资产管理服务。,0,0
1,(单选题)由于公司融资不当而导致投资者预期收益下降的风险属于( )。,<p>A经营风险</p><p>B违约风险</p><p>C财务风险</p><p>D政策风险</p>,4,C,财务风险是指公司财务结构不合理、融资不当而导致投资者预期收益下降的风险。,0,0
1,(单选题)自20世纪80年代初以来，西方国家掀起了一场以( )为主要目标的金融自由化运动。,<p>A金融机构的去杠杆化</p><p>B放松金融管制</p><p>C金融监管的改革</p><p>D金融创新</p>,4,B,自20世纪80年代初以来，西方国家掀起了一场以放松金融管制为主要目标的金融自由化运动。,0,0
1,(单选题)《中华人民共和国公司法》规定，全体股东的货币出资金额不得低于有限责任公司注册资本的( )。,<p>A0.6</p><p>B0.5</p><p>C0.4</p><p>D0.3</p>,4,D,《中华人民共和国公司法》规定，全体股东的货币出资金额不得低于有限责任公司注册资本的30%。,0,0
1,(单选题)按照《证券公司代销金融产品管理规定》，证券公司对委托人进行资格审查应当在( )。,<p>A接受代销金融产品的委托后</p><p>B接受代销金融产品的委托前</p><p>C向客户推荐金融产品</p><p>D为客户提供产品咨询服务</p>,4,B,接受代销金融产品的委托前，证券公司应当对委托人进行资格审查，经审查，确认委托人依法设立并 可以发行金融产品后，方可接受其委托。,0,0
1,(单选题)基金托管费通常按( )的一定比率提取。,<p>A基金资产总值</p><p>B基金资产净值</p><p>C基金份额净值</p><p>D以上都不对</p>,4,B,基金管理人负责基金的具体投资决策和日常管理。,0,0
1,(单选题)如果市场是有效的，则债券的平均利率和股票的平均收益率( )。,<p>A会大体保持相对稳定的关系</p><p>B不相关</p><p>C相等</p><p>D不相等</p>,4,A,如果市场是有效的，则债券的平均利率和股票的平均收益率会大体保持相对稳定的关系。,0,0
1,(单选题)( )依法对证券市场实行监督管理，维护证券市场秩序，保障其合法运行。,<p>A国务院证券监督管理机构</p><p>B证券交易所</p><p>C证券业协会</p><p>D国务院</p>,4,A,国务院证券监督管理机构依法对证券市场实行监督管理，维护证券市场秩序，保障其合法运行。,0,0
1,(单选题)在各种基金中，一般来讲管理费率最低的是( )。,<p>A股票型基金</p><p>B债券型基金</p><p>C货币市场基金</p><p>D混合型基金</p>,4,C,在各种基金中，风险越小管理费率越低，因此一般来讲管理费率最低的是货币市场基金。,0,0
1,(单选题)证券公司的实际控制人是指能够在法律上或事实上支配证券公司股东行使( )的法人、其他组织或个人。,<p>A股东权利</p><p>B股东义务</p><p>C管理者权利</p><p>D股权激励</p>,4,A,实际控制人，是指能够在法律上或事实上支配证券公司股东行使股东权利的法人、其他组织或个人。,0,0
1,(单选题)客户应当向期货公司登记以本人名义开立的用于存取保证金的( )账户。,<p>A个人</p><p>B期货交易</p><p>C期货结算</p><p>D期货保证金</p>,4,C,客户应当向期货公司登记以本人名义开立的用于存取保证金的期货结算账户。,0,0
1,(单选题)股息当年结清、不能累积发放的优先股票称为( )。,<p>A非累积优先股</p><p>B累积优先股</p><p>C参与优先股</p><p>D非参与优先股</p>,4,A,这是非累积优先股的定义。,0,0
1,(单选题)对证券公司经营管理行为的合法合规性进行审查、监督或者检查的是( )。,<p>A独立董事</p><p>B董事会秘书</p><p>C董事会执行委员会</p><p>D合规负责人 </p>,4,D,证券公司设合规负责人，对证券公司经营管理行为的合法合规性进行审查、监督或者检查。,0,0
1,(单选题)财务顾问从事上市公司并购重组财务顾问业务，应当公平竞争，按照业务复杂程度及所承担的责任和风 险与委托人商议财务顾问报酬，不得以明显( )行业水平等不正当竞争手段招揽业务。,<p>A低于</p><p>B等于</p><p>C高于</p><p>D大于</p>,4,A,财务顾问从事上市公司并购重组财务顾问业务，应当公平竞争，按照业务复杂程度及所承担的责任和 风险与委托人商议财务顾问报酬，不得以明显低于行业水平等不正当竞争手段招揽业务。,0,0
1,(单选题)上市公司或其关联公司持有证券经营机构( )以上的股份时，该证券经营机构不得自营买卖该上市公司股 票。,<p>A0.05</p><p>B0.1</p><p>C0.2</p><p>D0.5</p>,4,B,上市公司或其关联公司持有证：券经营机构10%以上的股份时，该证券经营机构不得自营买卖该上市 公司股票。,0,0
1,(单选题)指数基金的收益与追踪的当期股票价格指数的变动( )。,<p>A成正比</p><p>B成反比</p><p>C无关</p><p>D无法判断</p>,4,A,指数基金的收益随着即期的价格指数上下波动，当价格指数上升时，基金收益增加；反之，收益减少。,0,0
1,(单选题)委托人在受托人按其委托要求成交后，必须如期履行( )手续，否则即为违约。,<p>A变更</p><p>B交割</p><p>C转账</p><p>D托管</p>,4,B,委托人在受托人按其委托要求成交后，必须如期履行交割手续，否则即为违约。这是委托人须要承担 的义务。,0,0
1,(单选题)根据我国政府对WTO的承诺，加入后3年内，外资证券公司设立合营证券公司可以（不通过中方中介）从 事的业务不包括( )。,<p>AA股的承销</p><p>B基金的承销和交易</p><p>C发起设立基金</p><p>DB股和H股、政府和公司债券的承销和交易</p>,4,B,加入3年内，允许外国证券公司设立合营公司，外资比例不超过1/3，合营公司可以（不通过中方中 介）从事A股的承销，从事B股和H股、政府和公司债券的承销和交易，以及发起设立基金。,0,0
1,(单选题)证券自营业务原始凭证以及有关业务文件、资料、账册、报表和其他必要的材料应至少妥善保管( )年。,<p>A5</p><p>B10</p><p>C20</p><p>D30</p>,4,C,证券自营业务原始凭证以及有关业务文件、资料、账册、报表和其他必要的材料应至少妥善保管20 年。,0,0
1,(单选题)公司在依法向有关主管部门提供的财务会计报告等材料上作虚假记载或者隐瞒重要事实的，由有关主管 部门对直接负责的主管人员和其他直接责任人员处以( )的罚款。,<p>A3万元以上30万元以下</p><p>B3万元以上50万元以下</p><p>C5万元以上50万元以下</p><p>D5万元以上30万元以下</p>,4,A,公司在依法向有关主管部门提供的财务会计报告等材料上作虚假记载或者隐瞒重要事实的，由有关主 管部门对直接负责的主管人员和其他直接责任人员处以3万元以上30万元以下的罚款。,0,0
1,(单选题)在我国设立有限责任公司，股东人数最多不能超过( )个。,<p>A30</p><p>B40</p><p>C50</p><p>D60</p>,4,C,在我国设立有限责任公司，股东人数最多不能超过50个，最少为1个。,0,0
1,(单选题)股份有限公司申请股票在深圳交易所创业板上市，其公司股本总额必须不少于人民币( )元。,<p>A2000万</p><p>B3000万</p><p>C4000万</p><p>D5000万</p>,4,B,股份有限公司申请股票在深圳交易所创业板上市，其公司股本总额必须不少于人民币3000万元。,0,0
1,(单选题)以协议方式收购上市公司时，达成协议后，收购人必须在( )日内将该收购协议向国务院证券监督管理机构 及证券交易所作出书面报告，并予以公告。,<p>A2</p><p>B3</p><p>C4</p><p>D5</p>,4,B,以协议方式收购上市公司时，达成协议后，收购人必须在3日内将该收购协议向国务院证券监督管理机 构及证券交易所作出书面报告，并予以公告。,0,0
1,(单选题)证券公司风险控制指标不符合有关规定，国务院证券监督管理机构责令其停业整顿的，停业整顿的期限 不超过( )。,<p>A1个月</p><p>B3个月</p><p>C6个月</p><p>D1年 </p>,4,B,《证券公司风险处置条例》第七条规定，证券公司风险控制指标不符合有关规定，在规定期限内未能 完成整改的，国务院证券监督管理机构可以责令证券公司停止部分或者全部业务进行整顿。停业整顿 的期限不超过3个月。,0,0
1,(单选题)1999年11月4日，美国国会通过( )，标志着金融业分业经营制度的终结。,<p>A《金融服务现代化法案》</p><p>B《格拉斯一斯蒂格尔法案》</p><p>C《证券交易所法》</p><p>D《证券法》</p>,4,A,1999年11月4日，美国国会通过《金融服务现代化法案》，标志着金融业分业经营制度的终结。,0,0
1,(单选题)沪深300股指期货合约的最小变动价位是( )点。,<p>A0.5</p><p>B0.4</p><p>C0.3</p><p>D0.2</p>,4,D,沪深300股指期货合约的最小变动价位是0.2点。,0,0
1,(单选题)下列关于欺诈发行股票、债券罪立案标准的说法中，错误的是()。,<p>A发行数额在200万元以上的</p><p>B利用募集的资金进行违法活动的</p><p>C转移或者隐瞒所募集资金的</p><p>D伪造、变造国家公文、有效证明文件或相关凭证、单据的</p>,4,A,欺诈发行股票、债券罪的立案标准包括：(1)发行数额在500万元以上的。(2)伪造、变造国家公文、有 效证明文件或相关凭证、单据的。(3)利用募集的资金进行违法活动的。(4)转移或者隐瞒所募集资金 的。(5)其他后果严重或有其他严重情节的情形。,0,0
1,(单选题)欺诈发行股票、债券罪的主体主要是()。,<p>A单位</p><p>B自然人</p><p>C复杂客体</p><p>D简单客体 </p>,4,A,欺诈发行股票、债券罪的主体主要是单位，自然人在一定条件下也能成为犯罪的主体。,0,0
1,(单选题)诚信信息的查询记录自该记录生成之日起保存()年。,<p>A1</p><p>B3</p><p>C5</p><p>D7</p>,4,C,诚信信息的查询记录自该记录生成之日起保存5年。,0,0
1,(单选题)下列关于证券投资基金特点的陈述，正确的是（）。 Ⅰ.独立托管 Ⅱ.风险固定 Ⅲ.集合理财 Ⅳ.组合投资,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,证券投资的特点包括：①集合理财、专业管理；②组合投资、分散风险；③利益共享、风险共担；④ 严格监管、信息透明；⑤独立托管、保障安全。,0,0
1,(单选题)按照有关规定，基金招募说明书包括的内容是（）。 Ⅰ.基金收益的合理预期 Ⅱ.风险警示内容 Ⅲ.基金募集申请的核准文件名称和核准日期 Ⅳ.基金份额的发售日期和期限,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅢ.Ⅳ</p>,4,A,招募说明书的主要披露事项：（1）招募说明书摘要；（2）基金募集申请的核准文件名称和核准日 期；（3）基金管理人、基金托管人的基本情况；（4）基金份额的发售日期、价格、费用和期限； （5）基金份额的发售方式、发售机构及登记机构名称；（6）基金份额申购、赎回的场所、时间、程 序、数额与价格，拒绝或暂停接受申购、暂停赎回或延缓支付、巨额赎回的安排等；（7）基金的投资 目标、投资方向、投资策略、业绩比较基准、投资限制；（8）基金资产的估值；（9）基金管理人、 基金托管人报酬及其他基金运作费用的费率水平、收取方式,0,0
1,(单选题)证券投资者保护基金公司的职责包括下列选项中哪些（） Ⅰ.筹集、管理和运作基金 Ⅱ.依法制定从事证券业务人员的资格标准和行为准则，并监督实施 Ⅲ.监测证券公司风险，参与证券公司风险处置工作 Ⅳ.组织、参与被撤销、关闭或破产证券公司的清算工作,<p>AⅠ．Ⅱ．Ⅲ</p><p>BⅠ．Ⅲ．Ⅳ</p><p>CⅡ．Ⅲ．Ⅳ</p><p>DⅠ．Ⅱ．Ⅲ．Ⅳ</p>,4,B,证券投资者保护基金公司的职责包括：(1)筹集、管理和运作基金。(2)监测证券公司风险，参与证券公 司风险处置工作。(3)证券公司被撤销、关闭和破产或被中国证监会实施行政接管、托管经营等强制性 监管措施时，按照国家有关政策规定对债权人予以偿付。(4)组织、参与被撤销、关闭或破产证券公司 的清算工作。(5)管理和处分受偿资产，维护基金权益。(6)发现证券公司经营管理中出现可能危及投资 者利益和证券市场安全的重大风险时，向中国证监会提出监管、处置建议；对证券公司运营中存在的 风险隐患会同有关部门建立纠正机制。(7)国务院,0,0
1,(单选题)发行人披露的招股意向书除不含（）以外，其内容与格式应当与招股说明书一致，并与招股说明书具有 同等法律效力。 Ⅰ.发行价格 Ⅱ.筹资金额 Ⅲ.发行数量 Ⅳ.筹资费用,<p>AⅠ.Ⅱ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,发行人披露的招股意向书除不含发行价格、筹资金额以外，其内容与格式应当与招股说明书一致，并 与招股说明书具有同等法律效力。,0,0
1,(单选题)根据《中华人民共和国公司法》的规定，下列说法中不正确的是（）。 Ⅰ.有限责任公司的注册资本可以按照规定的比例在3年内分期缴清出资 Ⅱ.有限责任公司的最低注册资本额为人民币5万元 Ⅲ.投资公司的注册资本在5年内缴足即可 Ⅳ.不存在最低注册资本额的规定,<p>AⅠ.Ⅱ.</p><p>BⅡ.Ⅲ.</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,C,《中华人民共和国公司法》第二十六条规定，有限责任公司的注册资本为在公司登记机关登记的全体 股东认缴的出资额。公司全体股东的首次出资额不得低于注册资本的20%，也不得低于法定的注册资 本最低限额，其余部分由股东自公司成立之日起两年内缴足；其中，投资公司可以在5年内缴足。有限 责任公司注册资本的最低限额为人民币3万元。法律、行政法规对有限责任公司注册资本的最低限额有 较高规定的，从其规定。,0,0
1,(单选题)下列属于中国证券业协会自律管理体现的是（）。 Ⅰ.对会员单位的自律管理 Ⅱ.对从业人员的自律管理 Ⅲ.代办股份转让系统 Ⅳ.证券账户、结算账户的设立和管理,<p>AⅠ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,D,中国证券业协会的自律管理体现在保护行业共同利益、促进行业共同发展方面，具体表现为以下几个 方面：对会员单位的自律管理；对从业人员的自律管理；代办股份转让系统。,0,0
1,(单选题)下列关于证券公司从事客户资产管理业务应当符合的条件的说法中，正确的是（）。 Ⅰ.经中国证监会核定为综合类证券公司 Ⅱ.具有良好的法人治理结构、完备的内部控制和风险管理制度，并得到有效执行 Ⅲ.净资本不低于人民币1亿元，且符合中国证监会关于综合类证券公司各项风险监控指标的规定 Ⅳ.中国证监会规定的其他条件,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,证券公司从事客户资产管理业务，应当符合下列条件：(1)经中国证监会核定为综合类证券公司。(2)净 资本不低于人民币2亿元，且符合中国证监会关于综合类证券公司各项风险监控指标的规定。(3)客户 资产管理业务人员具有证券从业资格，无不良行为记录，其中具有3年以上证券自营、资产管理或者证 券投资基金管理从业经历的人员不少于5人。(4)具有良好的法人治理结构、完备的内部控制和风险管 理制度，并得到有效执行。(5)最近1年未受到过行政处罚或者刑事处罚。(6)中国证监会规定的其他条 件。,0,0
1,(单选题)证券公司、证券投资咨询机构和其他财务顾问机构有（）情形的，不得担任财务顾问。 Ⅰ.最近24个月内存在违反诚信的不良记录 Ⅱ.最近24个月内因执业行为违反行业规范而受到行业自律组织的纪律处分 Ⅲ.最近36个月内因执业行为违反行业规范而受到行业自律组织的纪律处分 Ⅳ.最近36个月内因违法违规经营受到处罚或者因涉嫌违法违规经营正在被调查,<p>AⅠ．Ⅱ．Ⅳ</p><p>BⅠ．Ⅲ．Ⅳ</p><p>CⅡ．Ⅲ．Ⅳ</p><p>DⅠ．Ⅱ．Ⅲ．Ⅳ</p>,4,A,证券公司、证券投资咨询机构和其他财务顾问机构有下列情形之一的，不得担任财务顾问：(1)最近24 个月内存在违反诚信的不良记录。(2)最近24个月内因执业行为违反行业规范而受到行业自律组织的纪 律处分。(3)最近36个月内因违法违规经营受到处罚或者因涉嫌违法违规经营正在被调查。,0,0
1,(单选题)在证券发行市场上，属于证券发行主体的是（）。 Ⅰ.政府 Ⅱ.企业 Ⅲ.政府机构 Ⅳ.居民,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,D,证券发行市场上，不属于证券发行主体的是居民。,0,0
1,(单选题)下列关于债券的表述正确的有（）。 Ⅰ.债券是一种真实资本 Ⅱ.债券属于有价证券 Ⅲ.债券是债权的表现 Ⅳ.债券有一定的票面格式,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,债券是一种虚拟资本而不是真实资本。,0,0
1,(单选题)基金客户服务中售前服务包括（）。 Ⅰ.介绍基金管理人投资运作情况，让客户充分了解基金投资的特点 Ⅱ.开展投资者风险教育 Ⅲ.推介符合适应性原则的基金 Ⅳ.介绍证券市场基础知识、基金基础知识，普及基金相关法律知识,<p>AⅠ.Ⅳ</p><p>BⅡ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,C,售前服务是指在开始基金投资操作前为客户提供的各项服务。主要包括：介绍证券市场基础知识、基 金基础知识。普及基金相关法律法规；介绍基金管理人投资运作情况，让客户充分了解基金投资的特 点；开展投资者风险教育。,0,0
1,(单选题)下列属于基金售后服务的是（）。 Ⅰ.协助客户办理开立账户、申购、赎回、资料变更等基金业务 Ⅱ.提醒客户及时核对交易确认 Ⅲ.向客户介绍客户服务、信息查询等的办法和路径 Ⅳ.定期提供产品净值信息,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,售后服务是指在完成基金投资操作后为投资者提供的服务。主要包括：提醒客户及时核对交易确认； 向客户介绍客户服务、信息查询等的办法和途径；定期提供产品净值信息；基金公司、基金产品发生 变动时及时通知客户。,0,0
1,(单选题)下列关于虚拟资本的表述错误的有（）。 Ⅰ.虚拟资本的变化完全反映实际资本额的变化 Ⅱ.虚拟资本的价格总额等于所代表的真实资本的重置价格 Ⅲ.虚拟资本是相对独立于实际资本之外的一种资本存在形式 Ⅳ.虚拟资本的价格总额等于所代表的真实资本的账面价格,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅳ</p>,4,C,虚拟资本的价格总额并不等于所代表的真实资本的账面价格，甚至与真实资本的重置价格也不一定相 等，其变化并不完全反映实际资本额的变化。,0,0
1,(单选题)作出的表彰、奖励、评比应记入奖励信息的单位是（）。 Ⅰ.中国证券监督管理委员会 Ⅱ.中国证券业协会 Ⅲ.中证资本市场发展监测中心有限责任公司 Ⅳ.地方性证券业协会,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,下列主体做出的表彰、奖励、评比应记入奖励信息：(1)中国证券业协会、中证资本市场发展监测中心 有限责任公司及地方性证券业协会。(2)中国证券业协会认为有必要记录其奖励信息的其他单位。,0,0
1,(单选题)我国香港地区的相关规则对规范投资银行与证券研究关系的主要措施包括（）。 Ⅰ.禁止分析师向投银行部门报告 Ⅱ.禁止将分析师的薪酬与具体的投资银行交易挂钩 Ⅲ.禁止投资银行部门审查研究报告及其观点 Ⅳ.禁止投资银行人员影响投资分析师独立撰写研究报告、影响或控制分析师的，考核和薪酬,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,我国香港地区的相关规则对规范投资银行与证券研究的关系有以下主要措施：(1)禁止分析师向投资银 行部门报告。(2)禁止将分析师的薪酬与具体的投资银行交易挂钩。(3)禁止投资银行部门审查研究报告 及其观点。(4)分析师不得参与投资银行项目投标、项目路演等推介活动。,0,0
1,(单选题)在营业部经纪业务主要环节的操作规程方面，证券账户管理包括（）等内容。 Ⅰ.证券账户的开立Ⅱ.证券账户信息变更 Ⅲ.证券账户查询 Ⅳ.证券账户注销,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,C,证券账户管理包括证券账户的开立、证券账户挂失补办、证券账户注册资料变更、证券账户合并与注 销、非交易过户等。,0,0
