1,(单选题)()事项非经载明于章程，不生效力。,<p>A相对记载</p><p>B任意记载</p><p>C绝对记载</p><p>D协商记载</p>,4,A,相对记载事项非经载明于章程，不生效力。,0,0
1,(单选题)股份有限公司的财务会计报告应当在召开股东大会年会的()日前置备于本公司，供股东查阅。,<p>A10</p><p>B15</p><p>C20</p><p>D30</p>,4,C,股份有限公司的财务会计报告应当在召开股东大会年会的20日前置备于本公司，供股东查阅。,0,0
1,(单选题)股份有限公司申请股票上市，公司股本总额要求不少于人民币()万元。,<p>A3000</p><p>B1000</p><p>C5000</p><p>D10000</p>,4,A,股份有限公司申请股票上市，公司股本总额应当不少于人民币3000万元。,0,0
1,(单选题)国务院证券监督管理机构对证券公司设立、收购、撤销境内分支机构，或者停业、解散、破产的申请，自受理之日起()个工作日内作出批准或者不予批准的书面决定。,<p>A15</p><p>B30</p><p>C45</p><p>D60</p>,4,B,国务院证券监督管理机构对证券公司设立、收购、撤销境内分支机构，或者停业、解散、破产的申请，自受理之日起30个工作日内作出批准或者不予批准的书面决定。,0,0
1,(单选题)基金管理公司违反规定，擅自变更持有()以上股权的股东、实际控制人或者其他重大事项的，由证券监督管理机构责令改正，没收违法所得。,<p>A0.01</p><p>B0.02</p><p>C0.03</p><p>D0.05</p>,4,D,基金管理公司违反规定，擅自变更持有5%以上股权的股东、实际控制人或者其他重大事项的，由证券监督管理机构责令改正，没收违法所得。,0,0
1,(单选题)禁止内幕交易的主要措施是()。,<p>A严格把关</p><p>B责任到人</p><p>C法律制裁</p><p>D行业自律</p>,4,A,禁止内幕交易的主要措施是严格把关措施。,0,0
1,(单选题)内幕交易的法律责任构成不包括()。,<p>A刑事责任</p><p>B行政责任</p><p>C民事责任</p><p>D诉讼责任</p>,4,D,内幕交易的法律责任由3部分构成，即刑事责任、行政责任和民事责任。,0,0
1,(单选题)企业法人合并应当在主管部门或者审批机关批准后()日内，向登记主管机关申请办理登记。,<p>A10</p><p>B15</p><p>C20</p><p>D30</p>,4,D,企业法人合并，应当在主管部门或者审批机关批准后30日内，向登记主管机关申请办理变更登记、开业登记或者注销登记。,0,0
1,(单选题)上市公司独立董事无需对()发表独立意见。,<p>A评估机构的独立性</p><p>B评估方法与评估目的的相关性</p><p>C评估假设前提的合理性</p><p>D评估定价的公允性</p>,4,B,上市公司董事会应当对评估机构的独立性、评估假设前提的合理性、评估方法与评估目的的相关性以及评估定价的公允性发表明确意见。上市公司独立董事应当对评估机构的独立性、评估假设前提的合理性和评估定价的公允性发表独立意见。,0,0
1,(单选题)上市公司吸收合并其他上市公司的交易价格以主要方股票市价、独立财务顾问估值、净资产账面值等为定价依据，其关注的内容不包括()。,<p>A申请人是否提供独立财务顾问对交易定价的意见</p><p>B交易价格是否充分考虑合并主要方的股票市价、公司估值、盈利预测以及隐含资产价值等因素</p><p>C是否充分考虑市盈率、市净率的市场平均值等参数</p><p>D是否充分揭示交易价格和风险并确保投资者在知悉该风险的情况下，严格履行法定表决程序</p>,4,B,上市公司吸收合并其他上市公司的交易价格以双方股票市价、独立财务顾问估值、净资产账面值等为定价依据，关注以下内容：①申请人是否提供独立财务顾问对交易定价的意见；②交易价格是否充分考虑合并双方的股票市价、公司估值(资产和盈利能力)、盈利预测以及隐合资产价值(土地、无形资产)等因素；③是否充分考虑市盈率、市净率的市场平均值等参数；④是否充分揭示交易价格的影响和风险并确保投资者在知悉该风险的情况下，严格履行法定表决程序。,0,0
1,(单选题)设立管理公开募集基金的基金管理公司的注册资本要求()。,<p>A不低于5000万元人民币</p><p>B不低于1亿元人民币</p><p>C不低于3亿元人民币</p><p>D不低于5亿元人民币</p>,4,B,设立管理公开募集基金的基金管理公司，注册资本不低于1亿元人民币，且必须为实缴货币资本。,0,0
1,(单选题)收购行为完成后，收购人应当在()日内将收购情况报告国务院证券监督管理机构和证券交易所，并予公告。,<p>A5</p><p>B10</p><p>C15</p><p>D20</p>,4,C,收购行为完成后，收购人应当在15日内将收购情况报告国务院证券监督管理机构和证券交易所，并予公告。,0,0
1,(单选题)所谓操纵市场，是指机构或个人利用其()等优势，影响证券交易价格或交易量，制造证券交易假象。,<p>A资金、信息</p><p>B市场</p><p>C价格</p><p>D股票</p>,4,A,所谓操纵市场，是指机构或个人利用其资金、信息等优势，影响证券交易价格或交易量，制造证券交易假象，诱导或者致使投资者在不了解事实真相的情况下作出证券投资决定，扰乱证券市场秩序，以达到获取利益或减少损失的目的的行为。,0,0
1,(单选题)投资者及其一致行动人拥有权益的股份达到或者超过一个上市公司已发行股份的20%但未超过30%的，应当编制详式权益变动报告书，其应该披露的内容不包括()。,<p>A取得相关股份的价格</p><p>B能够按照《上市公司收购管理办法》第50条的规定提供相关文件</p><p>C前12个月内投资者及其一致行动人与上市公司之间的重大交易</p><p>D投资者及其一致行动人的控股股东、实际控制人及其股权控制关系结构图</p>,4,C,投资者及其一致行动人拥有权益的股份达到或者超过一个上市公司已发行股份的20%但未超过30%的，应当编制详式权益变动报告书，应当披露以下内容：①投资者及其一致行动人的控股股东、实际控制人及其股权控制关系结构图；②取得相关股份的价格、所需资金额、资金来源，或者其他支付安排；③投资者、一致行动人及其控股股东、实际控制人所从事的业务上市公司的业务是否存在同业竞争或者潜在的同业竞争，是否存在持续关联交易；存在同业竞争或者持续关联交易的，是否已有相应的安排，确保投资者、一致行动人及其关联方与上市公司之间避免同业竞争，保持上市公司的独立性；④未来12个月内对上市公司资产、业务、人员、组织结构、公司章程等进行调整的后续计划；⑤前24个月内投资者及其一致行动人与上市公司之间的重大交易；⑥不存在规定的禁止收购情形；⑦能够按照规定提供与协议收购中向中国证监会提交的相同的文件。,0,0
1,(单选题)下列()不属于基金份额持有人必须承担的义务。,<p>A遵守基金契约</p><p>B缴纳基金认购款项及规定费用</p><p>C承担基金亏损或终止的无限责任</p><p>D不从事任何有损基金及其他基金投资人合法权益的活动</p>,4,C,基金份额持有人必须承担以下义务：①遵守基金契约；②缴纳基金认购款项及规定费用；③承担基金亏损或终止的有限责任；④不从事任何有损基金及其他基金投资人合法权益的活动；⑤法律、法规及基金契约规定的其他义务。,0,0
1,(单选题)下列不属于从事证券业务的专业人员的是()。,<p>A证券公司中从事自营、经纪、承销、投资咨询、受托投资管理等业务的专业人员</p><p>B基金管理公司中从事基金销售、研究分析、投资管理、交易、监察稽核等业务的专业人员</p><p>C证券投资咨询机构中从事证券销售、研究分析、投资管理、交易、监察稽核等业务的专业人员</p><p>D基金销售机构中从事基金宣传、推销、咨询等业务的专业人员</p>,4,C,从事证券业务的专业人员是指：①证券公司中从事自营、经纪、承销、投资咨询、受托投资管理等业务的专业人员，包括相关业务部门的管理人员；②基金管理公司、基金托管机构中从事基金销售、研究分析、投资管理、交易、监察稽核等业务的专业人员，包括相关业务部门的管理人员；基金销售机构中从事基金宣传、推销、咨询等业务的专业人员，包括相关业务部门的管理人员；③证券投资咨询机构中从事证券投资咨询业务的专业人员及其管理人员；④证券资信评估机构中从事证券资信评估业务的专业人员及其管理人员；⑤中国证监会规定需要取得从业资格和执业证书的其他人员。,0,0
1,(单选题)下列不属于客户征信调查内容的是()。,<p>A投资经验</p><p>B诚信记录</p><p>C还款能力</p><p>D关联关系</p>,4,D,客户征信调查内容一般应包括：客户基本资料；投资经验；诚信记录；还款能力；融资融券需求。,0,0
1,(单选题)下列不属于证券法所调整的有价证券是()。,<p>A股票</p><p>B企业债券</p><p>C政府债券</p><p>D购物券</p>,4,D,证券法所调整的有价证券只限于证券市场上发行和流通的证券，如股票、企业债券、政府债券、证券投资基金份额和证券衍生品种等等，都是资本证券，能够给投资者带来收益或者损失。选项D的购物券属于代币券。,0,0
1,(单选题)下列不属于证券业从业人员申请执业证书条件的是()。,<p>A已被机构聘用</p><p>B最近4年未受过刑事处罚</p><p>C未被中国证监会认定为证券市场禁人者，或者已过禁入期</p><p>D品行端正，具有良好的职业道德</p>,4,B,选项A、C、D均属于证券业从业人员申请执业证书的条件。取得证券业从业人员资格的人员，符合相应条件的，可以通过机构申请执业证书。选项B中应为最近3年未受到刑事处罚。,0,0
1,(单选题)下列关于期货公司的说法，错误的是()。,<p>A期货公司业务实行许可制度</p><p>B国务院期货监督管理机构按照期货公司商品期货、金融期货业务种类颁发许可证</p><p>C期货公司不得从事与期货业务无关的活动</p><p>D期货公司可以从事期货自营业务</p>,4,D,期货公司不可从事或者变相从事期货自营业务，故选项D表述错误。,0,0
1,(单选题)下列情形不属于经营者集中的是()。,<p>A经营者合并</p><p>B经营者通过协商取得公司的经营权</p><p>C经营者通过合同方式取得对其他经营者的控制权</p><p>D经营者通过取得股权的方式取得对其他经营者的控制权</p>,4,B,经营者集中是指经营者合并、经营者通过取得股权或者资产的方式取得对其他经营者的控制权、经营者通过合同等方式取得对其他经营者的控制权或者能够对其他经营者施加决定性影响3种情形。,0,0
1,(单选题)下列说法错误的是()。,<p>A交割仓库由期货交易所指定</p><p>B交割仓库由期货交易所会员协议确定</p><p>C期货交易所不得限制实物交割总量</p><p>D期货交易所应当与交割仓库签订协议，明确双方的权利和义务</p>,4,B,期货交易的交割，由期货交易所统一组织进行。交割仓库由期货交易所指定。期货交易所不得限制实物交割总量，并应当与交割仓库签订协议，明确双方的权利和义务。,0,0
1,(单选题)下列说法错误的是()。,<p>A机构不得聘用未取得执业证书的人员对外开展证券业务</p><p>B从业人员在执业过程中违反有关证券法律、行政法规以及中国证监会有关规定，受到聘用机构处分的，该机构应当在处分后5日内向协会报告</p><p>C协会应当定期组织取得执业证书的人员进行后续职业培训</p><p>D协会依据《证券业从业人员资格管理办法》及中国证监会有关规定制定的从业资格考试办法、考试大纲、执业证书管理办法以及执业行为准则等，应当报中国证监会核准</p>,4,B,从业人员在执业过程中违反有关证券法律、行政法规以及中国证监会有关规定，受到聘用机构处分的，该机构应在处分后10日内向协会报告。,0,0
1,(单选题)下列说法错误的是()。,<p>A股份有限公司以超过股票票面金额的发行价格发行股份所得的溢价款应当列为公司资本公积金</p><p>B国务院财政部门规定列入资本公积金的其他收入，应当列为公司资本公积金</p><p>C公司的公积金用于弥补公司的亏损、扩大公司生产经营或者转为增加公司资本</p><p>D资本公积金可用于弥补公司的亏损</p>,4,D,资本公积金不得用于弥补公司的亏损，故选项D表述错误。,0,0
1,(单选题)下列说法错误的是()。,<p>A证券公司代销金融产品，应当避免利益冲突，不得损害客户合法权益</p><p>B证券公司可以代销在境内发行，并经国家有关部门或者其授权机构批准或者备案的各类金融产品</p><p>C证券公司对代销金融产品业务实行集中统一管理</p><p>D证券公司分支机构自行代销金融产品</p>,4,D,证券公司代销金融产品管理规定禁止证券公司分支机构擅自代销金融产品，故选项D表述错误。,0,0
1,(单选题)下列选项中，()不属于股份有限公司的组织机构。,<p>A股东大会</p><p>B董事会</p><p>C监事会</p><p>D员工</p>,4,D,股份有限公司组织机构是由股东大会、董事会、监事会以及经理等构成。,0,0
1,(单选题)向不特定对象公开发行的证券票面总值超过人民币()万元的，应当由承销团承销。,<p>A3000</p><p>B4000</p><p>C5000</p><p>D6000</p>,4,C,《中华人民共和国证券泫》第32条规定，向不特定对象公开发行的证券票面总值超过人民币5000万元的，应当由承销团承销。承销团应当由主承销和参与承销的证券公司组成。,0,0
1,(单选题)依据《证券投资基金管理暂行办法》的规定，下列选项不属于基金管理人职责的是()。,<p>A按照基金契约的规定运用基金资产投资并管理基金资产</p><p>B安全保管基金财产</p><p>C保存基金的会计账册、记录15年以上</p><p>D编制基金财务报告，及时公告，并向中国证监会报告</p>,4,B,依据《证券投资基金管理暂行办法》的规定，基金管理人的职责主要有以下几个方面：①按照基金契约的规定运用基金资产投资并管理基金资产；②及时、足额的向基金持有人支付基金收益；③保存基金的会计账册、记录15年以上；④编制基金财务报告；⑤及时公告，并向中国证监会报告计算并公告基金资产净值及每一基金单位资产净值基金；⑥契约规定的其他职责。选项B属于基金托管人的职责。,0,0
1,(单选题)有限责任公司公开发行公司债券对公司净资产的要求是()。,<p>A不低于人民币3000万元</p><p>B不低于人民币5000万元</p><p>C不低于人民币6000万元</p><p>D不低于人民币1亿元</p>,4,C,股份有限公司公开发行公司债券的净资产不低于人民币3000万元，有限责任公司公开发行公司债券的净资产不低于人民币6000万元。,0,0
1,(单选题)在签订资产管理合同之前，证券公司应当了解的客户的基本情况不包括()。,<p>A财产与收入状况</p><p>B风险承受能力</p><p>C投资偏好</p><p>D性格脾气</p>,4,D,在签订资产管理合同之前，证券公司应当了解客户身份、财产与收入状况、风险承受能力以及投资偏好等基本情况。,0,0
1,(单选题)召开基金份额持有人大会，至少应当有代表()以上基金份额的持有人参加。,<p>A0.7</p><p>B0.5</p><p>C0.3</p><p>D0.1</p>,4,B,《中华人民共和国证券投资基金法》第75条规定，基金份额持有人大会应当有代表50%以上基金份额的持有人参加，方可召开。,0,0
1,(单选题)证券公司、证券投资咨询机构向客户提供证券投资顾问服务，应当告知客户的基本信息不包括()。,<p>A公司名称</p><p>B证券投资顾问的姓名</p><p>C证券投资顾问服务的内容</p><p>D公司成员名单</p>,4,D,证券公司、证券投资咨询机构向客户提供证券投资顾问服务，应当告知客户下列基本信息：①公司名称、地址、联系方式、投诉电话、证券投资咨询业务资格等；②证券投资顾问的姓名及其证券投资咨询执业资格编码；③证券投资顾问服务的内容和方式；④投资决策由客户作出，投资风险由客户承担；⑤证券投资顾问不得代客户作出投资决策。,0,0
1,(单选题)证券公司的自营业务决策机构原则上应当按照()来设立。,<p>A监事会投资决策机构自营业务部门的三级体制</p><p>B投资决策机构自营业务部门的二级体制</p><p>C董事会投资决策机构自营业务部门的三级体制</p><p>D董事会投资决策部门的二级体制</p>,4,C,证券公司应建立健全相对集中、权责统一的投资决策与授权机制。自营业务决策机构原则上应当按照董事会一投资决策机构自营业务部门的三级体制设立。,0,0
1,(单选题)证券公司申请融资融券业务资格，要求公司及其董事、监事、高级管理人员最近()内未因违法违规经营受到行政处罚和刑事处罚，且不存在因涉嫌违法违规正被中国证券监督管理委员会立案调查或者正处于整改期间的情形。,<p>A1年</p><p>B2年</p><p>C3年</p><p>D5年</p>,4,B,证券公司申请融资融券业务资格，要求公司及其董事、监事、高级管理人员最近2年内未因违法违规经营受到行政处罚和刑事处罚，且不存在因涉嫌违法违规正被证监会立案调查或者正处于整改期间的情形。,0,0
1,(单选题)证券公司营业部为客户办理账户业务时，应严格坚持()制度，严格审核客户身份信息。,<p>A账户实名</p><p>B账户匿名</p><p>C审慎监管</p><p>D招揽客户</p>,4,A,证券公司营业部为客户办理账户业务时，应严格坚持账户实名制度，严格审核客户身份信息。,0,0
1,(单选题)证券公司自营业务的内部控制中重点防范的风险不包括()。,<p>A规模失控、决策失误</p><p>B变相自营、账外自营</p><p>C操纵市场、内幕交易</p><p>D市场风险、管理风险</p>,4,D,证券公司自营业务的内部控制主要是应加强自营业务投资决策、资金、账户、清算、交易和保密等的管理。重点防范规模失控、决策失误、超越授权、变相自营、账外自营、操纵市场、内幕交易等的风险。,0,0
1,(单选题)证券金融公司可以根据化解证券公司违约风险的需要，建立()。,<p>A违约风险基金</p><p>B转融通互保基金</p><p>C转融通风险基金</p><p>D转融通保障基金</p>,4,B,证券金融公司可以根据化解证券公司违约风险的需要，建立转融通互保基金。,0,0
1,(单选题)证券在证券交易所上市交易，应当采用公开的()方式或国务院证券监督管理机构批准的其他方式。,<p>A集中交易</p><p>B分散交易</p><p>C竞价交易</p><p>D大宗交易</p>,4,A,证券在证券交易所上市交易，应当采用公开的集中交易方式或者国务院证券监督管理机构批准的其他方式。,0,0
1,(单选题)重大资产重组中相关资产以资产评估结果作为定价依据的，资产评估机构原则上应当采取()评估方法进行评估。,<p>A一种</p><p>B两种</p><p>C两种以上</p><p>D三种以上</p>,4,C,重大资产重组中相关资产以资产评估结果作为定价依据的，资产评估机构原则上应当采取两种以上评估方法进行评估。,0,0
1,(单选题)发行人应当聘请具有保荐机构资格的证券公司履行保荐职责的事项包括（）。Ⅰ.首次公开发行股票并上市Ⅱ.上市公司发行新股、可转换公司债券Ⅲ.股票在二级市场上进行转让Ⅳ.中国证券监督管理委员会认定的其他情形,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,B,发行人应当就下列事项聘请具有保荐机构资格的证券公司履行保荐职责:（1）首次公开发行股票并上市。（2）上市公司发行新股，可转换公司债券。（3)中国证券监督管理委员会认定的其他情形。,0,0
1,(单选题)资产管理合同的基本事项包括（）。Ⅰ.客户资产的种类和数额Ⅱ.投资目标和管理期限Ⅲ.投资范围、投资限制和投资比例Ⅳ.客户资产的管理方式和管理权限,<p>AⅢ.Ⅳ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅱ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,除了题中四项外，资产管理合同的基本事项还包括:各类风险提示；客户资产管理信息的提供及查询方式；当事人的权利与义务；管理报酬的计算方法和支付方式；与客户资产管理有关的其他费用的提取、支付方式；合同解除、终止的条件、程序及客户资产的清算返还事宜；违约责任和纠纷的解决方式；中国证监会规定的其他事项。,0,0
1,(单选题)限定性集合资产管理计划的资产应当主要用于投资()。Ⅰ.国债Ⅱ.国家重点建设债券Ⅲ.债券型证券投资基金Ⅳ.在证券交易所上市的企业债券,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅢ.Ⅳ</p>,4,C,限定性集合资产管理计划的资产应当主要用于投资国债、国家重点建设债券、债券型证券投资基金、在证券交易所上市的企业债券、其他信用度高且流动性强的固定收益类金融产品。,0,0
1,(单选题)证券公司代销金融产品，应当遵守法律、行政法规和证监会的规定，遵循（）原则，避免利益冲突，不得损害客户合法权益。Ⅰ.自愿Ⅱ.平等Ⅲ.诚实信用Ⅳ.公平,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅳ</p><p>DⅡ.Ⅲ</p>,4,A,证券公司代销金融产品，应当遵守法律、行政法规和证监会的规定，遵守平等、自愿、公平诚实信用和适当性原则，避免利益冲突，不得损害客户合法权益。,0,0
1,(单选题)()对证券公司和资产托管机构从事客户资产管理业务的情况，进行定期或者不定期的检查，证券公司和资产托管机构应当予以配合。Ⅰ.中国证监会Ⅱ.中国证监会派出机构Ⅲ.证券交易所Ⅳ.中国证券业协会,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,中国证监会及其派出机构对证券公司和资产托管机构从事客户资产管理的情况，进行定期或者不定期的检查，证券公司和资产托管机构应当予以配合。,0,0
1,(单选题)下列关于证券公司控股股东和实际控制人规定的说法中，正确的是（）。Ⅰ.控股股东、实际控制人应当建立制度，明确对证券公司重大事项的决策程序及保证证券公司独立性的具体措施Ⅱ.控股股东、实际控制人应当维护证券公司资产完整Ⅲ.控股股东、实际控制人应当维护证券公司人员独立Ⅳ.控股股东、实际控制人应当维护证券公司财务独立,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅲ</p>,4,C,控股股东、实际控制人应当建立制度。明确对证券公司重大事项的决策程序及保证证券公司独立性的具体措施，建立相关人员在从事证券相关工作中的职责、权限和责任追究机制。控股股东、实际控股人依照国家法律规定或有权机关授权履行国有资本出资人职责的，从其规定。控股股东、实际控制人应当维护证券公司资产完整，不得侵害证券公司对其法人财产的占有、使用、收益和处分的权利。控股股东、实际控制人应当维护证券公司人员独立，不得影响人员的独立性。控股股东、实际控制人应当维护证券公司财务独立。,0,0
1,(单选题)证券、期货投资咨询机构及其投资咨询人员，不得从事下列活动()。Ⅰ.代理投资人从事证券、期货买卖Ⅱ.向投资人承诺证券、期货投资收益Ⅲ.与投资人约定分享投资收益或者分担投资损失Ⅳ.为自己买卖股票及具有股票性质、功能的证券以及期货,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,A,证券、期货投资咨询机构及其投资咨询人员，不得从事下列活动:(1)代理投资人从事证券、期货买卖。（2)向投资人承诺证券、期货投资收益。（3)与投资人约定分享投资收益或者分担投资损失。(4)为自己买卖股票及具有股票性质、功能的证券以及期货。(5)利用咨询服务与他人合谋操纵市场或者进行内幕交易。（6）法律、法规、规章所禁止的其他债券、期货敲诈行为。,0,0
1,(单选题)申请人通过系统向证券公司、证券投资咨询机构提交执业注册申请时，应同时提交的材料有（）。Ⅰ.执业注册申请表Ⅱ.身份证复印件Ⅲ.学历证书复印件Ⅳ.具有1年以上证券业务或证券服务业务经历的工作证明,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,C,申请人通过系统向证券公司、证券投资咨询机构提交执业注册申请时，应同时提交下列书面材料:执业注册申请表；身份证复印件；学历证书复印件；具有2年以上证券业务或证券服务业务经历的工作证明；未受过刑事处罚的证明；证券业协会规定的其他材料。,0,0
1,(单选题)证券公司自营业务的内部控制应包括（）。I建立“防火墙制度”Ⅱ.应加强自营账户的集中管理和访问权限控制Ⅲ.证券公司应建立独立的实时监控系统Ⅳ.建立健全自营业务风险监控缺陷的纠正与处理机制自营业务的内部控制。(1)建立“防火墙制度”。（2）应加强自营账户的集中管理和访问权限控制。（3）应建立完善的投资决策和投资操作档案管理制度，确保投资过程事后可查证。(4）证券公司应建立独立的实时监控系统。（5）通过建立实时监控系统全方位监控自营业务的风险，建立有效的风险监控报告机制。(6)建立健全自营业务风险监控缺陷的纠正与处理机制。（7)建立完备的业绩考核和激励制度。（8）稽核部门定期对自营业务的合规运作、盈亏、风险监控等情况进行全面稽核，出具稽核报告。（9）加强自营业务人员的职业道德和诚信教育，强化自营业务人员的保密意识、合规操作意识和风险控制意识，自营业务关键岗位人员离任前，应当由稽核部门进行审计。,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅡ.ⅡⅢ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,自营业务的内部控制。(1)建立“防火墙制度”。（2）应加强自营账户的集中管理和访问权限控制。（3）应建立完善的投资决策和投资操作档案管理制度，确保投资过程事后可查证。(4）证券公司应建立独立的实时监控系统。（5）通过建立实时监控系统全方位监控自营业务的风险，建立有效的风险监控报告机制。(6)建立健全自营业务风险监控缺陷的纠正与处理机制。（7)建立完备的业绩考核和激励制度。（8）稽核部门定期对自营业务的合规运作、盈亏、风险监控等情况进行全面稽核，出具稽核报告。（9）加强自营业务人员的职业道德和诚信教育，强化自营业务人员的保密意识、合规操作意识和风险控制意识，自营业务关键岗位人员离任前，应当由稽核部门进行审计。,0,0
