1,(单选题)世界上第一只ETF在（）推出的。,<p>A美国</p><p>B加拿大</p><p>C英国</p><p>D澳大利亚</p>,4,B,无,0,0
1,(单选题)为明确信息披露义务人的责任，提醒投资者注意投资风险，目前法规规定，应在基金年度报告扉页作出的提示不包括（）。,<p>A基金管理人和基金持有人的责任</p><p>B投资风险</p><p>C年度报告中注册会计师出具非标准无保留意见的提示</p><p>D基金管理人管理和运用基金资产的原则</p>,4,A,需要提示管理人和托管人的披露责任，而不是管理人和持有人的责任。,0,0
1,(单选题)目前我国货币市场工具不能由（）发行。,<p>A基金管理公司</p><p>B大型工商企业</p><p>C财政部</p><p>D金融机构</p>,4,A,暂无，请查看考友笔记,0,0
1,(单选题)有关基金监管的说法，不正确的表述是（）。,<p>A基金的设立、募集、交易受中国证监会监管</p><p>B基金信息披露活动由中国证监会负责监管</p><p>C基金管理公司的设立、业务范围由中国证监会进行监管</p><p>D基金托管人主要由中国银监会负责监管</p>,4,D,基金托管人主要由中国证监会负责监管。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)证券投资基金的特点是利益共享风险共担，参与收益分配，承担风险的是（）。,<p>A基金持有人</p><p>B基金管理人</p><p>C基金托管人</p><p>D监管机构</p>,4,A,管理人、托管人和监管机构不参与收益分配，不承担风险。,0,0
1,(单选题)下列关于证券投资基金的起源与发展的表述，错误的是（）。,<p>A荷兰是基金思想的发源地之一</p><p>B1924年成立的“马萨诸塞投资信托基金”是世界上成立的第一只公司型开放式基金</p><p>C目前英国的证券投资基金资产总值占世界半数以上</p><p>D在证券投资基金的发展过程中，基金行业集中趋势明显</p>,4,C,目前美国的证券投资基金资产总值占世界半数以上。,0,0
1,(单选题)经中国证监会批准可以在境内募集资金进行境外证券投资的机构被称为（）。,<p>A合格境内机构投资者</p><p>B合格境外机构投资者</p><p>C合格境内、外机构投资者</p><p>D合格机构投资者</p>,4,A,暂无，请查看考友笔记,0,0
1,(单选题)下列关于混合型基金，说法错误的有（）。,<p>A股债平衡型基金的风险收益最高</p><p>B投资者如果购买多只混合基金，在各大类资产上的配置可能变得模糊不清</p><p>C偏债型基金的风险较低，预期收益也较低</p><p>D灵活配置型基金、偏股型基金的风险较高，但预期收益也较高</p>,4,A,股债平衡性基金的风险收益适中。,0,0
1,(单选题)QDII基金可以从事下列行为（）。,<p>A购买不动产和房地产抵押按揭</p><p>B借入临时用途现金比例不超过基金资产净值的5％</p><p>C购买贵重金属或代表贵重金属的凭证</p><p>D购买实物商品</p>,4,B,ACD选项是QDII基金禁止的行为。,0,0
1,(单选题)以下关于封闭式基金和开放式基金的说法，正确的是（）。,<p>A根据募集方式不同，可将基金分为封闭式基金和开放式基金</p><p>B封闭式在基金合同期限内，基金份额持有人不得申请赎回</p><p>C封闭式基金和开放式基金的交易场所相同</p><p>D开放式基金的价格由市场供求关系决定</p>,4,B,根据募集方式不同，可将基金分为公募基金和私募基金，A错误；封闭式基金和开放式基金的交易场所不同，C错误；开放式基金的价格以基金资产净值为基础，D错误。,0,0
1,(单选题)以下关于企业风险管理要素的说法中，不正确的是（）。,<p>A风险识别是识别和分析与实现目标相关的风险，从而为确定应该如何管理风险奠定基础</p><p>B员工的风险信息交流意识是风险管理的重要组成部分，应鼓励员工就其意识到的重要风险与公司管理层进行交流，管理层应当重视员工的意见</p><p>C行为监控的对象不包括管理人的经理层和监控人员的活动</p><p>D基金管理人的风险管理是提供给企业管理层一个适当的过程，将目标与企业的业务或预期联系在一起，保证制定的目标与企业的风险偏好相一致</p>,4,C,行为监控的对象包括管理人的经理层和监控人员的活动，C错误。,0,0
1,(单选题)我国基金业的改革和探索的发展阶段的探索方式，不包括（）。,<p>A放松管制、加强监管</p><p>B互联网金融与基金业有效结合</p><p>C专业化分工推动行业服务体系创新</p><p>D分业化与大资产管理的局面初步显现</p>,4,D,D应为混业化与大资产管理的局面初步显现。,0,0
1,(单选题)关于开放式基金的申购、赎回费用，以下表述正确的是（）。,<p>A对于持有期低于5年的投资人，基金管理人不得免收其后端申购费</p><p>B基金管理人可以根据投资人的申购金额和持有期限的不同分段设置申购费率</p><p>C场外赎回为固定赎回费率，不可按份额持有时间分段设置赎回费率</p><p>D赎回费在扣除手续费后，余额不得低于赎回费总额的20％，并应归入基金资产</p>,4,B,对于持有期低于3年的投资人，基金管理人不得免收其后端申购费，A错误；场内赎回为固定赎回费率，不可按份额持有时间分段设置赎回费率，C错误；赎回费在扣除手续费后，余额不得低于赎回费总额的25％，并应归入基金资产，D错误。,0,0
1,(单选题)根据《证券投资基金上市规则》及有关业务指引，证券交易所对基金投资行为的监控管理包括下列哪些方面（）。,<p>A对基金管理人投资管理的程序、决策过程的监控和管理</p><p>B对证券投资基金在证券市场的投资行为进行监控和管理</p><p>C对投资者买卖基金交易行为的合法、合规性管理</p><p>D对基金管理人的投资方向的管理</p>,4,B,ACD属于证监会监管的范围。,0,0
1,(单选题)下列关于基金公司督察长合规责任的说法中，正确的是（）。,<p>A督察长发现基金及公司运作中存在问题时，应当立即向董事会、证监会及相关派出机构报告</p><p>B督察长在履行职责的过程中，基金销售过程不属于其关注的范围</p><p>C督察长发现基金和公司运作中有违法违规行为的，应当及时予以制止，重大问题应当报告中国银监会及相关派出机构</p><p>D督察长履行职责的范围应当涵盖基金及公司运作的所有业务环节</p>,4,D,发现基金及公司运转中有问题时，及时告知总经理及相关负责人；若未改的，应向董事会和证监会报告；督察长应重点关注基金销售、基金投资、基金及公司的信息披露、基金运营、公司资产是否合规；发现违法违规、重大经营风险或隐患等，应及时向董事会和证监会报告。,0,0
1,(单选题)对基金管理人违法违规行为，证监会不会责令更换（）。,<p>A董事</p><p>B监事</p><p>C高级管理人员</p><p>D部门经理</p>,4,D,对管理人违法违规行为，证监会不会责令更换经理。,0,0
1,(单选题)基金管理人的内部控制跟公司的（）体系和风险管理的框架设计密切相关。,<p>A外部控制</p><p>B内部控制</p><p>C信息披露</p><p>D会计制度</p>,4,B,暂无，请查看考友笔记,0,0
1,(单选题)基金管理人应当在基金合同生效的（）在指定报刊和网站上登载基金合同生效公告。,<p>A次日</p><p>B3日内</p><p>C5日内</p><p>D7日内</p>,4,A,基金管理人应当在基金合同生效的次日在指定报刊和网站上登载基金合同生效公告。,0,0
1,(单选题)不属于道德特征的有（）。,<p>A差异性</p><p>B继承性</p><p>C自由性</p><p>D具体性</p>,4,C,道德的特征有：差异性、继承性、约束性、具体性。,0,0
1,(单选题)不属于诚实守信基本要求的是（）。,<p>A不得欺诈客户</p><p>B不得进行内幕交易和操纵市场</p><p>C不得进行不正当竞争</p><p>D不得违反法律法规</p>,4,D,不得违反法律规定是守法合规的基本要求。,0,0
1,(单选题)不属于基金管理人职责终止事由的是（）。,<p>A被依法取消基金托管资格</p><p>B被基金持有人大会解任</p><p>C依法解散、被依法撤销</p><p>D被依法宣告破产</p>,4,A,被依法取消基金托管资格是基金托管人职责终止的事由。,0,0
1,(单选题)第一只ETF是在（）推出的。,<p>A澳大利亚</p><p>B美国</p><p>C英国</p><p>D加拿大</p>,4,D,暂无，请查看考友笔记,0,0
1,(单选题)一般而言，投资者申购基金成功后，登记机构会在（）日为投资者办理增加权益的登记手续，投资者自（）日起有权赎回该部分基金份额。,<p>AT＋3，T＋7</p><p>BT＋2，T＋3</p><p>CT＋1，T＋2</p><p>DT，T＋1</p>,4,C,一般而言，投资者申购基金成功后，登记机构会在T＋1日为投资者办理增加权益的登记手续，投资者自T＋2日起有权赎回该部分基金份额。,0,0
1,(单选题)以下关于QDII基金的描述，不正确的是（）。,<p>AQDII基金的管理人可聘请境外投资顾问</p><p>BQDII基金一般直接由海外托管银行负责境内、境外资产的托管业务</p><p>CQDII基金可单独或同时以人民币、美元等主要外币计算并披露净值信息</p><p>DQDII基金的信息披露可同时采用中、英文，以中文为准</p>,4,B,QDII基金可能会委托境外资产托管人负责境外资产托管业务。,0,0
1,(单选题)关于ETF申购，赎回的表述，正确的是（）。,<p>AETF的场外申购、赎回采用份额申购、份额赎回的方式</p><p>B预估现金部分是指为便于计算基金份额参考净值及申购和赎回，参与券商预先冻结申请申购、赎回的投资者的相应资金，由基金托管人计算的现金数额</p><p>C申购、赎回ETF的申购对价、赎回对价包括组合证券、现金替代、现金差额及其他对价</p><p>DETF份额的申购、赎回申请提交后可以撤销</p>,4,C,ETF的场内申购、赎回采用份额申购、份额赎回的方式，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）A错误；预估现金部分是指为便于计算基金份额参考净值及申购和赎回，参与券商预先冻结申请申购、赎回的投资者的相应资金，由基金管理人计算的现金数额，B错误；ETF份额的申购、赎回申请提交后不得撤销，D错误。,0,0
1,(单选题)基金管理人应当于每个会计年度结束后的（），向基金业协会报送经会计师事务所审计的年度报告和所管理私募基金年度投资运作基本情况。,<p>A6个月内</p><p>B2个月内</p><p>C4个月内</p><p>D1个月内</p>,4,C,基金管理人应当于每个会计年度结束后的4个月内，向基金业协会报送经会计师事务所审计的年度报告和所管理私募基金年度投资运作基本情况,0,0
1,(单选题)基金管理人、基金销售机构应当建立健全档案管理制度，妥善管理基金份额持有人的开户资料和与销售业务有关的其他资料。客户身份资料自业务关系结束当年起至少保存（）年，与销售业务有关的其他资料自业务发生当年起至少保存（）年。,<p>A5；10</p><p>B10；10</p><p>C10；15</p><p>D15；15</p>,4,D,客户身份资料自业务关系结束当年起至少保存15年，与销售业务有关的其他资料自业务发生当年起至少保存15年。,0,0
1,(单选题)基金销售机构应根据中国人民银行《金融机构大额交易和可疑交易报告管理办法》第九条和第十条规定，监测客户现金收支或款项划转情况，对符合大额交易标准的，在该大额交易发生后（）内，向中国反洗钱监测分析中心报告。,<p>A3个工作日</p><p>B5个工作日</p><p>C10个工作日</p><p>D15个工作日</p>,4,B,基金销售机构应根据中国人民银行《金融机构大额交易和可疑交易报告管理办法》第九条和第十条规定，监测客户现金收支或款项划转情况，对符合大额交易标准的，在该大额交易发生后5个工作日内，向中国反洗钱监测分析中心报告。,0,0
1,(单选题)基金募集失败，基金管理人在募集期届满后（）内返还投资人已交纳的款项和利息。,<p>A20日</p><p>B30日</p><p>C10日</p><p>D15日</p>,4,B,基金募集失败，基金管理人在募集期届满后30日内返还投资人已缴纳的款项和利息。,0,0
1,(单选题)基金托管人的信息披露义务内容包括：在基金份额发售的（）前，将基金合同、托管协议登载在托管人网站上。,<p>A1日</p><p>B3日</p><p>C5日</p><p>D7日</p>,4,B,基金托管人的信息披露义务内容包括：在基金份额发售的3日前，将基金合同、托管协议登载在托管人网站上。,0,0
1,(单选题)我国第一只开放式基金设立于（）。,<p>A1997年6月</p><p>B1998年3月</p><p>C2000年8月</p><p>D2001年9月</p>,4,D,暂无，请查看考友笔记,0,0
1,(单选题)证监会限制交易的监管措施，最长不得超过（）。,<p>A10日</p><p>B10个交易日</p><p>C15日</p><p>D15个交易日</p>,4,D,限制交易的限制期不得超过15个交易日。,0,0
1,(单选题)开放式基金连续发生巨额赎回时，已经接受的赎回申请可以延缓支付赎回款项，但延缓期限不得超过（）个工作日。,<p>A10</p><p>B30</p><p>C5</p><p>D20</p>,4,D,开放式基金连续发生巨额赎回时，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）已经接受的赎回申请可以延缓支付赎回款项，但延缓期限不得超过20个工作日。,0,0
1,(单选题)基金投资人评价应以基金投资人的风险承受能力类型来具体反映，应当至少包括以下三个类型（）。①．保守型②．消极型③．稳健型④．积极型⑤．冒险型,<p>A①、②、③</p><p>B②、④、⑤</p><p>C①、③、④</p><p>D①、③、⑤</p>,4,C,基金投资人评价应以基金投资人的风险承受能力类型来具体反映，应当至少包括以下三个类型：保守型、稳健型、积极型。,0,0
1,(单选题)基金信息披露应满足的原则包括（）。①．完整性②．灵活性③．规范性④．真实性,<p>A①、②、③</p><p>B①、③、④</p><p>C②、③、④</p><p>D①、②、③、④</p>,4,B,灵活性不属于基金信息披露应满足的原则,0,0
1,(单选题)基金销售机构在实施基金销售适用性的过程中应当遵循以下原则（）。①.投资人利益优先原则②.全面性原则③.客观性原则④.及时性原则,<p>A①、②</p><p>B①、②、③</p><p>C②、③、④</p><p>D①、②、③、④</p>,4,D,基金销售机构在实施基金销售适用性的过程中应当遵循投资人利益优先原则、全面性原则、客观性原则、及时性原则。,0,0
1,(单选题)我国基金监管法律法规体系的核心是（）。,<p>A《基金管理公司管理办法》</p><p>B《基金运作管理办法》</p><p>C《证券投资基金法》</p><p>D《证券法》</p>,4,C,在我国，基金监管的首要目标是保护投资者利益。,0,0
1,(单选题)基金行业的本质是（）,<p>A资产管理行业</p><p>B投资咨询行业</p><p>C资产托管行业</p><p>D中间介绍行业</p>,4,A,基金行业的本质是资产管理行业,0,0
1,(单选题)证券投资基金具有集合投资的特点，集合投资的优点是（）。,<p>A具有规模优势</p><p>B强化监管</p><p>C风险固定</p><p>D收益稳定</p>,4,A,暂无，请查看考友笔记,0,0
1,(单选题)基金管理人的合规审核包含的程序不包括〔).,<p>A制定合规审核核机制</p><p>B合规审核调查</p><p>C合规审核后续完善</p><p>D合规审核评价</p>,4,C,基金管理人的合规审核包含以下程序:制定合规审核机制、合规审核调查、合规审核评价。,0,0
1,(单选题)契约型基金的运作关系中，处于核心地位的是（）。,<p>A基金管理人</p><p>B基金托管人</p><p>C基金监管机构</p><p>D基金持有人</p>,4,A,暂无，请查看考友笔记,0,0
1,(单选题)证券业协会性质上是（）。,<p>A证券投资人</p><p>B证券服务机构</p><p>C自律性组织</p><p>D证券监管机构</p>,4,C,证券业协会性质上是自律性组织.,0,0
1,(单选题)基金信息披露形式方面应遵循的基本原则不包括（）。,<p>A真实性</p><p>B规范性</p><p>C易得性</p><p>D易解性</p>,4,A,披露“内容”应遵循的原则有：真实性、准确性、完整性、及时性、公平披露原则。披露“形式”应遵循的原则有：规范性、易解性、易得性原则。,0,0
1,(单选题)下列关于增值型基金、收入型基金和平衡性基金的风险和收益的关系，说法正确的有（）,"<p>A增值型基金的风险大，收益高</p><p>B收入型基金的风险大，收益高</p><p>C平衡型基金的风险小，收益较低</p><p>D收入型基金的风险,收益介于增长型基金与平衡型基金之间</p>",4,A,一般而言增长型基金的风险大、收益高;收入型基金的风险小、收益较低；平衡型基金的风险，收益介于增长型与收入型基金之间。,0,0
1,(单选题)基金信息披露的作用不包活（）.,<p>A有利于投资者的价值判断</p><p>B有利于防止利益冲突和利益输送</p><p>C有利于提高证券市场的效率</p><p>D有利于降低系统风险</p>,4,D,基金信息披露的4个作用:有利于投资者的价值判断:有利于防止利益冲突与利益输送;有利于提高证券市场的效率:有利于防止信息滥用,0,0
1,(单选题)目前，我国证券投资基金的作用，错误的是（）。,<p>A有利于抑制通货膨胀</p><p>B有利于证券市场的稳定</p><p>C优化金融结构，促进经济增长</p><p>D拓宽中小投资者的投资渠道</p>,4,A,暂无，请查看考友笔记,0,0
1,(单选题)当基金二级市场交易价格高于其份额净值时。称为（）。,<p>A溢价交易</p><p>B折价交易</p><p>C平价交易</p><p>D不确定</p>,4,A,溢价交易的定义。,0,0
1,(单选题)基金管理人可设总经理（），副总经理（）。,<p>A一人;若干人</p><p>B若干人;一人</p><p>C两人；若干人.</p><p>D若干人；两人</p>,4,A,基金管理人可设总经理一人，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）副经理若干人。,0,0
1,(单选题)货币市场基金可以投资于以下金融工具（）。,<p>A现金</p><p>B股票</p><p>C可转涣债券</p><p>D信用等级在AAA级以下的企业债券</p>,4,A,货币市场基金投资于以下会融工具:(i)殷票;(2〕可转换债券:(3)熟余期限超过397天的债券;(4)信用等级在AAA级以下的企业债券;(5)国闪信用评级机构评定的A-1级或相当于A-1级的短期信用级别及该标准以下的短期融资券〔6)流通受限的证券,0,0
1,(单选题)（）是资产管理的主要方式之一，它是一种组合投资、专业管理利益共享、风险公担的集合投资方式。,<p>A投资基金</p><p>B信托管理</p><p>C证券债券</p><p>D证券理财</p>,4,A,投资基金是资产管理的主要方式之一，它是一种组台投资、专业管理、利益共享、风险共担的集合投资方式。,0,0
1,(单选题)以下关于职业道德的作用，说法不正确的是(〕。,<p>A调整职业关系</p><p>B提升职业素质</p><p>C促进行业发展</p><p>D促进人才进步</p>,4,D,本题考察职业道德的作用.职业道德的作用有:调整职业关系、提升职业素质和促进行业发展。,0,0
1,(单选题)销售相关业务人员为了提高业绩和争抢客户，违反法规，为管理人带来处罚和声誉损失的风险是（）。,<p>A投资合规性风险</p><p>B销售合规性风险</p><p>C信息披露合规性风险</p><p>D反洗钱合规性风险</p>,4,B,暂无，请查看考友笔记,0,0
1,(单选题)根据投资目标的不同，可以将基金分为（）.,<p>A收入型基金、增长型基金和平衡型基金</p><p>B主动型基金和被动型基金</p><p>C公司型基金和契约型基金</p><p>D在岸基金和离岸基金</p>,4,A,根据投资目标的不同，可以将基金分为收入型基金、增长型基金知平衡型基金3种模型。,0,0
1,(单选题)招募说明书包含的重要信息包括（）。,<p>A涉及基金管理人、基金托管业务的诉讼</p><p>B转换基金运作方式</p><p>C涉及基金财产的诉讼</p><p>D基金运作方式</p>,4,D,涉及基金管理人，基金财产、基金托管业务的诉讼不属于招募说明书包含的重要信息：基金运作方式属于招募说明书包含的重要信息，转换基金运作方式不属于。,0,0
1,(单选题)封闭式基金的募集一般要经过申请、（）、发售、基金合同生效四个步骤.,<p>A认购</p><p>B核准</p><p>C发行</p><p>D申购</p>,4,B,考察基金的募集程序。基金的幕集一般要经过申请、核准、发售、基金合同生效四个步骤。,0,0
1,(单选题)QDII基金份额净值应当至少（）计算并披露一次，如基金投资衍生品应当在（）计算并披露.,<p>A每月，每周</p><p>B每周，每个工作日</p><p>C每月，每日</p><p>D每日，每日</p>,4,B,QDII基金份额净值应当至少每周计算并披露一次，如基金投资衍生品，应当在每个工作日计算并披露。,0,0
1,(单选题)基金份额在基金合同期限内固定不变，基金份额可以在依法设立的证券交易所交易，但基金份额待有人不得申请赎回的一种基金类型是（）。,<p>A开放式基金</p><p>B封闭式基金</p><p>C对冲基金</p><p>D契约型基金</p>,4,B,封闭式基金的定义。,0,0
1,(单选题)以下哪些内容是基金宣传推介材料中禁止的（）。,<p>A经相关机构认定的公司描述性词语</p><p>B登记过去10年的投资业绩</p><p>C“安心享受财富增长”</p><p>D基金分红公告</p>,4,C,不得登载单位或个人的推荐性文字。“安心享受财富增长”违规使用了可能使投资人认为没有风险的词语。,0,0
1,(单选题)基金管理人设监事会，监事会向股东会负责。监事会依法行使的职权不包括（）。,<p>A检查公司的财务</p><p>B对公司董事、总经理和其他高级管理人员执行公司职务时违反法律、行政法规或者公司章程的行为进行监督</p><p>C当公司董事、总经理和其他高级管理人员的行为损害公司的利益时，要求前述人员予以纠正</p><p>D决定公司合规管理部门的设置及其职能</p>,4,D,决定公司合规管理部门的i设置乃其职能属于董事会的合规责任,0,0
1,(单选题)证券投资基金的特点不包括（）.,<p>A集合理财、专业管理</p><p>B组合筹资、分散风险</p><p>C利益共享、风险共担</p><p>D严格监管、信息透明</p>,4,B,"证券投资基金的特点:（1）集台理财,专业管理；(2)组台投资分散风险；（3）利益共享、风险共但；（4）严格监管、信息透明；（5）独立托管、保障安全。",0,0
1,(单选题)（）即基金份额的持有人、基金产品的没资人，是基金资产的所有者和基金投资回报的受益人，是开展基金一切活动的中心。,<p>A基金托管人</p><p>B基金管理人</p><p>C基金客户</p><p>D基金当事人</p>,4,C,考查基金客户的定义.（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)下列情形中，督察长不用及时向公司董事会，中国证监会及相关派出机构报告的是（）.,<p>A基金及公司发生违法违规行为</p><p>B基金及公司存在重大经营风险或者隐患</p><p>C基金公司销售人员小李离职</p><p>D督察长依法认为需要报告的其他情形</p>,4,C,发现下列情形之一的督察长应当及时向公司董事会、中国证监会及相关派出机构报告：(1)基金及公司发生违法违规行为。.(2)基金及公司存在重大经营风险或隐患。(3督察长依法认为需要报告的其他情形.(4)中国证监会规定的其他情形.,0,0
1,(单选题)基金的后台管理服务不包括（）。,<p>A基金份额的注册登记</p><p>B基金资产的托管</p><p>C会计核算</p><p>D信息披露</p>,4,B,基金的后台管理服务的四个内容。,0,0
1,(单选题)公司内部控制的核心是风险控制，制定内部控制制度应当以审慎经营、防范和化解风险为出发点指的是（）。,<p>A合法性原则</p><p>B完整性原则</p><p>C及时性原则</p><p>D审慎性原则</p>,4,D,公司内部控制的核心是风险控制，制定内部控制制度应当以审慎经营、防范和化解风险为出发点。,0,0
1,(单选题)根据投资对象的不同，证券役资基金的划分类别不包括（）。,<p>A股票基金</p><p>B债券基金</p><p>C混台基金</p><p>D平衡型基金</p>,4,D,根据投资对象的不同，基金分为股票基金、债券基金、货币市场基金、混合基金等。,0,0
1,(单选题)公司型基金依据(〕设立并营运。,<p>A公司法</p><p>B公司章程</p><p>C基金法</p><p>D基金合同</p>,4,B,公司型基金依据基金公司章程设立，基金投资者是基金公司的股东，享有股东权，按所持有的股份承担有限责任。,0,0
1,(单选题)相对于实质性审查制度，强制性信息披露的基本推论是投资者在公开信息的基础上（）。,<p>A风险共担</p><p>B收益共享</p><p>C买者自慎</p><p>D买者自负</p>,4,C,相对于实质性审查制度，强制性信息披露的基本推论是投资者在公开信息的基础上‘买者自慎’。,0,0
1,(单选题)是社会认可和人们普遍接受的行为规范，既可以是成文的，也可以是不成文的，没有特定的表现形式。,<p>A道德</p><p>B法律</p><p>C行政法规</p><p>D思想观念</p>,4,A,道德是社会认可和人们普遍接受的行为规范，既可以是成文的，也可以是不成文的，没有特定的表现形式.,0,0
