1,(单选题)基金业协会的权力机构为（）。,<p>A会员大会</p><p>B董事会</p><p>C监事会</p><p>D股东大会</p>,4,A,基金业协会的权力机构为全体会员组成的会员大会。,0,0
1,(单选题)以下投资工具中，（）是应对通货膨胀最有效的手段。,<p>A混合基金</p><p>B债券基金</p><p>C货币市场基金</p><p>D股票基金</p>,4,D,股票基金是应对通货膨胀最有效的手段。,0,0
1,(单选题)以下说法正确的是（）。,<p>A封闭式基金和开放式基金期限不同</p><p>B投资者买卖开放式基金份额，只能委托证券公司在证券交易所按市价买卖</p><p>C封闭式基金和开放式基金份额限制相同</p><p>D开放式基金的交易价格主要受二级市场供求关系的影响</p>,4,A,封闭式基金和开放式基金份额限制不同；投资者买卖封闭式基金份额，只能委托证券公司在证券交易所按市价买卖；封闭式基金的交易价格主要受二级市场供求关系的影响。,0,0
1,(单选题)以下关于我国开放式基金赎回的说法中，不正确的是()。,<p>A采取未知价法</p><p>B采取份额赎回的方式</p><p>C必须以金额赎回方式进行</p><p>D赎回申请必须在交易所交易日下午3点之前提出</p>,4,B,目前，开放式基金所遵循的申购、赎回主要原则为：①“金额申购、份额赎回”原则，即申购以金额申请，赎回以份额申请；②“未知价”交易原则。,0,0
1,(单选题)以下关于开放式基金的描述，正确的是（）。,<p>A基金持有人可以办理其基金份额在不同销售机构的转托管手续</p><p>B由于需要收取一定转换费用，开放式基金份额转换的综合费用较高</p><p>C开放式基金的非交易过户，是从投资者的一个基金账户转移到其名下的另一个基金账户</p><p>D开放式基金的非交易过户只适用于个人投资者，机构投资者不能进行非交易</p>,4,A,开放式基金的非交易过户是指不采用申购、赎回等交易方式，将一定数量的基金份额按照一定规则从某一投资者基金账户转移到另一投资者基金账户的行为。基金份额的转换常常还会收取一定的转换费用，尽管如此，由于基金份额的转换不需要先赎回已持有的基金再购买另一基金，因此综合费用都较低。,0,0
1,(单选题)依据《证券投资摧金法》的规定，中国证监会依法履行职责，有权采取的监管措施不包括（）。,<p>A刑事处罚</p><p>B行政处罚</p><p>C限制交易</p><p>D调查取证</p>,4,A,依据《证券投资基金法》的规定，中国证监会依法履行职责，有权采取下列监管措施：①检查；②调查取证；③限制交易；④行政处罚。,0,0
1,(单选题)一般认为，世界上最早的证券投资基金即英国的“海外及殖民地政府信托基金”，产生于（）年。,<p>A1420</p><p>B1768</p><p>C1686</p><p>D1869</p>,4,D,投资基金的出现与世界经济的发展有着密切的关系，世界上第一只公认的证券投资基金“海外及殖民地政府信托”诞生在1869年的英国。,0,0
1,(单选题)一般来说，通过发行股票筹集的资金主要投向()。,<p>A期货市场</p><p>B银行存款</p><p>C实业领域</p><p>D有价证券</p>,4,C,①股票和债券是直接投资工具，筹集的资金主要投向实业领域；②基金是一种间接投资工具，所筹集的资金主要投向有价证券等金融工具或产品。,0,0
1,(单选题)信息披露义务人应当在重大事件发生之日起（）日内编制并披露临时报告书。,<p>A1</p><p>B3</p><p>C2</p><p>D5</p>,4,C,信息披露义务人应当在重大事件发生之日起2日内编制并披露临时报告书。,0,0
1,(单选题)下列选项中不属于我国基金份额持有人享有的权利的是（）。,<p>A按照规定要求召开基金份额持有人大会</p><p>B参与分配清算后的剩余基金财产</p><p>C依法转让或者申请赎回持有的基金份额</p><p>D查阅或者复制未公开披露的基金信息资料</p>,4,D,基金份额持有人享有的权利之一是查阅或者复制公开披露的基金信息资料。,0,0
1,(单选题)下列关于基金信息披露的表述，正确的是（）。,<p>A基金信息披露的原则一般可分为实质性原则与完整性原则</p><p>B在基金运作过程中可以不定期披露投资组合及基金财务状况的信息</p><p>C强制性信息披露是世界各国证券投资基金监管的普遍作法</p><p>D基金信息披露主要指的是在基金份额的募集过程中对基金招募说明书等信息的披露</p>,4,C,基金信息披露是指基金市场上有关当事人在基金募集、上市交易、投资运作等一系列环节中，依照法律法规规定向社会公众进行的信息披露。基金信息披露的原则体现在对披露内容和披露形式两方面的要求上。在披露内容上，要求遵循真实性原则、准确性原则、完整性原则、及时性原则和公平披露原则；在披露形式上，要求遵循规范性原则、易解性原则和易得性原则。基金运作信息披露文件主要包括净值公告、季度报告、半年度报告、年度报告以及基金上市交易公告书等。投资组合及财务会计报告在年度报告中披露。,0,0
1,(单选题)下列关于基金销售结算资金，说法错误的是（）。,<p>A禁止挪用</p><p>B是基金投资人结算账户与基金托管账户之间划转的基金申购（认购)、赎回、现金分红等资金</p><p>C由基金销售机构、基金销售支付结算机构或基金注册登记机构归集</p><p>D相关机构破产或清算时，其属于破产或清算财产</p>,4,D,相关机构破产或清算时，基金销售结算资金不属于破产或清算财产。,0,0
1,(单选题)下列关于基金销售机构的职责规范，说法错误的是（）.,<p>A基金销售机构在进行客户风险等级划分时，应综合考虑客户身份、地域、行业或职业、交易特征等因素</p><p>B客户身份资料自业务关系结束当年起至少保存15年</p><p>C基金募集申请获得中国证监会核准前，不得向公众公布基金宣传推介材料</p><p>D基金销售机构与基金管理人签订的书面销售协议，不应当包括基金销售信息交换及资金交收权利与义务</p>,4,D,基金销售机构与基金管理人签订的书面销售协议，应当包括基金销售信息交换及资金交收权利与义务。,0,0
1,(单选题)下列关于基金销售行为，错误的是（）。,<p>A不得采取抽奖的方式销售基金</p><p>B按照基金合同和招募说明书的约定向投资人收取销售费</p><p>C可以采取送基金份额的方式销售基金</p><p>D不以排挤竞争对手为目的，而压低基金的收费水平</p>,4,C,基金销售机构在基金销售活动中，不得采取抽奖、回扣或者送实物、保险、基金份额等方式销售基金。,0,0
1,(单选题)下列关于股票基金与股票区的表述，正确的是（）。,<p>A对基金份额净值高低进行合理与否的判断是有意义的</p><p>B股票基金份额净值会由于买卖数量或申购、赎回数量的多少而受到影响</p><p>C股票基金投资风险高于单一股票的投资风险</p><p>D股票价格在每一交易日内始终处于变动之中，股票基金净值的计算每天只进行一次，因此每一交易日股票基金只有1个价格</p>,4,D,"股票价格会由于投资者买卖股票数量的大小和强弱的对比而受到影响,股票基金份额净值不会由于买卖数量或申购、赎回数量的多少而受到影响。单一股票的投资风险较为集中，投资风险较大；股票基金由于分散投资，投资风险低于单一股票的投资风险。对基金份额净值高低进行合理与否的判断是没有意义的,因为基金份额净值是由其持有的证券价格复合而成的。",0,0
1,(单选题)下列关于道德和法律的关系，说法不正确的是（）。,<p>A功能互补</p><p>B表现形式相同</p><p>C调整范围不同</p><p>D都是行为规范</p>,4,B,法律与道德表现形式不同。,0,0
1,(单选题)下列不属于内部控制原则的是（）。,<p>A相互制约</p><p>B独立性</p><p>C健全性</p><p>D客观性</p>,4,D,内部控制的五原则是：①健全性②有效性；③独立性；④相互制约；⑤成本效益原则。,0,0
1,(单选题)基金交易应实行（），基金经理不得直接向交易员下达投资指令或者直接进行交易。,<p>A投资对象备选库制度</p><p>B投资决策授权制度</p><p>C审查制度</p><p>D集中交易制度</p>,4,D,基金交易应实行集中交易制度，基金经理不得直接向交易员下达投资指令或者直接进行交易。,0,0
1,(单选题)基金监管的首要目标是（）。,<p>A规范证券投资基金活动</p><p>B保护基金管理人利益</p><p>C保证证券投资基金和资本市场的健康发展</p><p>D保护投资人利益</p>,4,D,基金监管的首要目标是保护投资人利益。,0,0
1,(单选题)基金监管“三公”原则中的公正原则是指（）。,<p>A要求作为证券监管对象之一的基金市场具有充分的透明度，实现市场信息公开化</p><p>B对监管对象公正对待，一视同仁</p><p>C基金市场主体平等，要求基金监管机构依照相同的标准衡量同类监管对象的行为</p><p>D要求基金监管机构的监管规则和处罚应当公开</p>,4,B,公正原则，要求基金监管机构在公开、公平基础上，对监管对象公正对待，一视同仁。,0,0
1,(单选题)基金合同是规范基金当事人权利义务关系的基本法律文件，这些当事人不包括（）。,<p>A基金托管人</p><p>B基金管理人</p><p>C基金代销机构</p><p>D基金份额持有人</p>,4,C,我国的证券投资基金依据基金合同设立，基金份额持有人、基金管理人与基金托管人是基金合同的当事人，简称基金当事人。,0,0
1,(单选题)基金管人在董事会和管理层会设立专门的风险控制委员会，安排（）分管合规管理部的工作。,<p>A独立董事</p><p>B总经理</p><p>C基金经理</p><p>D督察长</p>,4,D,基金管人在董事会和管理层会设立专门的风险控制委员会，安排督察长分管合规管理部的工作。,0,0
1,(单选题)基金管理人职责终止的，基金份额持有人大会应当在（）个月内选任新基金托管人。,<p>A3</p><p>B12</p><p>C6</p><p>D24</p>,4,C,基金管理人职责终止的，基金份额持有人大会应当在6个月内选任新基金托管人。,0,0
1,(单选题)基金代销机构使用基金宣传推介材料时有违规情形的，将视违规程度由（）依法采取行政监管或行政处罚措施。,<p>A中央银行或财政部</p><p>B中国证监会或证监局</p><p>C中央银行或证监会</p><p>D中国证监会或财政部</p>,4,B,基金代销机构使用基金宣传推介材料时有违规情形的，将视违规程度由中国证监会或证监局依法采取行政监管或行政处罚措施。,0,0
1,(单选题)基金持有的金融资产和承担金融负债常归类为（）和金融负债。,<p>A持有至到期投资</p><p>B贷款和应收款项</p><p>C以公允价值计量且其变动计入当期损益的金融资产</p><p>D可供出售的金融资产</p>,4,C,基金持有的金融资产和承担金融负债通常归类为以公允价值计量且其变动计入当期损益的金融资产和金融负债。,0,0
1,(单选题)基金（）通过依法行使审批或核准权，依法办理基金备案，对基金管理人、基金托管人以及其他从事基金活动的中介机构进行监督管现，对违法行为进行查处，在基金的运作过程中起着重要的作用。,<p>A份额持有人</p><p>B托管人</p><p>C监管机构</p><p>D注册登记机构</p>,4,C,基金监管机构通过依法行使审批或核准权，依法办理基金备案，对基金管理人、基金托管人以及其他从事基金活动的中介机构进行监督管理，对违法违规行为进行查处，因此其在基金的运作过程中起着重要的作用。,0,0
1,(单选题)货币型基金的认购费一般为()。,<p>A1%以下</p><p>B1%～1.5%</p><p>C0.01</p><p>D0</p>,4,D,货币型基金一般认购费为0。,0,0
1,(单选题)货币市场基金的赎回资金划付较快一些，一般（）日即可从基金的银行存款账户划出，最快可在划出当日到达投资者资金账户。,<p>AT</p><p>BT+2</p><p>CT+1</p><p>DT+3</p>,4,C,货币市场基金的赎回资金划付较快一些，一般T＋1日即可从基金的银行存款账户划出，最快可在划出当日到达投资者资金账户。,0,0
1,(单选题)关于基金销售费用，下列说法错误的是（）。,<p>A基金管理人可以向销售机构支付非以销售基金的保有量为基础的客户维护费</p><p>B按照基金合同和招募说明书的约定，可以对不同的投资人适用不同费率</p><p>C基金管理人与基金销售机构可以在基金销售协议中约定依据销售机构销售基金的保有量提取一定比例的客户维护费</p><p>D销售基金产品前，基金销售机构应与基金管理人签订销售协议，约定支付报酬的比例和方式</p>,4,A,基金管理人不得向销售机构支付非以销售基金的保有量为基础的客户维护费。,0,0
1,(单选题)关于封闭式基金账户的陈述，正确的是（）。,<p>A基金账户只能用于基金认购及交易</p><p>B基金账户在商业银行办理</p><p>C基金账户开户在证券登记机构办理</p><p>D每个有效身份证件可以开立多个基金账户</p>,4,C,"基金账户只能用于基金、国债及其他债券的认购及交易。个人投资者开立基金账户,需持本人身份证到证券注册登记机构办理开户手续。每个有效证件只允许开设1个基金账户，已开设证券账户的不能再重复开设基金账户。",0,0
1,(单选题)公募基金的托管人以（）名义在中国登记结算公司开立结算备付金账户，用于基金场内证券交易的资金交收。,<p>A基金销售机构</p><p>B基金托管人</p><p>C证券投资基金</p><p>D基金管理人</p>,4,B,公募基金的托管人以基金托管人的名义在中国登记结算公司开立结算备付金账户，用于基金场内证券交易的资金交收。,0,0
1,(单选题)公开募集基金的基金合同不包括（）。,<p>A基金份额持有人、基金管理人和基金托管人的权利、义务</p><p>B基金管理人和基金托管人的名称和住所</p><p>C基金财产的投资方向和投资限制</p><p>D基金份额的发售方式、发售机构及登记机构名称</p>,4,A,选项A属于招募说明书的内容。,0,0
1,(单选题)对于持有期低于（）的投资人，基金管理人不得免收其后端申购（认购）费用。,<p>A3个月</p><p>B3年</p><p>C1年</p><p>D5年</p>,4,B,对于持有期低于3年的投资人，基金管理人不得免收其后端申购（认购）费用。,0,0
1,(单选题)对基金管理公司持有5%以上股权的非主要股东，非主要股东为自然人的，个人金融资产不低于（）万元人民币，在境内外资产管理行业从业（）年以上。,<p>A3000；10</p><p>B1000；10</p><p>C3000；5</p><p>D1000；5</p>,4,D,对基金管理公司持有5%以上股权的非主要股东，非主要股东为自然人的，个人金融资产不低于1000万元人民币，在境内外资产管理行业从业5年以上。,0,0
1,(单选题)对冲基金，基于投资理论和极其复杂的金融市场操作技巧，充分利用各种金融衍生产品的杠杆效用，（）的投资模式。,<p>A承担低风险、追求低收益</p><p>B承担低风险、追求高收益</p><p>C承担高风险、追求高收益</p><p>D承担高风险、追求低收益</p>,4,C,对冲基金，基于投资理论和极其复杂的金融市场操作技巧，充分利用各种金融衍生产品的杠杆效用，承担高风险，追求高收益的投资模式。,0,0
1,(单选题)督察长应当定期或不定期向（）报告工作情况，并在董事会及董事会下设的相关专门委员会定期会议上报告基金及公司运作的合法合规情况及公司内部风险控制情况。,<p>A合规管理部门</p><p>B全体监事</p><p>C总经理</p><p>D全体董事</p>,4,D,督察长应当定期或不定期向全体董事报告工作情况，并在董事会及董事会下设的相关专门委员会定期会议上报告基金及公司运作的合法合规情况及公司内部风险控制情况。,0,0
1,(单选题)督察长发现基金及公司运作中存在问题时，应当及时告知公司（）和相关业务负责人，提出处理意见和整改建议.并监督整改措施的制定和落实。,<p>A总经理</p><p>B董事会</p><p>C股东会</p><p>D董事长</p>,4,A,督察长发现基金及公司运作中存在问题时，应当及时告知公司总经理和相关业务负责人，提出处理意见和整改建议，并监督整改措施的制定和落实。,0,0
1,(单选题)当前，我国开放式基金已经构建一条（）在内的风险由低到高的产品线，以满足不同风险偏好者的需求。,<p>A债券基金、货币市场基金、混合基金、股票基金</p><p>B债券基金、货中市场基金、混合基金、股票基金</p><p>C货币市场基金、债券基金、混合基金、股票基金</p><p>D货币市场基金、债券基金、股票基金、混合基金</p>,4,C,当前，我国开放式基金已经构建一条货币市场基金、债券基金、混合基金、股票基金等在内的风险由低到高的产品线，以满足不同风险偏好者的需求。,0,0
1,(单选题)当发生巨额赎回及部分延期赎回时，基金管理人应立即向中国证监会备案，在（）个工作日内在至少一种中国证监会指定的信息披露媒体公告，并说明有关处理方法。,<p>A1</p><p>B5</p><p>C3</p><p>D10</p>,4,C,当发生巨额赎回及部分延期赎回时，基金管理人应立即向中国证监会备案，在3个工作日内在至少一种中国证监会指定的信息披露媒体公告，并说明有关处理方法。,0,0
1,(单选题)基金管理人利用基金财产为基金份额持有人以外的第三人牟取利益，属于合规风险中的（）。,<p>A反洗钱合规性风险</p><p>B销售合规性风险</p><p>C信息披露合规性风险</p><p>D投资合规性风险</p>,4,D,基金管理人利用基金财产为基金份额持有人以外的第三人牟取利益，属于投资合规性风险。,0,0
1,(单选题)基金管理人监事会（）至少召开一次会议，监事会决议至少须经（）以上监事投票通过。,<p>A每半年；2/3</p><p>B每年；2/3</p><p>C每年；1/2</p><p>D每半年；1/2</p>,4,C,基金管理人监事会每年至少召开一次会议，监事会决议至少须经半数以上监事投票通过。,0,0
1,(单选题)基金管理人的最主要职责是负责（）。,<p>A基金资产的投资运作</p><p>B基金资产清算和会计复核</p><p>C基金资产的保管</p><p>D受托资产管理</p>,4,A,基金管理人是基金产品的募集者和基金的管理者，其最主要的职责就是按照基金合同的约定，负责基金资产的投资运作，在风险控制的基础上为基金投资者争取最大的投资收益。,0,0
1,(单选题)基金管理人的高级管理层负责制定书面的合规政策，应报经（）审议批准后传达给全体员工。,<p>A合规管理部门</p><p>B董事会</p><p>C合规与风险管理委员会</p><p>D股东大会</p>,4,B,基金管理人的高级管理层负责制定书面的合规政策，应报经董事会审议批准后传达给全体员工。,0,0
1,(单选题)ETF基金和T日现金差额相关内容应在（）的申购、赎回清单中公共。,<p>AT+2日</p><p>BT-1日</p><p>CT日</p><p>DT+1日</p>,4,D,T日现金差额在T＋1日的申购、赎回清单中公告。,0,0
1,(单选题)EFT基金管理人（）会根据基金资产净值、投资组合以及标的指数的成分股股票情况，公布证券申购赎回清单。,<p>A每一交易日闭市后</p><p>B每一交易日开市后</p><p>C每一交易日闭市前</p><p>D每一交易日开市前</p>,4,D,EFT基金管理人每一交易日开市前会根据基金资产净值、投资组合以及标的指数的成分股股票情况，公布证券申购赎回清单。,0,0
1,(单选题)2014年8月生效的《公开募集证券投资基金运作管理办法》中规定，（）以上的基金资产投资于其他基金份额的，为基金中的基金。,<p>A0.5</p><p>B0.6</p><p>C0.8</p><p>D1</p>,4,C,2014年8月生效的《公开募集证券投资基金运作管理办法》中规定，80%以上的基金资产投资于其他基金份额的，为基金中的基金。,0,0
1,(单选题)2008年8月19日起，我国证券交易印花税税率标准调整为（）。,"<p>A对出让方和受让方分别按1‰征收</p><p>B对出让方不再征收,对受让方按1‰征收</p><p>C对出让方按1‰征收，对受让方不再征收</p><p>D对出让方和受让方均不再征收</p>",4,C,2008年8月19日起，证券交易印花税只对出让方按1‰征收，对受让方不再征收。,0,0
1,(单选题)2007年，（）设立了基金公司会员部，负责基金管理公司和基金托管银行特别会员的自律管理。,<p>A中国证监会</p><p>B中国证券业协会</p><p>C中国银监会</p><p>D中国基金业协会</p>,4,B,2007年，中国证券业协会设立了基金公司会员部，负责基金管理公司和基金托管银行特别会员的自律管理。,0,0
1,(单选题)（）是指投资于传统的股票、债券之外的金融和实物资产的基金，如房地产、证券化资产等。,<p>A证券投资基金</p><p>B另类投资基金</p><p>C风险投资基金</p><p>D对冲基金</p>,4,B,考查另类投资基金的定义。,0,0
1,(单选题)（）是指基金销售机构或人员为解决客户有关问题而提供的系列活动。,<p>A基金售后服务</p><p>B基金销售服务</p><p>C基金理财服务</p><p>D基金客户服务</p>,4,D,基金客户服务是指基金销售机构或人员为解决客户有关问题而提供的系列活动。,0,0
1,(单选题)（）是指基金销售部门在销售基金和相关产品的过程中，注重根据基金投资人的风险承受能力销售不同风险等级的产品，把合适的产品卖给合适的基金投资人。,<p>A基金销售搭配性</p><p>B基金销售收益性</p><p>C基金销售风险性</p><p>D基金销售适用性</p>,4,D,基金销售适用性是指基金销售部门在销售基金和相关产品的过程中，注重根据基金投资人的风险承受能力销售不同风险等级的产品，把合适的产品卖给合适的基金投资人。,0,0
1,(单选题)（）是指公司内部控制的核心是风险控制，制定内部控制制度要以审慎经营、防范和化解风险为出发点。,<p>A合法、合规性</p><p>B全面性</p><p>C审慎性</p><p>D适时性</p>,4,C,审慎性原则。公司内部控制的核心是风险控制，制定内部控制制度应当以审慎经营、防范和化解风险为出发点。,0,0
1,(单选题)（）是投资基金中最主要的一种类别。,<p>A私募股权基金</p><p>B对冲基金</p><p>C证券投资基金</p><p>D另类投资基金</p>,4,C,证券投资基金是投资基金中最主要的一种类别。,0,0
1,(单选题)（）是识别和分析与现实目标相关的风险，从而为确定应该如何管理风险奠定基础。,<p>A事项识别</p><p>B风险应对</p><p>C风险评估</p><p>D行为监控</p>,4,C,风险评估是识别和分析与现实目标相关的风险，从而为确定应该如何管理风险奠定基础。,0,0
1,(单选题)基金托管人职责终止的，基金份额持有人大会应当在6个月内选任新基金托管人，新基金托管人产生前，由（）指定临时基金托管人。,<p>A中国基金业协会</p><p>B中国证监会</p><p>C中国银监会</p><p>D基金管理人</p>,4,B,新基金托管人产生前，由中国证监会指定临时基金托管人。,0,0
1,(单选题)基金托管人召集基金份额持有人大会应至少提前（）日公告大会的召开时间、会议形式、审议事项和表决方式等事项。,<p>A10</p><p>B45</p><p>C15</p><p>D30</p>,4,D,基金托管人召集基金份额持有人大会应至少提前30日公告大会的召开时间、会议形式、审议事项和表决方式等事项。,0,0
1,(单选题)基金上市交易公告书披露的事项不包括（）。,<p>A募集情况与上市交易安排</p><p>B基金合同摘要</p><p>C基金托管人报告</p><p>D基金持有人结构</p>,4,C,基金上市交易公告书的主要披露事项包括：①基金概况；②基金募集情况与上市交易安排；③持有人户数；④持有人结构及前10名持有人；⑤主要当事人介绍；⑥基金合同摘要；⑦基金财务状况；⑧基金投资组合报告；⑨重大事件揭示等。,0,0
1,(单选题)基金募集失败，基金管理人应当在基金募集期限届满后（）日内返还投资人已交纳的款项，并加计银行同期存款利息。,<p>A10</p><p>B30</p><p>C20</p><p>D60</p>,4,B,基金募集失败，基金管理人应当在基金募集期限届满后30日内返还投资人已交纳的款项，并加计银行同期存款利息。,0,0
1,(单选题)基金募集期限自（）起计算。,<p>A基金份额发售前两天</p><p>B基金份额发售之日</p><p>C基金份额发售前一天</p><p>D基金份额发售第二天</p>,4,B,基金募集期限自基金份额发售之日起计算。,0,0
1,(单选题)基金经营机构的客户交易记录自交易记账当年计起至少保存（）年。,<p>A3</p><p>B10</p><p>C5</p><p>D15</p>,4,C,基金经营机构的客户交易记录自交易记账当年计起至少保存5年。基金销售机构的客户交易记录自交易记账当年计起至少保存15年。,0,0
1,(单选题)公开募集基金的基金管理人因违法违规、违反基金合同等原因给基金财产或者基金份额持有人合法权益造成损失，应当承担赔偿责任的，可以优先使用()予以赔偿。,<p>A固有财产</p><p>B基金资产</p><p>C风险准备金</p><p>D银行贷款</p>,4,C,公开募集基金的基金管理人因违法违规、违反基金合同等原因给基金财产或者基金份额持有人合法权益造成损失，应当承担赔偿责任的，可以优先使用风险准备金予以赔偿。,0,0
1,(单选题)根据公司监察稽核工作的需要和董事会授权，督察长可以（）。,<p>A兼任其他基金公司董事会成员</p><p>B兼任公司理事</p><p>C任免公司总经理</p><p>D列席公司相关会议</p>,4,D,根据公司监察稽核工作的需要和董事会授权，督察长可以列席公司相关会议，调阅公司相关档案，就内部控制制度的执行情况独立地履行检查、评价、报告、建议职能。,0,0
1,(单选题)封闭式基金的报价单位为每份基金价格，基金的申报价格最小变动单位为0.001元人民币，买入与卖出封闭式基金份额申报数量应当为（）份或其整数倍，单笔最大数量应低于100万份。,<p>A1</p><p>B100</p><p>C10</p><p>D1000</p>,4,B,封闭式基金的报价单位为每份基金价格，基金的申报价格最小变动单位为0.001元人民币，买入与卖出封闭式基金份额申报数量应当为100份或其整数倍，单笔最大数量应低于100万份。,0,0
1,(单选题)多个基金共用一个基金合同，子基金独立运作，子基金之间可以进行相互转换的基金是（）。,<p>A系列基金</p><p>B债券基金</p><p>C货币市场基金</p><p>D股票基金</p>,4,A,本题考查系列基金的概念。,0,0
1,(单选题)对于系统运行数据中涉及基金投资人信息和交易记录的备份在不可修改的介质上至少保存（）年。,<p>A15</p><p>B5</p><p>C10</p><p>D3</p>,4,A,对于系统运行数据中涉及基金投资人信息和交易记录的备份在不可修改的介质上至少保存15年。,0,0
1,(单选题)对于基金销售渠道审慎调查的说法，正确的是（）。,<p>A基金代销机构对基金管理人的审慎调查</p><p>B基金管理人对基金代销机构的审慎调查</p><p>C基金管理人和基金代销机构相互进行审慎调查</p><p>D以上说法都正确</p>,4,D,基金销售渠道审慎调查包括基金代销机构对基金管理人的审慎调查，也包括基金管理人对基金代销机构的审慎调查，基金销售的适用性要求基金管理人和基金代销机构相互进行审慎调查。,0,0
1,(单选题)对于基金客户的档案数据，应当（）。,<p>A逐日备份并本地妥善存放</p><p>B逐日备份并异地妥善存放</p><p>C逐月备份并异地妥善存放</p><p>D实时备份并本地妥善存放</p>,4,B,对于基金客户的档案数据，应当逐日备份并异地妥善存放。,0,0
1,(单选题)证券投资基金投资的起点是（）。,<p>A基金变更</p><p>B基金交易</p><p>C注册登记</p><p>D基金募集</p>,4,D,基金募集是证券投资基金投资的起点。,0,0
1,(单选题)在证券市场交易中（）是市场存在的基础。,<p>A信息不对称</p><p>B道德风险</p><p>C经济的发展</p><p>D价格预期</p>,4,A,在证券市场交易中，信息不对称是市场存在的基础。,0,0
1,(单选题)在一国境内设立，经该国有关部门批准从事境外证券市场的股票、债券等有价证券投资的基金是指（）。,<p>ALOF基金</p><p>BETF基金</p><p>CETF联接基金</p><p>DQDII基金</p>,4,D,QDII基金是指在一国境内设立，经该国有关部门批准从事境外证券市场的股票、债券等有价证券投资的基金。,0,0
