1,(单选题)基金财务会计报表不包括( ),<p>A资产负债表</p><p>B利润表</p><p>C净值变动表</p><p>D股东权益变动表</p>,4,D,基金财务会计报表包括资产负债表、利润表及净值变动表等报表,0,0
1,(单选题)技术分析是建立在否定()的基础之上。,<p>A有效市场</p><p>B半强有效市场</p><p>C强有效市场</p><p>D弱有效市场</p>,4,D,以技术分析为基础的投资策略是在否定弱有效市场的前提下，以历史交易数据(过去的价格和交易量数 据)为基础，预测单支股票或市场总体未来变化趋势的一种投资策略。 ,0,0
1,(单选题)下列各项指标中，可用于分析企业长期偿债能力的是( ),<p>A营运效率比率</p><p>B流动比率</p><p>C资产负债率</p><p>D速动比率</p>,4,C,与流动性比率一样，财务杠杆比率同样是分析企业偿债能力的风险指标。不同的是，财务杠杆比率衡 量的是企业长期偿债能力。由于企业的长期负债与企业的资本结构即使用的财务杠杆有关，所以称为 财务杠杆比率。常用的财务杠杆比率之一就是资产负债率。,0,0
1,(单选题)目前，我国证券投资基金的交易费用不包括( ),<p>A印花税</p><p>B审计费</p><p>C过户费</p><p>D交易佣金</p>,4,B,目前，我国证券投资基金的交易费用主要包括印花税、交易佣金、过户费、经手费、证管费,0,0
1,(单选题)在第一个交易日，投资者已经看到了投资机会，但由于设置了限价指令而没有完成任何交易，这就产生 了( ),<p>A已实现损失</p><p>B延迟成本</p><p>C佣金</p><p>D机会成本</p>,4,B,在第一个交易日，投资者已经看到了投资机会，但由于设置了限价指令而没有完成任何交易，这就产 生了延迟成本。,0,0
1,(单选题)有担保ADRs的类型中，属于私下交易的是( ),<p>A一级公募ADRs</p><p>B二级公募ADRs</p><p>C三级公募ADRs</p><p>D144A规则下的私募ADRs</p>,4,D,根据交易能力和对基础证券公司要求的不同，有担保的ADRs可分为四种类型，分别为一级、二级、三 级公募ADRs和144A规则下的私募ADRs。有担保ADRs的类型中，属于私下交易的144A规则下的私募ADRs。,0,0
1,(单选题)下列与基金有关的费用不能从基金财产中列支的有( ),<p>A销售服务费</p><p>B基金管理人的管理费</p><p>C基金托管人的托管费</p><p>D基金合同生效前的会计师费</p>,4,D,下列与基金有关的费用可以从基金财产中列支： ①基金管理人的管理费; ②基金托管人的托管费; ③销售服务费; ④基金合同生效后的信息披露费用; ⑤基金合同生效后的会计师费和律师费; ⑥基金份额持有人大会费用; ⑦基金的证券交易费用; ⑧按照国家有关规定和基金合同约定，可以在基金财产中列支的其他费用。,0,0
1,(单选题)资产配置的目标在于( ),<p>A消除投资的风险</p><p>B协调提高收益与降低风险之间的关系</p><p>C增强资金的流动性</p><p>D吸引投资者</p>,4,B,资产配置的目标在于协调提高收益与降低风险之间的关系。在半强有效市场环境下，资产配置可以降 低风险、提高收益。资产配置能有效的降低非系统性风险，但是不能完全消除风险。 ,0,0
1,(单选题) ( )是指将应分配的净利润按除息后的份额净值折算为等值的新的基金份额进行基金分配。,<p>A现金分红方式</p><p>B股票分红方式</p><p>C分红再投资转换为基金份额</p><p>D股票买卖差价</p>,4,C,分红再投资转换为基金份额是指将应分配的净利润按除息后的份额净值折算为等值的新的基金份额进 行基金分配,0,0
1,(单选题)在CAPM上发展出的风险调整差异衡量指标是( ),<p>A夏普比率</p><p>B特雷诺比率</p><p>C詹森α</p><p>D五力模型</p>,4,C,在CAPM上发展出的风险调整差异衡量指标是詹森α。,0,0
1,(单选题)下列关于股票型基金的系统性风险的说法，正确的是( ),<p>A系统性风险是可分散风险</p><p>B系统性风险不包括汇率风险</p><p>C系统性风险即市场风险</p><p>D系统性风险包括基金管理公司的经营风险</p>,4,C,系统性风险即市场风险。系统性风险不能通过分散投资加以消除，因此又称为不可分散风险。包括政 策风险、经济周期波动风险、利率风险、购买力风险、汇率风险等。经营风险属于非系统风险。,0,0
1,(单选题)债券收益率的构成因素不包括(　）,<p>A息票利率</p><p>B基础利率 </p><p>C再投资利率</p><p>D未来到期收益率</p>,4,B,债券投资收益可能来自于息票利息、利息收入的再投资收益和债券到期或被提前赎回或卖出时所得到 的资本利得三个方面。因此，息票利率、再投资利率和未来到期收益率是债券收益率的构成因素。,0,0
1,(单选题)期货合约是在交易所交易的标准化产品，其特点是（ ),<p>A无固定的交易场所、透明的合约价格、较高的交易成本和很强的流动性</p><p>B无规范的合约、透明的合约价格、较高的交易成本和很强的流动性</p><p>C有固定的交易场所、规范的合约、透明的合约价格、较低的交易成本和很强的流动性</p><p>D无固定的交易场所、规范的合约、非公开的合约价格、较高的交易成本和很强的流动性</p>,4,C,期货合约是在交易所交易的标准化产品，和股票一样，有固定的交易场所、规范的合约、透明的合约 价格、较低的交易成本和很强的流动性。期货市场本身所具有的价格发现功能，使得商品期货价格成 为现货交易的基准价格。 ,0,0
1,(单选题)一般来说，其他条件相同的情况下，流动性较强的债券的收益率（）,<p>A无法判断</p><p>B较低</p><p>C没有差异</p><p>D较高</p>,4,B,一般来说，流动性较强的债券在收益率上往往有一定折让，即流动性较强的债券的收益率较低，折让 的幅度反映了债券流动性的价值。,0,0
1,(单选题)根据资本资产定价模型，市场价格偏高的证券将会(　）,<p>A位于证券市场线上</p><p>B位于证券市场线下方</p><p>C位于资本市场线上</p><p>D位于证券市场线上方</p>,4,D,资本资产定价模型的图示形式称为证券市场线，证券市场线很清晰地反映了风险资产的预期报酬率或 均衡期望收益率与其所承担的系统风险β系数之间的线性关系，充分体现高风险高收益的原则。 通常情况下，风险资产往往偏离证券市场线，位于其上方或下方。当风险资产位于其上方时，表明该 风险资产被高估，市场价格偏高;反之亦然。,0,0
1,(单选题)（　)认为，远期利率包括了预期的未来利率与流动性风险补偿。,<p>A完全预期理论</p><p>B流动性偏好理论</p><p>C集中偏好理论</p><p>D市场分割理论</p>,4,B,流动性偏好理论认为，远期利率包括了预期的未来利率与流动性风险补偿。 ,0,0
1,(单选题)影响投资决策的（　）主要是心理上的因素。,<p>A外在因素</p><p>B内在因素 </p><p> C个人因素 </p><p>D社会因素</p>,4,B,影响投资决策的内在因素主要是心理上的因素。,0,0
1,(单选题)（　）指的是债券的平均到期时间，度量了债券投资者回收其全部本金和利息的平均时间,<p>A凸性</p><p>B麦考利久期</p><p>C信用利差</p><p>D利率期限结构</p>,4,B,麦考利久期(duration)，又称为存续期，指的是债券的平均到期时间，它是从现值角度度量了债券现金 流的加权平均年限，即债券投资者收回其全部本金和利息的平均时间。,0,0
1,(单选题),<p>A投资者的年龄</p><p>B资产负债状况</p><p>C财务变动状况</p><p>D投资者受教育情况</p>,4,D,影响投资者风险承受能力和收益要求的因素通常有投资者的年龄、资产负债状况、财务变动状况。,0,0
1,"(单选题)在基金管理公司,（ )负责记录并保存每日投资交易情况的工作。",<p>A投资部</p><p>B研究部</p><p>C交易部</p><p>D财务部</p>,4,C,交易部是基金投资运作的具体执行部门，负责组织、制定和执行交易计划。交易部的主要职能有： ①执行投资部的交易指令; ②记录并保存每日投资交易情况; ③保持与各证券交易商的联系并控制相应的交易额度; ④负责基金交易席位的安排、交易量管理等。,0,0
1,(单选题)多因子模型最大的优点不包括( ),<p>A调整组合业绩</p><p>B提高了大规模资产组合的风险度量难度</p><p>C降低了大规模资产组合的估计和预测难度</p><p>D方便基金经理对资产组合风险进行分解</p>,4,B,多因子模型最大的优点之一在于大大降低了大规模资产组合的风险度量、估计和预测难度，方便基金 经理对资产组合风险进行分解，从因素角度资产组合的风险和收益来源(包括潜在和实现的)，从而进 行建模和评价，调整组合业绩。,0,0
1,(单选题)( )给出了基金份额系统风险的超额收益率。,<p>A特雷诺指数</p><p>B夏普指数</p><p>C詹森指数</p><p>D信息比率</p>,4,A,第一个风险调整衡量方法是由特雷诺提出的，因此也就被人们称为特雷诺指数。特雷诺指数给出了基 金份额系统风险的超额收益率。夏普指数以标准差作为基金风险的度量，给出了基金份额标准差的超 额收益率。,0,0
1,(单选题)( )是指私募股权投资基金将其所持有的创业企业股权出售给企业的管理层从而退出的方式。,<p>A首次公开发行</p><p>B买壳上市</p><p>C管理层回购</p><p>D二次出售</p>,4,C,管理层回购是指私募股权投资基金将其所持有的创业企业股权出售给企业的管理层从而退出的方式。,0,0
1,(单选题)( )反映了市场的利率期限结构，对于收益率曲线不同形状的解释产生了不同的期限结构理论。,<p>A收益风险曲线</p><p>B风险曲线</p><p>C收益曲线</p><p>D收益率曲线</p>,4,D,描述债券到期收益率和到期期限之间关系的曲线称为收益率曲线(yieldcurve)，用来描述利率期限结构 (termstructureofinterestrate)。 ,0,0
1,(单选题)下列属于内在价值法的估值模型的是( ),<p>A市盈率模型</p><p>B市净率模型</p><p>C股利贴现模型</p><p>D市销率模型</p>,4,C,内在价值法又称绝对价值法或收益贴现模型，是按照未来现金流的贴现对公司的内在价值进行评估。 具体又分为股利贴现模型(DDM)、自由现金流量贴现模型(DCF)、超额收益贴现模型等。 ,0,0
1,(单选题)市盈率用公式表达为( ),<p>A市盈率=每股市价/每股净资产</p><p>B市盈率=股票市价/销售收入</p><p>C市盈率=每股收益(年化)/每股市价</p><p>D市盈率=每股市价/每股收益(年化)</p>,4,D,市盈率(P/E)=每股市价/每股收益(年化)。,0,0
1,(单选题)( )是指由风险资产构成，并且其成员资产的投资比例与整个市场上风险资产的相对市值比例一致的投资组合,<p>A市场投资组合</p><p>B切点投资组合</p><p>C风险投资组合</p><p>D有效投资组合</p>,4,A,市场投资组合是指由风险资产构成，并且其成员资产的投资比例与整个市场上风险资产的相对市值比 例一致的投资组合。 ,0,0
1,(单选题)买断式回购以净价交易，全价结算，可选择的结算方式不包括( ),<p>A券款对付</p><p>B见券付款</p><p>C见款付券</p><p>D纯券过户</p>,4,D,买断式回购以净价交易，全价结算，可选择的结算方式为券款对付、见券付款和见款付券三种方式。,0,0
1,(单选题)下列关于远期合约、期货合约、期权合约和互换合约区别的说法，不正确的是( ),<p>A期货合约只在交易所交易，期权合约大部分在交易所交易，远期合约和互换合约通常在场外交易，采 用非标准形式进行</p><p>B般而言，远期合约和互换合约通常是用实物进行交割，期货合约绝大多数通过对冲相抵消，通常使 用现金结算，极少实物交割</p><p>C远期合约和互换合约通常用保证金交易，因此有明显的杠杆，期货合约通常没有杠杆效应</p><p>D远期合约、期货合约和大部分互换合约都包括买卖双方在未来应尽的义务，期权合约和信用违约互换 合约只有一方在未来有义务</p>,4,C,期货合约通常用保证金交易，因此有明显的杠杆。期权合约中买方需要支付期权费，而卖方则需要缴 纳保证金，也会有杠杆效应。而远期合约和互换合约通常没有杠杆效应。 ,0,0
1,(单选题)关于普通股和优先股的风险收益比较，下列说法错误的是( ),<p>A普通股和优先股的不同特征决定其各自不同的风险和收益</p><p>B普通股在分配股利和清算时剩余财产的索取权优先于优先股</p><p>C固定的股息收益降低了优先股的风险</p><p>D普通股股东享有对剩余利润的要求权意味着其有较高的潜在收益率</p>,4,B,优先股在分配股利和清算时剩余财产的索取权优先于普通股，因而风险较低。此外，固定的股息收益也降低了优先股的风险。然而，优先股的收益也因此被限定为固定的股息收益，当公司盈利多时，相 比普通股而言，优先股获利更少。,0,0
1,(单选题)选择市盈率和市净率较低股票的理论基础在于，这两类股票的股价有( )支持,<p>A平稳的预期收益</p><p>B平稳的实际收益</p><p>C较高的预期收益</p><p>D较高的实际收益</p>,4,D,选择市盈率和市净率较低股票的理论基础在于，这两类股票的股价有较高的实际收益支持。,0,0
1,(单选题)信息比率计算公式与夏普比率类似，但引入了( )的因素，因此是对相对收益率进行风险调整的分析指标。,<p>A平均无风险收益率</p><p>B系统风险</p><p>C业绩比较基准</p><p>D市场平均收益率</p>,4,C,信息比率计算公式与夏普比率类似，但引入了业绩比较基准的因素，因此是对相对收益率进行风险调 整的分析指标。,0,0
1,(单选题)基本分析的优点是( ),<p>A能够比较全面地把握证券价格的基本走势，应用起来相对简单</p><p>B同市场接近，考虑问题比较直接</p><p>C预测的精度较高</p><p>D获得利益的周期短</p>,4,A,基本分析主要是对公司的基本面进行分析，能够比较全面地把握证券价格的基本走势，应用起来相对 简单。,0,0
1,(单选题)商业票据的特点不包括( ),<p>A面额较大</p><p>B利率较低，通常比银行优惠利率低</p><p>C利率比同期国债利率低</p><p>D只有一级市场，没有明确的二级市场</p>,4,C,商业票据的特点主要有三点： ①面额较大; ②利率较低，通常比银行优惠利率低，比同期国债利率高; ③只有一级市场，没有明确的二级市场。,0,0
1,(单选题)下列选项中，不属于中期票据的优点的是( ),<p>A弥补企业直接融资中等期限(1～10年)产品的空缺</p><p>B中期票据帮助企业更加灵活地管理资产负债表</p><p>C违约风险小，由国家信用和财政收入作保证</p><p>D节约融资成本，提高融资效率</p>,4,C,中期票据的优点： (1)弥补企业直接融资中等期限(1～10年)产品的空缺。 (2)中期票据帮助企业更加灵活地管理资产负债表。 (3)节约融资成本，提高融资效率。,0,0
1,(单选题)（ )是指赋予期权的买方在事先约定的时间以执行价格从期权卖方手中买入一定数量的标的资产的权利的合约。,<p>A卖出期权</p><p>B平价期权</p><p>C看涨期权</p><p>D看跌期权</p>,4,C,看涨期权是指赋予期权的买方在事先约定的时间以执行价格从期权卖方手中买入一定数量的标的资产 的权利的合约，又称买入期权。 ,0,0
1,(单选题)( )是交易行为对价格产生的影响，可以用交易头寸占日平均交易量的比例来衡量。 ,<p>A买卖差价</p><p>B市场冲击</p><p>C对冲费用</p><p>D机会成本</p>,4,B,市场冲击是交易行为对价格产生的影响，可以用交易头寸占日平均交易量的比例来衡量。头寸越大， 对市场价格的冲击越明显，交易所需的时间也越长，执行时间的延长就会导致机会成本的增加。 ,0,0
1,(单选题)股利贴现模型不包括( ),<p>A零增长模型</p><p>B不变增长模型</p><p>C多元增长模型</p><p>D公司自由现金流贴现模型</p>,4,D,根据对股利增长率的不同假定，股利贴现模型可以分为零增长模型、不变增长模型、三阶段增长模型 和多元增长模型。,0,0
1,(单选题)( )是指当市场利率下降时，债券发行人能够以更低的利率融资，因此可以提前偿还高息债券的风险。 ,<p>A利率风险</p><p>B信用风险</p><p>C提前赎回风险</p><p>D通货膨胀风险</p>,4,C,提前赎回风险是指债券发行人有可能在债券到期日之前回购债券的风险。当市场利率下降时，债券发 行人能够以更低的利率融资，因此可以提前偿还高息债券。持有附有提前赎回权债券的基金将不仅不 能获得高息收益，而且还会面临再投资风险。,0,0
1,(单选题)市场上交易的期权价格所蕴含的波动率是( ),<p>A历史波动率</p><p>B价格波动率</p><p>C隐含波动率</p><p>D数据波动率</p>,4,C,市场上交易的期权价格所蕴含的波动率是隐含波动率。,0,0
1,(单选题)投资组合管理的一般流程不包括( ),<p>A了解投资者需求</p><p>B制定投资政策</p><p>C投资组合构建</p><p>D承诺收益</p>,4,D,投资组合管理的一般流程包括：了解投资者需求、制定投资政策、进行类属资产配置、投资组合构 建、投资组合管理、风险管理、业绩评估等。 ,0,0
1,(单选题)金融衍生工具的基本特征不包括( ),<p>A跨期性</p><p>B收益性</p><p>C联动性</p><p>D不确定性或高风险性</p>,4,B,与股票、债券等金融工具有所不同，金融衍生工具具有跨期性、杠杆性、联动性、不确定性或高风险 性四个显著的特点。,0,0
1,(单选题)关于基金估值，以下说法正确的是( ),<p>A开放式基金于每个交易日的次日进行估值</p><p>B封闭式基金每周进行一次估值</p><p>C复核无误的基金份额净值由基金托管人对外公布</p><p>D开放式基金于每个交易日进行估值</p>,4,D,基金一般都按照固定的时间间隔对基金资产进行估值，通常监管法规会规定一个最小的估值频率。对 开放式基金来说，估值的时间通常与开放申购、赎回的时间一致。 目前，我国的开放式基金于每个交易日估值，并于次日公告基金份额净值。封闭式基金每周披露一次 基金份额净值，但每个交易日也都进行估值。,0,0
1,(单选题)QDII基金净值计算及披露的规定不包括( ),<p>A开放式基金净值及申购赎回价格的具体计算方法应当在基金、集合计划合同和招募说明书中载明，并 明确小数点后的位数</p><p>B基金份额净值应当至少每月计算并披露一次</p><p>C基金份额净值应当以人民币或美元等主要外汇货币单独或同时计算并披露</p><p>D基金份额净值应当在估值日后2个工作日内披露</p>,4,B,QDII基金的净值计算及披露做了明确规定：基金份额净值应当至少每周计算并披露一次，如基金投资 衍生品，应当在每个工作日计算并披露;基金份额净值应当在估值日后2个工作日内披露;基金份额净值 应当以人民币或美元等主要外汇货币单独或同时计算并披露;基金资产的每一买入、卖出交易应当在最 近份额净值的计算中得到反映;流动性受限的证券估值可以参照国际会计准则进行;衍生品的估值可以 参照国际会计准则进行;境内机构投资者应当合理确定开放式基金资产价格的选取时间，并在招募说明 书和基金合同中载明;开放式基金净值及申购赎回价格的具体计算方法应当在基金、集合计划合同和招 募说明书中载明，并明确小数点后的位数。 ,0,0
1,(单选题)EBITDA的计算公式中不涉及的因素是( ),<p>A净利润</p><p>B所得税</p><p>C利息</p><p>D利率</p>,4,D,EBITDA=净利润+所得税+利息+折旧+摊销。,0,0
1,(单选题)在理想交易中，投资者可以迅速地以决策时的基准价格完成一定数量的证券交易，且不存在( ),<p>A交易时间</p><p>B交易成本</p><p>C交易利润</p><p>D交易价格</p>,4,B,在理想交易中，投资者可以迅速地以决策时的基准价格完成一定数量的证券交易，且不存在交易成 本。 ,0,0
1,(单选题)( )可以准确地衡量基金表现的实际收益情况，因此常用于对基金过去收益率的衡量上,<p>A简单(净值)收益率</p><p>B时间加权收益率</p><p>C算术平均收益率</p><p>D几何平均收益率</p>,4,D,几何平均收益率运用了复利的思想，即考虑了货币的时间价值，通过对时间进行加权来衡量收益的情 况，因此克服了算术平均收益率会出现的上偏倾向，能反映其真实收益情况。,0,0
1,(单选题)关于基金利润，下列说法错误的是( ),<p>A基金利润是基金资产在运作过程中所产生的各种利润</p><p>B基金利润来源主要包括利息收入和投资收益</p><p>C基金资产估值引起的资产价值变动作为公允价值变动损益计入当期损益</p><p>D基金利润包括收入减去费用后的净额、直接计入当期利润的利得和损失等</p>,4,B,基金利润是指基金在一定会计期间的经营成果。利润包括收入减去费用后的净额、直接计入当期利润 的利得和损失等。基金利润来源主要包括利息收入、投资收益以及其他收入。 公允价值变动损益指基金持有的采用公允价值模式计量的交易性金融资产、交易性金融负债等公允价 值变动形成的应计入当期损益的利得或损失，并于估值日对基金资产按公允价值估值时予以确认。,0,0
1,(单选题)为了实现决策人与执行人的分离，防止基金经理决策的随意性与道德风险，投资交易的实现应该做到( ),<p>A基金经理下达的投资指令应经风险控制部门审核，确认其合法、合规与完整后方可执行</p><p>B基金经理直接向交易员下达投资指令，交易员才可执行交易</p><p>C基金经理可直接进行交易，从而提高效率</p><p>D基金经理下达的投资指令须征得研究员的认可</p>,4,A,为了实现决策人与执行人的分离，防止基金经理决策的随意性与道德风险，投资交易的实现应该做到 基金经理下达的投资指令应经风险控制部门审核，确认其合法、合规与完整后方可执行。 ,0,0
1,(单选题)基金管理公司的最高投资决策机构为( ),<p>A基金管理公司股东会</p><p>B投资决策委员会</p><p>C基金经理办公室</p><p>D基金管理公司董事会</p>,4,B,投资决策委员会是公司非常设机构，是公司最高投资决策机构，以定期或不定期会议的形式讨论和决 定公司投资的重大问题。 ,0,0
1,(单选题)基金资产承担的费用不包括( ),<p>A基金管理费</p><p>B基金转换费</p><p>C基金托管费</p><p>D信息披露费</p>,4,B,基金资产承担的费用主要包括基金管理费、基金托管费、信息披露费等。B项基金转换费属于基金投 资者承担的费用。,0,0
1,(单选题)下列选项中，正确的基金股票换手率公式是( ),<p>A基金股票换手率=期间基金股票交易量/期间基金平均资产净值</p><p>B基金股票换手率=期间基金平均资产净值/期间基金股票交易量</p><p>C基金股票换手率=期间基金股票交易量/2/期间基金平均资产净值</p><p>D基金股票换手率=期间基金平均资产净值/2/期间基金股票交易量</p>,4,C,基金股票换手率通常可以用基金股票交易量的一半与基金平均净资产之比来衡量。,0,0
1,(单选题)隐性成本不包括( ),<p>A机会成本</p><p>B买卖价差</p><p>C市场冲击</p><p>D印花税</p>,4,D,除了佣金和税费等显性成本，交易过程中的隐性成本，如买卖价差、市场冲击、对冲费用、机会成本 等，往往容易被忽视。,0,0
1,(单选题)金融期货不包括( ),<p>A货币期货</p><p>B利率期货</p><p>C汇率期货</p><p>D股票期货</p>,4,C,金融期货有货币期货、利率期货、股票期货等。,0,0
1,(单选题)分级基金需要考虑的风险不包括( ),<p>A汇率风险</p><p>B杠杆变动风险</p><p>C杠杆机制风险</p><p>D风险收益特征变化风险</p>,4,A,分级基金需要考虑以下风险： (1)极端情况下A类份额无法取得约定收益或损失本金的风险。 (2)利率风险。 (3)杠杆机制风险。 (4)杠杆变动风险。 (5)折价/溢价交易风险。 (6)风险收益特征变化风险。 (7)上市交易风险。,0,0
1,(单选题)在投资管理部门中，研究部主要从事的工作不包括( ),<p>A宏观经济分析</p><p>B产品的设计</p><p>C行业发展状况分析</p><p>D上市公司投资价值分析</p>,4,B,研究部是基金投资运作的基础部门，通过对宏观经济形势、行业状况、上市公司等进行详细分析和研 究，提出行业资产配置建议，并选出具有投资价值的上市公司建立股票池，向基金投资决策部门提供 研究报告及投资计划建议。研究能力对于基金公司的投资业绩具有重要影响。 研究部通常会进行上市公司筛选，从一个行业中挑选一定数量的上市公司作为跟踪对象，然后通过对 这些上市公司的管理能力、增长潜力等的分析，选出一定数量的公司进行重点研究，最后通过系统全 面的深入分析选出最具投资潜力的公司，以此为基础选出最优股票。 另外，基金公司还会参考外部研究报告，这些报告主要由证券公司提供。,0,0
1,(单选题)影响期权价格的因素不包括( ),<p>A合约标的资产的市场价格与期权的执行价格</p><p>B期权的有效期限</p><p>C无风险利率水平</p><p>D权利金的波动率</p>,4,D,期权价格的影响因素： ①合约标的资产的市场价格与期权的执行价格; ②期权的有效期限; ③无风险利率水平; ④标的资产价格的波动率以及合约标的资产的分红。,0,0
1,(单选题)基金费用不包括( ),<p>A管理人报酬</p><p>B销售服务费</p><p>C交易费用</p><p>D手续费返还</p>,4,D,基金费用是指基金在日常投资经营中发生的、会导致所有者权益减少的、与向基金持有人分配利润无 关的经济利益的总流出，具体包括管理人报酬、托管费、销售服务费、交易费用、利息支出和其他费 用等。D项属于基金收入中的其他收入。 ,0,0
1,(单选题)根据有关规定，除货币市场基金外，基金收益分配默认的方式是( ),<p>A固定红利</p><p>B现金分红</p><p>C直接分配基金份额</p><p>D分红再投资</p>,4,B,据有关规定，除货币市场基金外，基金收益分配默认的方式是现金分红。 ,0,0
1,(单选题)下列关于基金财务会计报告分析的说法，错误的是( ),<p>A股票投资占基金资产净值的比例如发生少量的变动，并不意味着基金经理一定进行了增仓或减仓操作</p><p>B通过对基金收入来源的分析，尤其是通过基金间收入来源结构的比较分析，可以更为深入地了解该基 金具体投资状况</p><p>C对于股票基金及债券基金来说，费用的高低对于基金净值有着较大的影响</p><p>D如果基金份额变动较大，会对基金管理人的投资产生不利影响</p>,4,C,对于货币市场基金及债券型基金来说，费用的高低对于基金净值有着较大的影响。由于目前管理人报 酬、托管费和销售服务费是按净值的一定比例计提支付，在计算基金净值时已经将费用扣除，大部分 股票类基金投资者对此并不太敏感。 ,0,0
1,(单选题)下列选项中，不属于大宗商品的投资方式的是( ),<p>A购买大宗商品实物</p><p>B购买资源或者购买大宗商品相关债券</p><p>C投资大宗商品衍生工具</p><p>D投资大宗商品的结构化产品</p>,4,B,大宗商品的投资方式： (一)购买大宗商品实物; (二)购买资源或者购买大宗商品相关股票; (三)投资大宗商品衍生工具; (四)投资大宗商品的结构化产品。,0,0
1,(单选题)对投资者来说，权益类证券本身隐含的风险越高，就必须有越多的预期报酬作为投资者承担风险的补 偿，这一补偿称为( ),<p>A风险溢价</p><p>B风险投资</p><p>C风险补偿</p><p>D风险权益</p>,4,A,对投资者来说，权益类证券本身隐含的风险越高，就必须有越多的预期报酬作为投资者承担风险的补 偿，这一补偿称为风险溢价或风险报酬。 ,0,0
1,(单选题)制定投资政策说明书的关键环节是( ),<p>A分析投资者的需求</p><p>B分析投资者的财务状况</p><p>C分析投资者的投资限制</p><p>D分析投资者的偏好</p>,4,A,投资管理人应基于投资者的需求、财务状况、投资限制和偏好等为投资者制定投资政策说明书。分析 投资者需求是制定投资政策说明书的关键环节。,0,0
