1,(单选题)目前我国银行间现券交易的结算日有（）。I.T+0 II.T+1 III.T+2 IV.T+3,<p>AI.II</p><p>BI.IV</p><p>CII.III</p><p>DIII.IV</p>,4,A,目前，银行间债券市场现券交易的结算日有 T+0 和 T+1 两种。,0,0
1,(单选题)主动管理股票型基金（ ）。,<p>A个股选择和权重不受基金合同等的约束</p><p>B管理目标是跟踪指数本身，将跟踪误差控制在一定范围</p><p>C管理目标是超越业绩比较基准，获取超额阿尔法</p><p>D大类资产配置比例不受基金合同等的约束</p>,4,C,主动型投资管理目标是超越业绩比较基准。,0,0
1,(单选题)债券市场价格越（ ）债券面值，期限越( )，则当期收益率就越偏离到期收益率。,<p>A接近；短</p><p>B接近；长</p><p>C偏离；长</p><p>D偏离；短 </p>,4,D,债券市场价格越偏离债券面值，期限越短，则当期收益率就越偏离到期收益率。,0,0
1,(单选题)在组合投资理论中，有效投资组合是指（ ）。,<p>A可行投资组合集左边界上的任意可行组合</p><p>B可行投资组合集内部任意可行组合</p><p>C可行投资组合集右边界上的任意可行组合</p><p>D在所有风险相同的投资组合中具有最高预期收益率的组合 </p>,4,B,可行组合是一个区域。,0,0
1,(单选题)以下说法错误的是（ ）。,<p>A券的投资人包括中央政府、地方政府、金融机构、公司和企业</p><p>B货币市场证券主要是短期性、高流动性证券，例如银行拆借市场、票据承兑市场、回购市场等交易的 债券</p><p>C债券通常又称固定收益证券，能够提供固定数额或根据固定公式计算出的现金流限，债券到期时债务 人必须按时归还本金并支付约定的利息</p><p>D债券发行人通过发行债券筹集的资金一般都有固定期</p>,4,A,债券的发行人包括： ①中央政府； ②地方政府； ③金融机构； ④公司和企业。 中央政府一般不是债券的投资人。,0,0
1,(单选题)以下关于战术资产配置的说法错误的是（ ）。,<p>A战术资产配置的周期较长，一般在一年以上</p><p>B战术资产配置是一种根据对短期资本市场环境及经济条件的预测，积极、主动地对资产配置状态进行 动态调整，从而增加投资组合价值的积极战略</p><p>C战术资产配置更多地关注市场的短期波动，强调根据市场的变化，运用金融工具，通过择时调节各大 类资产之间的分配比例，管理短期的投资收益和风险</p><p>D战术资产配置就是在遵守战略资产配置确定的大类资产比例基础上，根据短期内各特定资产类别的表 现，对投资组合中各特定资产类别的权重配置进行调整</p>,4,A,战术资产配置的周期较短，一般在一年以内，如月度、季度，所以A项说法错误。,0,0
1,(单选题)下列关于衍生工具的说法，错误的是（ ）。,<p>A远期合约、期货合约、互换合约、结构化金融衍生工具常被称为基础性工具</p><p>B按合约特点可以分为远期合约、期货合约、期权合约、互换合约和结构化金融衍生工具</p><p>C独立衍生工具指期权合约、期货合约或者互换合约</p><p>D按产品形态可以分为独立衍生工具、嵌入式衍生工具 </p>,4,A,远期合约、期货合约、期权合约、互换合约是四种基本的衍生工具。,0,0
1,(单选题)下列股票估值方法不属于相对价值法的是( )。,<p>A市盈率模型</p><p>B企业价值倍数</p><p>C经济附加值模型</p><p>D市销率模型</p>,4,C,相对价值法有：市盈率、市净率、市售率、市销率、企业价值倍数等。经济附加值模型是绝对价值 法。,0,0
1,(单选题)我国可转换债券期限最短为（ ）年，最长为（ ）年，自发行结束后（ ）个月才能转换成公司股票。,<p>A2:2:3</p><p>B2:4:6</p><p>C1:6:6</p><p>D1:5:3 </p>,4,C,我国可转换债券期限最短为1年，最长为6年，自发行结束后6个月才能转换成公司股票。,0,0
1,(单选题)我国场内股票交易的买卖双方支付的过户费属于（ ）的收入。,<p>A中国结算公司</p><p>B证券经纪商</p><p>C证券交易所</p><p>D证券监督管理机构</p>,4,A,过户费属于中国结算公司的收入。,0,0
1,(单选题)通过对（ ）和（ ）的比较分析，可以了解投资者对该基金的认可程度。,<p>A基金份额变动情况；持有人结构</p><p>B基金分红能力；持有人结构</p><p>C基金盈利能力；持有人结构</p><p>D基金份额变动情况；基金盈利能力 </p>,4,A,通过对基金份额变动情况和持有人结构的比较分析，可以了解投资者对该基金的认可程度。,0,0
1,(单选题)贴现率越高，则未来的货币折现到现在的价值越（ ）。,<p>A大</p><p>B小</p><p>C不确定</p><p>D以上说法都不对</p>,4,B,贴现率越高，则未来的货币折现到现在的价值越小。,0,0
1,(单选题)数据分布越散，其波动性和不可预测性（ ）。,<p>A越强</p><p>B越弱</p><p>C没有影响</p><p>D视情况而定</p>,4,A,很多情况下，我们不仅需要了解数据的期望值和平均水平，还要了解这组数据分布的离散程度。分布 越散，其波动性和不可预测性也就越强。,0,0
1,(单选题)目前银行债券市场债券结算主要采用( )的方式。,<p>A见款付券</p><p>B纯券过户</p><p>C券款对付</p><p>D见券付款</p>,4,C,债券结算可采用纯券过户、见券付款、见款付券、券款对付四种结算方式。根据中国人民银行2013年 12号文的规定，目前银行间债券市场债券结算主要采用券款对付的方式。,0,0
1,(单选题)目前，我国托管资产的场内资产结算主要采用两种模式，包括( ) 和（ ）。,<p>A托管人结算模式；券商结算模式</p><p>B共同对手方计算式；逐笔清算模式</p><p>C货银对付模式；交差交收模式</p><p>D净额交收模式；全额交收模式 </p>,4,A,托管资产的场内资金清算主要采用两种模式，包括托管人结算模式和券商结算模式。,0,0
1,(单选题)每一计息期的利息额相等的利息计算方法为（ ）。,<p>A单利</p><p>B复利</p><p>C可能单利也可能复利</p><p>D有时单利有时复利 </p>,4,A,题干描述的是单利的概念。,0,0
1,(单选题)每经过一个计息期，要将所生利息加入本金再计算利息的是（ ）。,<p>A浮动利率</p><p>B单利</p><p>C复利</p><p>D固定利率</p>,4,C,本题考查复利的计算原理。,0,0
1,(单选题)关于债券组合构建，以下说法错误的是（ )。,<p>A债券组合构建需要选择个券</p><p>B债券组合构建需要决定不同信用等级、行业类别上的配置比例</p><p>C债券组合构建不需要考虑杠杆率</p><p>D债券组合构建需要考虑市场风险和信用风险</p>,4,C,债券投资组合构建需要考虑杠杆率等因素。,0,0
1,(单选题)关于债券利率风险，以下表述正确的是（ ）。,<p>A当市场利率上升时，债券价格不变</p><p>B债券价格与市场利率变动方向一致</p><p>C债券价格与市场利率变动呈反方向变动</p><p>D当市场利率上升时，债券价格上升</p>,4,C,债券的价格与利率呈反向变动关系：利率上升时，债券价格下降；而当利率下降时，债券价格上升。,0,0
1,(单选题)关于基金资产估值需要考虑的因素，以下表述错误的是（ ）。,<p>A我国封闭式基金每个交易日估值，每周披露一次份额净值</p><p>B交易所上市的股指期货合约以估值当日结算价进行估值</p><p>C交易活跃的证券，直接采用交易价格对其估值</p><p>D海外基金的估值频率较低，一般是每月估值一次</p>,4,D,海外的基金多数也是每个交易日估值，但也有一部分基金是每周估值一次，有的甚至每半个月、每月 估值一次。所以D项说法错误。,0,0
1,(单选题)关于被动投资指数复制和调整说法，错误的是（ ）。,<p>A指数复制可以采用完全复制、抽样复制和优化复制等方法</p><p>B完全复制、抽样复制和优化复制指数方法所需要的样本股票数量依次递增，跟踪误差依次增加</p><p>C根据抽样方法的不同，抽样复制可以分为市值优先、分层抽样等方法</p><p>D被动投资复制指数会产生复制成本</p>,4,B,根据市场条件的不同，通常有三种指数复制方法，即完全复制、抽样复制和优化复制。三种复制方法 所使用的样本股票的数量依次递减，但是跟踪误差通常依次增加。,0,0
1,(单选题)（ ）于1952年开创了以均值方差法为基础的投资组合理论。,<p>A马可维茨</p><p>B彼得.林奇</p><p>C葛兰碧</p><p>D莫迪利亚尼和米勒</p>,4,A,马可维茨于1952年开创了以均值方差法为基础的投资组合理论。,0,0
1,(单选题)在两个风险资产构成的投资组合中加入无风险资产，关于其可行投资组合集，说法错误的是（）。,<p>A风险最小的可行投资组合风险为零</p><p>B可行投资组合集的上下沿为双曲线</p><p>C可行投资组合集是一片区域</p><p>D可行投资组合集的上下沿为射线</p>,4,B,由于无风险资产的引入，风险最小的可行投资组合风险为零；其次，在标准差一预期收益率平面中， 可行投资组合集的上沿及下沿为射线，而不是双曲线，所以B项说法错误。,0,0
1,(单选题)下列说法中错误的是（）。,<p>A远期、期货和大部分合约有时被称作远期承诺</p><p>B期权合约和远期合约以及期货合约的不同在于其损益的不同</p><p>C信用违约互换合约使买方可以对卖方行使某种权利</p><p>D期权合约和利率互换合约被称为单边合约</p>,4,D,期权合约和信用违约互换合约只有一方在未来有义务，因此被称作单边合约，而不是利率互换合约。,0,0
1,(单选题)下列关于到期收益率影响因素的说法，错误的是（）。,<p>A在其他因素相同的情况下，债券市场价格与到期收益率呈反方向增减</p><p>B在其他因素相同的情况下，固定利率债券比零息债券的到期收益率要低</p><p>C在其他因素相同的情况下，票面利率与债券到期收益率呈同方向增减</p><p>D在市场利率波动的情况下， 再投资收益率可能不会维持不变，会影响投资者实际的持有期收益率</p>,4,B,在其他因素相同的情况下，固定利率债券比零息债券的到期收益率要高。,0,0
1,(单选题)在有异常值的情况下，中位数和均值哪个评价结果更合理和贴近实际？（）,<p>A均值</p><p>B不确定</p><p>C中位数和均值无区别</p><p>D中位数</p>,4,D,中位数能够免疫极端值的影响，较好地反映投资策略的真实水平。,0,0
1,(单选题)投资政策说明书的内容不包括（）。,<p>A确定收益</p><p>B业绩比较基准</p><p>C投资回报率目标</p><p>D投资决策流程</p>,4,A,投资政策说明书的内容一般包括： ①投资回报率目标； ②投资范围；③投资限制（包括期限、流动性、合规等）； ④业绩比较基准。 有些机构还将投资决策流程、投资策略与交易机制等内容纳入投资政策说明书。,0,0
1,(单选题)以下关于回转交易的说法错误的是（）。,<p>A权证交易当日不能进行回转交易</p><p>B专项资产管理计划收益权份额协议交易实行当日回转交易</p><p>CB股实行次日起回转交易</p><p>D债券竞价交易实行当日回转交易</p>,4,A,权证交易是可以进行当日回转的，所以A项说法错误。,0,0
1,(单选题)关于远期合约，以下表述错误的是（）。,<p>A远期合约是一种最简单的衍生品合约</p><p>B远期合约流动性通常较差</p><p>C远期合约是一种标准化合约</p><p>D远期合约不能形成统一的市场价格，与期货合约相比 </p>,4,C,远期合约并不是标准化合约，所以C项说法错误。,0,0
1,(单选题)下列关于做市商的表述， 不正确的是（）。,"<p>A报价驱动中，最为重要的角色就是做市商，因此报价驱动市场也被称为做市商制度</p><p>B做市商的利润来源于买卖差价，如果证券差价小但交易频繁，做市商无法赚取利润</p><p>C做市商通常由具备一定实力和信誉的证券投资法人承担,本身拥有大量可交易证券，买卖双方均直接与 做市商交易，而买卖价格则由做市商报出</p><p>D当接到投资者卖出某种证券的报价时，做市商以自有资金买入；当接到投资者购买某种证券的报价 时， 做市商用其自由证券卖出</p>",4,B,虽然做市商的利润来源于买卖差价，但如果买卖差价太大，做市商将很难促成交易，从而失去赚取差 价的机会。另外，如果证券差价小但交易频繁，做市商仍可以赚取利润。,0,0
1,(单选题)（）是指扣除通货膨胀补偿后的利息率。,<p>A官方利率</p><p>B名义利率</p><p>C实际利率</p><p>D浮动利率 </p>,4,C,题干描述的是实际利率的内容。,0,0
1,(单选题)（）是由中央银行发行的用于调节商业银行超额准备金的短期债务凭证。,<p>A商业票据</p><p>B银行承兑汇票</p><p>C中央银行票据</p><p>D短期国债</p>,4,C,中央银行票据是由中央银行发行的用于调节商业银行超额准备金的短期债务凭证，简称央行票据或央 票。,0,0
1,(单选题)合格境外机构投资者应自投资额度获批之日起多长时间内汇入投资本金？（）,<p>A1年</p><p>B6个月</p><p>C3个月</p><p>D1个月 </p>,4,B,合格境外机构投资者应自投资额度获批之日起6个月内汇入投资本金。,0,0
1,(单选题)银行间债券市场的公开市场一级交易商是指与（）进行交易的债券二级市场参与者。,<p>A中国人民银行</p><p>B上海证券交易所</p><p>C深圳证券交易所</p><p>D证券公司 </p>,4,A,银行间债券市场的公开市场一级交易商是指与中国人民银行进行交易的债券二级市场参与者。,0,0
1,(单选题)标准差越大，则数据分布越（），波动性和不可预测性越（）。,<p>A分散，大</p><p>B分散，小</p><p>C集中，大</p><p>D集中，小 </p>,4,A,标准差越大，则数据分布越分散，波动性和不可预测性越大。,0,0
1,"(单选题)关于QDII基金的投资范围,表述不准确的是（）。",<p>A住房按揭支持证券</p><p>B经中国证监会认可的国际金融组织发行的证券</p><p>C所有的公募基金</p><p>D银行存款</p>,4,C,QDII基金可以投资在已与中国证监会签署双边监管合作谅解备忘录的国家或地区证券监管机构登记注册的公募基金，而不是所有的公募基金。,0,0
1,(单选题)已知某基金近两年来累计收益率为20%，那么应用几何平均收益率计算的该基金的年平均收益率应为 （）%。,<p>A7.5</p><p>B9.5</p><p>C8.5</p><p>D10.5</p>,4,B,（1＋20%）P1/2P－1＝9.5%。,0,0
1,(单选题)按债券利率是否固定分类，可分为（）和浮动利率债券。,<p>A贴现债券</p><p>B累进利率债券</p><p>C固定利率债券</p><p>D复利债券</p>,4,C,按债券利率是否固定分类，可分为固定利率债券和浮动利率债券。,0,0
1,(单选题)目前我国收取印花税的交易品种是（）。,<p>A股票</p><p>B基金</p><p>C地方债券</p><p>D公司债券 </p>,4,A,目前我国基金和债券不收取印花税。,0,0
1,(单选题)根据人民银行的规定，目前我国银行间质押式回购的最长期限是（）。,<p>A三个月</p><p>B一年</p><p>C六个月</p><p>D一个月 </p>,4,B,国债回购作为一种短期融资工具，在各国市场中最长期限均不超过1年。,0,0
1,(单选题)关于全球投资业绩标准（GIPS），以下说法错误的是（）。,<p>AGIPS标准确保不同的投资管理机构的投资业绩具有可比性</p><p>BGIPS标准可以提高业绩报告的透明度，确保一致、可靠、公平</p><p>CGIPS标准经现金流调整后的时间加权收益率</p><p>DGIPS标准要求不同期间的收益率以算术平均方式相连</p>,4,D,应该以“几何平均方式相连”,0,0
1,(单选题)上市公司回购股份的方式不包括（）。,<p>A要约回购</p><p>B场内公开市场回购</p><p>C正回购</p><p>D场外协议回购</p>,4,C,股票回购的方式主要三种： ①场内公开市场回购； ②场外协议回购；③要约回购。,0,0
1,(单选题)关于债券利率风险的描述，以下错误的是（）。,<p>A浮动利率债券的利息在支付日根据当前基准利率重新设定</p><p>B债券的价格与利率呈反向变动关系</p><p>C浮动利率债券在市场利率下行的环境中具有较低的利率风险</p><p>D利率风险是指利率变动引起债券价格波动的风险</p>,4,C,浮动利率债券的利息在支付日根据当前市场利率重新设定，从而在市场利率上升的环境中具有较低的 利率风险，而在市场利率下行的环境中具有较高的利率风险。,0,0
1,(单选题)下列关于沪港通重要意义的说法错误的是（）。,<p>A推动人民币跨境资本流动</p><p>B刺激人民币资产需求，加大人民币交投量</p><p>C有助于央行控制货币供应量</p><p>D构建良好的人民币回流机制 </p>,4,C,本题考查沪港通重要意义，C 项说法错误。,0,0
1,(单选题)为防范证券结算风险，我国设立了（），用于垫付或弥补因违约交收、技术故障、操作失误、不可抗 力等造成的证券结算机构的损失。,<p>A证券结算风险基金</p><p>B证券交易风险基金</p><p>C管理风险准备金</p><p>D投资者保护基金 </p>,4,A,为防范证券结算风险，我国设立了证券结算风险基金，用于垫付或弥补因违约交收、技术故障、操作 失误、不可抗力等造成的证券登记结算机构的损失。,0,0
1,(单选题)某基金A在持有期为12个月，置信水平为95%的情况下，若计算的风险价值为5%，则表明（）。,<p>A该基金在12个月中的损失有5%的可能不超过95%</p><p>B该基金在12个月中的损失有5%的可能不超过5%</p><p>C该基金在12个月中的最大损失为5%</p><p>D该基金在12个月中的损失有95%的可能不超过5%</p>,4,D,某投资组合在持有期为1年、置信水平为95%的情况下，若所计算的风险价值为5%，则表明该资产组 合在1年中的损失有95%的可能性不会超过5%。,0,0
1,(单选题)以下不属于可转换债券的基本要素的是（）。,<p>A赎回条款</p><p>B转换期限</p><p>C市场利率</p><p>D回售条款</p>,4,C,可转换债券的基本要素包括标的股票、票面利率、转换期限、转换价格、转换比例、赎回条款、回售 条款等，不包括市场利率。,0,0
1,(单选题)（）是资金的远期价格，即隐含在给定的即期利率中从未来的某一时点到另一时点的利率水平。,<p>A远期利率</p><p>B即期利率</p><p>C票面价格</p><p>D发行价格</p>,4,A,题干描述的是远期利率的概念。,0,0
1,(单选题)股票拆分对（）没有影响。,<p>A股价、总市值</p><p>B股东权益、总市值</p><p>C股东权益、投资人的购买欲望</p><p>D投资人的购买欲望、股价</p>,4,B,股票拆分对股东权益及总市值没有影响。,0,0
1,(单选题)下列关于非系统性风险的说法正确的是（）。,<p>A非系统性风险是由于公司特定经营环境或特定事件变化引起的不确定性的加强，只对个别公司的证券 产生影响，是公司特有的风险</p><p>B财务风险又称违约风险，是企业在付息日或负债到期日无法以现金方式支付利息或偿还本金的风险， 严重时可能导致企业破产或倒闭</p><p>C管理风险是指公司在经营过程中由于产业景气状况、公司管理能力、投资项目等企业个体因素，使得 企业的销售额或成本显得不稳定，引起息税前利润大幅变动的可能性</p><p>D交易风险是指投资者在买入资产后，届时无法按照公平市价进行成交的可能性 </p>,4,A,财务风险又称违约风险，是企业在付息日或负债到期日无法以现金方式支付利息或偿还本金的风险， 严重时可能导致企业破产或倒闭，而不是信用风险；经营风险是指公司在经营过程中由于产业景气状 况、公司管理能力、投资项目等企业个体因素，使得企业的销售额或成本显得不稳定，引起息税前利 润大幅变动的可能性，而不是管理风险；流动性风险是指投资者在买入资产后，届时无法按照公平市 价进行成交的可能性，而不是交易风险。,0,0
1,(单选题)债券远期交易，从交易日到结算日的期限由交易双方确定，但最长不得超过（）。,<p>A500天</p><p>B365天</p><p>C90天</p><p>D30天 </p>,4,B,远期交易从成交日至结算日的期限（含成交日不含结算日）由交易双方确定，但最长不得超过365 天。,0,0
1,(单选题)以下关于另类投资的优点与局限性的说法错误的是（）。,<p>A缺乏监管和信息透明度</p><p>B风险可以降到趋近于零</p><p>C流动性较差，杠杆率偏高</p><p>D估值难度大，难以对资产价值进行准确评估 </p>,4,B,另类投资的风险较高，所以 B 项说法错误。,0,0
1,(单选题)（）是从资产回报相关性的角度分析两种不同的证券表现的联动性。,<p>A相关系数</p><p>BB系数</p><p>C方差</p><p>D跟踪误差 </p>,4,A,题干表述的是相关系数的内容。,0,0
1,(单选题)关于基金业绩评价，以下表述错误的是（）。,<p>A基金评价可以为基金管理人提高投资管理能力提供参考</p><p>B基金评价最终需要回答的问题是，基金 经理的业绩来源是高超的投资技能，还是单纯的运气，或者是承担了过多的风险</p><p>C投资目标与范围不同的基金可以一起进行评价和比较</p><p>D不同投资目标与范围的基金不具有可比性 </p>,4,C,不同投资目标和范围的基金不具备可比性。,0,0
1,(单选题)关于主动投资和被动投资的说法，错误的是（ ）。,<p>A被动投资的目标是减少跟踪偏离度和跟踪误差</p><p>B被动投资是在市场有效假定下的一种投资方式</p><p>C主动投资是在市场有效假定下的一种投资方式</p><p>D主动投资的目标是扩大主动收益、缩小主动风险，提高信息比率</p>,4,C,在一个并非完全有效的市场上，主动投资策略更能体现其价值，所以主动投资是在市场非有效假定下 的一种投资方式。,0,0
1,(单选题)计算投资者申购基金份额，赎回基金金额的基础是（ ） 。,<p>A基金资产净额</p><p>B基金资产总值</p><p>C基金份额净值</p><p>D基金总份额</p>,4,C,基金份额净值是计算投资者申购基金份额以及赎回基金金额的基础。,0,0
1,(单选题)关于风险和收益关系的说法，错误的是（ ）。,<p>A企业债价格低于同面值、同期限、同息票率的国债</p><p>B企业债与同期限、同息票率的国债相比存在信用风险溢价</p><p>C企业债收益率高于同期限、同息票率的国债</p><p>D企业债的风险高预期收益低</p>,4,D,企业债与国债相比，高风险高预期收益率。,0,0
1,(单选题)关于β系数，以下表述错误的是（ ）。,<p>A反映证券或组合的收益水平对市场平均收益水平变化的敏感性</p><p>Bβ系数可以用来衡量证券承担系统风险水平的大小</p><p>Cβ系数的绝对值越大，表明证券或组合对市场指数的敏感性越强</p><p>Dβ系数是对放弃即期消费的补偿</p>,4,D,本题考查β系数的内容。,0,0
1,(单选题)下列投资中，属于另类投资形式的有（ ）。 Ⅰ.私募股权； Ⅱ.不动产； Ⅲ.大宗商品；Ⅳ.艺术品； Ⅴ.股票。,<p>AⅠⅡⅢ ⅣⅤ</p><p>BⅠⅡⅢ Ⅳ</p><p>CⅡⅢ Ⅳ</p><p>DⅡⅢ ⅣⅤ</p>,4,B,另类投资，是指传统的股票、债券和现金之外的金融和实物资产，如房地产、证券化资产、对冲基 金、私人股本基金、大宗商品、艺术品等，其中证券化资产就包括了次级房贷为基础的债券以及这些 债券的衍生金融产品。,0,0
1,(单选题)有效前沿是由全部（ ）构成的集合。,<p>A有效投资组合</p><p>B无风险投资组合</p><p>C平行投资组合</p><p>D风险投资组合 </p>,4,A,有效前沿是由全部有效投资组合构成的集合。,0,0
1,(单选题)下列股票估值方法不属于内在价值法的是（）。,<p>A股利贴现模型(DDM)</p><p>B自由现金流量贴现模型(DCF)</p><p>C超额收益贴现模型</p><p>D市盈率</p>,4,D,内在价值法又称绝对价值法或收益贴现模型，是按照未来现金流的贴现对公司的内在价值进行评估。 具体又分为股利贴现模型(DDM)、自由现金流量贴现模型(DCF)、超额收益贴现模型等。,0,0
1,(单选题)（）是指货币随着时间的推移而发生的增值。,<p>A现值系数</p><p>B终值</p><p>C现值</p><p>D货币时间价值</p>,4,D,题干所述为货币时间价值的概念。,0,0
1,(单选题)下列关于优先股和普通股的说法错误的是（）。,<p>A优先股的股息率往往是事先规定好的，它不因公司经营业绩的好坏而有所变动</p><p>B优先股和普通股一样代表对公司的所有权，同属权益证券</p><p>C普通股是股份有限公司发行的一种基本股票，代表公司股份中的所有权份额</p><p>D权益资本是通过发行债券或置换所有权筹集的资本，最主要的权益证券是普通股和优先股 </p>,4,D,权益资本是通过发行股票或置换所有权筹集的资本，而不是发行债券。,0,0
1,(单选题)以下关于股票的特征不正确的是（）。,<p>A收益性是股票最基本的特征，它是指持有股票可以为持有人带来收益的特性。</p><p>B永久性是指股票所载有权利的有效性是始终不变的，但它是一种有期限的法律凭证</p><p>C收益性是指持有股票可以为持有人带来收益的特性，包括股息红利及资本利得</p><p>D参与性是指股票持有人有权参与公司重大决策的特性 </p>,4,B,股票是一种无期限的法律凭证。,0,0
1,(单选题)假设基金净值增长率服从正态分布，则可以期望在67%的情况下，净值增长率会落入平均值（）范围内。,<p>A1个正标准差</p><p>B1个负标准差</p><p>C正负1个标准差</p><p>D正负0.5个标准差 </p>,4,C,在净值增长率服从正态分布时，可以期望 2/3（约67%）的情况下，净值增长率会落入平均值正负1 个标准差的范围内，95%的情况下基金净值增长率会落在正负2 个标准差的范围内。,0,0
