1,(单选题)证券交易所设（），负责日常事务。 ,<p>A总经理 </p><p>B董事长 </p><p>C会长 </p><p>D理事长</p>,4,A,证券交易所设总经理，负责日常事务。,0,0
1,(单选题)用以反映货币市场基金风险的指标不包括（）。 ,<p>A组合平均剩余期限 </p><p>B融资比例 </p><p>C浮动利率债券投资情况 </p><p>D贝塔系数</p>,4,D,用以反映货币市场基金风险的3个主要指示。,0,0
1,(单选题)下列关于期末可供分配利润的说法正确的是（）。 ,<p>A指期末可供基金进行利润分配的金额 </p><p>B为期末资产负债表中未分配利润与未分配利润中已实现部分的孰高孰 </p><p>C如果期末未分配利润的未实现部分为正数，则期末可供分配利润的金额为期末未分配利润(已实现部 分扣减未实现部分） </p><p>D如果期末未分配利润的未实现部分为负数，则期末可供分配利润的金额为期末未分配利润的已实现部分</p>,4,A,考察对期末可供分配润的理解。,0,0
1,(单选题)方差越大，表示收益率r偏离期望收益率Er=r的程度（）。 ,<p>A越小</p><p>B越大 </p><p>C不变 </p><p>D不确定</p>,4,B,"数值越大,表示收益率r离期望改益率Er=r的程度越大,反之亦然。",0,0
1,(单选题)数据分布越散，其波动性和不可预测性（ ）。 ,<p>A越强 </p><p>B越弱 </p><p>C没有影响 </p><p>D视情况而定</p>,4,A,很多情况下，我们不仅需要了解数据的期望值和平均水平，还要了解这组数据分布的离散程度。分布 越散，其波动性和不可预测性也就越强。,0,0
1,(单选题)规摸越大，内部管理的成本相对于投资额度的比例就（） ,<p>A越高 </p><p>B越低 </p><p>C没有关系 </p><p>D不确定</p>,4,B,规模越大，内部管理的成本相对于投资额度的比例就越低。,0,0
1,(单选题)通常情况下，投资期限越长，则投资者对流动性的要求（）。 ,<p>A越高 </p><p>B越低 </p><p>C没变化 </p><p>D不确定</p>,4,B,通常情况下，投资期限越长，则投资者对流动性的要求越低。,0,0
1,(单选题)下列关衍生工具的说法，错误的是（ ）。 ,<p>A远期合约、期货合约、互换合约、结构化金融衍生工具常被称为基础性工具 </p><p>B按合约特点可以分为远期合约、期货合约、期权合约、互换合约和结构化金融衍生工具 </p><p>C独立衍生工具指期权合约、期货合约或者互换合约 </p><p>D按产品形态可以分为独立衍生工具、嵌入式衍生工具</p>,4,A,远期合约、期货合约、期权合约、互换合约是四种基本的衍生工具。,0,0
1,(单选题)大宗商品衍生工具不包括（） ,<p>A远期合约 </p><p>B期货合约 </p><p>C期权合约 </p><p>D现货交易</p>,4,D,大宗商品衍生工具包括远期合约、期货合约、期权合约和互换合约等。,0,0
1,(单选题)以下关于货银对付原则说法错的是（）。 ,<p>A又称钱货两清原则 </p><p>B货银对付是指证券登记结算机构与结算参与人在交收过程中，并且仅当资金交付时给付证券，证券交 付时给付资金 </p><p>C可以理解为一手交钱，一手交货 </p><p>D使得交易双方无须担心交易对手的信用风险</p>,4,D,共同对手方的引入，使得交易双方无须担心交易对手的信用风险。,0,0
1,(单选题)债券违约时的受偿顺序正确的是（） ,<p>A优先无保证债券，优先次级债券，次级债券，劣后次级债券，有保证债券 </p><p>B优先无保证债券，有保证债券，优先次级债券，次级债券，劣后次级债券 </p><p>C有保证债券，优先无保证债券，优先次级债券，次级债券，劣后次级债券 </p><p>D有保证债券，优先无保证债券，优先次级债券，劣后次级债券，次级债券</p>,4,C,债券违约时的受偿顺利是；有保证债券，优先无保证债券，优先次级债券，次级债券，劣后次级债 券。,0,0
1,"(单选题)若某资产或资产组合的预期收益率高于与其贝塔值对应的预期收益率，也就是说位于证券市场线的上 方，则（ ）将更偏好于该资产或资产组合,市场对该资产或资产组合的需求超过其供给，最终抬升其价 格，导致其预期收益率降低，使其向证券市场线回归。 ",<p>A无风险投资者 </p><p>B理性投资者 </p><p>C非理性投资者 </p><p>D风险投资者</p>,4,B,预期收益率高于与其贝塔值对应的预期收益率，理性投资者将更偏好于该资产或资产组合。,0,0
1,(单选题)资本市场线的斜率代表（）。 ,<p>A无风险收益率 </p><p>B单位市场风险的风险溢价 </p><p>C最优组合 </p><p>D效用等级</p>,4,B,资本市场线的斜率代表单位市场风险的风险溢价。,0,0
1,(单选题)关于基金资产估值需要考虑的因素，以下表述错误的是（ ）。,<p>A我国封闭式基金每个交易日估值，每周披露一次份额净值 </p><p>B交易所上市的股指期货合约以估值当日结算价进行估值 </p><p>C交易活跃的证券，直接采用交易价格对其估值 </p><p>D海外基金的估值频率较低，一般是每月估值一次</p>,4,D,海外的基金多数也是每个交易日估值，但也有一部分基金是每周估值一次，有的甚至每半个月、每月 估值一次。所以D项说法错误。,0,0
1,(单选题)目前，我国托管资产的场内资产结算主要采用两种模式，包括( ) 和（ ）。 ,<p>A托管人结算模式；券商结算模式 </p><p>B共同对手方计算式；逐笔清算模式 </p><p>C货银对付模式；交差交收模式 </p><p>D净额交收模式；全额交收模式</p>,4,A,托管资产的场内资金清算主要采用两种模式，包括托管人结算模式和券商结算模式。,0,0
1,(单选题)下列关于凸性的描述不正确的是（ ）。 ,<p>A凸性可以描述大多数债券价格与收益率的关系 </p><p>B久期和凸度对债券价格波动的风险管理具有重要意义 </p><p>C其他条件不变时，较小的凸性更有利于投资者 </p><p>D价格收益率曲线越弯曲，凸度越大</p>,4,C,较大的凸性更有利于投资者，凸性越大，从利率变化所获得的利得也就越大。,0,0
1,(单选题)下列不属于资本资产定价模型的假设条件是（）。,<p>A投资者对证券的收益、风险及证券间关联行具有完全相同的预期 </p><p>B资本市场没有摩擦 </p><p>C资本市场没有摩擦 </p><p>D投资者是追求收益的，同时也是厌恶风险的</p>,4,D,资本资产定价模型是建立在若干假设条件基础上的。这些假设条件可概括为如下三项假设： 假设一：投资者都依据期望收益率评价证券组合的收益水平，依据方差(或标准差)评价证券组合的风 险水平，共采用上一节介绍的方法选择优证券组合。 假设二：投资者对证券的收益、风险及证券间的关联性具有完全梠同的预期。 假设三：资本市场没有摩擦。所谓摩擦，是指市场对资本和信息自由流动的阻碍。,0,0
1,(单选题)( ) 是基金公司管理基金投资的最高决策机构。 ,<p>A投资部 </p><p>B研究部 </p><p>C交易部 </p><p>D投资决策委员会</p>,4,D,投资决策委员会是基金公司管理基金投资的最高决策机构，由各个基金公司自行设立，是非常设的议 事机构。,0,0
1,(单选题)时间优先原则是指（） ,<p>A同价位申报，不依照申报时序决定优先顺序，即买卖方向、价格相同的，先申报者优先于后申报者 </p><p>B同价位申报，不依照申报时序决定优先顺序，即买卖方向、价格相同的，后申报者优先于先申报者 </p><p>C同价位申报，不依照申报资格决定优先顺序，即买卖方向、价格相同的，先申报者优先于后申报者 </p><p>D同价位申报，依照申报时序决定优先顺序，即买卖方向、价格相同的，先申报者优先于后申报者</p>,4,D,时间优先原则是指同价位申报，依照申报时序决定优先顺序，即买卖方向、价格相同的，先申报者优 先于后申报者。先后顺序按证券交易所交易主机接受申报的时间确定。,0,0
1,(单选题)关于基金托管费计提标准，以下说法不正确的是()。 ,<p>A通常基金规模越大，基金托管费率越高 </p><p>B基金托管费收取的比例与基金规模、基金类型有一定关系 </p><p>C目前我国封闭式基金按照0.25%的比例计提 </p><p>D开放式基金根据基金合约的规定比例计提，通常低于0.25%</p>,4,A,通常基金规模越大，基金托管费率越低。,0,0
1,(单选题)利润包括收入减去费用后的净额以及()等。 ,<p>A所得税 </p><p>B营业利润 </p><p>C实收资本 </p><p>D直接计入当期利润的利得和损失</p>,4,D,利润包括收入减去费用后的净额以及直接计入当期利润的利得和损失等。,0,0
1,(单选题)伦敦金融时报指数和美国价值线指数采用( ) 股票价格指数编制方法。 ,<p>A算术平均法 </p><p>B几何平均法 </p><p>C加权平均法 </p><p>D特许氏加权法</p>,4,B,国际金融市场上有一部分较有影响力的股票价格指数是采用几何平均法编制的，其中以伦敦金融时报 指数和美国价值线指数为代表。,0,0
1,(单选题)欧盟《另类投资基金管理人指令》的主要内容不包括（）。 ,<p>A私募股权投资基金的资产剥离规定 </p><p>B资金分配 </p><p>C初始资本金要求 </p><p>D基金杠杆水平和流动性要求</p>,4,B,该指令的主要内容包括以下几方面；注册监管、监管机构设置、基金杠杆水平和流动性要求、管理人 薪酬、资金托管、私募股权投资基金的"资产剥离"规定、初始资本金要求。,0,0
1,(单选题)在杜邦财务分析体系中，假设其他情况相同，下列说法中错误的是（）。 ,<p>A权益乘数大则财务风险大</p><p>B权益乘数大则净资产收益率大 </p><p>C权益乘数等于股东权益比率的倒数 </p><p>D权益乘数大则资产净利率大</p>,4,D,资产净利润率=净利润/资产平均总额*100%,0,0
1,(单选题)股票的（ ）又称股票净值或每股净资产，是每股股票所代表的实际资产的价值。 ,<p>A清算价值 </p><p>B账面价值 </p><p>C票面价值 </p><p>D内在价值</p>,4,B,股票的账面价值又称股票净值或每股净资产，是每股股票所代表的实际资产的价值。,0,0
1,(单选题)引入无风险资产后，有效前沿变成了射线。这条射线即是资本市场线（CML)，新的有效前沿与原有效 前沿相切。关于切点投资组合的说法错误的是（ ）。 ,<p>A切点投资组合是有效前沿上唯一一个不含无风险资产的 投资组合 </p><p>B有效前沿上的任何投资组合都可看做是切点投资组合M 与无风险资产的再组合 </p><p>C切点投资组合正是所有投资者理想的投资组合 </p><p>D切点投资组合完全由市场决定，与投资者的偏好无关</p>,4,C,不同偏好的投资者具有不同的理想投资组合，但是理想投资组合一般位于有效前沿上，所以C项说法 错误。,0,0
1,(单选题)财务报表分析的对象是（ ）。 ,<p>A企业的各项基本活动 </p><p>B企业的经营治动 </p><p>C企业的投资活动 </p><p>D企业的筹资治动</p>,4,A,财务报表分析的对象是企业的各项基本活动。,0,0
1,(单选题)以下不属于货币市场工具的特点的是（） ,<p>A期限在一年以上 </p><p>B流动性高 </p><p>C本金安全性高，风险较低 </p><p>D大宗交易，主要是机构投资者参与</p>,4,A,A选项应该表述为期限在一年以内。,0,0
1,(单选题)下列关于远期合约、期货合约、期权合约和互换合约区别的表述，不正确的是（ )。 ,<p>A期货合约只在交易所交易，期权合约大部分在交易所交易，远期合约和互换合约通常在场外交易，采 用非标准形式进行 </p><p>B般而言，远期合约和互换合约通常是用实物进行交割，期货合约绝大多数通过对冲相抵消，通常使 用现金结算，极少实物交割 </p><p>C远期合约和互换合约通常用保证金交易，因此有明显的杠杆，期货合约通常没有杠杆效应 </p><p>D远期合约、期货合约和大部分互换合约都包括买卖双方在未来应尽的义务，期权合约和信用违约互换 合约只有一方在未来有义务</p>,4,C,期货合约通常有保证金交易，有明显的杠杆效应；而远期合约和互换合约一般没有杠杆效应。,0,0
1,(单选题)衡量基金绩效的指标有多种，其中属于风险调整收益指标的是（）。 ,<p>A平均收益率 </p><p>B特雷诺指数</p><p>C加权收益率 </p><p>D年化收益率</p>,4,B,三大经典风险调整收益衡量方法包括：（一）特雷诺指数；（二）夏普指数；（三）詹森指数。,0,0
1,(单选题)已知甲公司年负债总额为200万元，资产总额为500万元，无形资产净值为50万元，流动资产为240万元， 流动负债为160万元，年利息费用为20万元，净利润为100万元，所得税为30万元，则（ ）。 ,<p>A年末资产负债率为40% </p><p>B年末产权比率为1/3 </p><p>C年利息保障倍数为6.5 </p><p>D年末长期资本负率为10.76%</p>,4,A,A:资产负债率＝负债资产＝200500100%＝40%； B：产权比率＝负债所有者权益＝200（500－200）＝2/3； C：利息倍数＝息税前利润利息＝（100＋30＋20）20＝7.5； D：长期资本负债率＝非流动负债（非流动负债＋所有者权益）＝（200－160）（200－160＋300） 100%＝11.76%。,0,0
1,(单选题)利润表是反映在（ ）财务成果的报表。 ,<p>A某一特定日期 </p><p>B某一特定时间 </p><p>C某一确定时间 </p><p>D一定会计期间</p>,4,D,利润表，亦称损益表，反映一定时期（如一个会计季度或会计年度）的总体经营成果，揭示企业财务 状况发生变动的直接原因。,0,0
1,(单选题)不属于商业票据的特点的是（） ,<p>A面额较大 </p><p>B利率较低 </p><p>C可抵押 </p><p>D只有一级市场</p>,4,C,商业票据的特别的是面额较大、利率较低、只有一级市场，没有明确的二级市场。,0,0
1,(单选题)在其他条件都一样的情况下，就期权费而言，通常情况下（）。 ,<p>A美式期权高于欧式期权 </p><p>B美式期权低于欧式期权 </p><p>C美式期权和欧式期权一样 </p><p>D美式期权和欧式期权无法比较</p>,4,A,对期权买方来说，很明显美式期权的条件比欧式期权更为有利。因为买入这种期权后，他可以在期权 有效期内根据市场价格的变化和自己的实际需要比较灵活而主动地选择履约时间。相反，对期权卖出 者来说美式期权比欧式期权使他承担著更大的风险他必须随时为履约做好准备。,0,0
1,(单选题)( )允许期权买方在期权到期前的任何时间执行期权。 ,<p>A美式期权 </p><p>B欧式期权 </p><p>C看涨期权 </p><p>D看跌期权</p>,4,A,美式期权允许期权买方在期权到期前的任何时间执行期权。美式期权的买方既可以在期权到期日这一 天行使期权，也可以在期权到期日之前的任何一个交易时段执行期权。,0,0
1,(单选题)目前，我国基金管理人的管理费实行（）。 ,<p>A每日计提并累计 </p><p>B每周计提并累计 </p><p>C按季度支付 </p><p>D按年支付</p>,4,A,目前，我国的基金管理费、基金托管费及基金销售服务费均是按照基金资产净值的一定比例逐日计 提，按月支付。,0,0
1,(单选题)下列情况中，不回购本公司股票的是（ )。 ,<p>A进行投资 </p><p>B公司减少注册资本 </p><p>C将股份奖励给本公司职工</p><p>D与持有本公司股份的其他公司合并</p>,4,A,《公司法》规定，公司除减少注册资本、与持有本公司股份的其他公司合并、将股份奖励给本公司职 工外，不得回购本公司股票。,0,0
1,(单选题)下列选项中不属于流动性风险管理措施的是（）。 ,<p>A进行流动性压力测试，分析投资者申赎行为，测算当面临外部市场环境的重大变化或巨额赎回压力 时，冲击成本对投资组合资产流动性的影响，并相应调整资产配置和投资组合 </p><p>B及时对投资组合资产进行流动性分析和跟踪 </p><p>C建立交易对手信用评级制度，根据交易对手的资质、交易记录、信用记录和交收违约记录等因素对交 易对手进行信用评级，并定期更新 </p><p>D建立流动性风险管理制度，平衡资产的流动性与盈利性，以适应投资组合日常运作需要</p>,4,C,选项C属于信用风险管理的措施。,0,0
1,(单选题)债券市场价格越（ ）债券面值，期限越( )，则当期收益率就越偏离到期收益率。 ,<p>A接近；短 </p><p>B接近；长 </p><p>C偏离；长 </p><p>D偏离；短</p>,4,D,债券市场价格越偏离债券面值，期限越短，则当期收益率就越偏离到期收益率。,0,0
1,(单选题)在任何市场中，商品的（）始终是最关键也是交易者最关心的因素。 ,<p>A交易量 </p><p>B交易价格 </p><p>C需求量 </p><p>D供给量</p>,4,B,在任何市场中，商品的交易价格始终是最关键也是交易者最关心的因素,0,0
1,(单选题)下列关于衍生工具交易单位的说法，错误的是（ ）。 ,<p>A交易单位又称合约规模 </p><p>B在交易时，只能以交易单位的整数倍进行买卖 </p><p>C当合约标的资产的市场规模、交易者的资金规模较大时，交易单位应该较小 </p><p>D确定期货合约交易单位的大小时，主要应当考虑合约标的资产的市场规模、交易者的资金规模等因素</p>,4,C,当合约标的资产的市场规模、交易者的资金规模较大时，交易单位应该较大。,0,0
1,(单选题)目前银行债券市场债券结算主要采用( )的方式。 ,<p>A见款付券 </p><p>B纯券过户 </p><p>C券款对付 </p><p>D见券付款</p>,4,C,债券结算可采用纯券过户、见券付款、见款付券、券款对付四种结算方式。根据中国人民银行2013年 12号文的规定，目前银行间债券市场债券结算主要采用券款对付的方式。,0,0
1,(单选题)下列关于即期利率与远期利率的说法，错误的（ ）。 ,<p>A即期利率是金融市场中的基本利率，常用St表示，是指已设定到期日的零息票债券的到期收益率 </p><p>B远期利率指的是资金的远期价格，它是指隐含在给定的即期利率中从未来的某一时点到另一时点的利 率水平 </p><p>C远期利率和即期利率的区别在于计算方式不同 </p><p>D远期利率和即期利率的区别在于计息日起点不同</p>,4,C,远期利率和即期利率的区别在于计息日起点不同，即期利率的起点在当前时刻，而远期利率的起点在 未来某一时刻。,0,0
1,(单选题)依照《证券投资基金会计核算办法》规定，发生的基金运作费用如果影响()小数点后第4位的，应采用待摊或预提的方法。 ,<p>A基金资产净值 </p><p>B基金份额净值 </p><p>C基金所有者权益 </p><p>D基金资产总值</p>,4,B,按照有关规定，发生的这些费用如果影响基金份额净值小数点后第4位的，应采用预提或待摊的方法计 入基金损益。,0,0
1,(单选题)（）是指基金在一定会计期间的经营成果。 ,<p>A基金利润 </p><p>B基金资产 </p><p>C基金负债 </p><p>D基金所有者权益</p>,4,A,基金利润是指基金在一定会计期间的经营成果。利润包括收入减去费用后的净额、直接计入当期利润 的利得和损失等。,0,0
1,(单选题)目前，( ) 符合QDII可在境内募集资金进行境外投资管理。 ,<p>A基金管理公司 </p><p>B证券公司 </p><p>C商业银行等其他金融机构 </p><p>D以上选项都正确</p>,4,D,除了基金管理公司和证券公司外，商业银行等其他金融机构也可以发行代客境外理财产品。,0,0
1,(单选题)通过对（ ）和（ ）的比较分析，可以了解投资者对该基金的认可程度。 ,<p>A基金份额表动情况；持有人结构 </p><p>B基金分红能力；持有人结构 </p><p>C基金盈利能力；持有人结构 </p><p>D基金份额表动情况；基金盈利能力</p>,4,A,通过对基金份额变动情况和持有人结构的比较分析，可以了解投资者对该基金的认可程度。,0,0
1,(单选题)开放式基金的设立主体是（）。 ,<p>A基金持有人 </p><p>B基金发起人 </p><p>C基金管理人 </p><p>D基金托管人</p>,4,C,开放式基金的设立主体是基金管理人,0,0
1,(单选题)下列选项中属于显性成本的是（ ）。 ,<p>A机会成本 </p><p>B佣金 </p><p>C市场冲击 </p><p>D买卖价差</p>,4,B,显性成本包括佣金、印花税和过户费；隐性成本包括买卖价差、市场冲击、对冲费用、机会成本等。,0,0
1,(单选题)按照实物商品种类的不同，商品期货不包括（）。 ,<p>A化工期货 </p><p>B农产品期货 </p><p>C金属期货 </p><p>D能源期货</p>,4,A,按照实物商品的品种不同，商品期货可分为农产品期货、金属期货和与能源期货三种。,0,0
1,(单选题)《证券监管目标和原则》和《集介投资实业监管原则》是由（ ）发布。 ,<p>A国际金融协会 </p><p>B国际基金业协会 </p><p>C中国证监会 </p><p>D国际证监会组织</p>,4,D,国际证监会组织是目前证券投资基金监管领域最重要的国际组织。为了实现对证券投资基金在全球范 围内的有效监管，其于1998年9月发布了《证券监管目标和原则》，1994年发布了《集合投资实业监管 原则》。,0,0
1,(单选题)深训证券交易所的收盘价通过（）的方式产生。 ,<p>A柜台竞价 </p><p>B自由竞价 </p><p>C连续竞价 </p><p>D集合竞价</p>,4,D,深圳证券交易所的收盘价通过集合竞价的方式产生。,0,0
1,(单选题)合格境外机构投资者在经批准的投资额度内，可以投资于下列哪项人民币金融工具？（ ） ,<p>A股指期货 </p><p>B证券投资基金 </p><p>C在证券交易所交易或转让的股票、债券和权证 </p><p>D以上说法都正确</p>,4,D,合格境外机构投资者在经批准的投资额度内，可以投资于下列人民币金融工具： ①在证券交易所交易或转让的股票、债券和权证； ②在银行间债券市场交易的固定收益产品； ③证券投资基金； ④股指期货； ⑤中国证监会允许的其他金融工具。,0,0
1,(单选题)托管费的来源是（） ,<p>A股息 </p><p>B利息 </p><p>C基金资产 </p><p>D投资者缴纳</p>,4,C,基金托管人的托管费是从基金财产中列支的。,0,0
1,(单选题)不属于再融资的方式是（） ,<p>A股票回购 </p><p>B发行可转换债券 </p><p>C非公开发行股票 </p><p>D向不特定对象公开募集</p>,4,A,上市公司再融资的方式有向原有股东配售股份、向不特定对象公开募集、发行可转换债券、非公开发 行股票。股票回购属于影响公司发行在外股本的行为。,0,0
1,(单选题)QFII机制的意义不包括（）。 ,<p>A促使中国封闭的资本市场向开放的市场转变 </p><p>BQFII机制促进国内证券市场投资主体多元化以及上市公司行为规范化 </p><p>CQFII机制促进国内投资者的投资理念趋于理性化 </p><p>DQFII降低了证券市场的系统风险</p>,4,D,QFII机制加快我国证券市场金融创新步伐，实现我国证券市场运行规则与国际惯例的接轨,0,0
1,(单选题)处于（）市场基本饱和，产品更加标准化，公司利润达到顶峰，边际利润逐渐降低，增长缓慢甚至停 滞。 ,<p>A初创期 </p><p>B成熟期 </p><p>C成长期 </p><p>D衰退期</p>,4,B,处于成熟期，市场基本饱和，产品更加标准化，公司利润达到顶峰，边际利润逐渐降低，增长缓慢甚 至停滞。,0,0
1,(单选题)基金的( )就是基金相对于一定的业绩比较基准的收益。 ,<p>A持有期间收益 </p><p>B绝对收益 </p><p>C风险收益 </p><p>D相对收益</p>,4,D,基金的相对收益，就是基金相对于一定的业绩比较基准的收益。多样性的市场指数，可以使投资者和 基金管理公司选择适当的指数作为业绩比较基准，并进而评估基金的相对收益。,0,0
1,(单选题)下列关于股票基金持股集中度说法正确的是（）。 ,<p>A持股集中度越高，说明基金在前十大重仓股的投资越少 </p><p>B持股数量越多，基金的投资风险越分散，风险越高 </p><p>C股票基金所持有的全部股票的平均市值、平均市盈率、平均市净率等指标，可以对股票基金的风格暴 露进行分析 </p><p>D基金持股平均市值的计算有不同的方法，只能用算术平均法</p>,4,C,持股集中度越高，说明基金在前十大重仓股的投资越多。类似地，可以计算基金在前三大行业或前五 大行业上的行业投资集中度。持股数量越多，基金的投资风险越分散，风险越低。依据股票基金所持 有的全部股票的平均市值、平均市盈率、平均市净率等指标，可以对股票基金的风格暴露进行分析。 故选C。,0,0
1,(单选题)基金管理费率通常与风险（）。,<p>A成反比 </p><p>B成正比 </p><p>C不成比例 </p><p>D无法判断</p>,4,B,基金管理费率通常与风险成正比。,0,0
1,(单选题)我同提供基金评价业务的公司不包括（ ）。 ,<p>A晨星公司 </p><p>B海通证券 </p><p>C招商证券 </p><p>D招商银行</p>,4,D,我国提供基金评价业务的公司主要有晨星公司、银河证券、海通证券、招商证券、上海证券等。,0,0
1,"(单选题)（）指按照目前市场价格回购企业股票,此法透明度较高。 ",<p>A场外协议回购 </p><p>B场内公开市场回购 </p><p>C要约回购 </p><p>D凭证回购</p>,4,B,场内公开市场回购指按照目前市场价格回购企业股票，此法透明度较高。,0,0
1,(单选题)下列不属于最常用的VaR估算方法的是( )。 ,<p>A参数法 </p><p>B久期分析法 </p><p>C历史模拟法 </p><p>D蒙特卡洛模拟法</p>,4,B,最常用的VaR估算方法有： ①参数法； ②历史模拟法； ③蒙特卡洛模拟法。,0,0
1,(单选题)下列关于短期融资券的说法正确的是（）,<p>A采用贴现的形式发行，通过市场招标确定发行利率 </p><p>B发行者为具有法人资格的金融企业 </p><p>C仅在银行间债券市场上流通 </p><p>D对资金用途有明确限制</p>,4,C,中国的短期融资券是境内具有法人资格的非金融企业发行的，仅在银行间债券市场上流通的短期债务 工具。短期融资券由商业银行承销并采用无担保的方式发行，通过市场招标确定发行利率。企业发行 短期融资券目的是为了获得短期流动性，对资金用途并无明确限制。,0,0
1,(单选题)下列关于资本资产定价模型的说法错误的是（ ）。 ,<p>A本资产定价模型（CAPM)以马可维茨证券组合理论为基础，研究如果投资者都按照分散化的理念去投 资，最终证券市场达到均衡时，价格和收益率如何决定的问题 </p><p>B资本资产定价模型认为只有证券或证券组合的系统性风险才能获得收益补偿，其非系统性风险将得不 到收益补偿 </p><p>C现实中并不是所有的投资者都能够持有充分分散化的投资组合，这也是造成CAPM不能够完全预测股 票收益的一个重要原因 </p><p>D投资者要想获得更高的报酬，必须承担更高的系统性风险；承担额外的非系统性风险将会给投资者带 来收益</p>,4,D,资本资产定价模型认为，承担额外的非系统性风险将不会给投资者带来收益，所以D项说法错误。,0,0
