1,(单选题)LOF与ETF的区别不包括（）。,<p>AETF一级市场申购、赎回交易通常只有大资金才能参与；而普通投资者就可以投资LOF</p><p>BLOF的投资策略可以是主动型，也可以是指数型，而ETF通常是主动式投资管理</p><p>CLOF可以在代销网点或交易所申购、赎回，而ETF通过交易所申购、赎回</p><p>DLOF申购、购回是基金份额与现金的对价，ETF与投资者交换的是基金份额与一揽子股票</p>,4,B,ETF通常采用完全被动式管理方法。,0,0
1,(单选题)我国《证券投资基金法》规定，基金托管人由依法设立并取得基金托管资格的（）担任。,<p>A信托投资公司</p><p>B政策性银行</p><p>C商业银行</p><p>D保险公司</p>,4,C,我国《证券投资基金法》规定，基金托管人由依法设立并取得基金托管资格的商业银行或其他金融机构担任。,0,0
1,(单选题)下列关于道德与法律的区别，说法不正确的是（）。,<p>A调整手段不同</p><p>B表现形式不同</p><p>C目的不同</p><p>D内容结构不同</p>,4,C,本题考察道德与法律的区别，道德与法律的区别主要表现在表现形式不同、内容结构不同、调整范围不同和调整手段不同。目的一致是道德与法律的联系。,0,0
1,(单选题)我国货币市场基金投资组合的平均剩余期限不得超过（）。,<p>A90天</p><p>B180天</p><p>C365天</p><p>D397天</p>,4,B,我国货币市场基金投资结合的平均剩余期限不得超过180天。,0,0
1,"(单选题)《合格境内机构投资者境外证券投资管理试行办法》规定,符合条件的境内基金管理公司和（）,经中国证监会批准，可在境内募集资金进行境外证券投资管理。",<p>A保险公司</p><p>B信托公司</p><p>C证券公司</p><p>D投资咨询公司</p>,4,C,2007年6月18日，中国证监会颁布的《合格境内机构投资者境外证券投资管理读行办法》规定，符合条件的境内基金管理公司和证券公司，经中国证监会批准，可在境内募集资金进行境外证券投资管理。,0,0
1,(单选题)以下有关证券投资基金特点的说法中，正确的是（）。,<p>A基金托管人参与基金收益的分配</p><p>B基金管理人参与基金收益的分配</p><p>C基金托管人负责基金的投资</p><p>D基金以组合投资的方式进行基金的投资运作</p>,4,D,基金管理人负责基金的投资；基金托管人、管理人不参与基金收益的分配。,0,0
1,(单选题)以某一特定行业或板块为投资对象的基金就是行业股票基金，比如（）。,<p>A小盘股基金</p><p>B成长型基金</p><p>C金融服务基金</p><p>D公用事业基金</p>,4,C,按行业分类的内容,0,0
1,(单选题)基金信息披露内容应满足的原则不包括（）。,<p>A准确性原则</p><p>B易得性原则</p><p>C及时性原则</p><p>D公平披露原则</p>,4,B,准确性原则、及时性原则、公平披露原则属于披露内容应遵循原则，易得性原则属于披露形式应遵循原则。,0,0
1,(单选题)（）是指以追求资本值为目标的基金。,<p>A增长型基金</p><p>B收入型基金</p><p>C平衡型基金</p><p>D稳健型基金</p>,4,A,増长型基金是指以追求资本増值为目标的基金。,0,0
1,(单选题)股票型、债券型、货币市场基金的分类是按（）进行划分的。,<p>A运作方式不同</p><p>B法律形式不同</p><p>C投资对象不同</p><p>D投资理念不同</p>,4,C,按投资对象的不同，可以将基金分为股票型基金、债券型基金、货币市场基金、混合型基金等。,0,0
1,(单选题)（）是指通过建立科学严密的风险评估体系，对托管业务内、外部风险进行识别、评估和分析。,<p>A环境控制</p><p>B风险评估</p><p>C控制活动</p><p>D信息沟通</p>,4,B,风险评估的定义。,0,0
1,(单选题)开放式基金合同生效后，更新的招募说明书应当在每6个月结束之日起的（）日内披露。,<p>A15</p><p>B20</p><p>C30</p><p>D45</p>,4,D,基金管理人应在开放式基金合同生效后每6个月结束之日起45日内，更新招募说明书并登载在网站上。,0,0
1,(单选题)监事会对经营管理的业务监督说法错误的是（）。,<p>A当董事或经理人员执行业务违反法律法规、公司章程以及从事登记营业范围之外的业务时，监事有权通知他们停止其行为</p><p>B定期调查公司的财务状况，审账册文件，并有权要求董事会向其提供情况</p><p>C审核董事会编制的提供给股东会的各种报表，并把审核意见向股东会报告</p><p>D当监事会认为有必要时，—般是在公司出现重大问题时，可以提议召开股东会</p>,4,B,随时调查公司的财务状况，审账册文件，并有权要求董事会向其提供情况。,0,0
1,(单选题)封闭式基金份额上市交易，基金份额持有人不少于（）人。,<p>A100</p><p>B200</p><p>C500</p><p>D1000</p>,4,D,此题考察封闭式基金的上市交易条件。,0,0
1,(单选题)根据有关规定，基金赎回费在扣除手续费后，余额不得低于赎回费总额的（），并应当归入基金财产。,<p>A0.25</p><p>B0.2</p><p>C0.3</p><p>D0.1</p>,4,A,根据有关规定，基金赎回费在扣除手续费后，余额不得低于赎回费总额的25%，并应当归入基金财产。,0,0
1,(单选题)我国混合型基金的投资对象不包括（）。,<p>A股票</p><p>B债券</p><p>C货币市场工具</p><p>D金融衍生品</p>,4,D,混合基金同时以股票、债券等为投资对象，以期通过在不同资产类别上的投资实现收益与风险之间的根据中国证监会对基金类别的分类标准，投资于股票、债券和货币市场工具，但股票投资和债券投资的比例不符合股票型基金、债券型基金规定的为混合型基金。,0,0
1,(单选题)以下关于加强基金信息披露的表述错误的是（）。,<p>A有利于树立基金行业的公信力</p><p>B有利于防止利益冲突</p><p>C有利于投资者的价值判断</p><p>D有利于提高证券市场的效率</p>,4,A,基金信息披露的作用主要表现在以下方面：（一）有利于投资者的价值判断；（二）有利于防止利益冲突与利益输送；（三）有利于提高证券市场的效率：（四）有效防止信息滥用。,0,0
1,(单选题)关于基金分类的意义，以下表述不正确的是（）。,<p>A对基金投资者而言，科学合理的基金分类将有助于投资者加深对各种基金的认识及对风险收益特征的把握，有助于投资者作出正确的投资选择与比较</p><p>B对基金管理公司而言；有利于针对不同基金的特点实施更有效的分类监督</p><p>C对基金研究评价机构而言；基金的分类是进行基金评级的基础</p><p>D对监管部门而言，明确基金的类别特征将有利于针对不同基金的特点实施更有效的分类监管</p>,4,B,对基金管理公司而言，基金业绩的比较应该在同一类别中进行才合理。,0,0
1,(单选题)（）指基金管理人内部部门和岗位的设置应当权责分明、相互制衡。,<p>A有效性</p><p>B健全性</p><p>C相互独立</p><p>D相互制约</p>,4,D,相互制约指基金管理人内部部门和岗位的设置应当权责分明、相互制衡。,0,0
1,(单选题)职业关系具有的特点不包括（）。,<p>A单一性</p><p>B社会性</p><p>C专业性</p><p>D复合性</p>,4,A,职业关系具有社会性、专业性和复合性的特点。,0,0
1,(单选题)根据基金的资金来源和用途，可以将基金分为（）。,<p>A私募基金和公募基金</p><p>B契约型基金和公司型基金</p><p>C封闭式基金和开放式基金</p><p>D在岸基金和离岸基金</p>,4,D,根据基金的资金来源和用途，可以将基金分为在岸基金和离岸基金。,0,0
1,(单选题)根据《基金销售办法》，申请基金销售业务资格应当具备的基本条件不包括（）。,<p>A财务状况良好，运作规范稳定</p><p>B有与基金销售业务相适应的营业场所；安全防范设施和其他设施</p><p>C净资本等财务风险监控指标符合中国证监会的有关规定</p><p>D制定了完善的资金清算流程，符合对基金销售结算资金管理的有关要求</p>,4,C,考查基金销售机构资格条件的基本规定。,0,0
1,(单选题)下列不属于基金销售客户服务方式的是（）。,<p>A互联网的应用</p><p>B媒体和宣传手册的应用</p><p>C讲座、推介会和座谈会</p><p>D“一对多”服务</p>,4,D,考察基金销售客户服务方式,0,0
1,(单选题)（）是由一定的社会经济基础决定并形成的，以是与非、善与恶、美与丑、正义与邪恶、公正与偏私、诚实与虚伪等范畴为评价标准，依靠社会舆论、传统习俗和内心信念等约束力量，实现调整人与人之间、人与社会之间关系的行为规范的总和。,<p>A道德</p><p>B品德</p><p>C品质</p><p>D思想</p>,4,A,所谓道德，是一种社会意识形态，是由一定的社会经济基础决定并形成的，以是与非、善与恶、美与丑、正义与邪恶、公正与偏私、诚实与虚伪等范畴为评价标准，依靠社会舆论、传统习俗和内心信念等约束力量，实现调整人与人之间、人与社会之间关系的行为规范的总和。,0,0
1,(单选题)以下关于道德与法律的关系说法错误的是（）。,<p>A道德和法律都是行为规范，都是重要的社会调控手段，但是在根本目的上不一致</p><p>B有些行为不违反法律但违反道德；还有些行为违反法律但并不违反道德</p><p>C道德在调整范围上对法律具有补充作用</p><p>D法律对传播道德具有促进作用</p>,4,A,道德与法律的关系:道德与法律是社会行为规范最主要的两种形式，二者既有区别又有联系。1.道德与法律的区别⑴表现形式不同。法律是由国家制定或认可的一种行为规范，主要表现为各种制定法或者判例法，内容明确，通常以文字作为载体，以便人们认知和遵守。而道德是社会认可和人们普遍接受的行为规范，既可以是成文的，也可以是不成文的，没有待定的表现形式。（2）内容结构不同。法律以权利义务为内容，要求权利义务对等；而道德一般只以义务为内容，并不要求有对等的权利。法律规范的结构是假定、处理和制裁，或者说是行为模式和法律后果；而道德规范一般没有明确的制裁措施或者行为后果。⑶调整范围不同。一般认为道德调整的范围比法律调整的范围更为广泛。绝大多数法律规范是以道德评价为基础的，同时也是道德规范；但也有一些法律调整的领域道德并不调整，例如一些专门的程序性规范。因此，二者的调整范围是交叉关系。法律与道德的调整范围存在交叉，根本原因在于二者的评价标准存在一定的不同，道德以价值判断，即以公认的是非，善恶，美丑，正邪等范畴为评价标准；而法律的评价标准不限于价值判断或者不直接反映价值判断。⑷调整手段不同。法律主要依靠国家强制力保证实施；而道德主要依靠社会舆论、传统习俗和内心信念等力量来实现其约束力。相比法律，道德的调整手段更多，但均不具有强制性。因此，法律的实施主要依靠他律，而道德的实施主要依靠自律。社会法治建设偏重于”有法可依、有法必依、执法必严、违法必究”的外化机制，而社会德治建设则偏重于“移风易俗”“奖优罚劣”“德育教化”等诸多内化机制。2.道德与法律的联系⑴目的一致。道德和法律都是行为规范，都是重要的社会调控手段。二者都属于上层建筑范畴，都为一定的社会经济基础服务。绝大多数的法律规范都是以道德作为价值基础的，在评价标准上与道德是一致的，因此，二者在根本目的上具有一致性。⑵内容交叉。道德一般可分为两类，一类是维护社会秩序所要求的最低限度的道德；一类是有助于提高人的精神素质、增进人与人之间和谐关系的较高要求的道德。前者通常也是法律所调整的内容，而对于后者法律一般不予调整。同时，法律调整的内容并不限于道德所调整的范畴。因此，道德与法律在内容上是交叉关系。有些行为既是违反法律的又是违反道德的，而有些行为不违反法律但违反道德，还有些行为违反法律但并不违反道德。⑶功能互补。道德在调整范围上对法律具有补充作用。有些行为不宜由法律调整或者本应由法律调整但因立法满后而尚“无法可依”的，道德调整就起了补充作用。同时，法律在约束力上对道德具有补充作用。相比法律，道德的约束是“软”约束，因此，重要的道德转化为法律，就可以依靠国家强制力来保证实施。〔4〕相互促进。法律对传播道德具有促进作用。法律的实施，往往就是一个惩恶扬善的过程，不但有助于人们法律意识的形成，还有助于人们道德观念的培养。因为法律与道德的评价标准虽有不同，但在绝大多数情况下是一致或相近的，而且更为明确，所以法律的实施对道德观念的培养可以起到强化促进作用。同时，道德对法律的实施也具有促进作用。遵纪守法通常是道德最基本的要求，增强道德观念有助于人们自觉守法。另外，规章、制度、纪律等也属于行为规范的范畴，是介于法律和道德之间的一种特殊的规范。这些规范通常由特定组织制定，效力限于组织内部人员。例如，企业制定的工作规程和安全生产制度等。其与法律、道德的区别在于，一方面，这些规范不太强调价值判断，具有突出的技术性；另一方面，这些规范有强于道德而弱于法律的约束力，具有一定的强制性。,0,0
1,(单选题)基金销售机构是受（）委托从事基金代理销售的机构。,<p>A中国证监会</p><p>B基金托管人</p><p>C基金机构投资者</p><p>D基金管理公司</p>,4,D,基金销售机构是受基金管理公司委托从事基金代理销售的机构。,0,0
1,(单选题)基金信息披露内容上的特点不包括（）。,<p>A及时性</p><p>B全面性</p><p>C易得性</p><p>D准确性</p>,4,C,信息披露的原则体现在对披露内容和披露形式两方面的要求上。在披露内容上，要求遵循真实性原则、准确性原则、完整性原则、及时性原则和公平性原则；在披露形式上，要求遵循规范性原则、易解性原则和易得性原则,0,0
1,(单选题)不追求取得超越市场表现的基金是（）。,<p>A指数型基金</p><p>B主动型基金</p><p>C灵活配置</p><p>D积极成长基金</p>,4,A,"指数型基金不追求取得超越市场表现,而是试图复制指数的表现。",0,0
1,(单选题)以下关于ETF联接基金说法错误的是（）。,<p>A绝大部分基金财产投资于跟踪目标ETF</p><p>B密切跟踪指标的指数表现</p><p>C采用封闭式运作方法</p><p>D可以在场外申购或者赎回</p>,4,C,ETF联接基金是一种将其绝大部分基金财产投资于跟踪同一指标的指数的ETF(简称目标ETF)、密切跟踪指标的指数的表现、采用开放式运作方法、可以在场外申购或赎回的基金。,0,0
1,(单选题)按基金的资金来源不同，基金可分为（）。,<p>A公募基金和私募基金</p><p>B开放式基金和封闭式基金</p><p>C在岸基金和离岸基金</p><p>D公司型基金和契约型基金</p>,4,C,"按基金的资金来源不同,基金可分为在岸基金和离岸基金。",0,0
1,(单选题)基金市场营销的特殊性不包括（）。,<p>A规范性</p><p>B服务性</p><p>C持续性</p><p>D全面性</p>,4,D,基金市场营销的特殊性表现为：（1)规范性；(2)服务性；(3)专业性；(4)持续性；(5)适用性。,0,0
1,(单选题)国际上比较流行的投资组合保险策略主要有对冲保险策略和（）。,<p>A股票保险策略</p><p>B债券保险策略</p><p>C固定比例投资组合保险策略</p><p>D差值保险策略</p>,4,C,国际上比较流行的2种投资组合保险策略:对冲保险策略；固定比例投资组合保险策略。,0,0
1,(单选题)与其他金融工具比较，开放式基金是一种（）。,<p>A受益凭证</p><p>B收益凭证</p><p>C债券凭证</p><p>D信用凭证</p>,4,A,基金反映的则是一种信托关系，是一种受益凭证，投资者购买基金份额就成为基金的受益人。,0,0
1,(单选题)基金主要投资比例应符合（）。,"<p>A只基金持有一家上市公司的股票，其市值不得超过基金资产净值的5%</p><p>B对于开放式基金来说，为了应对日常赎回,法规要求保持不低于基金资产净值5%的现金或者到期日在1年以内的政府债券</p><p>C法规规定,如果基金名称显示投资方向的，应有70%以上的非现金基金资产属于投资方向确定的内容</p><p>D对于基金回购赎回业务，法规规定，基金在全国银行间同业拆借市场进行债券回购的资金金额不得超过基金资产净值的30%</p>",4,B,"一只基金持有一家上市公司的股票，其市值不得超过基金资产净值的10%；法规规定，法规规定,如果基金名称显示投资方向的，应有80%以上的非现金基金资产属于投资方向确定的内容；对于基金回购赎回业务，法规规定,基金在全国银行间同业拆借市场进行债券回购的资金，金额不得超过基金资产净值的40%。",0,0
1,(单选题)公司型基金与契约型基金的主要区别是（）。,<p>A基金规模是否变化</p><p>B基金募集、是否为公募</p><p>C基金是否上市交易</p><p>D基金是否为独立的法人</p>,4,D,二者之间的区别主要表现在法律形式的不同。,0,0
1,(单选题)关于基金托管人的信息披露义务不正确的表述是（）。,<p>A当代表基金份额10%以上的基金份额持有人就同一事项要求召开持有人大会，管理人和托管人都不召开时，代表基金份额10%以上的持有人有权自行召集</p><p>B在基金份额发售的2日前，将基金合同和托管协议登载在托管人网站上</p><p>C在基金年度报告中出具托管人报告</p><p>D对报告期内托管人是否尽职尽责等情况作出说明</p>,4,B,应在基金份额发售的3日前，将基金合同和托管协议登载在托管人网站上。,0,0
1,(单选题)（）不是系列基金特点的主要表现。,<p>A多个基金共用一个基金合同</p><p>B子基金独立运作</p><p>C子基金之间可以进行相互转换</p><p>D各子基金并不可以进行相互转换</p>,4,D,"系列基金是指多个基金共用一个基金合同，子基金独立运作,子基金之间可以进行相互转换。",0,0
1,(单选题)下面不属于基金信息披露的内容方面遵循的原则的是（）。,<p>A准确性</p><p>B真实性</p><p>C规范性</p><p>D完整性</p>,4,C,基金信息披露的实质性原则包括真实性、准确性、完整性、及时性、公平披露等原则。,0,0
1,(单选题)根据《证券投资基金法》的规定，封闭式基金成立的最低要求为（）。,"<p>A核准规模的80%以上，份额持有人不少于200人</p><p>B核准规摸的60%以上，份额持有人不少于200人</p><p>C份额不少于2亿份，份额总额不少于2亿元人民币,份额持有人不少于200人</p><p>D份额不少于2亿份，份额总额不少于2亿元人民币，份额持有人不少于1000人</p>",4,A,"根据《证券投资基金法》的规定,封闭式基金成立的最低要求为基金份额总额达到核准规模的80%以上，基金份额持有人不少于200人。",0,0
1,(单选题)（）是指利用虚构事实或者隐瞒真相的方式欺骗客户，使客户产生错误的认识，最终做出错误的判断。,<p>A欺诈</p><p>B隐瞒</p><p>C隐藏</p><p>D泄露</p>,4,A,欺诈是指利用虚构事实或者隐瞒真相的方式欺骗客户，使客户产生错误的认识，最终做出错误的判断。,0,0
1,(单选题)下列基金类型中实行实物申购、赎回机制的有（）。,<p>A股票型基金</p><p>B债券型基金</p><p>CETF</p><p>DLOF</p>,4,C,ETF的申购和赎回采用指定的一篮子证券。,0,0
1,(单选题)我国相关法律规定，办理基金开户要求的个人投资者年龄为（）周岁具有完全民事行为能力人。,<p>A16-60</p><p>B16-70</p><p>C18-60</p><p>D18-70</p>,4,D,"我国相关法律规定,办理基金开户要求的个人投资者年龄为18-70周岁具有完全民事行为能力人。",0,0
1,(单选题)（）是指基金管理人投资业务人员违反相关法律法规和公司内部规章带来的处罚和损失风险。,<p>A反洗钱合规风险</p><p>B信息披露合规风险</p><p>C投资合规性风险</p><p>D销售合规风险</p>,4,C,投资合规性风险是指基金管理人投资业务人员违反相关法律法公司内部规章带来的处罚和损失风险。,0,0
1,"(单选题)基金销售过程的适用性原则要求,基金销售机构应遵循的原则不包括（）。",<p>A投资人利益优先原则</p><p>B全面性原则</p><p>C公正性原则</p><p>D及时性原则</p>,4,C,另外还有客观性原则等4个原则。,0,0
1,(单选题)下列关于客户至上的基本要求，说法错误的是（）。,<p>A基金从业人员不得从事与投资人利益相冲突的业务</p><p>B基金从业人员在执业过程中遇到自身利益或相关方利益与投资人利益发生冲突时，应以投资人利益优先，并应及时向所在机构报告。</p><p>C公平对待客户</p><p>D持证上岗</p>,4,D,"客户至上的基本要求包括：1.客户利益优先。具体而言，基金从业人员应当遵守下列规则：⑴不得从事与投资人利益相冲突的业务。(2)应当采取合理的措施避免与投资人发生利益冲突。⑶在执业过程中遇到自身利益或相关方利益与投资人利益发生冲突时，应以投资人利益优先,并应及时向所在机构报告。（4)不得侵占或者挪用基金投资人的交易资金和基金份额。（5)不得在不同基金资产之间、基金资产和其他受托资产之间进行利益输送。（6)不得在执业活动中为自己或他人牟取不正当利益。（7)不得利用工作之便向任何机构和个人输送利益，损害基金持有人利益。2.公平对待客户。持证上岗是专业审慎的基本要求。",0,0
1,(单选题)职业道德是随着社会分工的发展并出现相对固定的职业共同体时产生的，人们的（）是职业道德产生的基础。,<p>A职业实践</p><p>B社会实践</p><p>C法律实践</p><p>D道德实践</p>,4,A,职业道德是随着社会分工的发展并出现相对固定的职业共同体时产生的，人们的职业实践是职业道德产生的基础。,0,0
1,(单选题)下列报告中，必须每季度定期公布的是（）。,<p>A基金投资组合报告</p><p>B基金公开说明书</p><p>C基金资产净值公告</p><p>D基金中期报告</p>,4,A,基金季度报告主要包括基金概况、主要财务指标和净值表现、管理人报告、投资组合报告、开放式基金份额变动等内容。,0,0
1,(单选题)开放式基金在投资操作上的优势主要有（）。,<p>A可进行长期投资和全额投资</p><p>B可投资于流动性相对较弱的资产</p><p>C更好的激励约束机制</p><p>D没有赎回压力</p>,4,C,开放式基金提供了更好的激励约束机制。,0,0
1,(单选题)债券基金对（）的投资者具有较强的吸引力。,<p>A长期投资者</p><p>B短期投资者</p><p>C追求最大利润</p><p>D追求稳定收入</p>,4,D,债券基金主要以债券为投资对象，因此对追求稳定收入的投资者具有较强的吸引力。,0,0
1,(单选题)下列关于私募基金的说法，错误的是（）。,"<p>A募集对象固定</p><p>B可以上市交易</p><p>C在运作上具有较大的灵活性,所受到的限制和约束较少</p><p>D不允许公开进行宣传</p>",4,B,"私募基金采用非公开方式,在运作上具有较大的灵活性，所受到的限制和约束也较少。",0,0
1,(单选题)简单的基金产品风险评价分类不包括（）。,<p>A零风险等级</p><p>B低风险等级</p><p>C中风险等级</p><p>D高风险等级</p>,4,A,基金产品风险应当至少包括以下三个等级：低风险等级、中风险等级、高风险等级。,0,0
1,"(单选题)基金份额持有人自行召集持有人大会时,应至少提前（）日公告持有人大会的召开时间、会议形式、审议事项、表决方式等事项。",<p>A45</p><p>B30</p><p>C15</p><p>D10</p>,4,B,"基金份额持有人自行召集持有人大会时,应至少提前30日公告持有人大会的召开时间、会议形式、审议事项、表决方式等事项。",0,0
1,(单选题)货币市场基金的管理费率可能为（）。,<p>A0.025</p><p>B0.03</p><p>C0.01</p><p>D0.002</p>,4,D,"目前，我国股票基金大部分按照1.5%的比例计提基金管理费，债券基金的管理费率一般低于1%,货币市场基金的管理费率不高于0.33%。",0,0
1,(单选题)封闭式基金的交易价格主要受（）的影响。,<p>A投资基金规模大小</p><p>B上市公司质量</p><p>C二级市场供求关系</p><p>D投资时间长短</p>,4,C,封闭式基金的交易价格主要受二级市场供求关系的影响。,0,0
1,(单选题)基金管理人办理开放式基金份额的赎回，应当收取赎回费。以下说法正确的是（）。,<p>A对持续持有期少于7日的投资人收取不低于1%的赎回费</p><p>B对持续持有期少于7日的投资人收取不低于1.5%的赎回费</p><p>C对持续持有期长于6个月的投资人，应当将不低于基金份额净值的15%计入基金财产</p><p>D对持续持有期长于6个月的投资人，应当将不低于基金份额净值的25%计入基金财产</p>,4,B,"目前对于一般的股票型和混合型基金赎回费归基金财产的比例有以下规定:不收取销售服务费的，对持续持有期少于7日的投资人收取不低于1.5%的赎回费,对持续持有期少于30日的投资人收取不低于0.75%的赎回费，并持上述赎回费全额计入基金财产；对持续持有期少于3个月的投资人收取不低于0.5%的赎回费，并将不低于赎回费总额的75%计入基金财产；对持续持有期长于3个月但少于6个月的投资人收取不低于0.5%的赎回费，并将不低于赎回费总额的50%计入基金财产；对持续持有期长于6个月的投资人，应当将不低于赎回费总额的25%计入基金财产。",0,0
1,(单选题)基金销售适用性的指导原则不包括（）。,<p>A投资人利益优先原则</p><p>B全面性原则</p><p>C客观性原则</p><p>D综合性原则</p>,4,D,基金销售适用性的指导原则包括：投资人利益优先原则、全面性原则和客观性原则。,0,0
1,"(单选题)与主动型基金相比较,被动型基金一般来说不会表现为（)。",<p>A力图取得超越基准组合的表现</p><p>B试图复制选定指数的表现</p><p>C选取特定的指数为跟踪对象</p><p>D通常为指数基金</p>,4,A,"与主动型基金不同，被动型基金并不主动寻求取得超越市场的表现，而是试图复制指数的表现。被动型基金一般选取特定的指数作为跟踪的对象,因此通常又被称为指数型基金。",0,0
1,(单选题)基金管理人合规培训的具体内容不包括（）。,<p>A国家制定颁布的与基金行业有关的法律法规</p><p>B公司内部的员工守则和各项业务的合规制度</p><p>C案例警示教育</p><p>D基金公司投资决策的依据</p>,4,D,基金管理人合规培训的具体内容包括：国家制定颁布的与基金行业有关的法律法规；公司内部的员工守则和各项业务的合规制度；案例警示教育。这些内容涉及基金管理人风险管理指引、风险管理经验、基金公司及子公司内控评价、相关案例讲解等，也包括了解公司管理层的合规要求及经理层合规要求等。基金公司投资决策的依据属于合规检查的内容。,0,0
