1,(单选题)基金当事人不包括（）。,<p>A基金份额持有人</p><p>B基金销售机构</p><p>C基金托管人</p><p>D基金管理人</p>,4,B,基金销售机构属于基金市场服务机构。,0,0
1,(单选题)基金募集失败，基金管理人应承担的责任有（）。,<p>A以固有财产承担因募集行为而产生的债务和费用</p><p>B在基金募集期限届满后60日内返还投资者已缴纳的款项，并加计银行同期存款利息</p><p>C以基金财产承担因募集行为而产生的债务和费用</p><p>D在基金募集期限届满后90日内返还投资者已缴纳的款项，并加计银行同期存款利息</p>,4,A,基金募集失败需要承担的责任。,0,0
1,(单选题)（）是现在金融体系的两大运作载体。,<p>A金融市场和金融服务机构</p><p>B基金市场和股票市场</p><p>C股票市场和债券市场</p><p>D期货市场和股票市场</p>,4,A,金融市场和金融服务机构是现在金融体系的两大运作载体。,0,0
1,(单选题)非公开募集基金，描述错误的是（）。,<p>A应制定并签订基金合同</p><p>B可采用讲座、报告等方式向公众宣传推介</p><p>C合格投资者不超过2000人</p><p>D应向合格投资者募集</p>,4,B,依据《证券投资基金法》和《私募投资基金监督管理暂行办法》的规定，非公开募集基金，不得向合格投资者之外的单位和个人募集资金，不得通过报刊、电台、电视台、互联网等公众传播媒体或者讲座、报告会、分析会和布告、传单、手机短信、微信、博客和电子邮件等方式向不特定对象宣传推介,0,0
1,(单选题)证券投资基金作为一种金融产品，与股票的区别不包括（）。,<p>A反映的经济关系</p><p>B所筹资金的投向</p><p>C投资收益与风险</p><p>D信息披露程度</p>,4,D,考核基金与股票的3个不同点。反映的经济关系不同；所筹资金的投向不同；投资收益与风险不同。,0,0
1,(单选题)金融类资产一般分为（）金融资产两类。,<p>A股权类和基金类</p><p>B股权类和债权类</p><p>C基金类和债权类</p><p>D证券类和股票类</p>,4,B,金融类资产一般分为股权类和债权类金融资产两类。,0,0
1,(单选题)基金管理人应当在基金份额发售的（）前公布招募说明书、基金合同及其他有关文件。,<p>A2日</p><p>B3日</p><p>C5日</p><p>D7日</p>,4,B,基金管理人定当在基金份额发售的3日前公布招募说明书、基金合同及其他有关文件。,0,0
1,(单选题)以下选项中不属于基金运作信息披露文件的是（）。,<p>A基金上市交易公告书</p><p>B基金资产净值和份额净值公告</p><p>C基金定期报告</p><p>D基金份额发售公告</p>,4,D,基金运作信息披露文件包括：基金上市交易公告书、基金资产净值和份额净值公告、基金年度报告、半年度报告、季度报告。其中，基金年度报告、半年度报告和季度报告，在称为“基金定期报告”。基金份额发售公告属于基金募集信息披露。,0,0
1,(单选题)我国第一只开放式基金是（）。,<p>A基金开元</p><p>B基金金泰</p><p>C华安创新</p><p>D南方宝元</p>,4,C,我国第一只开放式基金是华安创新。,0,0
1,(单选题)证券投资基金不包括（）。,<p>A封闭式基金</p><p>B开放式基金</p><p>C创业投资基金</p><p>D债券基金</p>,4,C,"根据运作方式的不同,基金分为封闭式基金和开放式基金；根据投资对象的不同，基金分为股票基金，债券基金，货币市场基金，混合基金等。",0,0
1,"(单选题)在二级市场买卖ETF时,申报价格最小变动单位为（）元。",<p>A0.0001</p><p>B0.1</p><p>C0.001</p><p>D0.01</p>,4,C,上市后基金申报价格最小变动单位为0.001元。,0,0
1,(单选题)货币市场基金收益公告的主要内容是最近7日年化收益率（）。,<p>A每万份基金总额</p><p>B每万份基金净收益</p><p>C5日年化收益率</p><p>D每千份基金净收益</p>,4,B,货币市场基金收益公告的主要内容是最近7日年化收益率和每万份基金净收益。,0,0
1,(单选题)披露内容方面应遵循的基本原则不包括（）。,<p>A真实性</p><p>B完整性</p><p>C及时性</p><p>D易得性</p>,4,D,信息披露的原则体现在对披露内容和披露形式两方面的要求上。在披露内容上，要求遵循真实性原则、准确性原则、完整性原则、及时性原则和公平性原则；在披露形式上，要求遵循规范性原则、易解性原则和易得性原则。,0,0
1,(单选题)基金招募说明书应当包括（）。I.基金募集申请的准予注册文件名称和注册日期Ⅱ.基金管理人、基金托管人的基本情况Ⅲ.基金合同和基金托管协议的内容摘要Ⅳ.基金份额的发售日期、价格、费用和期限,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,招募说明书的主要披露事项：1.招募说明书摘要。基金募集申请的核准文件名称和核准日期。3.基金管理人和基金托管人的基本情况。4.基金份额的发售日期、价格、费用和期限。5.基金份额的发售方式、发售机构及登记机构名称。6.基金份额申购和赎回的场所、时间、程序、数额与价格，拒绝或暂停接受申购、暂停赎回或延缓支付、巨额赎回的安排等。7.基金的投资目标、投资方向、投资策略、业绩比较基准、投资限制。8.基金资产的估值。9.基金管理人和基金托管人的报酬及其他基金运作费用的费率水平、收取方式。10.基金认构费、申购费、赎回费、转换费的费率水平、计算公式、收取方式。11.出具法律意见书的律师事务所和审计基金财产的会计师事务所的名称和住所。12.风险警示内容。13.基金合同和基金托管协议的内容摘要。,0,0
1,(单选题)现金替代的类型不包括（）。,<p>A禁止现金替代</p><p>B可以现金替代</p><p>C必须现金替代</p><p>D固定现金替代</p>,4,D,现金替代的3种类型:禁止现金替代、可以现金替代、和必须现金替代。,0,0
1,(单选题)下列关于股票基金的表述，不正确的是（）。,"<p>A以追求长期资本的值目标,比较适合长期投资</p><p>B风险高、预期收益低</p><p>C是应对通货膨胀的最有效手段</p><p>D提供了一种长期的投资值性，可供投资者用来满足教育支出、退休支出等远期支出需要</p>",4,B,考核股票基金在投资组合中的作用。,0,0
1,(单选题)基金托管人披露的信息不涉及（）。,<p>A代理清算交割</p><p>B会计核算</p><p>C总值复核</p><p>D投资运作监督环节</p>,4,C,基金托管人涉及的信息披露事项包括基金资产保管、代理结算交割、会计核算、净值复核和投资运作监督等环节。,0,0
1,(单选题)（）是指基金管理人的合规管理应当在体制机制、组织架构、人力资源、管理流程等诸多方面独立于内部其他风险部门、业务部门、内部审计部门等。,<p>A合法独立性</p><p>B合规独立性</p><p>C隔离性</p><p>D分离性</p>,4,B,合规独立性是指基金管理人的合规管理应当在体制机制、组织架构、人力资源、管理流程等诸多方面独立于内部其他风险部门、业务部门、内部审计部门等。,0,0
1,(单选题)开放式基金主要受（）的影响。,<p>A二级市场供求关系</p><p>B基金资产净值</p><p>C一级市场供求关系</p><p>D基金投资规模</p>,4,B,封闭式基金的交易价格主要受二级市场供求关系的影响，开放式基金的买卖价格以基金份额价值为基础。,0,0
1,(单选题)T日现金差额在（）日的申购、赎回清单中公告。,<p>AT</p><p>BT+1</p><p>CT+2</p><p>DT+3</p>,4,B,T日现金差额在T+1日的申购、赎回清单中公告。,0,0
1,(单选题)基金的募集期限自基金份额发售日开始计算，募集期不得超过（）个月。,<p>A1</p><p>B3</p><p>C5</p><p>D6</p>,4,B,基金的募集期限自基金份额发售日开始计算，募集期不得超过3个月。,0,0
1,(单选题)（）是合规管理的关键性原则。,<p>A惩罚性原则</p><p>B隔离性原则</p><p>C独立性原则</p><p>D分离性原则</p>,4,C,独立性原则是合规管理的关键性原则。,0,0
1,"(单选题)深圳证券交易所对LOF交易实行价格涨跌幅限制,涨跌幅比例为（）,自上市首日起执行。",<p>A0.1</p><p>B0.12</p><p>C0.05</p><p>D0.15</p>,4,A,"深圳证券交易所对LOF交易实行价格涨跌幅限制,涨跌幅比例为10%,自上市首日起执行。",0,0
1,(单选题)（）证券组合以资本升值(即未来价格上升带来的价差收益）为目标。,<p>A收入型</p><p>B避税型</p><p>C增长型</p><p>D货币市场型</p>,4,C,增长性证券组合以资本升值(即未来价格上升带来的价差收益）为目标。,0,0
1,(单选题)当前我国QDII基金的认购程序的步骤不包括（）。,<p>A审核</p><p>B开户</p><p>C认购</p><p>D确认</p>,4,A,当前我国QDII基金的认购程序主要包括开户、认购、确认三个步骤。,0,0
1,(单选题)基金管理人应当自收到核准文件之日起（）个月内进行基金份额的发售。基金的募集期限自基金份额发售日开始计算，募集期限不得超过（）个月。,"<p>A3,6</p><p>B6,3</p><p>C4,6</p><p>D6,4</p>",4,B,基金管理人应当自收到核准文件之日起6个月内进行基金份额的发售。基金的募集期限自基金份额发售日开始计算，募集期限不得超过3个月。,0,0
1,"(单选题)通过依法行使审批或核准权,依法办理基金备案,对基金管理人、基金托管人以及其他从事基金活动的中介机构进行监督管理，对违法行为进行查处，在基金的运作过程中起着重要的作用。",<p>A基金份额持有人</p><p>B基金监管机构</p><p>C基金托管人</p><p>D基金注册登记机构</p>,4,B,"基金监督机构通过依法行使审批或核准权,依法办理基金备案,对基金管理人、基金托管人以及其他从事基金活动的中介机构进行监督管理，对违法行为进行查处，在基金的运作过程中起着重要的作用。",0,0
1,(单选题)基金销售机构向基金管理人收取客户维护费的依据是（）。,<p>A基金销售的规模</p><p>B基金机构网点的数量</p><p>C基金机构的客户数量</p><p>D销售基金的保有量</p>,4,D,基金管理人与基金销售机构可以在基金销售协议中约走依据基金销售机构销售基金的保有量提取一定比例的客户维护费，用以向基金销售机构支付客户服务及销售活动中产生的相关费用。基金销售机构收取客户维护费，应当符合中国证监会关于基金销售费用的有关规定。,0,0
1,(单选题)基金份额持有人要求基金管理人购回其所持有的开放式基金份额的行为称作开放式基金的（）.,<p>A申购</p><p>B认购</p><p>C赎回</p><p>D转换</p>,4,C,开放式基金的赎回是指基金份额持有人要求基金管理人购回其所持有的开放式基金额的行为。,0,0
1,(单选题)基金监管活动的要素主要包括（）。I.基金监管目标II.基金监管体制Ⅲ.基金监管内容IV.基金监管方式,<p>AI.II.IV</p><p>BII.III.IV</p><p>CI.II.III.IV</p><p>DI.III.IV</p>,4,C,基金监管活动的要素主要包括目标、体制、内容和方式等。,0,0
1,(单选题)以下关于基金募集监管方面的表述，正确的是（）。,<p>A注册制对基金的募集主要进行合治规性的审查</p><p>B资本市场不发达的国家一般实行注册制</p><p>C核准制对基金的募集不进行实质性审查</p><p>D注册制主要适用于新兴资本市场国家</p>,4,A,核准制是指监管部门对基金的募集申请进行实质性审查的制度安排；在我国，资本市场的发展具有较明显的转轨经济和新兴市场的特征。在此背景下我国对基金募集申请实行的是核准制。资本市场发达的国家一实行注册制。,0,0
1,(单选题)关于ETF和LOF以下选项有哪些是不正确的是（）。,<p>AETF是指数型基金的一种</p><p>BETF在本质上是开放式基金</p><p>CETF与LOF的区别之一是前者的申购和赎回均以现金进行</p><p>DLOF可以在代销网点或交易所申购、赎回ETF通过交易所申购、赎回</p>,4,C,"LOF的申购、赎回既可以在代销网点进行也可以在交易所进行,ETF的申购、赎回通过交易所进行;ETF与投资者交换的是基金份额与一揽子股票，而LOF的申购、赎回是基金份额与现金的对价。",0,0
1,(单选题)根据中国证监会的相关指引，ETF联接基金投资于目标ETF的资产不得低于基金资产净值的（）。,<p>A0.6</p><p>B0.7</p><p>C0.8</p><p>D0.9</p>,4,D,根据中国证监会的相关指引，ETF联接基金投资于目标ETF的资产不得低于基金资产净值的90%。,0,0
1,(单选题)某基金合同规定，正常情况下股票资产比例为50%-80%债券资产比例为15%-45%该基金应该属于（）。,<p>A股票型基金</p><p>B债券型基金</p><p>C保本型基金</p><p>D混合型基金</p>,4,D,"股票型基金的股票投资比重在80%以上,债券型基金的债券投资比例在80%以上。根据题干可知，该基金既不属于股票型基金、又不属于债券型基金，而该基金又以股票、债券为投资对象，因此该基金应属于混合型基金。",0,0
1,(单选题)（）是一般社会道德在职业活动和职业关系中的特殊表现，是与人们的职业行为紧密联系的符合职业特点要求的道德规范的总和。,<p>A道德</p><p>B职业道德</p><p>C品德</p><p>D素养</p>,4,B,职业道德是一般社会道德在职业活动和职业关系中的特殊表现，是与人们的职业行为紧密联系的符合职业特点要求的道德规范的总和。,0,0
1,(单选题)依照《证券投资基金法》的规定，不属于基金托管人的职责的是（）。,<p>A办理与基金托管相关的信息披露事项</p><p>B计算并公告基金资产份额净值</p><p>C按规定召集基金份额持有人大会</p><p>D按照规定开设基金财产的资金账户和证券账户</p>,4,B,计算并公告基金资产份额净值为基金管理人的职责。,0,0
1,(单选题)以下不属于QDII基金的禁止行为的是（）。,<p>A投资住房按揭支持证券</p><p>B购买实物商品</p><p>C从事证券承销业务</p><p>D购买房地产抵押按揭</p>,4,A,住房按揭支持证券是QDII基金可投资的对象。,0,0
1,"(单选题)（）指基金管理人运用科学化的经营管理方法降低运作成本,提高经济效益,以合理的控制成本达到最佳的内部控制效果。",<p>A健全性</p><p>B最优化</p><p>C有效性</p><p>D成本效益</p>,4,D,"成本效益指基金管理人运用科学化的经营管理方法降低运作成本,提高经济效益,以合理的控制成本达到最佳的内部控制效果。",0,0
1,(单选题)关于单个债券与债券基金以下描述不正确的是（)。,<p>A债券基金没有确定的到期日</p><p>B债券基金的收益比债券的利息固定</p><p>C债券基金的收益率比买入并持有到期的单个债券的收益率更难以预测</p><p>D两者的投资风险不同</p>,4,B,债券基金的收益不如债券的利息固定。,0,0
1,(单选题)下面关于基金招募说明书的说法不正确的是（）。,<p>A是约定基金管理人、基金托管人和基金份额持有人权利义务关系的重要法律文件</p><p>B是基金管理人为发售基金份额而依法制作的</p><p>C是指导投资者认购基金份额的规范性文件</p><p>D将所有对投资者做出投资判断有重大影响的信息予以充分披露</p>,4,A,基金合同是约定基金管理人、基金托管人和基金份额持有人权利义务关系的重要法律文件。,0,0
1,"(单选题)在ETF募集期内,投资者通过基金管理人指定的基金发售代理机构，使用证券交易所的网络系统进行的认购为（）。",<p>A场内认购</p><p>B场外认购</p><p>C银行认购</p><p>D券商认购</p>,4,A,此题考察ETF的认购渠道分为场内认购和场外认购两种，场内现金认购是指投资者通过基金管理人指定的发售代理机构以现金方式参与证券交易所上网定价发售；场外现金认购是指投资者通过基金管理人及其指定的发售代理机构以现金进行的认购。,0,0
1,(单选题)信息管理平台系统运行数据中涉及基金投资人信息和交易记录的备份应当在不可修改的介质上保存（）年。,<p>A10</p><p>B15</p><p>C20</p><p>D25</p>,4,B,信息管理平台系统运行数据中涉及基金投资人信息和交易记录的备份应当在不可改的介质上保存15年。,0,0
1,(单选题)基金托管协议（)。,<p>A基金管理人与基金份额持有人签订的协议</p><p>B用以明确当事人在管理、托管基金财产方面权利、职责及义务的协议</p><p>C基金管理人与基金登记机构签订的协议</p><p>D经基金份额持有人大会批准即可生效的协议</p>,4,B,"基金托管协议是基金管理人和基金托管人签订的协议,主要目的在于明确双方在基金财产保管、投资运作、净值计算、收益分配、信息披露及相互督等事宜中的权利、义务及职责，确保基金财产的安全，保护基金份额持有人的合法权益，基金托管协议自基金合同成立之日起成立基金合同生效之日起生效。",0,0
1,(单选题)在本国募集资金并投资于本国证券市场的证券投资基金为（）。,<p>A离岸基金</p><p>B在岸基金</p><p>C国内基金</p><p>D国际基金</p>,4,B,本题考查在岸基金的定义：在岸基金是指在本国募集资金并投资于本国证券市场的证券投资基金。,0,0
1,(单选题)关于基金交易业务控制，下列说法错误的是（）。,"<p>A基金交易应实行集中交易制度,基金经理可以直接向交易员下达投资指令或者直接进行交易</p><p>B建立交易监测系统、预防系统和交易反馈系统,完善相关的安全设施</p><p>C公司应当执行公平的交易分配制度,确保不同投资者的利益能够得到公平对待</p><p>D建立完善的交易记录制度,每日投资组合列表等应当及时核对并存桂保管</p>",4,A,"基金交易应实行集中交易制度,基金经理不得直接向交易员下达投资指令或者直接送行交易:另外还有：投资指令应当进行审核，确认其合法、合规与完整后方可执行；建立科学的交易绩效评价体系；场外交易、网下申购等特殊交易应当根据内部控制的原则制定相应的流程和规则：应当建立严格有效的制度，防止不正当关联交易损害基金持有人利益。",0,0
1,(单选题)在销售基金时，基金销售机构应当通过自身或者第三方机构对基金产品的（）进行评价。,<p>A属性</p><p>B收益</p><p>C风险</p><p>D特点</p>,4,C,在销售基金时，基金销售机构应当通过自身或者第三方机构对基金产品的风险进行评价。,0,0
1,(单选题)基金份额在基金合同期限内固定不变，基金份额可以在依法设立的证券交易所交易，但基金份额持有人不得申请赎回的一种基金类型是（）。,<p>A开放式基金</p><p>B封闭式基金</p><p>C对冲基金</p><p>D契约型基金</p>,4,B,封闭式基金的定义。,0,0
1,(单选题)下列关于混合型基金，说法错误的是（）。,<p>A混合型基金同时投资于股票、债券</p><p>B混合型基金的风险小于股票基金</p><p>C混合型基金的收益小于债券基金</p><p>D混合型基金的收益介于股票基金和债券基金之间</p>,4,C,混合型基金的收益大于债券基金。,0,0
1,(单选题)对基金管理公司的市场准入监管不包括以下（）选项。,<p>A基金管理公司设立分支机构的审核</p><p>B基金管理公司重大事项变更的监管</p><p>C基金管理公司的治理监管</p><p>D基金管理公司的设立审核</p>,4,C,中国证监会依法对基金管理公司提交的市场准入等行政许可事项进行审批，主要包括：基金管理公司的设立审批、基金管理公司申请境内机构投资者资格审批、基金管理公司重大事件变更审核、基金管理公司分支机构设立审核、基金管理公司股权处置监管等。,0,0
1,(单选题)公司型基金依据（）设立并营运。,<p>A公司法</p><p>B公司章程</p><p>C基金法</p><p>D基金合同</p>,4,B,公司型基金依据基金公司章程设立，基金投资者是基金公司的股东，享有股东权，按所持有的股份承担有限责任。,0,0
1,(单选题)在销售人员方面，（）是通过基金公司直销的销售队伍进行基金销售，专业性强。,<p>A代销</p><p>B直销</p><p>C包销</p><p>D承销</p>,4,B,"在销售人员方面,直销方式是通过基金公司直属的销售队伍进行基金销售,专业性强。",0,0
1,"(单选题)预测债券基金的收益率与预测买入并持有到期的单个债券的收益率相比,以下正确的是（）。",<p>A债券基金的收益率更难预测</p><p>B买入并持有到期的单个债券的收益率更难预测</p><p>C都很好预测</p><p>D无法比较</p>,4,A,债券基金的收益率比买入并持有到期的单个债券的收益率更加难以预测。,0,0
1,(单选题)（）是金融市场上最重要的中介机构，是储蓄转化为投资的重要渠遵。,<p>A政府</p><p>B中央银行</p><p>C金融机构</p><p>D企业</p>,4,C,金融机构是金融市场上最重要的中介机构，是储蓄转化为投资的重要渠遵。,0,0
1,(单选题)内部控制的原则不包括（）。,<p>A独立性原则</p><p>B互相制约原则</p><p>C有效性原则</p><p>D最大化原则</p>,4,D,内部控制的五原则:健全性原则、有效性原则、独立性原则、相互制约原则以及成本效益原则。,0,0
1,(单选题)基金信息披露的作用不包括（）。,<p>A有利于投资者的价值判断</p><p>B有利于防止利益冲突和利益输送</p><p>C有利于提高证券市场的效率</p><p>D有利于降低系统风险</p>,4,D,基金信息披露的4个作用;有利于投资者的J价值判断；有利于防止利益冲突与利益输送；有利于提高证券市场的效率；有利于防止信息滥用。,0,0
1,(单选题)目前我国公募证券投资基金全部是（）基金。,<p>A契约型</p><p>B公司型</p><p>C混合型</p><p>D偏公司型</p>,4,A,"目前我国公募证券投资基金全部是契约型基金,而美国的绝大多数证券投资基金则是公司型基金.",0,0
1,(单选题)一般情况下，投资者于了日转托管基金份额成功后，投资者可于（）日起赎回该部分基金份额。,<p>AT</p><p>BT+1</p><p>CT+2</p><p>DT+3</p>,4,C,"一般情况下，投资者于T日转托管基金份额成功后,投资者可于T+2日起赎回该部分基金份额。",0,0
1,"(单选题)下列关于ETF的描述,正确的是（）。",<p>AETF最大的特点是现金申购赎回机制</p><p>BETF实行一级市场和二级市场并存的交易制度</p><p>C属于主动操作的基金</p><p>D采用部分复制的方法进行被动投资的指数型基金</p>,4,B,"ETF最大的特点是实行申购赎回机制,采用完全复制或抽样复制的方法进行被动投资的指数型基金。",0,0
