1,(单选题)LOF基金份额赎回申报单位为（）。,<p>A1元人民币</p><p>B1份基金份额</p><p>C10元人民币</p><p>D10份基金份额</p>,4,B,LOF基金份额赎回申报单位为1份基金份额。,0,0
1,(单选题)2000年10月8日，（）发布并实施了《开放式证券投资基金试点办法》，由此揭开了我国开放式基金发展的序募。,<p>A中国证监会</p><p>B基金业协会</p><p>C国务院财政部</p><p>D中国银监会</p>,4,A,2000年10月8日，中国证监会发布并实施了《开放式证券投资基金试点办法》，由此揭开了我国开放式基金发展的序幕。,0,0
1,(单选题)关于证券投资基金投资收益的归属，下列说法错误的是（）。,<p>A基金投资收益在扣除基金承担的费用后的盈余全部归基金投资者所有</p><p>B基金管理人只能按规定收取一定的管理费，不参与基金收益分配</p><p>C基金投资收益依据投资者所持有的基金份额比例进行分配</p><p>D基金投资收益依据投资管理人的投资业绩按一定比例分配给基金管理人</p>,4,D,基金的收益分配归基金投资人所有。,0,0
1,(单选题)下列各项中，（）不属于基金销售人员从事基金销售活动时禁止的行为。,<p>A在销售活动中为自己或他人牟取不正当利益</p><p>B向投资者提供投资咨询服务</p><p>C同意或默许他人以其本人或所在机构的名义从事基金销售业务</p><p>D违规对投资者做出盈亏承诺，或与投资者以口头或书面形式约定利益分成或亏损分担</p>,4,B,此题考察基金销售人员的行为规范。,0,0
1,(单选题)（）是调整基金从业人员与投资人之间关系的道德规范。,<p>A专业审慎</p><p>B客户至上</p><p>C诚实守信</p><p>D守法合规</p>,4,B,客户至上是调整基金从业人员与投资人之间关系的道德规范。,0,0
1,(单选题)金融市场是指资金供应者和资金需求者双方通过（）进行交易而融通资金的市场。,<p>A金融工具</p><p>B衍生工具</p><p>C货币</p><p>D商品</p>,4,A,金融市场是货币资金融通市场，是指资金供应者和资金需求者双方通过金融工具进行交易而融通资金的市场。,0,0
1,(单选题)与其他类型基金相比，以下关于货币市场基金的描述正确的是（）。,<p>A风险低，流动性差</p><p>B风险低，流动性好</p><p>C风险高，流动性差</p><p>D风险高，流动性好</p>,4,B,与其他类型基金相比，货币市场具有风险低、流动性好的待点。,0,0
1,(单选题)ETF申购赎回原则不包括（）。,<p>A金额申购份额赎回</p><p>B份额申购份额赎回</p><p>C申购对价、赎回对价包括组合证券、现金替代、现金差额以及其他对价</p><p>D申购赎回后不得撤销</p>,4,A,ETF申购赎回实行份额申购份额赎回。,0,0
1,(单选题)封闭式证券投资基金与开放式证券投资基金的主要区别之一是（）。,<p>A期限不同</p><p>B法律形式不同</p><p>C投资对象不同</p><p>D募集方式不同</p>,4,A,封闭式基金与开放式基金主要有以下不同：期限不同；份额限制不同；交易场所不同；价格形成方式不同；激励约束机制与投资策略不同。,0,0
1,(单选题)基金管理人的合规审核包含的程序不包括（）。,<p>A制定合规审核机制</p><p>B合规审核调查</p><p>C合规审核后续完善</p><p>D合规审核评价</p>,4,C,基金管理人的合规审核包含以下程序：制定合规审核机制、合规审核调查、合规审核评价。,0,0
1,(单选题)（）是指不为公众所知悉的、能够带来经济利益、具有实用性并被采取保密措施的技术信息和经营信息。,<p>A商业秘密</p><p>B内幕信息</p><p>C客户资料</p><p>D保密信息</p>,4,A,商业秘密是指不为公众所知悉的、能够带来经济利益、具有实用性并被采取保密措施的技术信息和经营信息。,0,0
1,(单选题)内幕信息的构成要素有（）。Ⅰ.来源可靠的信息Ⅱ.“重要”的信息Ⅲ.“非公开”的信息Ⅳ.道听途说的信息,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ</p><p>DⅢ.Ⅳ</p>,4,A,内幕信息的构成要素有三：一是来源可靠的信息。来源不可靠、模棱两可的信息（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。），即便对证券价格产生影响，也不构成内幕信息。二是“重要”的信息，即该信息对于证券价格的影响明确。三是“非公开”的信息。,0,0
1,(单选题)基金管理人合规管理的基本原则不包括（）原则。,<p>A独立性</p><p>B平衡性</p><p>C公正性</p><p>D专业性</p>,4,B,基金管理人合规管理的基本原则包括：独立性原则、客观性原则、公正性原则、专业性原则和协调性原则。,0,0
1,(单选题)基金管理人召集基金份额持有人大会应至少提前（）日公告大会的召开时间、会议形式、审议事项和表决方式等事项。,<p>A10</p><p>B15</p><p>C30</p><p>D60</p>,4,C,基金管理人召集基金份额持有人大会应至少提前30日公告大会的召开时间、会议形式、审议事项和表决方式等事项。,0,0
1,(单选题)（）是指合规人员应当正确处理与公司其他部门及监管部门的关系，努力形成公司的合规合力，避免内部消耗。,<p>A协调性原则</p><p>B独立性原则</p><p>C公正性原则</p><p>D专业性原则</p>,4,A,协调性原则是指合规人员应当正确处理与公司其他部门及监管部门的关系，努力形成公司的合规合力，避免内部消耗。,0,0
1,(单选题)（）是指基金管理公司根据有关规定向中国证监会提交募集文件、发售基金份额、募集基金的行为。,<p>A基金的募集</p><p>B基金的交易</p><p>C基金的登记</p><p>D基金的托管</p>,4,A,基金的募集是指基金管理公司根据有关规定向中国证监会提交募集文件、发售基金份额、募集基金的行为。,0,0
1,(单选题)从下列基金合同规定的资产配置比例看，属于债券基金的是（）。,"<p>A基金资产中，政府债券不低于90%，申购或在二级市场购买的股票不超过基金资产的5%。</p><p>B基金资产中，政府债券不低于20%，企业债券不低于60%，可以使用不超过的基金资产申购新股</p><p>C基金资产中，企业债券不低于40%，政府债券不低于40%，可以使用不超过的基金资产申购新股在二级市场买入股票</p><p>D基金资产中，政府债券不低于60%，可以使用不超过的基金资产申购新发行的股票,可以使用不超过5%的基金资产用于二级市场买入股票</p>",4,A,债券型基金资产的80%以上是投资于债券的。,0,0
1,(单选题)QDII基金在披露相关信息时，下列说法不正确的是（）。,<p>A可同时采用中、英文，并以英文为准</p><p>B可单独或同时以人民币、美元等主要外汇币种计算并披露净值信息</p><p>C当涉及币种之间转换的，应披露汇率数据来源，并保持一致性</p><p>DQDⅡ基金应至少每周计算并披露一次净值信息</p>,4,A,QDII基金合同与招募说明书的特殊披露要求。,0,0
1,(单选题)按照资金来源和用途，基金可以分成（）。,<p>A公募基金与私募基金</p><p>B公司型基金与契约型基金</p><p>C在岸基金与离岸基金</p><p>D债券型基金与股票型基金</p>,4,C,按照资金来源和用途，基金可以分成在库基金和离岸基金。,0,0
1,(单选题)（）年10月28日；《证券投资基金法》成立，确立了现行基金法律制度的基本原则。,<p>A2000</p><p>B2003</p><p>C2005</p><p>D2007</p>,4,B,2003年10月28日，《证券投资基金法》成立，确立了现行基金法律制度的基本原则。,0,0
1,(单选题)下列关于专业审慎的基本要求，说法不正确的是（）。,<p>A持证上岗</p><p>B持续学习</p><p>C审慎开展执业活动</p><p>D不得进行不正当竞争</p>,4,D,专业审慎的基本要求包括:1.持证上岗；2.持续学习；3.审慎开展执业活动。不得进行不正当竞争是诚实守信的基本要求。,0,0
1,(单选题)基金赎回费在扣除手续费后，余额不得低于赎回费总额的（），并应当归入基金财产。,<p>A0.1</p><p>B0.15</p><p>C0.2</p><p>D0.25</p>,4,D,基金赎回费在扣除手续费后，余额不得低于赎回费总额的25%，并应当归入基金财产。,0,0
1,(单选题)基金管理人设监事会；监事会向股东会负责。监事会依法行使的职权不包括（）。,<p>A检查公司的财务</p><p>B对公司董事、总经理和其他高级管理人员执行公司职务时违反法律、行政法规或者公司章程的行为进行监督</p><p>C当公司董事、总经理和其他高级管理人员的行为损害公司的利益时，要求前述人员予以纠正</p><p>D决定公司合规管理部门的设置及其职能</p>,4,D,决定公司合规管理部门的设置及其职能属于董事会的合规责任。,0,0
1,(单选题)当发现基金出现异常交易行为时，证券交易所可以视情况进行的处理不包括（）。,<p>A电话提示</p><p>B书面警告</p><p>C公开谴责</p><p>D行政处罚</p>,4,D,证券交易所在日常监控中发现基金异常交易行为时，将视情况采取电话提示、书面警告、约见谈话、公开谴责等措施，并在采取相关措施的同时报告中国证监会。,0,0
1,(单选题)基金合同当事人不包括（）。,<p>A基金份额持有人</p><p>B销售代理人</p><p>C基金托管人</p><p>D基金管理人</p>,4,B,基金合同的3个当事人。基金合同是约定基金管理人、（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）基金托管人和基金份额持有人权利义务关系的重要法律文件。,0,0
1,(单选题)基金客户服务的特点不包括（）。,<p>A专业性</p><p>B规范性</p><p>C间歇性</p><p>D时效性</p>,4,C,基金客户服务具有以下四个持点：（1）专业性；（2）规范性；（3）持续性；（4）时效性。,0,0
1,(单选题)基金从业人员职业道德修养的方法，以下不属于（）。,<p>A正确树立基金职业道德观念</p><p>B深刻领会基金职业道德规范</p><p>C积参与所在机构的业务能力培训</p><p>D积参加基金职业道德实践</p>,4,C,基金职业道德修养的方法：1.正确树立基金职业道德观念、基金职业道德修养必须首先解决内在动力问题，也即必须正确树立基金职业道德观念。2.深刻领会基金职业道德规范，基金职业道德规范是基金职业道德修养的具体内容，基金职业道德修养不能脱离基金职业道德规范，一定是针对基金职业道德规范的自我教育、自我改造和自我完善。只有深刻领会基金职业道德规范的基本含义、社会意义和具体要求，准确把握和领悟其精髓，才能在执业活动中自觉自愿地遵守基金职业道德规范。3.积极参加基金职业道德实践，树立基金职业道德观念和领会基金职业道德规范的根本目的在于践行基金职业道德,0,0
1,(单选题)我国货币市场基金不得投资于剩余期限高于（）的债券。,<p>A365天</p><p>B397天</p><p>C180天</p><p>D90天</p>,4,B,我国货币市场基金不得投资于剩余期限高于397天的债券。,0,0
1,(单选题)（）的目的在于保证基金从业人员具备必要的执业能力和专业水平。,<p>A持续学习</p><p>B持证上岗</p><p>C守法合规</p><p>D诚实守信</p>,4,B,持证上岗的目的在于保证基金从业人员具备必要的执业能力和专业水平。,0,0
1,(单选题)某投资人投资1万元认购基金，认购资金在募集期产生的利息为3元，其对应的认购费率为1.2%；基金份额面值为1元/份，则其认购费用及认购份额为（）。,<p>A117.45，9881.42</p><p>B119.27，9963.22</p><p>C118.58，9884.42</p><p>D109.45，9901.19</p>,4,C,"净认购金额=10000/（1+1.2%)=9881.42(元),认购费用=9881.421.2%=118.58(元),认购份额=(9981.42+3)/1=9984.42(份).",0,0
1,(单选题)开放式基金的发售由基金管理人办理，基金管理人应当在基金份额发售前（）日公布招募说明书、基金合同和其他相关文件。,<p>A3</p><p>B2</p><p>C4</p><p>D1</p>,4,A,基金管理人应当在基金份额发售的3日前公布招募说明书、基金合同及其他相关文件。,0,0
1,(单选题)QDII基金可以有的行为。,<p>A购买不动产</p><p>B购买房地产抵押按揭</p><p>C从事证券承销业务</p><p>D银行存款</p>,4,D,"除中国证监会另有规定外，QDII基金不得有下列行为：1.购买不动产；2.购买房地产抵押按揭；3.购买贵重金属或代表贵重金属的凭证；4.购买实物商品；5.除应付赎回、交易清算等临时用途以外，借入现金。该临时用途借入现金的比例不得超过基金、集合计划资产净值的10%；6.利用融资购买证券,但投资金融衍生产品除外；7.参与未持有基础资产的卖空交易；8.从事证券承销业务；9.中国证监会禁止的其他行为。",0,0
1,(单选题)基金销售机构内各分支机构、部门、岗位职责保持相对独立，权责分明，相互制衡，体现的是基金销售机构内部控制的（）原则。,<p>A健全性</p><p>B有效性</p><p>C相互制约</p><p>D独立性</p>,4,D,基金销售机构内各分支机构、部门、岗位职责保持相对独立，权责分明，相互制衡，体现的是基金销售机构内部控制的独立性原则。,0,0
1,(单选题)基金季度报告不包括（）。,<p>A托管人报告</p><p>B主要财务指标和净值表现</p><p>C管理人报告</p><p>D投资组合报告、份额变动情况</p>,4,A,基金季度报告主要包括基金概况、主要财务指标和净值表现、管理人报告、投资组合报告、开放式基金份额变动等内容。,0,0
1,(单选题)（）是指利用内幕信息进行证券交易，以为自己或者他人牟取利益。,<p>A内幕交易</p><p>B不正当竞争</p><p>C操纵市场</p><p>D倒卖交易</p>,4,A,内幕交易是指利用内幕信息进行证券交易，以为自己或者他人谋取利益。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)目前，我国基金的交易佣金不得高于成交金额的（）。,<p>A0.00025</p><p>B0.005</p><p>C0.0005</p><p>D0.003</p>,4,D,按照沪、深证券交易所公布的收费标准，我国基金交易佣金不得高于成交金额的0.3%，起点5元，由证券公司向投资者收取。,0,0
1,(单选题)证券投资基金由（）管理、（）托管、投资收益归（）所有。,<p>A基金管理人，中国结算公司，基金份额持有人</p><p>B基金管理人，基金管理人，基金份额持有人</p><p>C基金份额持有人，基金托管人，基金份额持有人</p><p>D基金管理人，基金托管人，基金份额持有人</p>,4,D,证券投资基金由基金管理人管理、基金托管人托管、投资收益归基金份额持有人所有。,0,0
1,(单选题)在基金份额发售（）日前，披露招募说明书基金合同及份额发售公告等信息。,<p>A5</p><p>B1</p><p>C3</p><p>D7</p>,4,C,在基金份额发售的3日前，将招募说明书、基金合同摘要登载在指定报刊和管理人网站上；同时，将基金合同、托管协议登载在管理人网站上，将基金份额发售公告登载在指定报刊和管理人网站上。,0,0
1,(单选题)ETF上市交易后，需按交易所的要求，在每日开市前披露当日的申购、赎回单，并在交易时间内即时揭示（）。,<p>A申购、赎回清单</p><p>B基金份额净值</p><p>C基金份额参考净值</p><p>D基金净资产</p>,4,C,ETF上市交易后，需按交易所的要求，在每日开市前披露当日的申购、赎回清单，并在交易时间内即时揭示基金份额参考净值。,0,0
1,(单选题)假定某投资者在T日赎回1000份基金份额，持有期限半年，对应的赎回费率为0.5%，该日基金份额净值为1.50元，则其获得的赎回金额为（）元。,<p>A1500</p><p>B1493</p><p>C1495</p><p>D1492.5</p>,4,D,赎回总金额＝10001.50＝1500（元）；赎回费用＝15000.5%＝7.5（元）；赎回金额＝1500－7.5＝1492.5（元）；即获得的赎回金额为1492.5元。,0,0
1,(单选题)基金管现人应当在基金份额发售的（）日前公布招募说明书、基金合同及其他有关文件。,<p>A1</p><p>B5</p><p>C3</p><p>D7</p>,4,C,基金管理人应当在基金份额发售的3日前公布招募说明书、基金合同及其他有关文件。,0,0
