1,(单选题)在我国，拟设立的基金管理公司的注册资本不低于人民币( ）元,<p>A2亿</p><p>B5000万</p><p>C1亿</p><p>D1.5亿</p>,4,C,在我国，拟设立的基金管理公司的注册资本不低于人民币1亿元。 ,0,0
1,(单选题)在确定目标市场与客户上，基金销售机构面临的一个重要问题就是分析( ),<p>A基金投资人的真实需求</p><p>B基金管理人的需求</p><p>C基金份额持有人的个人爱好</p><p>D基金托管人的需求</p>,4,A,在确定目标市场与投资者方面，基金销售机构面临的重要问题之一就是分析投资者的真实需求，包括 投资者的投资规模、风险偏好、对投资资金流动性和安全性的要求等。 ,0,0
1,(单选题)对在6个月内＿被出具监管警示函仍未改正的销售机构，在分发或公布基金宣传推介材料前，应事先将材 料报送中国证监会，报送之日起＿后，方可使用。( ),<p>A连续两次;10日</p><p>B连续三次;10日</p><p>C连续两次;5日</p><p>D连续三次;5日</p>,4,A,在6个月内连续两次被出具监管警示函仍未改正的基金管理公司或基金代销机构，该公司或机构在分发 或公布基金宣传推介材料前，应当事先将材料报送中国证监会。报送之日起10后，方可使用。,0,0
1,(单选题)与普通的开放式基金不同，ETF份额( ),<p>A只能以现金认购</p><p>B只能以证券认购</p><p>C既可以用现金认购，也可以用证券认购</p><p>D既不能用现金认购，也不能用证券认购</p>,4,C,与普通的开放式基金不同，根据投资者认购ETF份额所支付的对价种类，ETF份额的认购又可分为现 金认购和证券认购。现金认购是指用现金换购ETF份额的行为，证券认购是指用指定证券换购ETF份 额的行为。,0,0
1,(单选题)证券投资基金依据(  )的不同，可分为封闭式基金与开放式基金。,<p>A运作方式</p><p>B法律形式</p><p>C资金募集方式</p><p>D交易场所</p>,4,A,依据运作方式的不同，可以将证券投资基金分为封闭式基金与开放式基金;依据法律形式的不同，可以 将证券投资基金分为契约型基金与公司型基金。 ,0,0
1,(单选题)信息披露义务人将不存在的事实在基金信息披露文件中予以记载的行为属于( ),<p>A重大遗漏</p><p>B不当竞争</p><p>C虚假记载</p><p>D误导性陈述</p>,4,C,虚假记载是指信息披露义务人将不存在的事实在基金信息披露文件中予以记载的行为； 误导性陈述是指使投资者对基金投资行为发生错误判断并产生重大影响的陈述； 重大遗漏是指披露中存在应披露而未披露的信息，以至于影响投资者做出正确决策。 以上三类行为将扰乱市场正常秩序，侵害投资者合法权益，属于严重的违法行为。,0,0
1,(单选题)我国相关法律法规规定，系统运行数据中涉及基金投资人信息和交易记录的备份，应当在不可修改的介 质上保存( )年。,<p>A25</p><p>B3</p><p>C15</p><p>D5</p>,4,C,系统运行数据中涉及基金投资人信息和交易记录的备份，应当在不可修改的介质上保存15年。,0,0
1,(单选题)( )又称为伞形基金，是指多个基金共用一个基金合同，子基金独立运作，子基金之间可以进行相互转换的一种基金结构形式。,<p>A指数基金</p><p>B期权基金</p><p>C对冲基金</p><p>D系列基金</p>,4,D,系列基金又称为伞形基金，是指多个基金共用一个基金合同，子基金独立运作，子基金之间可以进行 相互转换的一种基金结构形式。 ,0,0
1,(单选题)我国开放式基金首次募集的募集期限为自该基金份额发售之日起( )个月内。,<p>A3</p><p>B6</p><p>C9</p><p>D1</p>,4,A,我国开放式基金首次募集的募集期限为自该基金份额发售之日起3个月内。 ,0,0
1,(单选题)下列 关于基金份额持有人享有权利的说法，不正确的是( ),<p>A分享基金财产收益</p><p>B参与分配清算后的剩余基金财产</p><p>C按照规定要求召开基金份额持有人大会或者召集基金份额持有人大会</p><p>D对基金份额持有人大会审议事项行使监督权</p>,4,D,我国基金份额持有人享有以下权利：分享基金财产收益，参与分配清算后的剩余基金财产，依法转让或者申请赎回其持有的基金份额，按照规定要求召开基金份额持有人大会，对基金份额持有人大会审 议事项行使表决权，查阅或者复制公开披露的基金信息资料，对基金管理人、基金托管人、基金销售 机构损害其合法权益的行为依法提出诉讼，基金合同约定其他权利。 ,0,0
1,(单选题)我国封闭式基金在达成交易后，二级市场交易份额和股份的交割是在T+0日，资金交割是在( )日完成。 ,<p>AT+0</p><p>BT+1</p><p>CT+2</p><p>DT+3</p>,4,B,我国封闭式基金在达成交易后，二级市场交易份额和股份的交割是在T+0日，资金交割是在T+1日完 成,0,0
1,(单选题)下列对基金信息披露的完整性原则的说法，正确的是( ),<p>A要求将信息向市场上所有的投资者平等公开地披露</p><p>B要求用精确的语言披露信息</p><p>C要求披露所有可能影响投资者决策的信息</p><p>D要求披露的信息应当是以客观事实为基础</p>,4,C,完整性原则要求披露可能影响投资者决策的某一具体信息时，必须对该信息的所有重要方面进行充分 的披露，不仅披露对信息披露义务人有利的信息，更要披露对信息披露义务人不利的各种风险因素。 该原则要求充分披露重大信息，但并不是要求事无巨细地披露所有信息，因为这不仅将增加披露义务 人的成本，也将增加投资者收集信息的成本和筛选有用信息的难度。,0,0
1,(单选题)投资者在申购或赎回ETF时，申购或赎回参与券商可按照( )的标准收取佣金，其中包含证券交易所、登记结算机构等收取的相关费用。,<p>A0.0001</p><p>B0.001</p><p>C0.005</p><p>D0.02</p>,4,C,投资者在申购或赎回ETF时，申购或赎回参与券商可按照0.5%的标准收取佣金，其中包含证券交易 所、登记结算机构等收取的相关费用。,0,0
1,(单选题)通过事先约定基金的风险收益分配，将基础份额分为预期风险收益不同的子份额，并可将其中部分或全 部份额上市交易的结构化证券投资基金是( ),<p>A系列基金</p><p>B分级基金</p><p>C保本基金</p><p>D上市开放式基金</p>,4,B,通过事先约定基金的风险收益分配，将基础份额分为预期风险收益不同的子份额，并可将其中部分或 全部份额上市交易的结构化证券投资基金是分级基金。 ,0,0
1,(单选题)下列关于科学合理的基金分类意义的说法，不正确的是( ),<p>A有助于投资者加深对各种基金的认识</p><p>B有助于投资者对基金风险收益特征的把握</p><p>C有助于确保投资者的基金投资获利</p><p>D有利于监管部门实施更有效的分类监管</p>,4,C,随着基金数量、品种的不断增多，对基金进行科学合理的分类，无论是对投资者、基金管理公司，还 是对基金研究评价机构、监管部门来说，都有重要意义。对基金投资者而言，基金数量越来越多，投 资者需要在众多的基金中选择适合自己风险收益偏好的基金。科学合理的基金分类将有助于投资者加 深对各种基金的认识及对风险收益特征的把握，有助于投资者做出正确的投资选择与比较。对基金管 理公司而言，基金业绩的比较应该在同一类别中进行才公平合理。对基金研究评价机构而言，基金的 分类则是进行基金评级的基础。对监管部门而言，明确基金的类别特征将有利于针对不同基金的特点 实施更有效的分类监管。,0,0
1,(单选题)只能采取非公开方式，面向特定投资者募集发售的基金是( ),<p>A主动型基金</p><p>B被动型基金</p><p>C公募基金</p><p>D私募基金</p>,4,D,私募基金则是只能采取非公开方式，面向特定投资者募集发售的基金。,0,0
1,(单选题)(  )是我国对证券投资基金的一种本土化创新。 ,<p>A系列基金</p><p>B上市交易型开放式指数基金</p><p>C保本基金</p><p>D上市开放式基金</p>,4,D,上市开放式基金(LOF)是一种既可以在场外市场进行基金份额申购、赎回，又可以在交易所(场内市场) 进行基金份额交易和基金份额申购或赎回的开放式基金。它是我国对证券投资基金的一种本土化创 新。,0,0
1,(单选题)商业银行申请注册基金销售业务资格，应当具备的条件不包括( )。,<p>A具有健全的治理结构、完善的内部控制和风险管理制度，并得到有效执行</p><p>B财务状况良好，运作规范稳定</p><p>C有安全高效的清算、交割系统</p><p>D有评价基金投资人风险承受能力和基金产品风险等级的方法体系</p>,4,C,商业银行、证券公司、期货公司、保险机构、证券投资咨询机构、独立基金销售机构以及中国证监会 认定的其他机构申请注册基金销售业务资格，应当具备下列条件： ①具有健全的治理结构、完善的内部控制和风险管理制度，并得到有效执行； ②财务状况良好，运作规范稳定； ③有与基金销售业务相适应的营业场所、安全防范设施和其他设施； ④有安全、高效的办理基金发售、申购和赎回等业务的技术设施，且符合中国证监会对基金销售业务 信息管理平台的有关要求，基金销售业务的技术系统已与基金管理人、中国证券登记结算公司相应的 技术系统进行了联网测试，测试结果符合国家规定的标准； ⑤制定了完善的资金清算流程，资金管理符合中国证监会对基金销售结算资金管理的有关要求； ⑥有评价基金投资人风险承受能力和基金产品风险等级的方法体系； ⑦制定了完善的业务流程、销售人员执业操守、应急处理措施等基金销售业务管理制度，符合中国证 监会对基金销售机构内部控制的有关要求； ⑧有符合法律法规要求的反洗钱内部控制制度； ⑨中国证监会规定的其他条件。 C项是担任基金托管人所具备的条件。,0,0
1,(单选题)目前不可申请从事基金代理销售的机构是( ),<p>A商业银行</p><p>B证券公司</p><p>C保险公司 </p><p>D中介服务机构</p>,4,D,目前不可申请从事基金代理销售的机构是中介服务机构。 ,0,0
1,(单选题)某投资者通过场外(某银行)投资1万元申购某上市开放式基金，假设基金管理人规定的申购费率为1.5%， 申购当日基金份额净值为1.025元，则其申购手续费为( ),<p>A150</p><p>B147.78</p><p>C140.55</p><p>D145.78</p>,4,B,某投资者通过场外(某银行)投资1万元申购某上市开放式基金，假设基金管理人规定的申购费率为 1.5%，申购当日基金份额净值为1.025元，则其申购手续费为147.78，按照中国证监会《关于统一规范 证券投资基金认(申)购费用及认(申)购份额计算方法有关问题的通知》的规定，申购费用与申购份额的 计算公式如下：净申购金额=申购金额/(1+申购费率100000(1+1.5%))。 ,0,0
1,(单选题)某投资人投资1万元申购某基金，申购费率为1.5%，假定申购当日基金份额净值为1.0500元，则其可得到 的申购份额为( ),<p>A9280.95份</p><p>B9350.95份</p><p>C9383.06份</p><p>D9480.95份</p>,4,C,某投资人投资1万元申购某基金，申购费率为1.5%，假定申购当日基金份额净值为1.0500元，则其可得 到的申购份额为9383.06份，按照中国证监会《关于统一规范证券投资基金认(申)购费用及认(申)购份 额计算方法有关问题的通知》的规定，申购费用与申购份额的计算公式如下：净申购金额=申购金额/ (1+申购费率100000(1+1.5%))。,0,0
1,(单选题)( )是每一位客户服务人员在客户服务中应遵循的原则。,<p>A客户至上</p><p>B有效沟通</p><p>C安全第一</p><p>D专业规范</p>,4,A,客户至上是每一位客户服务人员在客户服务中应遵循的原则。,0,0
1,(单选题)客户账户信息不包括( ),<p>A账号</p><p>B业务凭证</p><p>C账户开立时间</p><p>D开户行</p>,4,B,客户账户信息包括账号、账户开立时间、开户行、账户余额、账户交易情况等。B项业务凭证属于客 户交易记录信息。,0,0
1,(单选题)开放式基金的买卖价格以( )为基础。,<p>A市场供求关系</p><p>B银行存款利率</p><p>C基金份额净值</p><p>D基金份额总额</p>,4,C,开放式基金是指基金份额不固定，基金份额可以在基金合同约定的时间和场所进行申购或者赎回的一 种基金运作方式。开放式基金的买卖价格以基金份额净值为基础，不受市场供求关系的影响。,0,0
1,(单选题)下列关于开放式基金申购和赎回原则的说法，错误的是( ),<p>A股票基金、债券基金的申购和赎回按未知价交易原则</p><p>B股票基金、债券基金的申购和赎回按份额申购、金额赎回原则</p><p>C货币市场基金的申购和赎回按确定价原则。</p><p>D货币市场基金的申购和赎回按金额申购、份额赎回原则</p>,4,B,开放式基金的申购和赎回原则有： ①股票基金、债券基金的申购和赎回按未知价交易原则和金额申购、份额赎回原则； ②货币市场基金的申购和赎回按确定价原则和金额申购、份额赎回原则。,0,0
1,(单选题)下列不属于基金巨额赎回的是( ),<p>A单个开放日基金净赎回申请超过基金总份额的8%</p><p>B单个开放日基金净赎回申请超过基金总份额的10%</p><p>C单个开放日基金净赎回申请超过基金总份额的11%</p><p>D单个开放日基金净赎回申请超过基金总份额的12%</p>,4,B,巨额赎回是指单个开放日基金净赎回申请超过基金总份额的10%。 ,0,0
1,(单选题)金融资产一般分为( )两类。 ,<p>A货币类金融资产和债权类金融资产</p><p>B债权类金融资产和股权类金融资产</p><p>C衍生类金融资产和货币类金融资产</p><p>D股权类金融资产和票据类金融资产</p>,4,B,金融资产一般分为债权类金融资产和股权类金融资产这两类。,0,0
1,(单选题)( )是指较高价格买进申报优先于较低价格买进申报，较低价格的卖出申报优先于较高价格的卖出申报。 ,<p>A买进卖出</p><p>B价格优先</p><p>C时间优先</p><p>D低买高</p>,4,B,价格优先是指较高价格买进申报优先于较低价格买进申报，较低价格的卖出申报优先于较高价格的卖 出申报。,0,0
1,(单选题)基金信息披露的及时性原则要求以最快的速度公开信息，在重大事件发生之日起( )日内披露临时报告。 ,<p>A1</p><p>B2</p><p>C5</p><p>D7</p>,4,B,及时性原则要求以最快的速度公开信息，体现在基金管理人应在法定期限内披露基金招募说明书、定 期报告等文件，在重大事件发生之日起2日内披露临时报告。及时性原则还要求公开披露信息处于最新 状态。为此，基金管理人还应定期更新招募说明书。,0,0
1,(单选题)基金职业道德教育的途径不包括( ),<p>A岗位职业道德实践</p><p>B基金业协会的自律</p><p>C树立基金职业道德典型</p><p>D社会各界持续监督</p>,4,A,基金职业道德教育的途径多种多样，主要包括下面五种： ①岗前职业道德教育； ②岗位职业道德教育；③基金业协会的自律； ④树立基金职业道德典型； ⑤社会各界持续监督,0,0
1,(单选题)基金运作信息披露文件不包括( ),<p>A基金年度、半年度、季度报告</p><p>B基金份额上市交易公告书</p><p>C基金资产净值和份额净值公告</p><p>D基金合同和基金份额发售公告</p>,4,D,基金运作信息披露文件主要包括基金净值公告、基金定期公告以及基金上市交易公告书等。普通基金 净值公告主要包括基金资产净值、份额净值和份额累计净值等信息。基金定期公告包括基金季度报 告、基金半年度报告、基金年度报告。,0,0
1,(单选题)基金业协会的权力机构为(  ) ,<p>A董事会</p><p>B监事会</p><p>C理事会</p><p>D会员大会</p>,4,D,基金业协会的权力机构为全体会员组成的会员大会。 ,0,0
1,(单选题)基金销售适用性要求基金销售机构在销售基金和相关产品的过程中，应注重( ),<p>A基金销售适用性要求基金销售机构在销售基金和相关产品的过程中，应注重根据基金投资者的风险承 受能力销售不同风险等级的产品。</p><p>B对投资的风险进行评价</p><p>C根据基金投资者的风险承受能力销售不同风险等级的产品</p><p>D对投资者进行投资知识教育</p>,4,C,基金销售适用性要求基金销售机构在销售基金和相关产品的过程中，应注重根据基金投资者的风险承 受能力销售不同风险等级的产品。,0,0
1,(单选题)基金销售的( )反映了从投资人的需要出发向投资人销售合适的产品。,<p>A专业性</p><p>B服务性</p><p>C持续性</p><p>D适用性</p>,4,D,基金销售机构在销售基金和相关产品的过程中，应注重根据基金投资人的风险承受能力销售不同风险 等级的产品，把合适的产品卖给合适的基金投资人，即基金销售的适用性。这反映了从投资人的需要 和实际承受能力出发向投资人销售合适的产品，坚持投资人利益优先的原则，这也是监管机构对基金 销售的要求。 ,0,0
1,(单选题)基金公司和代销机构共同为即将发行的新基金推介会聘请广告公司进行策划，其中符合基金销售机构人 员行为规范的策划内容有( ),<p>A为参会者举办抽奖活动</p><p>B举办买基金送保险的活动</p><p>C宣传基金管理人将拿出一部分认购费收入回馈认购基金的投资者</p><p>D宣传基金公司的过往业绩</p>,4,D,基金销售机构在基金销售活动中，不得有下列行为： ①在签订销售协议或销售基金的活动中进行商业贿赂； ②以排挤竞争对手为目的，压低基金的收费水平； ③未经公告擅自变更向基金投资人的收费项目或收费标准，或通过先收后返、财务处理等方式变相降 低收费标准； ④采取抽奖、回扣或者送实物、保险、基金份额等方式销售基金； ⑤其他违反法律、行政法规的规定，扰乱行业竞争秩序的行为。 D项，基金销售可以宣传过往业绩，但必须符合有关规定。,0,0
1,(单选题)基金销售机构应当在向公众分发基金宣传推介材料之日起(  )个工作日内，向其经营活动所在地证监局报备。,<p>A20</p><p>B15</p><p>C10</p><p>D5</p>,4,D,基金销售机构应当在向公众分发基金宣传推介材料之日起5个工作日内，向其经营活动所在地证监局报备。 ,0,0
1,(单选题)基金销售机构通过电视台、电台、报刊等媒体，向客户传达专业信息和传输投资理念是客户服务方式中 的()。 ,<p>A互联网的应用</p><p>B邮寄服务</p><p>C电话服务中心</p><p>D媒体和宣传手册的应用</p>,4,D,基金销售机构通过电视台、电台、报刊等媒体，向客户传达专业信息和传输投资理念是客户服务方式 中的媒体和宣传手册的应用。 ,0,0
1,(单选题)基金销售机构人员在销售基金时，不正确的行为是( ),<p>A进行基金投资人风险承受能力调查</p><p>B向投资人承诺收益</p><p>C介绍投资人想要了解的基金产品情况</p><p>D根据投资者的风险偏好，推荐适合的基金产品</p>,4,B,基金销售机构人员在销售基金时，不可向投资人承诺收益。 ,0,0
1,(单选题)下列关于基金托管银行监管的说法中，正确的是( ),<p>A基金托管业务的监管主要由中国证监会负责</p><p>B中国证监会对托管银行监管只涉及市场准入监管</p><p>C基金托管业务的监管主要由中国银监会负责</p><p>D基金托管人资格由中国银监会核准</p>,4,A,基金托管业务的监管主要由中国证监会负责，A项正确，C项错误； 中国证监会对托管银行的监管涉及市场准入监管和日常监管，B项错误； 基金托管人资格由中国证监会和中国银监会核准，D项错误。,0,0
1,(单选题)基金托管协议是(  )签订的协议。,<p>A基金份额持有人和基金托管人</p><p>B基金管理人和基金托管人</p><p>C基金份额持有人和基金管理人</p><p>D基金监管机构和基金托管人</p>,4,B,基金托管协议是基金管理人和基金托管人签订的协议，主要目的在于明确双方在基金财产保管、投资 运作、净值计算、收益分配、信息披露及相互监督等事宜中的权利义务及职责，确保基金财产的安全，保护基金份额持有人的合法权益。 ,0,0
1,(单选题)基金托管人召集基金份额持有人大会的，应至少提前( )日公告大会的召开时间、会议形式、审议事项、议事程序和表决方式等事项。 ,<p>A7</p><p>B30</p><p>C60</p><p>D90</p>,4,B,基金托管人召集基金份额持有人大会的，应至少提前30日公告大会的召开时间、会议形式、审议事 项、议事程序和表决方式等事项。,0,0
1,(单选题)下列关于基金托管人的信息披露义务的说法，不正确的是( ),<p>A当代表基金份额10%以上的基金份额持有人就同一事项要求召开持有人大会，管理人和托管人都不召 开时，代表基金份额10%以上的持有人有权自行召集</p><p>B在基金份额发售的2日前，将基金合同和托管协议登载在托管人网站上</p><p>C在基金年度报告中出具托管人报告</p><p>D对报告期内托管人是否尽职尽责等情况作出说明</p>,4,B,基金托管人应在基金份额发售的3日前，将基金合同和托管协议登载在托管人网站上。 ,0,0
1,(单选题)基金投资者应承担的义务不包括( ),<p>A遵守基金合同</p><p>B缴纳基金认购款项及规定费用</p><p>C不得要求赎回基金份额</p><p>D承担基金亏损或终止的有限责任</p>,4,C,基金投资者在享受权利的同时，必须承担一定的义务，具体包括：遵守基金合同;缴纳基金认购款项及 规定费用;承担基金亏损或终止的有限责任；不从事任何有损基金及其他基金投资人合法权益的活动； 在封闭式基金存续期间，不得要求赎回基金份额；在封闭式基金存续期间，基金投资者必须遵守法 律、法规的有关规定及基金契约规定的其他义务。 ,0,0
1,(单选题)下列不属于基金市场营销特殊性的是(  ),<p>A服务性</p><p>B专业性</p><p>C一次性</p><p>D持续性</p>,4,C,基金市场营销特殊性包括：规范性、服务性、专业性、持续性、适用性。 ,0,0
1,(单选题)基金年度报告中不必披露的财务指标是( ),<p>A本期利润</p><p>B期末可供分配基金份额利润</p><p>C资产负债率</p><p>D本期基金份额净值增长率</p>,4,C,基金年度报告一般应披露以下财务指标：本期已实现收益、本期利润、加权平均基金份额本期利润、 本期加权平均净值利润率、本期基金份额净值增长率、期末可供分配利润、期末可供分配基金份额利 润、期末资产净值、期末基金份额净值和基金份额累计净值增长率等。 ,0,0
1,(单选题)如果基金募集期限届满后不能成立，基金管理人要在基金募集期限届满后( )日内返还投资者已缴纳的款项，并加计银行同期存款利息。,<p>A7</p><p>B10</p><p>C15</p><p>D30</p>,4,D,基金募集期限届满，基金不满足有关募集要求的基金募集失败，基金管理人应承担下列责任： ①以固有资产承担因募集行为而产生的债务和费用； ②在基金募集期限届满后30日内返还投资者已缴纳的款项，并加计银行同期存款利息。,0,0
1,(单选题)根据《证券投资基金法》的规定，证券投资基金的基金管理人应当自募集期限届满之日起(）日内聘请法定验资机构验资。,<p>A5</p><p>B10</p><p>C15</p><p>D20</p>,4,B,基金募集期限届满，封闭式基金募集的基金份额总额达到准予注册规模的80%以上，开放式基金募集 的基金份额总额超过准予注册的最低募集份额总额，并且基金份额持有人人数符合中国证监会规定 的，基金管理人应当自募集期限届满之日起10日内聘请法定验资机构验资，自收到验资报告之日起10 日内，向中国证监会提交验资报告，办理基金备案手续，并予以公告。 ,0,0
1,(单选题)基金经营机构应妥善保存交易时段客户交易区的监控录像资料，保存期限不得少于( )个月。,<p>A4</p><p>B5</p><p>C6</p><p>D7</p>,4,C,基金经营机构应妥善保存交易时段客户交易区的监控录像资料，保存期限不得少于6个月。 ,0,0
1,(单选题)基金市场的服务机构不包括( ),<p>A基金注册登记机构</p><p>B律师事务所</p><p>C证券交易所</p><p>D基金投资咨询机构</p>,4,C,基金机构即基金市场主体，包括基金管理人、基金托管人以及基金销售机构、基金注册登记机构等基 金服务机构。,0,0
1,(单选题)基金管理人应在开放式基金合同生效后每6个月结束之日起( )日内，更新招募说明书并登载在网站上。,<p>A60</p><p>B45</p><p>C30</p><p>D15</p>,4,B,基金管理人应在开放式基金合同生效后每6个月结束之日起45日内，更新招募说明书并登载在网站上。 ,0,0
1,(单选题)基金管理人( )是指基金管理人在信息披露过程中，违反相关法律法规和公司规章，对基金投资者形成了误导或对基金行业造成了不良声誉，受到处罚和声誉损失的风险。 ,<p>A投资合规性风险</p><p>B信息披露合规性风险</p><p>C反洗钱合规性风险</p><p>D销售合规性风险</p>,4,B,基金管理人信息披露合规性风险是指基金管理人在信息披露过程中，违反相关法律法规和公司规章， 对基金投资者形成了误导或对基金行业造成了不良声誉，受到处罚和声誉损失的风险。 ,0,0
1,(单选题)下列不属于基金管理人内部控制机制的是( ),<p>A风险控制制度</p><p>B员工自律</p><p>C公司总经理及其领导的监察稽核部对各部门和各项业务的监督控制</p><p>D董事会领导下的审计委员会和监督员的检查、监督、控制和指导</p>,4,A,基金管理人内部控制机制一般包括四个层次： 一是员工自律； 二是各部门主管(包括监察稽核)的检查监督； 三是公司管理层对人员和业务的监督控制； 四是董事会或者其领导下的专门委员会的检查、监督、控制和指导。,0,0
1,(单选题)基金管理人的股东、实际控制人有不合规定的行为或者股东不再符合法定条件的，中国证监会不可以采 取的措施是( )。 ,<p>A责令其限期改正</p><p>B可视情节责令其转让所持有或控制的基金管理人的股权</p><p>C没收其所持有或控制的基金管理人的股权</p><p>D限制有关股东行使股东权利</p>,4,C,基金管理人的股东、实际控制人有不合规定行为或者股东不再符合法定条件的，中国证监会应当责令 其限期改正，并可视情节责令其转让所持有或者控制的基金管理人的股权。 上述股东、实际控制人按照要求改正违法行为、转让所持有或者控制的基金管理人的股权前，中国证 监会可以限制有关股东行使股东权利。,0,0
1,(单选题)不可以召集基金份额持有人大会的是( ),<p>A基金管理人</p><p>B基金托管人</p><p>C代表基金份额10%以上的基金份额持有人</p><p>D基金监管部门</p>,4,D,基金份额持有人大会设立日常机构的，由该日常机构召集；该日常机构未召集的，由基金管理人召 集。基金管理人未按规定召集或者不能召集的，由基金托管人召集。代表基金份额10%以上的基金份 额持有人就同一事项要求召开基金份额持有人大会，而基金份额持有人大会的日常机构、基金管理 人、基金托管人都不召集的，代表基金份额10%以上的基金份额持有人有权自行召集，并报中国证监 会备案。,0,0
1,(单选题)基金是一种( )凭证。 ,<p>A所有权</p><p>B债权</p><p>C债务</p><p>D受益</p>,4,D,基金反映的是一种信托关系，是一种受益凭证，投资者购买基金份额就成为基金的受益人。 ,0,0
1,(单选题)基金的运作活动从基金管理人的角度看，可以分为( ),<p>A基金的市场营销、基金的投资管理与基金的后台管理</p><p>B基金的产品研发、基金的投资管理与基金的后台管理</p><p>C基金的产品研发、基金的市场营销与基金的投资管理</p><p>D基金的市场营销、基金的投资管理与基金的前台管理</p>,4,A,基金的运作活动从基金管理人的角度看，可以分为基金的市场营销、基金的投资管理与基金的后台管 理三大部分。,0,0
