1,(单选题)J曲线是以（）为横轴、（）为纵轴的曲线。,<p>A收益率；风险</p><p>B收益率；时间</p><p>C风险；收益率</p><p>D时间；收益率</p>,4,D,J曲线是以时间为横轴、收益率为纵轴的曲线。,0,0
1,(单选题)某公司从银行贷款30万元，年利率为6％，贷款期限为3年，到第3年末一次性偿清，公司应付银行本利和为（）。,<p>A35.37万元</p><p>B35.4万元</p><p>C35万元</p><p>D35.73万元</p>,4,D,FV＝30（1＋6％）^3＝35.73万元。,0,0
1,(单选题)任何一家外资金融机构在中国境内的分支机构的远期交易净买入总余额不得超过其人民币营运资金的(),<p>A0.4</p><p>B0.6</p><p>C0.8</p><p>D1</p>,4,D,任何一家外资金融机构在中国境内的分支机构的远期交易净买入总余额不得超过其人民币营运资金的100%,0,0
1,"(单选题)将5,000元现金存为银行定期存款，期限为3年，年利率为5％。以单利计算，3年后的本利和是（）。","<p>A5,750元</p><p>B5,788.13元</p><p>C750元</p><p>D788.13元</p>",4,A,"FV＝5,000（1＋5％3）＝5,750元。",0,0
1,"(单选题)某公司发行了面值为1,000元的5年期零息债券，现在的市场利率为8％，那么该债券的现值为（）。","<p>A714.29元</p><p>B680.58元</p><p>C1,469.33元</p><p>D1,400元</p>",4,B,PV＝1000／（1＋8％）^5＝680.58元。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)某种贴现式国债的面额为100元，贴现率为3.58%，到期时间为30天，则该国债的内在价值为(),<p>A99.71元</p><p>B98.51元</p><p>C99.21元</p><p>D98.38元</p>,4,A,用零息债券估值法的公式解答:100x(1-30/360x3.58%)＝99.71,0,0
1,(单选题)詹森指数是在（）模型基础上发展出的一个风险调整绩效衡量指标。,<p>ABSV</p><p>BCAPM</p><p>CDHS</p><p>DAPT</p>,4,B,暂无，请查看考友笔记,0,0
1,(单选题)下列关于我国QDII业务的发展概况，说法正确的是（）。,<p>AQDII基金只能以人民币计价</p><p>BQDII基金产品的门槛较高</p><p>C2007年9月至10月，首批股票型基金发行</p><p>D我国的QDII基金多数为债券型</p>,4,C,QDII基金可以人民币、美元或其他主要外汇货币计价，A错误。QDII基金产品的门槛较低，B错误。我国的QDII基金多数为股票型，D错误。,0,0
1,(单选题)国债回购最长期限不超过(),<p>A半年</p><p>B一年</p><p>C两年</p><p>D三年</p>,4,B,国债回购最长期限不超过一年。,0,0
1,(单选题)根据《证券投资基金运作管理办法》的规定，封闭式基金利润分配(),<p>A比例不得低于年度已实现利润的20%</p><p>B比例不得低于年度已实现利润的80%</p><p>C每年不得少于一次</p><p>D每年不得多于一次</p>,4,C,根据《证券投资基金运作管理办法》有关规定，封闭式基金的利润分配，每年不得少于一次，封闭式基金年度利润分配比例不得低于基金年度已实现利润的90%,0,0
1,"(单选题)证券市场线表明,()反映证券或组合对市场变化的敏感性",<p>A标准差</p><p>B贝塔系数</p><p>C方差</p><p>D期望收益率</p>,4,B,证券市场线表明，β系数反映证券或组合对市场变化的敏感性.,0,0
1,(单选题)短期回购协议本质上是一种（）贷款。,<p>A不动产抵押</p><p>B证券质押</p><p>C证券抵押</p><p>D连带保证</p>,4,C,短期回购协议本质上是一种证券抵押贷款。,0,0
1,(单选题)()开展人寿保险、人身意外险、健康险等险种业务。,<p>A财险公司</p><p>B寿险公司</p><p>C健康险公司</p><p>D意外险公司</p>,4,B,寿险公司开展人寿保险、人身意外险、健康险等险种业务.,0,0
1,(单选题)PROP是()。,<p>A参与人远程操作平台</p><p>B参与人操作平台</p><p>C参与人远程结算平台</p><p>D参与人结算平台</p>,4,A,PROP是参与人远程操作平台.,0,0
1,(单选题)赎回条款是（）的权利，对债权人不利。,<p>A承销商</p><p>B投资人</p><p>C经纪商</p><p>D发行人</p>,4,D,赎回条款是发行人的权利，对债权人不利。,0,0
1,(单选题)根据《银行间债券市场债券登记结算管理办法》的规定，债券结算可采用纯券过户、见券付款、见款付券、券款对付四种结算方式。目前，我国银行间债券市场债券结算主要采用（）的方式。,<p>A纯券过户</p><p>B见券付款</p><p>C见款付券</p><p>D券款对付</p>,4,D,目前，我国银行间债券市场债券结算主要采用券款对付的方式。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)以下属于远期合约标的资产的是（）。,<p>A大宗商品</p><p>B农产品</p><p>C利率</p><p>D以上三种均是</p>,4,D,ABC都属于远期合约的标的资产。,0,0
1,(单选题)要约回购是以（）市价的价格回购，回购成本较（）。,<p>A低于；高</p><p>B高于；高</p><p>C低于；低</p><p>D高于；低</p>,4,B,要约回购是以高于市价的价格回购，回购成本较高。,0,0
1,(单选题)()是境内具有法人资格的非金融企业发行的，仅在银行间债券市场上流通的短期债务工具.,<p>A短期政府债券</p><p>B回购协议</p><p>C短期融资券</p><p>D银行承兑汇票</p>,4,C,短期融资券是境内具有法人资格的非金融企业发行的，仅在银行间债券市场上流通的短斯债务工具。,0,0
1,(单选题)短期收益率较低、长期收益率较高的收益率曲线为（）。,<p>A反转收益曲线</p><p>B下降收益曲线</p><p>C水平收益曲线</p><p>D正收益曲线</p>,4,D,短期收益率较低、长期收益率较高的收益率曲线为正收益曲线。,0,0
1,(单选题)目前，托管资产的场内资金清算的结算模式一般不会采用()。,<p>A分级绝算模式</p><p>B托管人模式</p><p>C券商模式</p><p>D第三方存管模式</p>,4,A,券商模式也称为第三方存管模式.,0,0
1,(单选题)()是指专门进行企业并购的基金，即投资者为了满足已设立的企业达到重组或所有权转变目的而存在的资金需求的投资,<p>A风险投资</p><p>B并购投资</p><p>C危机投资</p><p>D私募股权二级市场投资</p>,4,B,并购投资是指专门进行企业并购的基金，即投资者为了满足已设立的企业达到重组或所有转变目的而存在的资金需求的投资。,0,0
1,(单选题)相关系数的()大小体现两个证券收益率之间相关性的强弱。,<p>A概率</p><p>B标准差</p><p>C绝对值</p><p>D期望收益</p>,4,C,相关系数的绝对值大小体现两个证券收益率之间相关性的强弱.,0,0
1,(单选题)下列有关银行间债券市场的债券结算说法错误的是（）。,<p>A根据债券交易和结算的相互关系，债券结算可分为全额结算和净额结算两种类型</p><p>B净额结算比较适合交易非常频繁和活跃的市场，尤其是在交易所撮合交易模式比较发达的场外市场</p><p>C根据结算指令的处理方式，债券结算可分为实时处理交收和批量处理交收</p><p>D实时处理可以以全额结算或净额结算方式进行交收，而批量处理只能以全额结算方式进行交收</p>,4,D,批量处理可以以全额结算或净额结算方式进行交收，而实时处理只能以全额结算方式进行交收。,0,0
1,(单选题)银行间债券市场的交易制度不包活(〕。,<p>A公开市场一级交易商制度</p><p>B公开市场二级交易商制度</p><p>C做市商制度</p><p>D结算代理制度</p>,4,B,银行间债券市场的交易制度有公开市场一级交易商制度、做市商制度以及结算代理制度。,0,0
1,(单选题)不属于所有者权益的是（）。,<p>A股本</p><p>B资本公积</p><p>C未分配利润</p><p>D已分配利润</p>,4,D,暂无，请查看考友笔记,0,0
1,(单选题)浮动利率债券中的利差在债券的偿还期内是（）的。,<p>A固定</p><p>B浮动</p><p>C以上两种情况均有可能</p><p>D完全相同</p>,4,A,浮动利率债券中的利差在债券的偿还期内是固定的。,0,0
1,(单选题)以下不属于私募股权投资的退出机制的是（）。,<p>A管理层回购</p><p>B破产清算</p><p>C买壳上市</p><p>D兼并收购</p>,4,D,兼并收购不属于私募股权投资的退出机制。,0,0
1,(单选题)()是反映远期利率的有效途径，它的水平和斜率反映了经济主体对未来通货膨胀的预期和对未来基本经济形势的判断。,<p>A国债收益率曲线</p><p>B菲利普斯曲线</p><p>C价格消费曲线</p><p>D洛伦兹曲线</p>,4,A,国债收益率曲线是反映远期利率的有效途径，本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。它的水平和斜率反映了经济主体对未来通货膨胀的预期和对未来基本经济形势的判断.,0,0
1,(单选题)（）是我国通过制度安排允许符合条件的境外机构投资者汇入一定的外汇资金，转换为我国货币，通过境内专门机构严格监管的账户投资境内证券市场，其在境内获得的收益经审核后方可汇出境外的制度。,<p>A合格境内机构投资者</p><p>B合格境外机构投资者</p><p>C国际投资基金</p><p>D海外基金</p>,4,B,暂无，请查看考友笔记,0,0
1,(单选题)目前最大的RQFII管理机构是（）。,<p>A华夏基金（香港）有限公司</p><p>B易方达资产管理（香港）有限公司</p><p>C南方东英资产</p><p>D招商基金管理公司</p>,4,C,暂无，请查看考友笔记,0,0
1,(单选题)(〕的变动直接影响本国产品在国际市场的竟争能力。,<p>A汇率</p><p>B利率</p><p>CGDP</p><p>D预算</p>,4,A,汇率的变动直接影响本国产品在国际市场的竟争能力。,0,0
1,(单选题)有效市场的最佳选择是()。,<p>A积极型管理</p><p>B混台型管理</p><p>C消极型管理</p><p>D以上都不台适</p>,4,C,有效市场的最佳选择是消极型管理,0,0
1,(单选题)普通合伙人有时会承担（）的角色。,<p>A基金发行人</p><p>B基金管理人</p><p>C基金投资人</p><p>D基金监管人</p>,4,B,普通合伙人有时会承担基金管理人的角色。,0,0
1,(单选题)封闭式基金份额净值由()进行公告。,<p>A基金公司</p><p>B证券交易所</p><p>C基金管理人</p><p>D证监会</p>,4,C,考查基金估值程序,0,0
1,(单选题)下列关于基金管理公司境外分支机构的说法正确的是（）。,<p>A基金管理公司的境外机构只能采取分公司的形式</p><p>B公司最近3年没有因违法违规行为受到行政处罚和刑事处罚</p><p>C公司治理健全，内部监控完善，经营稳定，有较强的持续经营能力</p><p>D基金管理公司不可以设立境外分支机构</p>,4,C,基金管理公司的分支机构可以采取分公司、办事处、子公司等，A错误。公司最近1年没有因违法违规行为受到行政处罚和刑事处罚，B错误。基金管理公司可以设立境外分支机构，D错误。,0,0
1,(单选题)对于基金交易费。以下说法错误的是〔）,<p>A基金交易费是指基金在进行证券买卖交易时所发生的相关交易费用</p><p>B我国证券投资基金的交易费主要包括印花悦、交易佣金、过户费、经手费、证管费</p><p>C交易佣金由证券公司按成交金额的一定比例向基金收取</p><p>D印花税、过户费、经手费、证管费等由托管人按有关规定收取</p>,4,D,基金交易费指基金进行证券买卖交易时所发生的相关交易费用。目前，我国证券投资基金的交易费用主要包括印花税、交易佣金、过户费、经手费、证管费。交易佣金由证券公司按成交金额的一定比例向基金收取，印花税、过户费、经手费、证管费等则由登记公司或交易所按有关规定收取。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。参与银行间债券交易的，还需向中央国债登记结算有限责任公司和银行间市场清算所股份有限公司支付银行间账户服务费，向全国银行间同业拆借中心支付交易手续费等服务费用。,0,0
1,(单选题)基金管理人虽然必须按规定对基金资产进行估值，但遇到特殊情况，可以暂停估值.这些情况不包括()。,<p>A基金投资所涉及的证券交易所法定节假日暂停营业</p><p>B基金投资所涉及的证券交易所因其它原因暂停营业</p><p>C因不可抗力致使基金管理人、基金托管人无法准确评估基金资产价值</p><p>D基金持有人要求暂停基金估值时</p>,4,D,当基会有以下情形时，可以暂停沽值:1.基金投资所涉及的证券交易所遇法走节假日或因其他原因暂停营业时；2.因不可抗力或其他情形致使基金管理人、基会托管人无法准确评估基金资产价值时:3.占基会相当比例的投资品种的估值出现重大转变，而基金管理人为保障投资人的利益已决定延迟沽值;4.如出现基金管理人认为属于紧急事故的任伺情况，会导致基金管理人不能出售或评估基金资产的:5.中国证监会和基金合同认定的其他情形。,0,0
1,(单选题)（）是指通过对基金所拥有的全部资产及所有负债按一定的原则和方法进行估算，进而确定基金资产公允价值的过程.,<p>A基金资产清算</p><p>B基金净资产估值</p><p>C基金资产估值</p><p>D基金负债清算</p>,4,C,基金资产估值是指通过对基金所拥有的全部资产及所有负债按一定的原则和方法进行估算，进而确定基金资产公允价值的过程。,0,0
1,(单选题)以下关于基金财务会计报告分析的说法，正确的是（）。,<p>A季度、月度财务会计报告至少应披露会计报表和会计报表附注的内容</p><p>B在进行基金持仓结构分析时，如果发现股票投资占基金资产净值的比例降低了，即使只是少许变动，也可以推断出基金经理肯定进行了减仓操作</p><p>C基金财务会计报告的分析主要包括持仓结构分析、盈利能力和分红能力分析、基金收入和费用情况分析和基金份额变动分析</p><p>D基金会计报表包括重要会计政策和会计估计、会计政策和会计估计变更以及差错更正的说明、报表重要项目的说明和关联方关系及其交易等内容</p>,4,C,年度、半年度财务会计报告至少应披露会计报表和会计报表附注的内容，A错误；在进行持仓结构的分析时应注意，股票投资占基金资产净值的比例发生少量的变动，并不意味着基金经理一定进行了增仓或减仓操作，因为市场波动也可能引起计算结果的变动，B错误；基金会计报表附注包括重要会计政策和会计估计、会计政策和会计估计变更以及差错更正的说明、报表重要项目的说明和关联方关系及其交易等内容，D错误。,0,0
1,(单选题)下列风险管理措施中，不属于信用风险管理措施的是（）。,<p>A建立针对债券发行人的内部信用评级制度</p><p>B建立交易对手信用评级制度</p><p>C加强对重大投资的监测</p><p>D建立严格的信用风险监控体系</p>,4,C,C属于市场风险的管理措施。,0,0
1,(单选题)有保证债券根据保证的形式不同，可以分为抵押债券、质押债券和(),<p>A金融债券</p><p>B公司债券</p><p>C政府债券</p><p>D担保债券</p>,4,D,有保证债券根据保证的形式不同，可以分为抵押债券、质押债券和担保债券。,0,0
1,(单选题)不属于系统性风险的是(〕,<p>A经济增长</p><p>B财务风险</p><p>C利率、汇率与物价波动</p><p>D政治干扰</p>,4,B,系统性风险也称为市场风险，是由经济环境因素的变化引起的整个金融市场的不确定性的加强，包括经济增长、利率、汇率与物价波动，政治因素的干扰等。,0,0
1,(单选题)下列关于贵金属类大宗商品的特点，说法不正确的是(〕,<p>A具备相对较好的物理属性</p><p>B高度的发展性</p><p>C稀少</p><p>D繁多</p>,4,D,贵金属类大宗商品，通常具备相对较好的物理属性，高度的发展性和稀少等特点。,0,0
1,(单选题)()是一种混合债券，既包合了普通债券的特征，也包含了权益特征。还具有标的股票的衍生特征。,<p>A可赎回债券</p><p>B可回售债券</p><p>C可转换债券</p><p>D结构化债券</p>,4,C,可转换债券是一种混合债券，既包含了普通债券的特征，也包含了权益特征，还具有标的股票的衍生特征.,0,0
1,(单选题)期权的（）是指多头行使期权时可以获得的收益的现值，即资产的市场价格与执行价格之间的差额。,<p>A理论价值</p><p>B实际价值</p><p>C内在价值</p><p>D时间价值</p>,4,C,期权的内在价值是指多头行使期权时可以获得的收益的现值，即资产的市场价格与执行价格之间的差额。,0,0
1,(单选题)在现实生活中较为常见的两种互换合约是()。,<p>A利率互换合约和股权互换合约</p><p>B货币互换合约和信用违约互换合约</p><p>C利率互换合约和货币互换合约</p><p>D股权互换合约和信用违约互换合约</p>,4,C,在现实生活中较为常见的两种互换合约是利率互换合约和货币互换合约，此外还有股权互换.信用违约互换等互换合约。,0,0
1,(单选题)以下不属于房地产投资信托的特点是（）。,<p>A流动性强</p><p>B抵补通货膨胀效应</p><p>C风险较低</p><p>D信息不对称程度高</p>,4,D,信息不对称程度较低是房地产投资信托的特点。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)优先股股东（）表决权；公司债权方（）表决权。,<p>A没有；有</p><p>B有；有</p><p>C没有；没有</p><p>D有；没有</p>,4,C,优先股股东不享有表决权；公司债权方不享有表决权。,0,0
1,(单选题)市场风险管理的主要措施，下列表述错误的是（）。,<p>A密切关注宏观经济指标和趋势，重大经济政策动向，重大市场行动，评估宏观因素变化可能给投资带来的系统性风险，定期监测投资组合的风险控制指标，提出应对策略。</p><p>B加强对场内交易（包括价格、对手、品种、交易量、其他交易条件）的监控，确保所有交易在公司的管理范围之内。</p><p>C关注投资组合的风险调整后收益，可以采用夏普（Sharp）比率、特雷诺（Treynor）比率和詹森（Jensen）比率等指标衡量。</p><p>D加强对重大投资的监测，对基金重仓股、单日个股交易量占该股票持仓显著比例、个股交易量占该股流通值显著比例等进行</p>,4,B,B选项中应该是加强对场外交易（包括价格、对手、品种、交易量、其他交易条件）的监控，确保所有交易在公司的管理范围之内，其他选项均正确。,0,0
1,(单选题)结算成员在银行间债券市场参与债券的交易结算时，有几个应该把握的重要日期。以下说法错误的的是（）。,<p>A目前，银行间债券市场现券交易的结算日有T＋0和T＋1两种</p><p>B需中国人民银行逐期审批的债券，其交易流通起始日为收到中国人民银行批复和发行人交易流通公告的第三个工作日</p><p>C无论期限长短，央行票据的交易流通起始日均为债权债务登记日当天</p><p>D366天以上的政策性金融债券的交易流通起始日为债权债务登记日的次一工作日</p>,4,D,366天以上的政策性金融债券的交易流通起始日为债权债务登记日后第三个工作日，366天以下的政策性金融债券的交易流通起始日为债权债务登记日的次一工作日。,0,0
1,(单选题)以下关于《另类投资基金管理人指令》的主要内容的说法中，错误的是（）。,<p>A欧洲证券和市场管理局（ESMA）负责对各成员国证券监管部门的监督和协调</p><p>B托管机构可以是银行、公证员、律师或其他能履行保管职能的受法律或监管认可的专业机构</p><p>C托管人只在故意的情况下造成的损失承担赔偿责任</p><p>D欧盟护照实际上是从事私募股权投资的运营执照</p>,4,C,托管人应对其故意或过失的情况下造成的损失承担赔偿责任。,0,0
1,(单选题)期权台约与远期合约以及期货合约的不同之处主要在于().,<p>A期权合约是标准化合约</p><p>B期权合约不能够套期保值</p><p>C期权合约损益的不对称性</p><p>D期货合约可以套期保值</p>,4,C,期权合约与远期合约以及期货合约的不同之处主要在于期权合约损益的不对称性。,0,0
1,(单选题)货币市场工具属于（）。,<p>A权益证券</p><p>B衍生产品</p><p>C固定收益证券</p><p>D另类投资</p>,4,C,货币市场工具属于固定收益证券。,0,0
1,(单选题)目前银行间债券市场债券结算主要采用（）的方式。,<p>A券款对付</p><p>B见款付券</p><p>C见券付款</p><p>D纯券过户</p>,4,A,根据中国人民银行2013年12号文的规定，目前银行间债券市场债券结算主要采用券款对付的方式。,0,0
1,(单选题)近年来我国互换合约市场高速增长，互换合约也成为许多投资组台的重组成部分，目前，中国外汇交易中心人民币利率互换参考利率不包括()。,<p>A上海银行间同业拆放利率</p><p>B国债回购利率</p><p>C1年期定期存款利率</p><p>D3年期定期存款利率</p>,4,D,近年来我国互换合约市场高速成长，互换合约也成为许多投资组合的重要组成部分.目前，中国外汇交易中心人民币利率互换参考利率包括上海银行间同业拆放利率(含隔夜、1i周、3个月期等品种)、国债回购利率(7天)、1年期定期存款利率，互换期限从7天到3年，交易双方可协商确定付息频率，利率重置期限，计息方式等合约条款.,0,0
1,(单选题)IPO时，发行人满足必备条件，经证券监管机构（）后，通过证券承销机构面向社会公众公开股票并在证券交易所上市的过程。,<p>A审核</p><p>B核准</p><p>C注册</p><p>D以上三种均有可能</p>,4,D,发行人满足必备条件，经证券监管机构审核、核准或注册后，通过证券承销机构面向社会公众公开股票并在证券交易所上市的过程。,0,0
1,(单选题)2013年6月6日开始，国内市场资金面持续紧张，资金利率不断创出新高，机构投资者纷纷赎回货币基金转而投向拆借和回购市场，这种大额赎回加剧了货币基金的（）。,<p>A市场风险</p><p>B流动性风险</p><p>C信用风险</p><p>D合规风险</p>,4,B,基金大额赎回加剧了基金的流动性风险。,0,0
1,(单选题)场内市场回购是按照（）回购，透明度（）。,<p>A市场价格；低</p><p>B理论价格；低</p><p>C市场价格；高</p><p>D理论价格；高</p>,4,C,场内市场回购是按照市价回购，透明度高。,0,0
1,(单选题)()表示股票价格和每股收益的比率。揭示了盈余和估价之间的关系。,<p>A市净率</p><p>B市盈率</p><p>C市现率</p><p>D市销率</p>,4,B,市盈率指标表示股票价格和每股收益的比率，揭示了盈余和估价之间的关系。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)以下关于普通合伙人说法错误的是（）。,<p>A收入来源是基金管理费和盈利分红</p><p>B代表投资基金对外行使各种权利</p><p>C对私募股权投资基金承担无限连带责任</p><p>D最大亏损为其出资额</p>,4,D,普通合伙人对私募股权投资基金承担无限连带责任，最大亏损额为自己全部财产。,0,0
1,(单选题)()是指私募股权投资基金将其持有的项目在私募股权二级市场出售的行为,<p>A首次公开发行</p><p>B管理层回购</p><p>C二次出售</p><p>D借壳上市</p>,4,C,二次出售是指私募股权投资基金将其持有的项目在私募股权二级市场已售的行为,0,0
1,(单选题)基金管理公司必须以()为基金会计核算主体。,<p>A所管理的全部基金总体</p><p>B基金管理公司</p><p>C所管理的每只基金</p><p>D所管理的不同基金类别</p>,4,C,基金管理公司应当以每只基金为会计核算主体，独立建账，独立核算。,0,0
1,(单选题)衡量基金绩效的指标有多种，其中属于风险调整收益指标的是（）。,<p>A特雷诺指数</p><p>B算术平均收益率</p><p>C年化收益率</p><p>D几何平均收益率</p>,4,A,风险调整收益指标为夏普指数、特雷诺指数和詹森比率。,0,0
1,(单选题)利率风险指的是因利率变化而产生的基金价值的不确定性。以下不会影响利率变动的是（）。,<p>A通货膨胀预期</p><p>B中央银行的货币政策</p><p>C经济周期</p><p>D国际收支</p>,4,D,通货膨胀预期，中央银行的货币政策，经济周期和国际利率水平等的影响，而国际收支是影响汇率变动的因素，故选D。,0,0
1,(单选题)以下策略属于自下而上的策略的是（）。,<p>A投资经理小张认为现在市场复苏周期，应加大对股票的投资比例</p><p>B投资经理小李认为国家现在大力发展“互联网＋”行业，所以在其配置中挑选互联网龙头行业投资</p><p>C投资经理小王通过分析通货膨胀率、利率、GDP等宏观指标来决定大类资产配置</p><p>D投资经理小赵根据基本面分析挑选出业绩突出的股票</p>,4,D,重视个股，属于自下而上策略。,0,0
1,(单选题)分析（）是制定投资政策说明书的关键环节。,<p>A投资者财务状况</p><p>B投资者需求</p><p>C投资限制</p><p>D投资者偏好</p>,4,B,分析投资者需求是制定投资政策说明书的关键环节。,0,0
1,(单选题)下列指标中，不是用以反映货币市场基金风险的指标是（）。,<p>A投资组合平均剩余期限</p><p>B浮动利率债券投资情况</p><p>C贝塔系数</p><p>D融资比例</p>,4,C,贝塔系数是反映股票基金的风险指标。,0,0
1,(单选题)UCITS四号指令的修改主要体现的方面不包括()。,<p>A为UCITS基金的国内和跨境合并创建法律框架，允许UCITS整合，设立便利跨境基金并购的程序，加快现有的小型基金并购大型基金的趋势</p><p>B以最新标准化的“投资人关键信息”文件替换原有的简化募股书</p><p>C跨境分销程序实现简化，注册流程更简便，并支待UCITS部门更快速地启动跨境营销</p><p>D引进基金管理公司通行证</p>,4,A,UCITS四号指令的修改主要体现在以下五方面:(1)引进基金管理公司通行证。基金管理公司将允许直接从事跨境基金管理，而不需要在基金所在地指定服务提供商，除非托管银行有此要求.(2)跨境分销程序实现简化，注册流程更简便，并支持UCITS部门更快速地启动跨境营销。(3)为UCITS基金的国内和跨境台并创建法律框架，允许UCITS整台，设立便利跨境基金并购的程序，加快现有的大型基金并购小型基金的趋势.(4)引进主从结构(master-feederstructure)基金以促进(大多由税收驱动的)资产池,0,0
1,(单选题)以下各项属于贴现债券的是（）。,<p>A息票债券</p><p>B商业银行债券</p><p>C零息债券</p><p>D短期债券</p>,4,C,零息债券属于贴现债券。,0,0
1,(单选题)下列关于夏普比率说法错误的是（）。,<p>A夏普比率是用某一时期内投资组合平均超额收益除以这个时期收益的标准差</p><p>B夏普比率中基金收益率和无风险收益率应用平均值的原因，是在测度期间内两者都是在不断变化的</p><p>C夏普比率是针对总波动性权衡后的回报率，即单位总风险下的超额回报率</p><p>D夏普比率数值越小，代表单位风险超额回报率越高，基金业绩越好</p>,4,D,夏普比率数值越大，代表单位风险超额回报率越高，基金业绩越好。故D选项错误。,0,0
1,(单选题)以下（）不属于亚洲证券交易所。,<p>A香港交易所</p><p>B东京证券交易所</p><p>C布鲁塞尔证券交易所</p><p>D新加坡证券交易所</p>,4,C,布鲁塞尔证券交易所属于欧洲证券交易所。,0,0
1,(单选题)标的证券除权的，权证的行权价格公式为（）。,<p>A新行权价格＝原行权价格除权前一日标的证券收盘价标的证券除权日参考价</p><p>B新行权价格＝原行权价格标的证券除权日参考价除权前一日标的证券收盘价</p><p>C新行权价格＝原行权价格标的证券除权日参考价除权前两日标的证券收盘价</p><p>D新行权价格＝原行权价格除权前两日标的证券收盘价标的证券除权日参考价</p>,4,B,标的证券除权的，本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。新行权价格＝原行权价格标的证券除权日参考价除权前一日标的证券收盘价。,0,0
1,(单选题)()是银行发行的具有固定期限和一定利率的。可以在二级市场转让的金融工具。,<p>A银行承兑汇票</p><p>B商业票据</p><p>C大额可转让定期存单</p><p>D同业存单</p>,4,C,大额可转让定期存单是银行发行的具有固定期限和一定利率的，可以在二级市场转让的金融工具.,0,0
1,(单选题)（）是欧洲第一个推行UCITS指令的国家，是目前全球最大的UCITS基金注册地。,<p>A英国</p><p>B法国</p><p>C荷兰</p><p>D卢森堡</p>,4,D,暂无，请查看考友笔记,0,0
