1,(单选题)跟踪偏离度=（）。 ,<p>A证券组合的真实收益率+基准组合的收益率 </p><p>B证券组合的真实收益率基准组合的收益率 </p><p>C证券组合的真实收益率基准组合的收益率 </p><p>D证券组合的真实收益率-基准组合的收益率</p>,4,D,跟踪偏离度＝证券组合的真实收益率－基准组合的收益率。,0,0
1,(单选题)（）是反映债券违约风险的重要指标。 ,<p>A债券评级 </p><p>B采购经理人指数 </p><p>C标准普尔 </p><p>D债券违约指数</p>,4,A,债券评级是反映债券违约风险的重要指标。,0,0
1,(单选题)关于货币市场基金的说法，不正确的是（）。 ,<p>A最近7日年化收益率是收益分析的重要指标 </p><p>B货币市场基金是一种现金管理工具，在一定程度上具有替代银行活期存款的作用 </p><p>C我国法规要求货币市场基金投资组合的平均剩余期限在每个交易日不得超过397天 </p><p>D货币市场基金债券正回购的资金余额不得超过20%</p>,4,C,我国法规要求货币市场基金投资组合的平均剩余期限在每个交易日不得超过180天。,0,0
1,(单选题)按照实物商品种类的不同，商品期货不包括（）。 ,<p>A能源期货 </p><p>B农产品期货 </p><p>C金属期货 </p><p>D化工期货</p>,4,D,按照实物商品的种类不同，商品期货可分为： ①农产品期货； ②金属期货； ③能源期货。,0,0
1,(单选题)（）是指指数基金收益率与标的指数收益率之间的偏差，用来表述指数基金与标的指数之间的相关程 度，并揭示基金收益率围绕标的指数收益率的波动情况。 ,<p>A方差 </p><p>B标准差 </p><p>C贝塔系数 </p><p>D跟踪误差</p>,4,D,题干所述为跟踪误差的概念。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)下列不属于金融衍生工具的是（）。 ,<p>A金融远期合约 </p><p>B金融互换 </p><p>C金融期权 </p><p>D金融债券</p>,4,D,债券不属于衍生工具。,0,0
1,(单选题)目前我国收取印花税的交易品种是（）。 ,<p>A股票 </p><p>B基金 </p><p>C地方债券 </p><p>D公司债券</p>,4,A,目前我国基金和债券不收取印花税。,0,0
1,(单选题)债券市场价格越（ ）债券面值，期限越( )，则当期收益率就越偏离到期收益率。 ,<p>A接近；短 </p><p>B接近；长 </p><p>C偏离；长 </p><p>D偏离；短</p>,4,D,债券市场价格越偏离债券面值，期限越短，则当期收益率就越偏离到期收益率。,0,0
1,(单选题)在组合投资理论中，有效投资组合是指（ ）。 ,<p>A可行投资组合集左边界上的任意可行组合 </p><p>B可行投资组合集内部任意可行组合 </p><p>C可行投资组合集右边界上的任意可行组合 </p><p>D在所有风险相同的投资组合中具有最高预期收益率的组合</p>,4,B,可行组合是一个区域。,0,0
1,(单选题)在金融市场上，以股票为例，当没有任何决定性的消息发布的时候，股价走势很多时候呈现出“随机游 走”的特点，这里的“随机游走”就是指股价的波动值服从（ )。 ,<p>A正态分布 </p><p>B分位数 </p><p>C中位数 </p><p>D随机变量</p>,4,A,本题考查正态分布的概念。,0,0
1,(单选题)在成员国监管机关允许的情况下，基金投资于国际组织担保的证券，应投资于不少于（ ）个主体发行的 证券，对每个主休发行证券的投资比例不得超过（ ）。 ,<p>A5；20%</p><p>B5；30% </p><p>C6；25% </p><p>D6；30%</p>,4,D,在成员国监管机关允许的情况下，基金投资于政府或国际组织发行或担保的证券，应投资于不少于6个 主体发行的证券，对每个主体发行证券的投资比例不得超过30%。,0,0
1,(单选题)下列关于资本结构的和债权资本的说法错误的是( )。 ,<p>A资本结构是指企业资本总额中各种资本的构成比例。最基本的资本结构是债权资本和权益资本的比 例，通常用债务股权比率或资产负债率表示 </p><p>B个公司的总资本是1000万元，其中有300万元的债权资本和7 00万元的权益资本，那么该公司的资本 结构即包含30%的债务和7 0%的权益，该公司的资产负债率是30% </p><p>C有负债的公司被称为杠杆公司，一个拥有100%权益资本的公司被称为完全杠杆公司，因为它没有债 权资本 </p><p>D债权资本是通过借债方式筹集的资本，公司向债权人（如银行、债券持有人及供应商等）借入资金， 定期向他们支付利息，并在到期日偿还本金</p>,4,C,C项所述为无杠杆公司，因为它没有债权资本。,0,0
1,(单选题)下列关于债券偿还期限的说法正确的是（ ）。 ,<p>A短期债券，一般而言，其偿还期在1年以上 </p><p>B中期债券的偿还期一般为10年以上 </p><p>C长期债券的偿还期一般为1?5年 </p><p>D按偿还期限分类，债券可分为短期债券、中期债券和长期债券</p>,4,D,中期债券的偿还期一般为1～10年，而长期债券的偿还期一般为10年以上。,0,0
1,(单选题)下列关于远期合约、期货合约、期权合约和互换合约区别的表述，不正确的是（ )。 ,<p>A期货合约只在交易所交易，期权合约大部分在交易所交易，远期合约和互换合约通常在场外交易，采 用非标准形式进行 </p><p>B般而言，远期合约和互换合约通常是用实物进行交割，期货合约绝大多数通过对冲相抵消，通常使 用现金结算，极少实物交割 </p><p>C远期合约和互换合约通常用保证金交易，因此有明显的杠杆，期货合约通常没有杠杆效应</p><p>D远期合约、期货合约和大部分互换合约都包括买卖双方在未来应尽的义务，期权合约和信用违约互换 合约只有一方在未来有义务</p>,4,C,期货合约通常有保证金交易，有明显的杠杆效应；而远期合约和互换合约一般没有杠杆效应。,0,0
1,(单选题)下列关于衍生工具交易单位的说法，错误的是（ ）。 ,<p>A交易单位又称合约规模 </p><p>B在交易时，只能以交易单位的整数倍进行买卖 </p><p>C当合约标的资产的市场规模、交易者的资金规模较大时，交易单位应该较小 </p><p>D确定期货合约交易单位的大小时，主要应当考虑合约标的资产的市场规模、交易者的资金规模等因素</p>,4,C,当合约标的资产的市场规模、交易者的资金规模较大时，交易单位应该较大。,0,0
1,(单选题)下列关于信用利差特点的表述，错误的是（ ）。 ,<p>A信用利差的变化本质上是市场风险偏好的变化，预期影响 </p><p>B对于给定的非政府部门的债券、给定的信用评级，信用利差随着期限增加而扩大 </p><p>C信用利差随着经济周期的扩张而扩张，随着经济周期的收缩而缩小 </p><p>D从实际数据看，信用利差的变化一般发生在经济周期发生转换之前，因此，信用利差可以作为预测经 济周期活动的指标</p>,4,C,信用利差随着经济周期的扩张而缩小，随着经济周期的收缩而扩张。,0,0
1,(单选题)我国场内股票交易的买卖双方支付的过户费属于（ ）的收入。 ,<p>A中国结算公司 </p><p>B证券经纪商 </p><p>C证券交易所 </p><p>D证券监督管理机构</p>,4,A,过户费属于中国结算公司的收入。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)投资者将选择并持有有效的投资组合，即那些在给定的风险水平下使得期望收益最大化的投资组合，或 那些在给定的期望收益率上使得风险最小化的投资组合，这种说法（ ）。 ,<p>A错误 </p><p>B正确 </p><p>C部分正确 </p><p>D部分错误</p>,4,B,题干为马可维茨投资组合分析模型的要点之一，说法正确。,0,0
1,(单选题)通过对（ ）和（ ）的比较分析，可以了解投资者对该基金的认可程度。 ,<p>A基金份额表动情况；持有人结构 </p><p>B基金分红能力；持有人结构 </p><p>C基金盈利能力；持有人结构 </p><p>D基金份额表动情况；基金盈利能力</p>,4,A,通过对基金份额变动情况和持有人结构的比较分析，可以了解投资者对该基金的认可程度。,0,0
1,(单选题)贴现率越高，则未来的货币折现到现在的价值越（ ）。 ,<p>A大 </p><p>B小 </p><p>C不确定 </p><p>D以上说法都不对</p>,4,B,贴现率越高，则未来的货币折现到现在的价值越小。,0,0
1,(单选题)数据分布越散，其波动性和不可预测性（ ）。 ,<p>A越强 </p><p>B越弱</p><p>C没有影响 </p><p>D视情况而定</p>,4,A,很多情况下，我们不仅需要了解数据的期望值和平均水平，还要了解这组数据分布的离散程度。分布 越散，其波动性和不可预测性也就越强。,0,0
1,"(单选题)若某资产或资产组合的预期收益率高于与其贝塔值对应的预期收益率，也就是说位于证券市场线的上 方，则（ ）将更偏好于该资产或资产组合,市场对该资产或资产组合的需求超过其供给，最终抬升其价 格，导致其预期收益率降低，使其向证券市场线回归。 ",<p>A无风险投资者 </p><p>B理性投资者 </p><p>C非理性投资者 </p><p>D风险投资者</p>,4,B,预期收益率高于与其贝塔值对应的预期收益率，理性投资者将更偏好于该资产或资产组合。,0,0
1,(单选题)如果一个随机变量X最多只能取可数的不同值，则X称为（ ）。 ,<p>A分布型随机变量 </p><p>B连续型随机变量 </p><p>C中断型随机变量 </p><p>D离散型随机变量</p>,4,D,如果一个随机变量X最多只能取可数的不同值，则为离散型随机变量。,0,0
1,(单选题)如果两种资产的收益受到某些因素的共同影响，那么它们的波动会存在一定的联系:由于存在一系列同时 影响多个资产收益的因素，大多数证券资产的收益之间都会存在一定的相关性这种说法（ ）。,<p>A正确 </p><p>B错误 </p><p>C部分正确 </p><p>D部分错误</p>,4,A,本题题干为相关性的阐述，说法正确。,0,0
1,(单选题)如果X的取值无法一一列出，可以遍取某个区间的任意数值，则称为（ ）。 ,<p>A连续型随机变量 </p><p>B分布型随机变量 </p><p>C离散型随机变量 </p><p>D中断型随机变量</p>,4,A,如果X的取值无法一一列出，可以遍取某个区间的任意数值，则为连续型随机变量。,0,0
1,(单选题)目前银行债券市场债券结算主要采用( )的方式。 ,<p>A见款付券 </p><p>B纯券过户 </p><p>C券款对付 </p><p>D见券付款</p>,4,C,债券结算可采用纯券过户、见券付款、见款付券、券款对付四种结算方式。根据中国人民银行2013年 12号文的规定，目前银行间债券市场债券结算主要采用券款对付的方式。,0,0
1,(单选题)目前我国交易所上市交易的以下品种，通常不采用市价估值的是（ ）。 ,<p>A权证 </p><p>B股票 </p><p>C企业债 </p><p>D可转债</p>,4,D,交易所上市的有价证券（包括股票、权证等）以其估值日在证券交易所挂牌的市价进行估值；对在交 易所上市交易的可转换债券按当日收盘价作为估值全价。,0,0
1,(单选题)目前，中外合资基金管理公司外资持股上限为不超过( )。 ,<p>A0.1</p><p>B0.2</p><p>C0.49</p><p>D0.51</p>,4,C,目前，中外合资基金管理公司外资持股上限为不超过49%。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)目前，我国托管资产的场内资产结算主要采用两种模式，包括( ) 和（ ）。 ,<p>A托管人结算模式；券商结算模式 </p><p>B共同对手方计算式；逐笔清算模式 </p><p>C货银对付模式；交差交收模式 </p><p>D净额交收模式；全额交收模式</p>,4,A,托管资产的场内资金清算主要采用两种模式，包括托管人结算模式和券商结算模式。,0,0
1,(单选题)目前，( ) 符合QDII可在境内募集资金进行境外投资管理。 ,<p>A基金管理公司 </p><p>B证券公司 </p><p>C商业银行等其他金融机构 </p><p>D以上选项都正确</p>,4,D,除了基金管理公司和证券公司外，商业银行等其他金融机构也可以发行代客境外理财产品。,0,0
1,(单选题)下列不属于系统性风险特点的是（ ）。 ,<p>A大多数资产价格变动方向往往是相同的 </p><p>B无法通过分散化投资来回避 </p><p>C可以通过分散化投资来回避</p><p>D由同一个因素导致大部分资产的价格变动</p>,4,C,系统性风险具有以下几个特点： ①由同一个因素导致大部分资产的价格变动； ②大多数资产价格变动方向往往是相同的； ③无法通过分散化投资来回避。,0,0
1,(单选题)下列不属于金融债券的是（ ）。 ,<p>A证券公司短期融资券 </p><p>B商业银行债券 </p><p>C政策性金融债 </p><p>D地方政府债券</p>,4,D,金融债券包括： ①政策性金融债； ②商业银行债券； ③特种金融债券； ④非银行金融机构债券； ⑤证券公司债； ⑥证券公司短期融资券等。,0,0
1,(单选题)下列不属于减少回购协议信用风险的方法的是( )。 ,<p>A对抵押品进行限定 </p><p>B倾向于对流动性高、容易变现抵押物的要求 </p><p>C降低抵押率的要求 </p><p>D提高抵押率的要求</p>,4,C,减少回购协议信用风险的方法主要有两种： ①对抵押品进行限定，且倾向于对流动性高、容易变现抵押物的要求，如只接受短期国债或中央银行 票据为抵押品； ②提高抵押率的要求，一般要求提供更多的抵押品。,0,0
1,(单选题)下列不属于不动产投资特点的是（ ）。 ,<p>A异质性</p><p>B低流动性 </p><p>C不可分性 </p><p>D可分性</p>,4,D,不动产投资具有如下特点： ①异质性； ②不可分性； ③低流动性。,0,0
1,(单选题)我同提供基金评价业务的公司不包括（ ）。 ,<p>A晨星公司 </p><p>B海通证券 </p><p>C招商证券 </p><p>D招商银行</p>,4,D,我国提供基金评价业务的公司主要有晨星公司、银河证券、海通证券、招商证券、上海证券等。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)我国可转换债券期限最短为（ ）年，最长为（ ）年，自发行结束后（ ）个月才能转换成公司股票。 ,<p>A2 2 2</p><p>B1 3 1</p><p>C1 6 6</p><p>D1 4 1</p>,4,C,我国可转换债券期限最短为1年，最长为6年，自发行结束后6个月才能转换成公司股票。,0,0
1,"(单选题)某种附息国债面额为100元，票面利率为10%，市场利率为8% , 期限为2年，每年付息1次，则该国债的内 在价值为（ ）。 ",<p>A99.3</p><p>B100</p><p>C99.8</p><p>D103.57</p>,4,D,10（1＋8%）＋110（1＋8%）P2P＝103.57（元）。,0,0
1,(单选题)某企业有一张带息期票，而额为12000元，票而利率为4%，出票日期为4月15日，6月14日到期(共60天)， 则到期日的利息为( )。 ,<p>A52</p><p>B80</p><p>C79</p><p>D82</p>,4,B,I＝120004%60360＝80。,0,0
1,(单选题)关于债券组合构建，以下说法错误的是（ )。 ,<p>A债券组合构建需要选择个券 </p><p>B债券组合构建需要决定不同信用等级、行业类别上的配置比例 </p><p>C债券组合构建不需要考虑杠杆率 </p><p>D债券组合构建需要考虑市场风险和信用风险</p>,4,C,债券投资组合构建需要考虑杠杆率等因素。,0,0
1,(单选题)关于债券利率风险，以下表述正确的是（ ）。 ,<p>A当市场利率上升时，债券价格不变 </p><p>B债券价格与市场利率变动方向一致 </p><p>C债券价格与市场利率变动呈反方向变动 </p><p>D当市场利率上升时，债券价格上升</p>,4,C,债券的价格与利率呈反向变动关系：利率上升时，债券价格下降；而当利率下降时，债券价格上升。,0,0
1,(单选题)关于基金资产估值需要考虑的因素，以下表述错误的是（ ）。 ,<p>A我国封闭式基金每个交易日估值，每周披露一次份额净值 </p><p>B交易所上市的股指期货合约以估值当日结算价进行估值</p><p>C交易活跃的证券，直接采用交易价格对其估值 </p><p>D海外基金的估值频率较低，一般是每月估值一次</p>,4,D,海外的基金多数也是每个交易日估值，但也有一部分基金是每周估值一次，有的甚至每半个月、每月 估值一次。所以D项说法错误。,0,0
1,(单选题)关于被动投资指数复制和调整说法，错误的是（ ）。 ,<p>A指数复制可以采用完全复制、抽样复制和优化复制等方法 </p><p>B完全复制、抽样复制和优化复制指数方法所需要的样本股票数量依次递增，跟踪误差依次 </p><p>C根据抽样方法的不同，抽样复制可以分为市值优先、分层抽样等方法 </p><p>D被动投资复制指数会产生复制成本</p>,4,B,根据市场条件的不同，通常有三种指数复制方法，即完全复制、抽样复制和优化复制。三种复制方法 所使用的样本股票的数量依次递减，但是跟踪误差通常依次增加。,0,0
1,(单选题)股票的（ ）又称股票净值或每股净资产，是每股股票所代表的实际资产的价值。 ,<p>A清算价值 </p><p>B账面价值 </p><p>C票面价值 </p><p>D内在价值</p>,4,B,股票的账面价值又称股票净值或每股净资产，是每股股票所代表的实际资产的价值。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)根据市场条件的不同，通常有三种指数复制方法，即完全复制、抽样复制和优化复制。三种复制方法跟 踪误差大小的顺序为（ ）。 ,<p>A完全复制< 抽样复制< 优化复制 </p><p>B完全复制> 抽样复制> 优化复制 </p><p>C优化复制> 完全复制> 抽样复制 </p><p>D优化复制< 完全复制< 抽样复制</p>,4,A,根据市场条件的不同，通常有三种指数复制方法，即完全复制、抽样复制和优化复制。三种复制方法所使用的样本股票的数量依次递减，但是跟踪误差通常依次增加。,0,0
1,(单选题)( ) 是使用频率最高的债务比率。 ,<p>A资产收益率 </p><p>B权益乘数和负债权益比 </p><p>C总资产周转率 </p><p>D资产负债率</p>,4,D,资产负债率是使用频率最高的债务比率。,0,0
1,(单选题)( ) 是基金公司管理基金投资的最高决策机构。 ,<p>A投资部 </p><p>B研究部 </p><p>C交易部 </p><p>D投资决策委员会</p>,4,D,投资决策委员会是基金公司管理基金投资的最高决策机构，由各个基金公司自行设立，是非常设的议 事机构。,0,0
1,(单选题)( ) 是20世纪90年代以来发展最为迅速的一类金融衍生工具。 ,<p>A利率衍生工具 </p><p>B信用衍生工具 </p><p>C商品衍生工具 </p><p>D股权类产品的衍生工具</p>,4,B,信用衍生工具是20世纪90年代以来发展最为迅速的一类金融衍生工具，主要包括信用互换合约、信用 联结票据等。,0,0
1,"(单选题)( ) 年9月,中国金融期货交易所正式成立。 ",<p>A2003</p><p>B2004</p><p>C2005</p><p>D2006</p>,4,D,2006年9月，中国金融期货交易所正式成立。,0,0
1,(单选题)( ) 机制的实施吸引了境外符合资格的机构投资者来中国资本市场投资。 ,<p>AQDII </p><p>BQFII </p><p>C基金互认 </p><p>D以上选项都正确</p>,4,B,QFII机制的实施吸引了境外符合资格的机构投资者来中国资本市场投资。,0,0
1,(单选题)李先生拟在5年后用200000元购买一辆车，银行年复利率为12%，李先生现在应存入银行（）元。 ,<p>A120000</p><p>B134320</p><p>C150000</p><p>D113485</p>,4,D,200000（1＋12%）P5P＝113485元。,0,0
1,(单选题)市场利率走低时，以下判断正确的是（)。 ,<p>A债券价格上升，再投资收益上升 </p><p>B债券价格不变，因为利息收益相对增加，但再投资收益下降，两者互相抵消 </p><p>C债券价格下降，再投资收益下降</p><p>D债券价格上升，再投资收益下降</p>,4,D,市场利率走低时，购买债券的人增多，导致债券价格上升，但利率下降，再投资收益会下降。,0,0
1,(单选题)人民币合格境外机构投资者，简称为（）。 ,<p>ARQFII </p><p>BQDII </p><p>CQFII </p><p>DRQDII</p>,4,A,人民币合格境外机构投资者，简称为RQFII。,0,0
1,(单选题)下列属于流动资产的是( )。 ,<p>A应收账款 </p><p>B应付票据 </p><p>C短期借款 </p><p>D应付账款</p>,4,A,企业的流动资产主要包括现金及现金等价物、应收票据、应收账款和存货等于几项资产，它们能够在 短期内快速变现，因而流动性很强，其他几项属于流动负债。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)在两个风险资产构成的投资组合中加入无风险资产，其可行投资组合集（）。 ,<p>A风险最小的可行投资组合风险为零 </p><p>B可行投资组合集的上下沿为双曲线 </p><p>C可行投资组合集是一片区域 </p><p>D可行投资组合集的上下沿为射线</p>,4,B,由于无风险资产的引入，风险最小的可行投资组合风险为零；其次，在标准差一预期收益率平面中， 可行投资组合集的上沿及下沿为射线，而不是双曲线，所以B项说法错误。,0,0
1,(单选题)下列说法中错误的是（）。 ,<p>A远期、期货和大部分合约有事被称作远期承诺 </p><p>B期权合约和远期合约以及期货合约的不同在于其损益的不对 </p><p>C信用违约互换合约使买方可以对卖方行使某种权利 </p><p>D期权合约和利率互换合约被称为单边合约</p>,4,D,期权合约和信用违约互换合约只有一方在未来有义务，因此被称作单边合约，而不是利率互换合约。,0,0
1,(单选题)( )是股票最基本的特征。 ,<p>A收益性 </p><p>B风险性 </p><p>C流动性 </p><p>D永久性</p>,4,A,收益性是股票最基本的特征，它是指持有股票可以为持有人带来收益的特性。,0,0
1,(单选题)股票的变化表现为三种趋势：长期趋势、中期趋势及短期趋势。其中，（）最为重要，也最容易被辨 认，是投资者主要的观察对象。 ,<p>A长期趋势 </p><p>B中期趋势 </p><p>C短期趋势 </p><p>D中期趋势和短期趋势</p>,4,A,长期趋势最为重要，也最容易被辨认，是投资者主要的观察对象。,0,0
1,(单选题)股票可以依法自由的进行交易，体现了股票（）的特征。 ,<p>A参与性 </p><p>B收益性 </p><p>C流动性 </p><p>D交易性</p>,4,C,股票可以依法自由的进行交易，体现了股票流动性的特征。,0,0
1,(单选题)（）近似于看涨期权，行权时其持有人可按照约定的价格购买约定数量的标的资产。 ,<p>A认购权证 </p><p>B认沽权证 </p><p>C认股权证 </p><p>D备兑权证</p>,4,A,认购权证近似于看涨期权，行权时其持有人可按照约定的价格购买约定数量的标的资产。,0,0
1,(单选题)下列不属于股利贴现模型的是（）。 ,<p>A零增长模型 </p><p>B不变增长模型 </p><p>C多元增长模型 </p><p>D超额收益贴现模型</p>,4,D,根据对股利增长率的不同假定，股利贴现模型可以分为： ①零增长模型； ②不变增长模型； ③三阶段增长模型； ④多元增长模型。,0,0
1,(单选题)短期融资券由（）承销并采用（）的方式发行，通过市场招标确定发行利率。,<p>A证券公司；有担保 </p><p>B证券公司；无担保 </p><p>C商业银行；有担保 </p><p>D商业银行；无担保</p>,4,D,短期融资券由商业银行承销并采用无担保的方式发行（信用发行），通过市场招标确定发行利率。,0,0
1,(单选题)下列不属于私募股权投资广泛使用的战略的是（）。 ,<p>A成长权益 </p><p>B风险投资 </p><p>C危机投资 </p><p>D私募股权一级市场投资</p>,4,D,私募股权投资包含多种不同形式，最为广泛使用的战略包括： ①风险投资； ②成长权益； ③并购投资； ④危机投资； ⑤私募股权二级市场投资。,0,0
1,(单选题)关于远期合约，以下表述错误的是（）。 ,<p>A远期合约是一种最简单的衍生品合约 </p><p>B远期合约流动性通常较差 </p><p>C远期合约是一种标准化合约 </p><p>D远期合约不能形成统一的市场价格，与期货合约相比</p>,4,C,远期合约并不是标准化合约，所以C项说法错误。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)私募股权二级市场投资战略是具有（）特性的投资战略。 ,<p>A周期长、风险小、流动性强 </p><p>B周期短、风险小、流动性强 </p><p>C周期短、风险大、流动性强 </p><p>D周期长、风险大、流动性差</p>,4,D,私募股权二级市场投资战是具有周期长、风险大、流动性差特性的投资战略。,0,0
1,(单选题)标准普尔500指数是由标准普尔公司于（）年开始编制的。 ,<p>A1955</p><p>B1956</p><p>C1957</p><p>D1958</p>,4,C,标准普尔500指数是由标准普尔公司于1957年开始编制的。,0,0
1,(单选题)主动收益=（）。 ,<p>A证券组合的真实收益+基准组合的收益 </p><p>B证券组合的真实收益+基准组合的收益 </p><p>C证券组合的真实收益X基准组合的收益 </p><p>D证券组合的真实收益-基准组合的收益</p>,4,D,主动收益即相对于基准的超额收益，其计算方法如下：主动收益＝证券组合的真实收益－基准组合的 收益。,0,0
1,(单选题)资本资产定价模型基本假定条件中，（）意味着每个投资者都不能对市场定价造成显著影响，他们都是 价格接受者。 ,<p>A不存在交易费用及税金 </p><p>B投资者的投资范围仅限于公开市场上可以交易的资产 </p><p>C所有投资者的投资期限都是相同的，并且不在投资期限内对投资组合做动态的调整 </p><p>D市场上存在大量投资者，每个投资者的财富相对于所有投资者的财富总量而言是微不足道的</p>,4,D,市场上存在大量投资者，每个投资者的财富相对于所有投资者的财富总量而言是微不足道的。这一假 定意味着每个投资者都不能对市场定价造成显著影响，他们都是价格接受者。,0,0
1,(单选题)（）是目前世界上影响最大、最有权威性的一种股票价格指数，于1896年5月26问世。 ,<p>A标准普尔指数 </p><p>B日经指数 </p><p>C金融时报股价数 </p><p>D道琼斯工业平均指数</p>,4,D,道琼斯工业平均指数是目前世界上影响最大、最有权威性的一种股票价格指数，于1896年5月26日问 世。,0,0
