1,(单选题)国家开发银行的成立时间是()。,<p>A1994年3月</p><p>B1994年4月</p><p>C1994年11月</p><p>D1994年12月 </p>,4,A,国家开发银行成立于1994年3月，中国进出口银行成立于1994年4月，中国农业发展银行成立于1994年11月。,0,0
1,(单选题)下列不属于经济资本在商业银行的运用领域的是()。,<p>A绩效管理</p><p>B风险管理</p><p>C资源配置</p><p>D风险控制</p>,4,B,经济资本管理的意义在于使银行从管理风险的角度实现对资源的有效配置，达到风险与收益最优平衡。具体而言，经济资本被广泛应用于商业银行的下列领域：(1)绩效管理；(2)资源配置；(3)风险控制。,0,0
1,(单选题)下列不属于合规管理的重点内容的是()。,<p>A建设强有力的合规文化</p><p>B建立符合政策法规的合规目标</p><p>C建立有利于合规风险管理的基本制度</p><p>D建立有效的合规风险管理体系</p>,4,B,合规管理需要重点做好以下工作：(1)建设强有力的合规文化；(2)建立有效的合规风险管理体系；(3)建立有利于合规风险管理的基本制度。,0,0
1,(单选题)冻结单位或个人存款的期限最长为()个月。,<p>A1</p><p>B3</p><p>C6</p><p>D9</p>,4,C,冻结单位或个人存款的期限最长为6个月，期满后可以按照法律规定办理续冻手续。有权机关应在冻结期满前办理续冻手续，逾期未办理续冻手续的，视为自动解除冻结措施。,0,0
1,(单选题)经济资本计量不包括()的计量。,<p>A经济资本供给量</p><p>B经济资本需求量</p><p>C经济资本缓冲量</p><p>D经济资本损失量</p>,4,D,经济资本计量是指运用风险计量技术和组合计量技术，将各类风险量化为资本占用的过程。经济资本计量包括经济资本供给量、经济资本需求量、经济资本缓冲量的计量。,0,0
1,(单选题)目前，我国商业银行存款业务中，采用复利计算利息的是()。,<p>A个人活期存款</p><p>B3年期的储蓄存款</p><p>C1年期的定期存款</p><p>D5年期的定期存款</p>,4,A,活期储蓄是年度结息，所得利息并入本金起息。,0,0
1,(单选题)根据银监会2011年发布的《商业银行理财产品销售管理办法》，我国商业银行的私人银行客户的金融净资产应达到()。,<p>A400万元人民币及以上</p><p>B800万元人民币及以上</p><p>C600万元人民币及以上</p><p>D500万元人民币及以上</p>,4,C,私人银行客户是指金融资产达到600万元人民币及以上的商业银行客户。,0,0
1,(单选题)中国人民银行支付系统的贷记支付业务通过()处理。,<p>A大额实时支付系统</p><p>B小额批量支付系统</p><p>C清算账户管理系统</p><p>D支付管理信息系统</p>,4,A,大额实时支付系统处理同城和异地跨行之间和行内的大额贷记及紧急小额贷记支付业务，中国人民银行系统的贷记支付业务以及即时转账业务等。支付指令实时处理，全额清算资金。,0,0
1,(单选题)下列属于商业银行承诺业务的是()。,<p>A银行保函</p><p>B项目贷款承诺</p><p>C不可撤销信用证</p><p>D备用信用证</p>,4,B,承诺类中间业务是指商业银行在未来某一日期按照事前约定的条件向客户提供约定信用的业务，主要指贷款承诺。贷款承诺业务可以分为：项目贷款承诺、开立信贷证明、客户授信额度和票据发行便利四大类。,0,0
1,(单选题)目前，我国银行信贷管理一般实行集中授权管理，统一授信管理，()，贷款管理责任制相结合，以切实防范、控制和化解贷款业务风险。,<p>A审贷分离，统一审批</p><p>B审贷结合，分级审批</p><p>C审贷分离，分级审批</p><p>D审贷结合，集中审批</p>,4,C,暂无解析,0,0
1,(单选题)《银行业从业人员职业操守》不适用于()机构的工作人员。,<p>A中国农业发展银行</p><p>B农村信用社</p><p>C基金管理公司</p><p>D花旗银行北京分行</p>,4,C,暂无解析,0,0
1,(单选题)下列符合商业银行内部控制原则的是()。,<p>A商业银行全体员工参与内部控制</p><p>B内部控制成本可以不考虑</p><p>C行长可以不受内部控制的约束</p><p>D新业务和结构可以暂时不纳入内部控制范畴</p>,4,A,我国《商业银行内部控制指引》规定，商业银行内部控制应遵循以下基本原则：(1)全面性。内部控制应当贯穿决策、执行和监督全过程，覆盖企业及其所属单位的各种业务和事项。(2)重要性。内部控制应当在全面控制的基础上，关注重要业务事项和高风险领域。(3)制衡性。内部控制应当在治理结构、机构设置及权责分配、业务流程等方面形成相互制约、相互监督，同时兼顾运营效率。(4)适应性。内部控制应当与企业经营规模、业务范围、竞争状况和风险水平等相适应，并随着情况的变化及时加以调整。(5)成本效益。内部控制应当权衡实施成本与预期效益，以适当的成本实现有效控制。,0,0
1,(单选题)在我国，“指导、部署金融业反洗钱工作，负责反洗钱的资金监测”的职责由()履行。,<p>A中国人民银行</p><p>B公安部</p><p>C国家外汇管理局</p><p>D中国银行业监督管理委员会</p>,4,A,《中国人民银行法》第4条规定：中国人民银行负有“指导、部署金融业反洗钱工作，负责反洗钱的资金监测”的职责。,0,0
1,(单选题)下列不属于商业银行公司治理制衡机制的是()。,<p>A组织架构</p><p>B履职要求</p><p>C职责边界</p><p>D决策执行</p>,4,D,商业银行公司治理是指股东大会、董事会、监事会、高级管理层、股东及其他利益相关者之间的相互关系，包括组织架构、职责边界、履职要求等治理制衡机制，以及决策、执行、监督、激励约束等治理运行机制。,0,0
1,(单选题)下列说法中错误的是()。,<p>A外汇交易是指本国货币与外国货币的兑换买卖</p><p>B经济全球化是指商品、资本、服务与信息跨国界流动的规模与形式不断增加，通过国际分工，在世界市场范围内提高资源配置的效率，从而使各国间经济的相互依赖程度日益加深的趋势</p><p>C金融市场具有货币资金融通功能、优化资源配置功能、风险分散功能、经济调节功能和定价功能</p><p>D中间业务也叫收费业务，是指不构成银行表内资产、表内负债的非利息收入的业务，包括收取服务费或代客买卖差价的理财业务、咨询顾问、基金和债券的代理买卖、代客买卖资金产品、代理收费、托管、支付结算等业务</p>,4,A,外汇交易是一国货币与另一国货币之间的交换，它既包括本国货币与外国货币的兑换买卖，也包括各种外国货币之间的交易。B、C、D三项都是正确的。,0,0
1,(单选题)投资购买债券的内部收益率是()元。,<p>A持有期收益率</p><p>B到期收益率</p><p>C即期收益率</p><p>D票面收益率</p>,4,B,到期收益率是投资购买债券的内部收益率，即可以使投资购买债券获得的未来现金流量的现值等于债券当前市场价格的贴现率，相当于投资者按照当前市场价格购买并且一直持有到满期时可以获得的年平均收益率，其中隐含了每期的投资收入现金流均可以按照到期收益率进行再投资.,0,0
1,(单选题)下列行为，不符合银行业从业人员职业操守要求的是()。,<p>A建议客户进行理财产品组合降低风险</p><p>B建议客户购买国债以减少利息税</p><p>C建议客户根据外汇行情购买外汇</p><p>D建议客户分批次转账以逃避反洗钱检查</p>,4,D,暂无解析,0,0
1,(单选题)下列不属于中国人民银行法定职责的是()。,<p>A发行人民币，管理人民币流通</p><p>B实施外汇管理，监督管理银行间外汇市场</p><p>C依法制定和执行货币政策</p><p>D对银行业金融机构实行并表监督管理</p>,4,D,按照《中国人民银行法》第4条规定，人民银行主要有以下职责：(1)发布与履行其职责有关的命令和规章。(2)依法制定和执行货币政策。(3)发行人民币，管理人民币流通。(4)监督管理银行间同业拆借市场和银行间债券市场。(5)实施外汇管理，监督管理银行间外汇市场。(6)监督管理黄金市场。(7)持有、管理、经营国家外汇储备、黄金储备。(8)经理国库。(9)维护支付、清算系统的正常运行。(10)指导、部署金融业反洗钱工作，负责反洗钱的资金监测。(11)负责金融业的统计、调查、分析和预测。(12)作为国家的中央银行，从事有关的国际金融活动。(13)国务院规定的其他职责。,0,0
1,(单选题)下列对于商业银行委托贷款业务的表述，正确的是()。,<p>A具体贷款条件由商业银行与借款人商定</p><p>B商业银行对贷款资金进行融资</p><p>C商业银行承担贷款信用风险</p><p>D商业银行收取手续费</p>,4,D,暂无解析,0,0
1,(单选题)李某是农村信用社的会计主管，利用职位之便，其先后三次挪用本单位资金25万元，用于网上赌球。李某的行为涉嫌构成()。,<p>A贪污罪</p><p>B职务侵占罪</p><p>C洗钱罪</p><p>D挪用资金罪</p>,4,D,暂无解析,0,0
1,(单选题)监管谈话一般是银监会与银行业金融机构的()进行的，要求其就业务活动和风险管理的重大事项作出说明。,<p>A股东大会</p><p>B董事、高级管理人员</p><p>C风险管理委员会</p><p>D监事会</p>,4,B,银监会根据履行职责的需要，可以与银行业金融机构的董事、高级管理人员进行监管谈话，要求其就业务活动和风险管理的重大事项作出说明。,0,0
1,(单选题)在我国，最重要的企业法人形式为()。,<p>A机关</p><p>B事业单位</p><p>C公司</p><p>D社会团体</p>,4,C,在我国，公司是最重要的企业法人形式。,0,0
1,(单选题)以下对监管资本描述正确的是()。,<p>A它也称为风险资本</p><p>B它是防止银行倒闭的最后防线</p><p>C它是银行资产减去负债的余额</p><p>D它是维持金融稳定性而规定的银行必须持有的资本量</p>,4,D,银行资产减去负债的余额是会计资本；防止银行倒闭的最后防线是经济资本，也称为风险资本；监管资本，指银行监管当局为了满足监管要求、促进银行审慎经营、维持金融体系稳定而规定的银行必须持有的资本。,0,0
1,(单选题)广泛使用于非贸易结算，或贸易从属费用的收款的托收方式是()。,<p>A光票托收</p><p>B跟单托收</p><p>C出口托收</p><p>D进口托收</p>,4,A,光票托收广泛用于非贸易结算，或贸易从属费用的收款等。,0,0
1,(单选题)制定银行业从业人员职业操守的宗旨是：“为规范银行业从业人员职业行为，提高中国银行业从业人员()，建立健康的银行业企业文化和信用文化，维护银行业良好信誉，促进银行业的健康发展。”,<p>A专业能力和道德水平</p><p>B整体素质和职业道德水准</p><p>C职业道德和信用水平</p><p>D专业素质和知识水平</p>,4,B,制定银行业从业人员职业操守的宗旨是为规范银行业从业人员职业行为，提高中国银行业从业人员整体素质和职业道德水准，建立健康的银行业企业文化和信用文化，维护银行业良好信誉，促进银行业的健康发展。,0,0
1,(单选题)关于《反不正当竞争法》的规定，下列说法不正确的是()。,<p>A经营者不得采用财务或其他手段进行贿赂以达到销售或购买产品或服务的目的</p><p>B经营者销售或购买商品或服务，可以以明示方式给对方折扣</p><p>C经营者销售或购买商品或服务，不可以以明示方式给对方折扣</p><p>D经营者销售或购买商品或服务，可以给中间人佣金</p>,4,C,《反不正当竞争法》明确禁止采用财物或者其他手段进行贿赂以销售或者购买商品，并规定在账外暗中给予对方单位或者个人回扣的，以行贿论处；对方单位或者个人在账外暗中收受回扣的，以受贿论处。经营者销售或者购买商品，可以以明示方式给对方折扣，可以给中间人佣金。经营者给对方折扣、给中间人佣金的，必须如实入账；接受折扣、佣金的经营者必须如实入账。,0,0
1,(单选题)法院持法定手续到某银行支行查询某贸易公司的存款状况，该行某业务员因与该贸易公司保持着很好的业务关系，闻讯后立即告知该贸易公司，此行为违反了()规定。,<p>A反洗钱</p><p>B协助执行</p><p>C内幕交易</p><p>D监管规避</p>,4,B,银行从业人员在处理与客户关系时，具有协助执行义务。即银行从业人员应当按法定程序积极协助执法机关的执法活动，不泄露执法活动信息，不协助客户隐匿、转移资产。,0,0
1,(单选题)下列贷款中，贷款期限上限最低的是()。,<p>A国家助学贷款</p><p>B一般商业性助学贷款</p><p>C二手车消费贷款</p><p>D自用车消费贷款</p>,4,C,国家助学贷款上限为10年；一般商业性助学贷款上限为8年；二手车或商用车消费贷款上限为3年；自用车消费贷款上限为5年。,0,0
1,(单选题)看涨期权买方的最大损失为()。,<p>A零</p><p>B期权费</p><p>C无穷大</p><p>D以上都不对</p>,4,B,对卖方来讲，由于承担在将来为买方承兑选择权的义务，得到一笔期权费。有买入金融资产权利的期权叫看涨期权，有卖出金融资产权利的期权叫看跌期权。当标的物涨价时，看涨期权方买入标的物.收益为溢价减去期权费。当标的物跌价时，看涨期权买方不履行买进。这时损失最大化，为期权费。【专家点拨】期权是指在未来一定时期可以买卖的权利，是买方向卖方支付一定数量的金额后拥有的在未来一段时间内或未来某一特定日期以事先规定好的价格（指履约价格）向卖方购买或出售一定数量的特定标的物的权利，但不负有必须买进或卖出的义务。为取得这一权利，买方需要预先支付一定的期权费。,0,0
1,(单选题)在国际收支衡量指标中，()是国际收支中最主要的部分。,<p>A贸易收支</p><p>B国外投资</p><p>C劳务输出</p><p>D国外借款</p>,4,A,在国际收支的衡量指标中，贸易收支是国际收支中最主要的部分。,0,0
1,(单选题)期限3个月至1年（不含3个月，含1年），主要用于企业正常生产经营中周期性、季节性资金的需要是()。,<p>A临时流动资金贷款</p><p>B短期流动资金贷款</p><p>C中期流动资金贷款</p><p>D流动资金循环贷款</p>,4,B,短期流动资金贷款：期限在3个月至1年（不含3个月，含1年），主要用于企业正常生产经营中周期性、季节性资金的需要。故本题选B。【专家点拨】流动资金贷款按期限分为临时流动资金贷款、短期流动资金贷款和中期流动资金贷款。(1)临时流动资金贷款：期限在3个月（含）以内，主要用于企业一次性进货的临时性资金需要和弥补其他支付性资金不足。(2)短期流动资金贷款：期限在3个月至1年（不含3个月，含1年），主要用于企业正常生产经营中周期性、季节性资金的需要。(3)中期流动资金贷款：期限1年至3年（不含1年，含3年），主要用于企业正常生产经营中经常占用的、长期流动性资金需要。,0,0
1,(单选题)单家银行担任银团贷款中的牵头行时，其承贷份额原则上不少于银团融资总金额的()。,<p>A0.1</p><p>B0.2</p><p>C0.3</p><p>D0.5</p>,4,B,单家银行担任牵头行时，其承贷份额原则上不少于银团融资总金额的20%，分销给其他银团贷款成员的份额原则上不低于50%。,0,0
1,(单选题)债券票面利息与购买价格之间的比率是()。,<p>A名义收益率</p><p>B持有期收益率</p><p>C即期收益率</p><p>D到期收益率</p>,4,C,名义收益率，又称票面收益率，是票面利息与面值的比率；即期收益率，是债券票面利息与购买价格之间的比率。持有期收益率，是债券买卖价格差价加上利息收入后与购买价格和持有期限之间的比率。到期收益率是投资购买债券的内部收益率。,0,0
1,(单选题)()是指交易双方约定在未来某个特定时间以约定价格买卖约定数量的资产。,<p>A远期</p><p>B期货</p><p>C掉期</p><p>D期权</p>,4,A,远期是指交易双方约定在未来某个特定时间以约定价格买卖约定数量的资产，包括利率远期合约和远期外汇合约。,0,0
1,(单选题)以下银行业务中不存在信用风险的业务是()。,<p>A同业交易</p><p>B贸易融资</p><p>C外汇交易</p><p>D代收代付</p>,4,D,对大多数银行来说，信用风险几乎存在于银行的所有业务中。既存在于传统的贷款、债券投资等表内业务中，也存在于信用担保，。贷款承诺等表外业务中，还存在于场外衍生品交易中。从发展趋势来看，银行正越来越多地面临着除贷款之外的其他银行业务中所包含的信用风险，包括承兑、同业交易、贸易融资、外汇交易、金融衍生业务、承诺和担保以及交易的结算等。,0,0
1,(单选题)李小姐于2013年6月1日在银行新开立了一个存款账户，并存入一笔10000元的活期存款。假定年利率为1%，利息税率为5%，采用积数计息法计息。该客户于2013年6月18日通过ATM机查询账上余额。假设期间没有进行任何存取，查询也无须付费，则李小姐将在ATM机上看到的数字是()元。,<p>A10004.72</p><p>B10004.49</p><p>C10004.42</p><p>D10000.00</p>,4,D,活期存款是在每季末月20日结息，次日付息。该客户在2013年6月18日查询存款金额时，还未到该季度的结息日，因此她只能在ATM机上看到其本金10000.00元。,0,0
1,(单选题)根据《商业银行法》的规定，银行的附属资本规模不得______核心资本的______。(),<p>A低于；50%</p><p>B低于；1/3</p><p>C高于；50%</p><p>D高于；100%</p>,4,D,根据《商业银行法》的规定，银行的附属资本规模不得超过核心资本的100%。,0,0
1,(单选题)根据《中国银行业实施新资本协议指导意见》，在信用风险、市场风险、操作风险三类风险中，现阶段国内大型银行应当()的计量模型。,<p>A首先开发信用风险、操作风险</p><p>B首先开发信用风险、市场风险</p><p>C首先开发市场风险、操作风险</p><p>D同时开发三大风险</p>,4,B,在信用风险、市场风险、操作风险三类风险中，现阶段国内大型银行应当先开发信用风险、市场风险的计量模型。,0,0
1,(单选题)下列银行业从业人员的做法，符合职业操守有关“信息披露”规定的是()。,<p>A在产品说明中以小字在不显眼的地方揭示产品风险</p><p>B利用银行的声誉对所代理产品进行合约以外的承诺</p><p>C不告知客户本行在代理产品销售过程中的责任和义务</p><p>D以足以让客户注意的方式向客户解释产品的最终责任承担者</p>,4,D,根据信息披露的规定，银行应当对所在机构代理销售的产品必须以明确的、足以让客户注意的方式向其提示被代理人的名称、产品性质、产品风险和产品的最终责任承担者、本银行在本产品销售过程中的责任和义务等必要的信息。,0,0
1,(单选题)银团贷款中，受邀参加银团，并按照协商确定的份额提供贷款的普通角色的银行是()。,<p>A牵头行</p><p>B代理行</p><p>C参加行</p><p>D安排行</p>,4,C,牵头行，即接受借款人的委托，策划组织银团并安排贷款分销的银行。代理行，负责协调贷款及还款支付管理等工作的银行，通常由牵头行担任。参加行，即接受牵头行的邀请参加银团，并按照协商确定的份额提供贷款的银行。安排行是介于牵头行和参加行之间的成员。根据上述定义，C选项正确。,0,0
1,(单选题)()是指商业银行经国家有关部门批准，对固定资产进行重估时，固定资产公允价值与账面价值之间的正差额部分。,<p>A重估储备</p><p>B一般准备</p><p>C优先股</p><p>D混合资本债券</p>,4,A,重估储备，指商业银行经国家有关部门批准，对固定资产进行重估时，固定资产公允价值与账面价值之间的正差额部分。,0,0
1,(单选题)从支出角度看，()不是GDP构成的四大部分之一。,<p>A消费</p><p>B投资</p><p>C净进口</p><p>D净出口</p>,4,C,从支出角度来看，GDP由消费、投资、净出口和政府购买支出四大部分构成。,0,0
1,(单选题)债权人会议通过和解协议的决议，由出席会议的有表决权的债权人______同意，并且其所代表的债权额占______以上。(),<p>A过半数；无财产担保债权总额的2/3</p><p>B过半数；债权总额的2/3</p><p>C2/3多数；无财产担保债权总额的2/3</p><p>D2/3多数；债权总额的2/</p>,4,A,债权人会议通过和解协议的决议，由出席会议的有表决权的债权人过半数同意，并且其所代表的债权额占无财产担保债权总额的2/3以上。,0,0
1,(单选题)商业银行高级管理层成员的任职资格需要符合()的规定。,<p>A国务院</p><p>B中国人民银行</p><p>C银行业监督管理机构</p><p>D银行业协会</p>,4,C,商业银行高级管理层成员的任职资格需要符合银行业监督管理机构的规定。,0,0
1,(单选题)以下关于银行资本说法错误的是()。,<p>A会计资本，也称为账面资本，是指银行的所有者权益</p><p>B监管资本也称为风险资本</p><p>C监管资本是银行监管当局为了维持金融体系稳定而规定的银行必须持有的资本</p><p>D经济资本是银行需要保有的最低资本量</p>,4,B,经济资本由于直接与银行所承担的风险挂钩，因此也称为风险资本。,0,0
1,(单选题)按基础资产分类，衍生品业务不包括()。,<p>A利率衍生品</p><p>B汇率衍生品</p><p>C信用衍生品</p><p>D现金类衍生品</p>,4,D,根据所依据的原始资产类型不同，金融衍生产品可以分为汇率衍生品（外汇金融期货、外汇期权、外汇远期合约等）、利率衍生品（利率金融期货、利率期权、利率掉期等）、信用衍生品、权益证券合约（股票金融期货、股票期权等）以及权益证券的指数合约（股票指数金融期货、股票指数期权等）。,0,0
1,(单选题)下列关于商业银行信用风险管理的说法，错误的是()。,<p>A商业银行信用风险管理指的是风险的识别、衡量、监督、控制和调整收益</p><p>B传统的信用评估方法主要是“5C”原则：“品德、能力、资本、抵押品、盈利”</p><p>C在建立信用度量模型的基础上，还可以考虑利用信用衍生工具规避信用风险</p><p>D银行在贷款或贷款组合的风险度量中特别注意运用信用风险管理的新工具</p>,4,B,“5C”原则包括：贷款人道德品质(Character)、经营能力（Capacity）、资本(Capital)、担保(Collateral)、经营环境(Condition)。,0,0
1,(单选题)以下属于反映企业经营成果的是()。,<p>A资产</p><p>B利润</p><p>C负债</p><p>D所有者权益</p>,4,B,《企业会计准则》将会计要素分为六类，其中资产、负债、所有者权益是反映企业财务状况的静态要素，收入、费用和利润是反映企业经营成果的动态要素。,0,0
1,(单选题)银监会可以对违法经营、经营管理不善造成严重后果的银行业金融机构予以撤销。撤销是指监管部门对经其批准设立的具有法人资格的金融机构依法采取的()的行政强制措施。,<p>A停止其营业</p><p>B限制其所有业务</p><p>C终止其法人资格</p><p>D没收其所有资产</p>,4,C,《银行监督管理办法》第39条规定，银行金融机构有违法经营、经营管理不善等情形.不予撤销将严重危害金融秩序、损害公众利益的，国务院银行业监督管理机构有权予以撤销。撤销是指监管部门对经批准设立的具有法人资格的金融机构依法采取的终止其法人资格的行政强制措施。,0,0
1,(单选题)下列关于商业银行资本的描述，正确的是()。,<p>A银行资本等于会计资本、监管资本和经济资本之和</p><p>B经济资本是一种完全取决于银行盈利大小的资本</p><p>C商业银行的会计资本等于经济资本</p><p>D监管资本是商业银行必须持有资本的最低要求</p>,4,D,会计资本、监管资本和经济资本是银行资本在财务会计、银行监管和内部风险管理三个意义上的不同概念，而不是银行资本的三个组成部分，因此，A选项错误；经济资本是银行内部管理人员根据银行所承担的风险计算的、银行需要保有的最低资本量，因此，经济资本不仅与银行盈利的大小有关，还与银行所承担的风险有关，因此，B选项错误；在正常情况下，银行会计资本的数量应当大于、等于经济资本的数量，因此，C选项错误。,0,0
1,(单选题)根据信息披露的要求，对所在机构代理销售的产品应当披露的信息不包括()。,<p>A被代理人的名称</p><p>B产品的创新之处</p><p>C产品的最终责任承担者</p><p>D本银行在本产品销售过程中的责任和义务</p>,4,B,信息披露要求对所在机构代理销售的产品必须以明确的、足以让客户注意的方式向其提示被代理人的名称、产品性质、产品风险和产品的最终责任承担者、本银行在本产品销售过程中的责任和义务等必要的信息。,0,0
1,(单选题)为了确保银行客户和其他市场参与者充分了解银行创新所隐含的风险，银行必须对创新过程中不涉及商业秘密，不影响知识产权的部分予以充分披露，这属于银行金融创新所遵守的()原则。,<p>A信息充分披露</p><p>B风险可控</p><p>C成本可算</p><p>D知识产权保护</p>,4,A,暂无解析,0,0
1,(单选题)()是指以非法占有为目的，采取虚构事实或者隐瞒真相的方法，非法向社会公开募集资金，数额较大的行为。,<p>A信用证诈骗罪</p><p>B非法吸收公众存款罪</p><p>C集资诈骗罪</p><p>D违法发放贷款罪</p>,4,C,集资诈骗罪，是指以非法占有为目的，采用虚构事实、隐瞒真相的方法，非法向社会公开募集资金，数额较大的行为。,0,0
1,(单选题)下列关于骗取贷款、票据承兑、金融票证罪与贷款诈骗罪的区别的说法不正确的是()。,<p>A骗取贷款、票据承兑、金融票证罪的犯罪主体包括自然人和单位，贷款诈骗罪的犯罪主体只是自然人</p><p>B骗取贷款、票据承兑、金融票证罪最高法定刑仅为7年有期徒刑，贷款诈骗罪最高法定刑可以判处无期徒刑</p><p>C骗取贷款、票据承兑、金融票证罪在主观上不要求行为人以“非法占有为目的”，贷款诈骗罪要求行为人必须以“非法占有为目的”</p><p>D骗取贷款、票据承兑、金融票证罪在主观方面可以是故意，也可以是过失，贷款诈骗罪要求行为人必须是故意</p>,4,D,两种犯罪在主观方面均是故意。,0,0
1,(单选题)下列关于留置的说法错误的是()。,<p>A留置权只能发生在特定的合同关系中，如保管合同、运输合同和加工承揽合同</p><p>B留置权发生两次效力，即留置标的物和变价并优先受偿</p><p>C留置权具有可分性，即债权得到全部清偿之前，留置权人可以留置未得到清偿那部分对应的标的物</p><p>D留置权实现时，留置权人必须确定债务人履行债务的宽限期</p>,4,C,留置权具有不可分性，即债权得到全部清偿之前，留置权人有权留置全部标的物。,0,0
