1,(单选题)（）的素质及信誉往往在一定程度上代表了企业的素质和信誉。,<p>A企业员工</p><p>B企业股东</p><p>C企业领导</p><p>D企业监事会</p>,4,C,企业领导的素质及信誉往往在一定程度上代表了企业的素质和信誉。,0,0
1,(单选题)出国留学贷款额度最高不得超过借款人学杂费和生活费的（）。,<p>A0.6</p><p>B0.8</p><p>C0.9</p><p>D1</p>,4,B,出国留学贷款额度最高不得超过借款人学杂费和生活费的80%。,0,0
1,(单选题)贷款（）应以实地调查为主、间接调查为辅，采取现场核实、电话查问以及信息咨询等途径和方法。,<p>A发放</p><p>B审批</p><p>C管理</p><p>D调查</p>,4,D,贷款调查应以实地调查为主、间接调查为辅，采取现场核实、电话查问以及信息咨询等途径和方法。《个人贷款管理暂行办法》第15条。,0,0
1,(单选题)贷款签约的流程是（）。,<p>A审核合同一填写合同一签订合同</p><p>B签订合同一审核合同一填写合同</p><p>C填写合同一审核合同一签订合同</p><p>D填写合同一签订合同一审核合同</p>,4,C,对经审批同意的贷款，应及时通知借款申请人以及其他相关人(包括抵押人和出质人等)，确认签约的时间，签署“个人汽车贷款借款合同”和相关担保合同。其流程如下：(1)填写合同(2)审核合同(3)签订合同。,0,0
1,(单选题)贷款人应健全合同管理制度，有效防范个人贷款（）。,<p>A信用风险</p><p>B流动性风险</p><p>C法律风险</p><p>D违约风险</p>,4,C,贷款人应健全合同管理制度，能有效防范个人贷款法律风险。,0,0
1,(单选题)贷款调查的方法不包括（）。,<p>A实地调查</p><p>B现场核实</p><p>C购买信息</p><p>D电话查问</p>,4,C,贷款调查应以实地调查为主、间接调查为辅，采取现场核实、电话查问以及信息咨询等途径和方法。,0,0
1,(单选题)当银行只有一种或几种产品时，营销组织应当采取（）。,<p>A职能型营销组织</p><p>B产品型营销组织</p><p>C市场型营销组织</p><p>D区域型营销组织</p>,4,A,当银行只有一种或很少几种产品，或者银行产品的营业方式大致相同，或者银行把业务职能当做市场营销的主要功能时，应当采取职能型营销组织。,0,0
1,(单选题)对毕业后自愿到国家需要的艰苦地区、艰苦行业工作，服务期达到一定期限的借款学生，经批准可以（）方式偿还贷款本息。,<p>A奖学金</p><p>B减免</p><p>C工资</p><p>D国家补助</p>,4,A,对毕业后自愿到国家需要的艰苦地区、艰苦行业工作，服务期达到一定期限的借款学生，经批准可以奖学金方式偿还贷款本息。,0,0
1,(单选题)对银行而言，进行市场细分时，所要细分的“市场”是指（）。,<p>A产品服务区域</p><p>B能开展业务的地理范围</p><p>C可能使用银行产品、服务的客户</p><p>D购买或希望购买银行产品、服务的客户</p>,4,C,在市场细分中，所谓的“市场”是指所有可能使用银行产品和服务的客户，对市场细分，也是对这些客户进行划分。,0,0
1,(单选题)对于金融机构来说，下列属于个人贷款具有的重要意义的是（）。,<p>A对商业银行调整信贷结构、提高信贷资产质量、增加经营效益以及繁荣金融业起到了促进作用</p><p>B对启动、培育和繁荣消费市场起到了催化和促进的作用</p><p>C开展个人贷款业务可以为商业银行带来新的收入来源</p><p>D对扩大内需，推动生产，带动相关产业，支持国民经济持续、快速、健康和稳定发展起到了积极的作用</p>,4,C,对于金融机构来说，个人贷款业务具有两个方面的重要意义：(1)开展个人贷款业务可以为商业银行带来新的收入来源。商业银行从个人贷款业务中除了获得正常的利息收入外，通常还会得到一些相关的服务费收入。(2)个人贷款业务可以帮助银行分散风险。出于风险控制的目的，商业银行最忌讳的是贷款发放过于集中。无论是单个贷款客户的集中还是贷款客户在行业内或地域内的集中，个人贷款都不同于企业贷款，因而可以成为商业银行分散风险的资金运用方式，故本题答案为C。,0,0
1,(单选题)二手个人住房贷款，商业银行最主要的合作单位是房地产经纪公司，两者之间其实是贷款产品的（）的关系。,<p>A委托人与被委托人</p><p>B担保人与被担保人</p><p>C代理人与被代理人</p><p>D借款人与贷款人</p>,4,C,对于二手个人住房贷款，商业银行最主要的合作单位是房地产经纪公司，两者之间其实是贷款产品的代理人与被代理人的关系。资信度高、规模大的经纪公司具备稳定的二手房成交量，经手的房贷业务量也相应较大、往往能与银行建立起固定的合作关系。一家经纪公司通常是几家银行二手房贷款业务的代理人，银行也会寻找多家公司作为长期合作伙伴。,0,0
1,(单选题)个人贷款调查应以（）方式为主。,<p>A电话查询</p><p>B简介查询</p><p>C信息查询</p><p>D实地查询</p>,4,D,借款人提出贷款申请后，银行要严格审查申请内容及其证明材料，履行尽职调查职责，逐一核实，正确判断借款人的偿还能力、诚信状况、担保情况、抵(质)押比率、风险程度等。银行要严格执行贷款面谈面签居访制度；通过电子银行渠道发放质押贷款的，贷款人应当采取有效措施确定借款人真实身份。贷款调查可以实地调查为主、间接调查为辅，采取现场核实、电话查问以及信息咨询等多种途径。,0,0
1,(单选题)个人教育贷款具有与其他个人贷款所不同的一些主要特点，不包括（）。,<p>A具有社会公益性</p><p>B期限长</p><p>C多为信用类贷款，风险度相对较高</p><p>D政策参与度较高</p>,4,B,从各国发展情况来看，个人教育贷款具有与其他个人贷款所不同的一些特点，主要体现在以下两个方面：一是具有社会公益性，政策参与程度较高；二是多为信用类贷款，风险度相对较高，故本题答案为B。,0,0
1,(单选题)个人经营性贷款的贷款期限通常为（）年。,<p>A1～2</p><p>B2～3</p><p>C3～5</p><p>D5～8</p>,4,C,个人经营类贷款的贷款期限通常为3～5年。,0,0
1,(单选题)个人耐用消费品贷款起点一般为人民币（）元。,<p>A1000</p><p>B2000</p><p>C5000</p><p>D10000</p>,4,B,个人耐用消费品贷款起点一般为人民币2000元，最高额不超过10万元。,0,0
1,(单选题)个人汽车贷款的贷款期限(含展期)不得超过（）年。,<p>A2</p><p>B3</p><p>C5</p><p>D10</p>,4,C,个人汽车贷款的贷款期限(含展期)不得超过5年，其中，二手车贷款的贷款期限(含展期)不得超过3年。,0,0
1,(单选题)个人汽车贷款发放的具体流程不包括（）。,<p>A出账前审核</p><p>B开户放款</p><p>C建立贷款台账</p><p>D银行将放款通知书、个人贷款信息卡等一并交借款人作回单</p>,4,C,贷款发放后，业务部门应依据借款人相关信息建立贷款台账，并随时更新台账数据。,0,0
1,(单选题)个人汽车贷款信用风险的防控措施不包括（）。,<p>A严格审查客户信息资料的真实性</p><p>B对于关键操作，完成后应做好记录备查，尽职免责，提高自我保护能力</p><p>C详细调查客户的还款能力</p><p>D科学合理地确定客户还款方式</p>,4,B,个人汽车贷款信用风险的防控措施主要有：严格审查客户信息资料的真实性；详细调查客户的还款能力；科学合理地确定客户还款方式，故本题答案为B。,0,0
1,(单选题)个人汽车贷款支付管理环节的主要风险点不包括（）。,<p>A直接将贷款资金发放至借款人账户</p><p>B未详细记录资金流向和归集保存相关凭证。造成凭证遗失</p><p>C发放条件不齐全的情况下发放贷款</p><p>D在未接到借款人支付申请和支付委托的情况下，直接将贷款资金支付给汽车经销商</p>,4,C,C选项，属于签约和发放的风险。,0,0
1,(单选题)个人商用贷款中，设备贷款的期限最多不超过（）年。,<p>A2</p><p>B3</p><p>C4</p><p>D5</p>,4,D,设备贷款的期限由贷款银行根据贷款风险管理相关原则确定，一般为3年，最长不超过5年，故答案为D。,0,0
1,(单选题)个人信用贷款期限超过1年的，采取的是（）还款方式。,<p>A按月付息，按月还本</p><p>B按月付息，按季还本</p><p>C按月付息，一次还本</p><p>D按季付息，一次还本</p>,4,A,根据规定，个人信用贷款期限超过1年的，采取按月还本付息的还款方式。,0,0
1,(单选题)个人征信系统(个人信用信息基础数据库)是我国社会信用体系的重要基础设施，是由（）组织各商业银行建立的个人信用信息共享平台。,<p>A中国人民银行</p><p>B银监会</p><p>C证监会</p><p>D保监会</p>,4,A,个人征信系统(个人信用信息基础数据库)是我国社会信用体系的重要基础设施，是由中国人民银行组织各商业银行建立的个人信用信息共享平台。,0,0
1,(单选题)个人征信系统中记录信用卡最近（）个月的还款状态记录。,<p>A6</p><p>B12</p><p>C24</p><p>D36</p>,4,C,个人征信系统中记录信用卡最近24个月的还款状态记录。,0,0
1,(单选题)个人住房贷款的特征不包括（）。,<p>A贷款金额大</p><p>B贷款期限长</p><p>C以抵押为前提建立的借贷关系</p><p>D风险因素分散，风险具有非系统性特点</p>,4,D,个人住房贷款的特征包括：①贷款金额大、期限长；②以抵押为前提建立的借贷关系；③风险因素类似，风险具有系统性特点。,0,0
1,(单选题)个人住房贷款签约业务办理中不得一人兼任__________和__________。（）,<p>A合同填写岗；合同复核岗</p><p>B贷款调查岗；贷款审查岗</p><p>C抵押登记岗；放款岗</p><p>D贷款调查岗；抵押登记岗</p>,4,A,住房贷款合同填写完毕后，填写人员应及时将合同文本交合同复核人员进行复核。同笔贷款的合同填写人与合同复核人不得为同一人。,0,0
1,(单选题)个人住房装修贷款的用途不包括对（）的支付。,<p>A厨卫设备款</p><p>B家具家电款</p><p>C相关的装修材料</p><p>D家庭装潢和维修工程的施工款</p>,4,B,个人住房装修贷款可以用于支付家庭装修和维修工程的施工款、相关的装修材料和厨卫设备款等。,0,0
1,(单选题)根据担保方式的不同，个人贷款产品可分为四类，不包括（）。,<p>A个人住房贷款</p><p>B个人质押贷款</p><p>C个人信用贷款</p><p>D个人抵押贷款</p>,4,A,A选项，属于按照产品用途进行分类的其中一个类别。,0,0
1,(单选题)公积金个人住房贷款实行（）的原则。,<p>A存贷结合、先存后贷、整借零还和贷款担保</p><p>B设定担保、分类管理、特定用途</p><p>C财政贴息、风险补偿、信用发放、专款专用和按期偿还</p><p>D先存后贷、财产抵押、按期偿还</p>,4,A,公积金个人住房贷款是住房公积金使用的中心内容。公积金个人住房贷款实行“存贷结合、先存后贷、整借零还和贷款担保”的原则。,0,0
1,(单选题)关于采用第三方保证方式申请商用房贷款的，下列说法错误的是（）。,<p>A第三方提供的保证为不可撤销的承担连带责任的全部有效担保</p><p>B保证人和贷款银行之间应签订保证合同</p><p>C保证人失去保证能力、保证人破产或保证人分立的，保证合同无效</p><p>D借款人租赁的商用房以第三方保证方式申请贷款的、保证人必须是该商用房的开发商</p>,4,C,保证人失去保证能力、保证人破产或保证人分立的，借款人应及时通知贷款银行，并重新提供足额担保和重新签订保证合同。,0,0
1,(单选题)关于个人汽车贷款的说法，正确的是（）。,<p>A可以不限展期次数但是展期期限不能超过1年</p><p>B只可以展期一次且展期期限不能超过1年</p><p>C可以不限展期次数且展期可以长于1年</p><p>D只可以展期一次但展期可以长于1年</p>,4,B,银行通常规定每笔贷款只可以展期一次，展期期限不得超过1年，展期之后全部贷款期限不得超过银行规定的最长期限。,0,0
1,(单选题)关于合作机构管理的说法，不正确的是（）。,<p>A银行为了取得客户资源，提高市场份额，因此合作机构资质水平的考察不重要</p><p>B与外部机构合作是当前和今后一段时间个人住房贷款业务开展的主要方式</p><p>C专业从事担保业务的中介担保公司，是商业银行个人住房贷款业务的重要合作机构</p><p>D合作机构的资金实力对商业银行的个人住房贷款风险管理水平有着重要的影响作用</p>,4,A,现阶段由于缺乏征信体系、国内商业银行个人住房贷款业务大多要依赖于合作机构所提供的担保方式来规避风险。由于银行忽视了对合作机构资质水平的考察以及对其权责的约束，导致合作机构的住房贷款风险逐步暴露。因此，商业银行开始认识到选择优质的合作机构的重要性。,0,0
1,(单选题)国家助学贷款的贷款期限最长不得超过（）年。,<p>A5</p><p>B6</p><p>C8</p><p>D10</p>,4,D,新国家助学贷款管理办法规定借款人必须在毕业后6年内还清，贷款期限最长不得超过10年。,0,0
1,(单选题)国家助学贷款管理办法规定，贷款期限最长不得超过（）年。,<p>A2</p><p>B4</p><p>C6</p><p>D10</p>,4,D,国家助学贷款管理办法规定，借款人必须在毕业后6年内还清，贷款期限最长不得超过10年。,0,0
1,(单选题)国外很多银行会向中介机构购买信息，进行筛选．进而建立自己的数据库。定期给客户邮寄信件、发送Emai1，或者直接致电给客户，为她们推荐贷款产品，这是一种（）销售方法。,<p>A交叉</p><p>B情感</p><p>C定向</p><p>D品牌</p>,4,C,银行与客户之间需要建立一个长期友好的关系，为了保证共赢，双方就必须建立有效的交流渠道，这就是银行的定向营销。,0,0
1,(单选题)会出现名义借款人失踪，实际借款人悬空贷款的后果的欺诈行为是（）。,<p>AA、甲贷乙用</p><p>B冒名顶替</p><p>C代替审贷</p><p>D虚假车行</p>,4,A,会出现名义借款人失踪，实际借款人悬空贷款的后果的欺诈行为是甲贷乙用。,0,0
1,(单选题)借款人采用受托支付使用贷款时需（），并授权贷款人按合同约定方式支付贷款资金。,<p>A提出支付申请</p><p>B审核借款人相关交易资料和凭证</p><p>C定期报告或告知贷款人资金支付情况</p><p>D核查贷款支付是否符合约定用途</p>,4,A,贷款人受托支付是指贷款人根据借款人的提款申请和支付委托，将贷款资金支付给符合合同约定用途的借款人交易对象。采用贷款人受托支付的，银行应要求借款人在使用贷款时提出支付申请，并授权贷款人按合同约定方式支付贷款资金。,0,0
1,(单选题)借款人伪造良好的信用记录、掩盖不良的贷款用途违背了（）。,<p>A全流程贷款管理原则</p><p>B诚信申贷原则</p><p>C贷放分控原则</p><p>D实贷实付原则</p>,4,B,诚信申贷主要包含两层含义：一是借款人恪守诚实守信原则，按照贷款人要求的具体方式和内容提供贷款申请材料，并且承诺所提供材料是真实、完整、有效的，二是借款人应证明其信用记录良好、贷款用途和还款来源明确合法等。,0,0
1,(单选题)经办行于每年9月底前，统计汇总上一年度实际发放的国家助学贷款金额和违约率、经合作高校确认后上报分行，分行汇总后在（）个工作日内上报总行，总行提交全国学生贷款管理中心。,<p>A5</p><p>B7</p><p>C10</p><p>D15</p>,4,A,经办行于每年9月底前，统计汇总上一年度实际发放的国家助学贷款金额和违约率，经合作高校确认后上报分行，分行汇总后在5个工作日内上报总行，总行提交全国学生贷款管理中心。,0,0
1,(单选题)居住信息不包括（）。,<p>A年收入</p><p>B工作单位名称</p><p>C邮政编码</p><p>D居住状况</p>,4,A,居住信息涵盖了被查询者的工作单位名称、邮政编码、居住状况等信息情况。年收入属于个人职业信息。,0,0
1,(单选题)李梅同学考上的大学每年的学费是10000元，专业学制是4年，根据国家助学贷款管理办法，李梅同学可以申请国家助学贷款的总额度是（）元。,<p>A20000</p><p>B24000</p><p>C40000</p><p>D超过40000</p>,4,B,新国家助学贷款管理办法的贷款额度为每人每学年最高不超过6000元，总额度按正常完成学业所需年度乘以学年所需金额确定。,0,0
1,(单选题)利益定位策略是一种重要的市场定位策略，它是指（）。,<p>A银行强调产品可以给客户带来较大的收益，同时考虑银行的当期收入和长远利益</p><p>B银行不强调产品可以给客户带来较大的收益，但考虑银行的当期收入和长远利益</p><p>C银行强调产品可以给客户带来较大的收益，但不考虑银行的当期收入和长远利益</p><p>D银行不强调产品可以给客户带来较大的收益，也不考虑银行的当期收入和长远利益</p>,4,A,利益定位策，这种定位要兼顾两个方面的利益。一方面，银行强调产品可以给客户带来较大的收益，吸引客户使用该行的产品；另一方面，应考虑到银行的当期收入和长远利益，这是一种真正“双赢”的定位。,0,0
1,(单选题)某些银行在高校发行设计活泼的校园卡，以迎合年轻客户群体的需要。这种市场定位策略属于（）。,<p>A利益定位策略</p><p>B形象定位策略</p><p>C联盟定位策略</p><p>D客户定位策略</p>,4,D,客户定位策就是银行根据客户的资产规模、业务需求和个性偏好定位，可以快速与客户达成一致。,0,0
1,(单选题)目前最重要的征信法规当属（）。,<p>A《中华人民共和国中国人民银行法》</p><p>B《个人信用信息基础数据库管理暂行办法》</p><p>C《个人信用信息基础数据库金融机构用户管理办法》</p><p>D《个人信用信息基础数据库异议处理规程》</p>,4,B,目前，最重要的当属《个人信用信息基础数据库管理暂行办法》。该办法是根据《中华人民共和国中国人民银行法》等有关法律规定，由中国人民银行制定并经2005年6月16日第11次行长办公会议通过，自2005年10月1日起实施。该办法规定中国人民银行负责组织商业银行建立个人信用信息基础数据库，并负责设立征信服务中心，承担个人信用数据库的日常运行和管理。,0,0
1,(单选题)企业决策稍有不慎，轻则影响项目的按时竣工和住房的销售，重则形成“烂尾”工程、导致购房人拒绝还款，产生银行的借贷纠纷。因此，（）是银行选择合作伙伴的重要参考因素。,<p>A企业资信等级或信用程度</p><p>B房地产开发商资质</p><p>C开发商的债权债务情况</p><p>D企业法人信用和决策能力</p>,4,D,企业领导的素质及信誉往往在一定程度上代表了企业的素质和信誉，企业领导的决策能力往往决定着企业的发展命运，左右企业的未来。银行在选择合作伙伴时，必须对企业法人代表的履历、资信状况、以往经营业绩、学历等情况进行了解，对企业领导班子的结构、凝聚力、信誉、决策能力进行分析，为今后能否合作以及怎样合作做好准备。,0,0
1,(单选题)全面记录个人信用活动、反映个人信用状况的文件，是征信机构把依法采集的信息，依法进行加工整理，最后依法向合法的信息查询人提供的个人信用历史记录属于（）。,<p>A信用交易信息</p><p>B个人信用报告</p><p>C个人基本信息</p><p>D特殊信息</p>,4,B,个人信用报告是全面记录个人信用活动、反映个人信用状况的文件，是征信机构把依法采集的信息，依法进行加工整理，最后依法向合法的信息查询人提供的个人信用历史记录。个人信用报告是个人信用信息基础数据库的基础产品。,0,0
1,(单选题)商业银行不能查看个人的信用报告的情况是（）。,<p>A贷款</p><p>B信用卡</p><p>C担保</p><p>D转账</p>,4,D,中国人民银行颁布的《个人信用信息基础数据库管理暂行办法》有明确规定：除了本人以外，商业银行只有在办理贷款、信用卡、担保等业务时，或贷后管理、发放信用卡时才能查看个人的信用报告。,0,0
1,(单选题)商业银行应对内部职能部门和分支机构房地产贷款进行年度专项稽核，并形成稽核报告。下列不属于年度稽核报告内容的是（）。,<p>A内部职能部门和分支机构上年度发放贷款的整体情况</p><p>B内部职能部门和分支机构下年度发放贷款的计划</p><p>C稽核中发现的主要问题及处理意见</p><p>D内部职能部门和分支机构对上次稽核报告中所提建议的整改情况</p>,4,B,《商业银行房地产贷款风险管理指引》规定，稽核报告应包括以下内容：①内部职能部门和分支机构上年度发放贷款的整体情况；②稽核中发现的主要问题及处理意见；③内部职能部门和分支机构对上次稽核报告中所提建议的整改情况。,0,0
1,(单选题)商业助学贷款发放所遵循的原则不包括（）。,<p>A部分自筹</p><p>B信用发放</p><p>C专款专用</p><p>D按期偿还</p>,4,B,商业助学贷款的发放实行“部分自筹、有效担保、专款专用和按期偿还”的原则，其贷款申请人需要提供银行认可的担保。国家助学贷款的发放实行“信用发放”的原则。,0,0
1,(单选题)商用房贷款的期限通常不超过（）年。,<p>A5</p><p>B8</p><p>C10</p><p>D12</p>,4,C,商用房贷款的期限通常不超过10年，具体贷款期限由贷款银行根据贷款风险管理相关原则自主确定。,0,0
1,(单选题)使用公积金个人住房贷款购买二手房的，贷款额度最高不超过所购住房总价款的（）。,<p>A0.6</p><p>B0.7</p><p>C0.8</p><p>D0.9</p>,4,B,使用公积金个人住房贷款购买二手房的，贷款额度最高不超过所购住房总价款的70%。,0,0
1,(单选题)提供保证担保方式的个人住房贷款适用于期限不超过__________年的贷款，贷款额度不得超过所购住房价值的__________。（）,<p>A5：50%</p><p>B5；60%</p><p>C10；50%</p><p>D10；60%</p>,4,A,一般来说，仅提供保证担保方式的，只适用于贷款期限不超过5年(含5年)的贷款，其贷款额度不得超过所购(建造、大修)住房价值的50%。,0,0
1,(单选题)为公司和个人提供各种产品和全面服务的营销渠道属于（）营销渠道。,<p>A全方位</p><p>B专业性</p><p>C高端化</p><p>D零售型</p>,4,A,全方位网点机构营销渠道为公司和个人提供各种产品和全面的服务。,0,0
1,(单选题)我国现行的公积金个人住房贷款5年期以下(含)贷款利率为（）。,<p>A0.049</p><p>B0.047</p><p>C0.0445</p><p>D0.04</p>,4,D,五年期以下(含)个人住房公积金贷款利率为4%。,0,0
1,(单选题)下岗失业人员小额担保贷款遵循（）的原则。,<p>A财政贴息、风险补偿、信用发放、专款专用和按期偿还</p><p>B担保发放、微利贴息、专款专用、按期偿还</p><p>C部分自筹、有效担保、专款专用、按期偿还</p><p>D设定担保、分类管理，特定用途</p>,4,B,下岗失业人员小额担保贷款遵循“担保发放、微利贴息、专款专用、按期偿还”的原则。,0,0
1,(单选题)下列不属于出国留学贷款的基本原则的是（）。,<p>A部分自筹</p><p>B有效担保</p><p>C专款专用</p><p>D财政贴息</p>,4,D,出国留学贷款的基本原则是“部分自筹、有效担保、专款专用和按期偿还”的原则，故本题答案为D。,0,0
1,(单选题)下列不属于国家助学贷款采取的方式的是（）。,<p>A借款人一次申请</p><p>B贷款银行多次审批</p><p>C单户核算</p><p>D分次发放</p>,4,B,国家助学贷款采取“借款人一次申请、贷款银行一次审批、单户核算、分次发放”的方式，实行“财政贴息、风险补偿、信用发放、专款专用和按期偿还”的原则。,0,0
1,(单选题)下列关于“直客式”个人贷款营销模式的说法，错误的是（）。,<p>A利用银行网点和理财中心作为销售和服务的主渠道、银行客户经理按照“了解你的客户，做熟悉客户”的原则，直接营销客户，受理客户贷款需求</p><p>B购房者可以自主选择贷款银行，买房时享受一站式服务。各类费用减免优惠</p><p>C担保方式灵活，就近选择办理网点。不受地理区域限制</p><p>D缺点是风险较大</p>,4,D,“直客式”个人贷款营销模式有利于银行防止“假按揭”，提高风险防范能力，同时培育和发展长期、优质的客户群，全方位、立体式拓展业务。,0,0
1,(单选题)下列关于贷前调查的说法，错误的是（）。,<p>A可通过审查借款申请材料、面谈借款申请人、查询个人信用、实地调查和电话调查等多种方式进行</p><p>B以电话调查为主要方式</p><p>C贷前调查人应通过面谈了解借款申请人的基本情况、贷款用途</p><p>D贷前调查人应通过实地调查了解申请人抵押物状况</p>,4,B,贷前调查一般应以审查借款申请材料、面谈借款申请人、实地调查为主，再配合电话调查和其他辅助方式核实有关申请人身份、收入等其他情况。,0,0
1,(单选题)下列关于个人抵押授信贷款的说法中，错误的是（）。14下列关于个人抵押授信贷款的说法中，错误的是（）。,<p>A将银行原住房抵押贷款转为个人抵押授信贷款的，有效期间起始日为原住房抵押贷款发放日</p><p>B抵押授信贷款下单笔贷款届满日不可超出抵押授信贷款有效期间届满日</p><p>C还款方式由借贷双方按照不同贷款品种的管理规定和借款人的实际情况具体确定，并在合同中载明</p><p>D可采用等额本息、等额本金等方法还款</p>,4,A,将银行原住房抵押贷款转为个人抵押授信贷款的，有效期间起始日为原住房抵押贷款发放日的前一日。,0,0
1,(单选题)下列关于个人信用贷款的说法，错误的是（）。,<p>A银行对个人信用贷款的借款人一般有严格的规定，需要经过严格审查</p><p>B个人信用贷款额度较小</p><p>C个人信用贷款发放后，贷款期限是固定不变的</p><p>D相对其他产品而言、个人信用贷款期限较短</p>,4,C,个人信用记录和个人信用评级时刻都在变化，因此需要时时跟踪个人的信用变化状况，根据个人信用状况对贷款期限进行相应调整。,0,0
1,(单选题)下列关于购房者申请个人住房贷款的说法，正确的是（）。,<p>A贷款还款期限越长越好</p><p>B购房者已利用贷款购买住房，又申请购买第二套住房的，贷款首付比例一般不得低于40%</p><p>C贷款额度与购房者所能提供的担保及自身的资信情况有关</p><p>D购房者购买首套自住房。贷款首付款比例不得低于20%</p>,4,C,对不同的借款人而言，借款期限的规定不同，所以A选项错误。对贷款购买第二套住房的家庭、贷款首付比例不得低于50%，所以B选项错误。对购买首套自住房且套型建筑面积在90平方米以下的，贷款发放额度一般是按拟购(建造、大修)住房价格扣除其不低于价款20%的首付款后的数量来确定；90平方米以上的。贷款首付比例不得低于30%，所以D选项错误。,0,0
1,(单选题)下列行为中，属于经销商欺诈行为的是（）。,<p>A汽车经营商为购车人作担保向银行贷款</p><p>B汽车经销商先后以真实的两套购车资料向同一银行申请车贷</p><p>C经销商和借款人采取提高车辆合同价格的方式虚报车价，并以该价格向银行申请贷款</p><p>D借款人约定3年还款，后申请展期1年</p>,4,C,A、B、D三项均属于合法行为。,0,0
