1,(单选题)（）的特点是目标大、针对性不强、效果差。,<p>A产品差异策略</p><p>B专业化策略</p><p>C大众营销策略</p><p>D单一营销策略</p>,4,C,大众营销策的特点是目标大、针对性不强、效果差。,0,0
1,(单选题)对于二手个人住房贷款，商业银行最主要的合作单位是（）。,<p>A房地产开发商</p><p>B保险经纪公司</p><p>C房地产经纪公司</p><p>D公积金管理中心</p>,4,C,对于二手个人住房贷款，商业银行最主要的合作单位是房地产经纪公司。,0,0
1,(单选题)对于一个产品一定要在充分体现独特个性的基础上力求单一和准确。单一可以赢得目标群体较为稳定的忠诚度和专一偏爱；准确能够提升诚信指数，成为品牌营销的有力支点，这属于银行营销要素中的（）。,<p>A定位准确</p><p>B个性鲜明</p><p>C巧妙传播</p><p>D质量第一</p>,4,B,个性鲜明是指对于一个产品一定要在充分体现独特个性的基础上力求单一和准确。单一可以赢得目标群体较为稳定的忠诚度和专一偏爱；准确能够提升诚信指数，成为品牌营销的有力支点，故本题答案为B。,0,0
1,(单选题)二手个人住房贷款中，商业银行与房地产经纪公司之间是贷款产品的（）的关系。,<p>A委托人与受托人</p><p>B委托人与代理人</p><p>C代理人与被代理人</p><p>D监督人与被监督人</p>,4,C,二手个人住房贷款中，商业银行与房地产经纪公司之间是贷款产品的代理人与被代理人的关系。,0,0
1,(单选题)个人贷款信用风险的重要表现形式是（）。,<p>A还款能力风险</p><p>B还款意愿风险</p><p>C违约风险</p><p>D欺诈风险</p>,4,D,个人贷款信用风险的重要表现形式是欺诈风险。,0,0
1,(单选题)个人教育贷款是银行向（）发放的用于满足其就学资金需求的贷款。,<p>A学生</p><p>B学生或其直系亲属</p><p>C学生或其法定监护人</p><p>D学生或其直系亲属及法定监护人</p>,4,D,个人教育贷款是银行向学生或其直系亲属及法定监护人发放的用于满足其就学资金需求的贷款。,0,0
1,(单选题)个人经营性贷款的特征不包括（）。,<p>A贷款期限相对较短</p><p>B贷款用途单一</p><p>C影响因素复杂</p><p>D风险控制难度较大</p>,4,B,个人经营类贷款的特征包括：①贷款期限相对较短；②贷款用途多样，影响因素复杂；③风险控制难度较大。,0,0
1,(单选题)个人汽车贷款操作风险的防控措施不包括（）。,<p>A掌握个人汽车贷款的规章制度</p><p>B详细调查客户的还款能力</p><p>C熟悉关于操作风险的管理政策</p><p>D规范业务操作</p>,4,B,操作风险的防控措施有：(1)掌握个人汽车贷款业务的规章制度；(2)规范业务操作；(3)熟悉关于操作风险的管理政策；(4)把握个人汽车贷款业务流程中的主要操作风险点；(5)对于关键操作，完成后应做好记录备查，尽职免责，提高自我保护能力。B选项，是信用风险的防范措施，不是操作风险。,0,0
1,(单选题)个人汽车贷款的借款人需要调整借款期限的前提条件不包括（）。,<p>A贷款未到期</p><p>B无欠息</p><p>C无拖欠本金，本期本金已归还</p><p>D信用记录良好</p>,4,D,个人汽车贷款的借款人需要调整借款期限的前提条件不包括信用记录良好。,0,0
1,(单选题)个人汽车贷款利率按照中国人民银行规定的（）来执行。,<p>A基准利率</p><p>B同期贷款利率</p><p>C再贴现利率</p><p>D同业拆借利率</p>,4,B,个人汽车贷款利率按照中国人民银行规定的同期贷款利率规定执行，并允许贷款银行按照中国人民银行利率规定实行上下浮动，本题答案为B。,0,0
1,(单选题)个人汽车贷款信用风险主要表现为（）。,<p>A借款人恶意逃债</p><p>B个人征信系统不完善</p><p>C借款人信用欺诈</p><p>D借款人还款能力降低和还款意愿变化</p>,4,D,个人汽车贷款信用风险主要表现为借款人还款能力降低和还款意愿变化。,0,0
1,(单选题)个人汽车贷款中，每笔贷款只可以展期一次，展期期限不得超过（）年，展期之后全部贷款期限不得超过贷款银行规定的最长期限。,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,A,个人汽车贷款中，每笔贷款只可以展期一次，展期期限不得超过1年，展期之后全部贷款期限不得超过贷款银行规定的最长期限。,0,0
1,(单选题)个人使用征信系统查询个人信用报告可以到（）查询，或直接向征信中心提出书面查询申请。,<p>A中国人民银行分支行征信管理部门</p><p>B任意一家商业银行</p><p>C当地银监会分支机构</p><p>D县级以上人民政府</p>,4,A,个人使用征信系统查询个人信用报告可以到当地的中国人民银行分支行征信管理部门查询。或直接向征信中心提出书面查询申请。,0,0
1,(单选题)个人信用贷款期限在1年(含1年)以内的，一般采取（）的还款方式。,<p>A按月付息，按月、按季或一次还本</p><p>B一次还本付息</p><p>C按季还本付息</p><p>D按月还本，按月、按季或一次付息</p>,4,A,个人信用贷款期限在1年(含)以内的采取按月付息，按月、按季或一次还本的还款方式；超过1年的，采取按月还本付息方式。,0,0
1,(单选题)个人征信系统所收集的个人信用信息不包括（）。,<p>A个人基本信息</p><p>B信用交易信息</p><p>C特殊交易和特别记录</p><p>D客户亲属的个人信息</p>,4,D,个人征信系统所收集的个人信用信息包括个人基本信息、信用交易信息以及特殊交易和特别记录。D选项不属于个人征信系统所收集的个人信用信息。,0,0
1,(单选题)个人职业信息反映的信息不包括（）。,<p>A就业情况</p><p>B职业</p><p>C收入</p><p>D信用交易信息</p>,4,D,个人职业信息反映个人职业、就业情况、收入等信息。,0,0
1,(单选题)个人住房贷款借款人需要延长借款期限的，原借款期限加上延长期限达到新的利率期限档次的，从延长之日起，贷款利率按（）执行。,<p>A原期限档次利率</p><p>B新的期限档次利率</p><p>C合同当事人约定</p><p>D无法确定</p>,4,B,个人住房贷款借款人需要延长借款期限的，原借款期限加上延长期限达到新的利率期限档次的，从延长之日起，贷款利率按新的期限档次利率执行。已计收的利息不再调整。,0,0
1,(单选题)个人住房贷款实质是一种（）。,<p>A商品买卖关系</p><p>B融资关系</p><p>C委托代理关系</p><p>D合同关系</p>,4,B,通常情况下，个人住房贷款是以住房作抵押这一前提条件发生的资金借贷行为、实质是一种融资关系而不是商品买卖关系。,0,0
1,(单选题)个人住房装修贷款是指银行向发放的、用于装修的人民币担保贷款。（）,<p>A个人：自用住房或商业写字楼</p><p>B个人：自用住房或经营性住房</p><p>C个人；自用住房</p><p>D个人；企事业单位，自用住房</p>,4,C,个人住房装修贷款指银行向个人发放的、用于装修自用住房的人民币担保贷款。,0,0
1,(单选题)公积金个人住房贷款，承办银行定期向有关公积金管理中心移交和报送的资料中，不包括（）,<p>A公积金贷款回收资料</p><p>B公积金贷款利率信息</p><p>C公积金贷款逾期信息</p><p>D公积金贷款结清情况</p>,4,B,按照公积金管理中心委托要求，承办银行定期(按日)将有关公积金管理中心的账户记账回单、公积金贷款回收、逾期及结清等资料移交和报送公积金管理中心。,0,0
1,(单选题)公积金个人住房贷款原则不包括（）。,<p>A先贷后存</p><p>B存贷结合</p><p>C贷款担保</p><p>D整借零还</p>,4,A,公积金个人住房贷款实行“存贷结合、先存后贷、整借零还和贷款担保”的原则。,0,0
1,(单选题)关于代理的说法中，正确的是（）。,<p>A代理行为是直接或间接对被代理人发生效力的行为</p><p>B民事法律行为的委托代理只能用书面形式</p><p>C超越代理权或者代理权终止后的行为，只有经过被代理人的追认，被代理人才承担民事责任</p><p>D代理人和第三方串通，损害被代理人的利益的，由代理人负全部责任</p>,4,C,代理行为必须直接对被代理人发生效力，故选项A说法错误；民事法律行为的委托代理可以用书面形式，也可以用口头形式，故选项B说法错误；代理人和第三人串通，损害被代理人的利益的，由代理人和第三人负连带责任，故选项D说法错误。,0,0
1,(单选题)关于个人汽车贷款业务中贷款合同的填写，下列说法错误的是（）。,<p>A贷款发放人应根据审批意见确定应使用的合同文本并填写合同</p><p>B在签订有关合同文本前，贷款发放人应履行充分告知义务</p><p>C对采取抵押担保方式的，可由抵押物共有人派出1个代表签署个人汽车借款抵押合同</p><p>D贷款金额、贷款期限、贷款利率、担保方式和还款方式等有关条款要与最终审批意见一致</p>,4,C,对采取抵押担保方式的，应要求抵押物共有人当面签署个人汽车借款抵押合同，而不是抵押物共有人派出的代表。,0,0
1,(单选题)关于商用房借款合同的变更与解除，下列说法错误的是（）。,<p>A必须经借贷双方协商同意，协商未达成之前借款合同继续有效</p><p>B如需办理抵押变更登记的，应到原抵押登记部门办理变更抵押登记手续及其他相关手续</p><p>C当保证人破产、分立、合并时，借款合同失效</p><p>D借款人在还款期限内死亡的，银行有权提前收回贷款并依法处分抵押物或质物</p>,4,C,当发生保证人失去保证能力或保证人破产、分立、合并等情况时，借款人应及时通知贷款银行，并重新提供贷款银行认定的担保。,0,0
1,(单选题)国家助学贷款的担保方式是（）。,<p>A个人信用担保</p><p>B国家信用担保</p><p>C借款人抵押</p><p>D担保人担保</p>,4,A,国家助学贷款的担保方式采用的是个人信用担保的方式。,0,0
1,(单选题)国家助学贷款管理办法规定贷款额度按照每人每学年不超过（）元，总额度按正常完成学业所需年数乘以学年所需金额确定。,<p>A4000</p><p>B5000</p><p>C6000</p><p>D8000</p>,4,C,国家助学贷款管理办法规定贷款额度按照每人每学年不超过6000元，总额度按正常完成学业所需年数乘以学年所需金额确定。,0,0
1,(单选题)合规风险管理的监管措施的行为不包括（）。,<p>A相关制度是否建立</p><p>B流程是否健全</p><p>C信用状况是否良好</p><p>D制度是否得到执行</p>,4,C,采取监管措施的行为包括三类：(1)相关制度是否建立；(2)流程是否健全；(3)制度是否得到执行，故本题答案为C。,0,0
1,(单选题)机构汽车贷款，是指贷款人对除（）以外的法人、其他机构及组织发放的用于购买汽车的贷款。,<p>A制造商</p><p>B经销商</p><p>C自然人</p><p>D运营商</p>,4,B,机构汽车贷款是指贷款人对除经销商以外的法人、其他经济组织发放的用于购买汽车的贷款。,0,0
1,(单选题)借款人的（）是个人汽车贷款资金安全的根本保证。,<p>A还款意愿</p><p>B还款能力</p><p>C抵押品价值</p><p>D担保人资历</p>,4,B,借款人的还款能力是个人汽车贷款资金安全的根本保证。,0,0
1,借款人无力偿还贷款属于（）。,<p>A可疑贷款</p><p>B损失贷款</p><p>C次级贷款</p><p>D关注贷款</p>,4,C,贷款形态分正常、关注、次级、可疑和损失五类。其中，次级贷款是指借款人的正常收入已不能保证及时、全额偿还贷款本息，需要通过出售、变卖资产，对外借款，保证人、保险人履行保证、保险责任或处理抵(质)押物才能归还全部贷款本息。,0,0
1,(单选题)经办银行发放贷款后，于每季度结束后的（）个工作日内，汇总已发放的国家助学贷款学生名单、贷款金额、利率、利息，经合作高校确认后上报总行。,<p>A7</p><p>B10</p><p>C15</p><p>D30</p>,4,B,经办银行发放贷款后，于每季度结束后的10个工作日内，汇总已发放的国家助学贷款学生名单、贷款金额、利率、利息，经合作高校确认后上报总行。,0,0
1,(单选题)考虑到国家助学贷款特点和我国的具体国情，为鼓励银行积极开展国家助学贷款业务，按照（）原则，建立国家助学贷款补偿原则。,<p>A风险分担</p><p>B国家参与</p><p>C审慎监管</p><p>D共同发展</p>,4,A,考虑到国家助学贷款特点和我国的具体国情，为鼓励银行积极开展国家助学贷款业务。按照“风险分担”原则，建立国家助学贷款风险补偿机制。,0,0
1,(单选题)李某打算申请个人医疗贷款，则最长贷款期限为（）年。,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,C,一般情况下，个人医疗贷款的期限最短为半年，最长可达3年。,0,0
1,(单选题)连带责任保证的保证人与债权人未约定保证期间的，债权人有权自主债务履行期届满之日起（）个月内要求保证人承担保证责任。,<p>A6</p><p>B12</p><p>C24</p><p>D36</p>,4,A,连带责任保证的保证人与债权人未约定保证期间的，债权人有权自主债务履行期届满之日起六个月内要求保证人承担保证责任。,0,0
1,(单选题)某银行在对信贷市场细分后，集中全部力量开拓信用卡市场，并占有了较大的市场份额、银行采取此种营销策略将面临的主要风险是（）。,<p>A细分市场范围小</p><p>B潜伏风险大</p><p>C企业资源有限</p><p>D成本费用较高</p>,4,B,集中营销策所面f临的主要风险就是潜伏风险大，因为该策将所有筹码都押在了一个“篮子”里。,0,0
1,(单选题)农户小额贷款中的一般生产费用贷款原则上不超过（）年。,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,A,农户小额贷款中的一般生产费用贷款原则上不超过1年。,0,0
1,(单选题)企业信用程度的标志是（）。,<p>A企业会计报表</p><p>B企业营业执照</p><p>C企业资信等级</p><p>D企业担保情况</p>,4,C,企业资信等级是企业信用程度的标志。,0,0
1,(单选题)如果个人委托代理人提出异议申请，代理人无须提供（）。,<p>A委托人身份证原件及复印件</p><p>B代理人身份证原件及复印件</p><p>C委托人的个人信用报告</p><p>D代理人的个人信用报告</p>,4,D,如果委托代理人提出异议申请，代理人须提供委托人和代理人的身份证原件及复印件、委托人的个人信用报告、具有法律效力的授权委托书。,0,0
1,(单选题)商业银行分散风险的资金运用方式为（）。,<p>A公司贷款</p><p>B担保贷款</p><p>C个人贷款</p><p>D信用贷款</p>,4,C,个人贷款可以成为商业银行分散风险的资金运用方式。,0,0
1,(单选题)商业银行应在收到征信服务中心的复核通知之日起（）个工作日内给予回复。,<p>A3</p><p>B5</p><p>C10</p><p>D15</p>,4,B,当征信服务中心认为有关商业银行报送的信息可疑时，应当按照有关规定的程序及时向商业银行发出复核通知。商业银行应当在收到复核通知之日起5个工作日内给予答复。,0,0
1,(单选题)商业助学贷款期限在一年以上的，展期期限累计与原贷款期限相加，不得超过（）年。,<p>A6</p><p>B8</p><p>C10</p><p>D12</p>,4,A,商业助学贷款期限在一年以内(含)的，展期期限累计不得超过原贷款期限；贷款期限在一年以上的，展期期限累计与原贷款期限相加，最长不得超过6年。,0,0
1,(单选题)商用房贷款的期限通常不超过（）年。,<p>A5</p><p>B10</p><p>C15</p><p>D20</p>,4,B,商用房贷款期限规定：商用房贷款的期限通常不超过10年，具体贷款期限由贷款银行根据贷款风险管理相关原则自主确定，故本题答案为B。,0,0
1,(单选题)市场细分顺应了（）的转变。,<p>A买方市场向卖方市场</p><p>B卖方市场向买方市场</p><p>C产品促销向产品本身</p><p>D产品营销向顾客营销</p>,4,B,市场细分是企业经营思想的新发展、顺应了卖方市场向买方市场转变这一新的市场形势，是企业经营惯用市场导向这一营销观念的自然产物。,0,0
1,(单选题)提炼对目标人群最有吸引力的优势竞争点，并通过一定的手段传达给消费者，然后转化为消费者的心理认识，是品牌营销的一个关键环节，这属于银行营销要素中的（）。,<p>A定位准确</p><p>B个性鲜明</p><p>C巧妙传播</p><p>D质量第一</p>,4,A,定位准确是指提炼对目标人群最有吸引力的优势竞争点，并通过一定的手段传达给消费者，然后转化为消费者的心理认识，是品牌营销的一个关键环节，故本题答案为A。,0,0
1,(单选题)为加强对个人隐私的保护，中国人民银行对个人征信系统的安全管理采取的措施中不包括（）。,<p>A查询记录</p><p>B违规处罚</p><p>C限定用途</p><p>D分级管理</p>,4,D,为了保证个人信用信息的合法使用，保护个人的合法权益，中国人民银行制定颁布了《个人信用信息基础数据库管理暂行办法》、《个人信用信息基础数据库金融机构用户管理办法》、《个人信用信息基础数据库异议处理规程》等法规，采取了授权查询、限定用途、保障安全、查询记录、违规处罚等措施，保护个人隐私和信息安全。,0,0
1,(单选题)我国最早开办、规模最大的个人贷款产品是（）。,<p>A个人汽车贷款</p><p>B个人教育贷款</p><p>C个人经营类贷款</p><p>D个人住房贷款</p>,4,D,个人住房贷款在各国个人贷款业务中都是最主要的产品，在我国也是最早开办、规模最大的个人贷款产品。国内个人住房贷款最早萌芽于改革开放初期，源于城市住宅制度的改革。,0,0
1,(单选题)下列（）情况不应计入不良贷款。,<p>A张某因出差在外。未及时归还贷款本息</p><p>B史某宣告死亡，以其财产清偿后，仍未能还清其生前的贷款</p><p>C李某由于金融危机而失去工作，目前无正常收入，暂无力偿还房贷</p><p>D曲某已无力归还贷款，银行将其抵押物拍卖，但损失金额尚不确定</p>,4,A,按照五级分类制度，个人住房贷款分为正常、关注、次级、可疑、损失五类，其中后三项属于不良个人贷款。,0,0
1,(单选题)下列不属于个人汽车贷款实行原则的是（）。,<p>A设定担保</p><p>B特定用途</p><p>C分类管理</p><p>D风险补偿</p>,4,D,个人汽车贷款实行“设定担保，分类管理，特定用途”的原则。其中，“设定担保”指借款人中请个人汽车贷款需提供所购汽车抵押或其他有效担保；“分类管理”指按照贷款所购车辆种类和用途的不同，对个人汽车贷款设定不同的贷款条件；“特定用途”指个人汽车贷款专项用于借款人购买汽车，不允许挪作他用，故本题答案为D。,0,0
1,(单选题)下列财产可以抵押的是（）。,<p>A土地所有权</p><p>B学校、幼儿园、医院等以公益为目的的事业单位、社会团体的教育设施、医疗卫生设施和其他社会公益设施</p><p>C依法被查封、扣押、监管的财产</p><p>D建设用地使用权</p>,4,D,下列财产不得抵押：(1)土地所有权；(2)耕地、宅基地、自留地、自留山等集体所有的土地使用权，但法律规定可以抵押的除外；(3)学校、幼儿园、医院等以公益为目的的事业单位、社会团体的教育设施、医疗卫生设施和其他社会公益设施；(4)所有权、使用权不明或者有争议的财产；(5)依法被查封、扣押、监管的财产；(6)法律、行政法规规定不得抵押的其他财产。,0,0
1,(单选题)下列关于不良商用房贷款管理的说法，错误的是（）。,<p>A银行应按照贷款风险五级分类法对不良商用房贷款进行认定并适时对其进行分析</p><p>B银行应建立商用房贷款的不良贷款台账，落实不良贷款清收责任人，实时监测不良贷款回收情况</p><p>C对认定为呆账贷款的商用房贷款，银行应按有关规定组织申报材料并按规定程序批准</p><p>D对银行已核销的所有贷款、银行应实行“账销案存”</p>,4,D,对银行保留追索权的贷款，银行应实行“账销案存”，而非所有已核销的贷款。,0,0
1,(单选题)下列关于担保方式说法错误的是（）。,<p>A个人贷款可采用多种担保方式，主要有抵押担保、质押担保和保证担保三种担保方式</p><p>B质押担保是指借款人或第三人不转移对法定财产的占有，将该财产作为贷款的担保</p><p>C贷款银行有权依法以权利凭证折价或以拍卖、变卖该权利凭证的价款优先受偿</p><p>D保证人是指具有代位清偿债务能力的法人、其他经济组织或自然人</p>,4,B,质押担保是指借款人或第三人转移对法定财产的占有，将该财产作为贷款的担保，故本题答案为B。,0,0
1,(单选题)下列关于个人汽车贷款发放的说法，不正确的是（）。,<p>A贷款发放时，按照合同要求借款人需要到场的，应通知借款人持本人身份证件到场协助办理相关手续</p><p>B借款人与贷款银行签约时，要明确告知在放款时遇法定利率调整时，应执行具体放款日当日利率</p><p>C当开户放款完成后，业务部门应将放款通知书、个人贷款信息卡等一并交借款人作回单</p><p>D个人汽车贷款的放款指贷款人根据借款人的申请和支付委托，将贷款资金支付给符合合同约定用途的借款人交易对象</p>,4,D,D选项，指的是贷款人委托支付。,0,0
1,(单选题)下列关于个人医疗贷款的说法中，错误的是（）。,<p>A由银行向个人发放</p><p>B申请人获得个人医疗贷款后可以自行选择就诊医院</p><p>C贷款利率按中国人民银行公布的同期利率执行</p><p>D用于解决市民及其配偶或直系亲属伤病就医时的资金短缺问题</p>,4,B,个人医疗贷款一般是由贷款银行和保险公司联合当地特定合作医院办理，贷款获批准后，借款人应持银行卡和银行盖章的贷款申请书及个人身份证到特约医院就医、结账。,0,0
1,(单选题)下列关于建立个人征信系统意义的说法，错误的是（）。,<p>A能为银行在贷款审批中查询个人信用报告提供必需的依据</p><p>B不能为商业银行提供风险预警分析</p><p>C有助于商业银行准确判断个人信贷客户的还款能力</p><p>D保护消费者本身利益，提高透明度、</p>,4,B,建立个人征信系统可以为商业银行提供风险预警分析，所以8选项说法错误。,0,0
1,(单选题)下列情况下，银行不应暂停与担保机构合作的是（）。,<p>A经营出现明显的问题，对业务发展严重不利</p><p>B与多家银行合作，担保总额在担保能力范围内</p><p>C与银行合作的存量业务出现严重不良贷款</p><p>D所进行的合作对银行业务拓展没有明显促进作用的</p>,4,B,与多家银行合作，担保总额在担保能力范围内的情况下。银行不应暂停与担保机构的合作。,0,0
1,(单选题)下列属于个人教育贷款借款人还款意愿风险的是（）。,<p>A借款人读书期间出现违法行为被学校开除</p><p>B借款人毕业后工作不理想，收入不足以偿还贷款</p><p>C借款人伪造入学通知书、骗取教育贷款</p><p>D借款人毕业后利用出国读书的机会，不再与银行联系、拖欠还款</p>,4,D,A选项，属于借款人的行为风险；B选项，属于借款人的还款能力风险；C选项，属于借款人的欺诈风险。,0,0
1,(单选题)下列因素不会导致还款能力风险的是（）。,<p>A家庭成员收入锐减</p><p>B个人经营失败</p><p>C贷款违约成本偏低</p><p>D工作岗位变化</p>,4,C,借款人能否按时足额偿还贷款本息，取决于借款人的收入来源或者其他再融资渠道。影响借款人还款能力的主要因素有借款人及其家庭成员收入锐减、工作岗位变化、单位经济效益恶化、个人经营失败、借款人及其家庭成员重病死亡或家庭遭遇其他不可预见或不可克服的灾难等，故本题答案为C。,0,0
1,(单选题)小李打算申请留学贷款，则贷款到期日时他的实际年龄不得超过（）周岁。,<p>A50</p><p>B55</p><p>C60</p><p>D65</p>,4,B,出国留学贷款到期日时的实际年龄不得超过55周岁，故本题答案为B。,0,0
1,(单选题)小明大学期问申请了国家助学贷款，他打算毕业申请出国留学，则他应该采取偿还贷款的方式是（）。,<p>A一次性还清贷款本息</p><p>B等额本金还款法</p><p>C等比累进还款法</p><p>D组合还款法</p>,4,A,国家助学贷款的贷后管理中借款学生毕业后申请出国留学的，应主动通知经办银行并一次性还清贷款本息，经办银行应及时为其办理还款手续，故本题答案为A。,0,0
