1,(单选题)（），风险处置可以划分为预控性处置与全面性处置。,<p>A按照性质划分</p><p>B按照方式划分</p><p>C按照阶段划分</p><p>D按照风险划分</p>,4,C,按照阶段划分，风险处置可以划分为预控性处置与全面性处置。,0,0
1,(单选题)不属于处于启动阶段的行业特点的是（）。,<p>A代表着最高的风险</p><p>B有大量的现金需求</p><p>C偿付能力较弱</p><p>D对银行有较强的吸引力</p>,4,D,处于启动阶段的行业代表着最高的风险，故A选项不符合题意。处于启动阶段的行业的快速增长和投资需求将导致大量的现金需求，从而使一些企业可能在数年中偿付能力都较弱，故B、C选项不符合题意。倾向于投资股权的风险投资商和其他投资者是处于启动阶段行业的企业的主要投资来源，他们希望最终能从企业的成功中获得较高的收益。而银行要承担与风险投资者相同的风险，最终却仅仅能获得来自于贷款利率的低收益，所以这一阶段对银行来说没有任何吸引力。故D选项符合题意。,0,0
1,(单选题)财务评价的基本报表不包括（）。,<p>A流动资金估算表</p><p>B资金来源与运用表</p><p>C现金流量表</p><p>D借款还本付息表</p>,4,A,基本财务报表有：(1)现金流量表：现金流量表(全部投资)、现金流量表(自有资金)；(2)损益表；(3)资金来源与运用表；(4)资产负债表；(5)借款还本付息表。A属于辅助报表。,0,0
1,(单选题)处于成长阶段的行业通常年增长率会（）。,<p>A达到100%以上</p><p>B下降</p><p>C5%一10%之间</p><p>D超过20%</p>,4,D,处于启动阶段的行业年增长率可以达到100%以上；处于成长阶段的行业通常年增长率会超过20%；处于成熟阶段的行业增长较为稳定，一般年增长率在5%～10%之间。处于衰退阶段的行业的共同点是销售额在很长时间内都是处于下降阶段。,0,0
1,(单选题)贷款担保是信贷资产风险管理的一种方法，它可以减少银行对借款企业违约的担心，使贷款的偿还有了双重保证，把借款企业不还贷的风险转移给了（）。,<p>A银行</p><p>B债权人</p><p>C债务人</p><p>D第三者</p>,4,D,贷款担保是信贷资产风险管理的一种方法，它可以减少银行对借款企业违约的担心，使贷款的偿还有了双重保证，把借款企业不还贷的风险转移给了第三者。,0,0
1,(单选题)贷款合同的签订流程是（）。,<p>A填写合同一审核合同一签订合同</p><p>B审核合同一填写合同一签订合同</p><p>C审核合同一签订合同一填写合同</p><p>D签订合同一填写合同一审核合同</p>,4,A,贷款合同的签订流程是填写合同一审核合同一签订合同。故选A。,0,0
1,(单选题)贷款银行应根据贷款种类，在（）个工作日内，告诉借款单位固定资产投资贷款审批结果。,<p>A30</p><p>B45</p><p>C60</p><p>D90</p>,4,C,贷款银行应分别贷款种类，在60个工作日内，告诉借款单位固定资产投资贷款审批结果。,0,0
1,(单选题)当公司（）时，资产效率下降和商业信用减少可能成为公司贷款的原因。,<p>A现金需求高于现金供给</p><p>B现金需求低于现金供给</p><p>C现金需求增加</p><p>D现金供给减少</p>,4,A,如果公司的现金需求超过了现金供给，资产效率的下降和商业信用的减少可能成为公司贷款的原因。因为资产效率的下降和商业信用的减少可能导致公司经营周期发生变化(暂时或永久的)，这必然会要求企业增加额外的现金。通常，应收账款和存货的增加、应付账款的减少(反映商业信用的减少)将导致企业的借款需求。,0,0
1,(单选题)对借款人进行贷后监控的过程中对“人及其行为”的调查是（）监控的特点。,<p>A经营就况</p><p>B管理状况</p><p>C财务状况</p><p>D与银行往来情况</p>,4,B,管理状况监控是对企业整体运营的系统情况调查尤其是对不利变化情况的调查。此部分调查的特点是对“人及其行为”的调查．银行需要关注借款人的管理水平、管理架构、人员变化、员工士气变化以及企业内部人员的道德风险对公司经营的影响。,0,0
1,(单选题)对于划分为损失类的贷款，应按贷款余额的（）计提专项准备金。,<p>A0.2</p><p>B0.5</p><p>C0.8</p><p>D1</p>,4,D,对于划分为损失的贷款，应按贷款余额的100%计提专项准备金。,0,0
1,(单选题)对于长期销售增长企业，（）对于销售收入增长显得非常重要。,<p>A资产增加</p><p>B资产效率</p><p>C季节因素</p><p>D科学技术</p>,4,A,对于一个企业，要维持销售收入持续稳定的增长，只有通过资产增加或资产效率上升来实现，但通常资产效率很难实现长期持续增长，此时资产的增加对销售收入增长就显得十分重要。,0,0
1,(单选题)法院一般在立案之日起6个月内做出判决。银行不服一审判决的，有权在判决书送达之日起（）日内提出上诉。,<p>A3</p><p>B6</p><p>C9</p><p>D15</p>,4,D,法院一般在立案之日起6个月内做出判决；银行不服一审判决的，有权在判决书送达之日起15日内提出上诉。故D符合题意。,0,0
1,(单选题)根据《贷款通则》的规定，银行信贷业务人员要将贷前调查与（）分析结果形成贷前调查报告。,<p>A信用风险</p><p>B综合性诊断结果</p><p>C费用成本</p><p>D纪要文件</p>,4,A,根据《贷款通则》的规定，信贷业务人员要将贷前调查与信用风险分析结果形成贷前调查报告，供风险管理部门或风险评审委员会评审、批准。因此，只有选项A正确。,0,0
1,(单选题)根据运作机制，划分的风险预警方法不包括（）。,<p>A黑色预警法</p><p>B红色预警法</p><p>C蓝色预警法</p><p>D橙色预警法</p>,4,D,在我国银行业实践中，风险预警是一门新兴的交叉学科，可以根据运作机制将风险预警方法分为黑色预警法、蓝色预警法和红色预警法。,0,0
1,(单选题)公司信贷中内部意见反馈原则适用于（）。,<p>A每次业务面谈</p><p>B初次业务面谈</p><p>C首次与最后一次业务面谈</p><p>D最后一次业务面谈</p>,4,A,公司信贷中，业务人员每一次与客户面谈后，都应当进行内部意见反馈，以使下一阶段工作顺利开展。,0,0
1,(单选题)关于贷款分类的意义，下列说法错误的是（）。,<p>A贷款分类是银行稳健经营的需要</p><p>B贷款分类是监管当局并表监管、资本监管和流动性监控的基础</p><p>C一般银行在处置不良资产时不需要贷款分类，在重组时则需要对贷款分类</p><p>D贷款分类是利用外部审计师辅助金融监管的需要</p>,4,C,无论是处置不良资产，还是重组，其投资者都需要评估银行资产的质量和净值，此时要用到贷款分类的理念、标准和方法。因而以风险为基础的贷款分类方法，为不良资产评估提供了有用的理论基础和方法。故C符合题意。,0,0
1,(单选题)关于客户销售阶段的分析说法错误的是（）。,<p>A销售渠道是连接厂商与终端客户的桥梁和纽带</p><p>B销售渠道主要包括两种，即直接销售和间接销售</p><p>C收款条件主要取决于市场供求和厂商品牌两个要素</p><p>D收款条件主要包括两种，即现货交易和赊账销售</p>,4,D,收款条件主要包括三种，即预收货款、现货交易和赊账销售。故选D。,0,0
1,(单选题)关于展期贷款的偿还，下列说法错误的是（）。,<p>A展期贷款逾期后，银行有权对应收未收利息计复利</p><p>B对于设立了抵押的贷款展期，在到期前银行有权行使抵押权</p><p>C展期贷款逾期后，应按规定加罚利息</p><p>D银行信贷部门应按展期后的还款计划，向借款人发送还本付息通知单</p>,4,B,对于设立了保证或抵(质)押的展期贷款，在到期后仍不能按时偿还时，银行才有权向担保人追索或行使抵(质)押权，以弥补贷款损失。,0,0
1,(单选题)衡量借款人短期偿债能力的指标不包括（）。,<p>A资产周转率</p><p>B流动比率</p><p>C现金比率</p><p>D速动比率</p>,4,A,衡量借款人短期偿债能力的指标主要有流动比率、速动比率和现金比率等。,0,0
1,(单选题)借款人到期不归还担保贷款的，商业银行依法享有的权利不包括（）。,<p>A要求保证人归还贷款本金</p><p>B扣押保证人财产</p><p>C要求就担保物优先受偿</p><p>D要求保证人归还贷款利息</p>,4,B,《担保法》规定了5种担保方式：保证、抵押、质押、留置和定金。保证分为一般保证和连带保证。其中连带保证是指保证人与债务人对主债务承担连带责任的保证。我国法律规定没有约定或约定不明则为连带保证。这时若借款人到期不归还担保贷款的，商业银行依法享有要求保证人归还贷款本金和贷款利息的权利。而进行物的担保、定金担保时，发生以上情形的，商业银行有权要求担保物优先受偿，以维护商业银行权益。,0,0
1,(单选题)进行区域风险内部因素分析时常用的内部指标不含（）。,<p>A合规性</p><p>B安全性</p><p>C盈利性</p><p>D流动性</p>,4,A,银行自身的风险内控管理水平对信贷资产质量也具有重要影响。风险内控能力通常会体现在银行的经营指标和数据上．因此可选取一些重要的内部指标来进行分析。常用内部指标包括三个方面信贷资产质量(安全性)、盈利性和流动性。【专家点拨】常用的三个内部指标之间也有着一些内在的联系一般而言流动性和安全性成正向相关这两者又与盈利性成反向相关。,0,0
1,(单选题)可能会增加银行信贷风险的理论是（）。,<p>A真实票据理论</p><p>B资产转换理论</p><p>C预期收入理论</p><p>D超货币供给理论</p>,4,C,公司信贷理论的发展大体上经历了真实票据理论、资产转换理论、预期收入理论和超货币供给理论等四个阶段。其中预期收入理论认为，贷款能否到期归还，是以未来的收入为基础的，只要未来收入有保障，长期信贷和消费信贷同样能保持流动性和安全性。稳定的贷款应该建立在现实的归还期限与贷款的证券担保的基础上。按照以前的一些理论，这样一种贷款可称为“合格的票据”，如果需要的话，可以拿到中央银行去贴现。这样，中央银行就成为资金流动性的最后来源了。在这种理论的影响下，第二次世界大战后中长期设备贷款、住房贷款、消费贷款等迅速发展起来，成为支持经济增长的重要因素。这一理论带来的问题是，由于收入预测与经济周期有密切关系，同时资产的膨胀和收缩也会影响资产质量，因此可能会增加银行的信贷风险。银行危机一旦爆发，其规模和影响范围会越来越大。,0,0
1,(单选题)控制客户产品成本的第一道关口是（）。,<p>A货品质量</p><p>B进货价格</p><p>C进货渠道</p><p>D付款条件</p>,4,B,进货价格的高低直接关系到客户产品价格高低，把握好进货价格关是控制客户产品成本的第一道关口。因此B正确。ACD虽然也会影响到客户产品价格，但不是第一道关口。,0,0
1,(单选题)流动资金分年使用计划应根据（）来安排。,<p>A建设进度</p><p>B资金来源渠道</p><p>C资金到位情况</p><p>D项目达产率</p>,4,D,应根据项目的建设进度、资金来源渠道和资金到位情况安排全部建设资金分年使用计划和建设资金中各种渠道的资金的分年使用计划；应根据项目的达产率安排流动资金分年使用计划。,0,0
1,(单选题)某企业的净利润为1125万元，所有者权益为6000万元，股利分红为450万元，则该公司的可持续增长率为（）,<p>A3.6%</p><p>B9.9%</p><p>C12.68%</p><p>D14.5%</p>,4,C,该公司的资本回报率ROE=净利润所有者权益=11256000=0．1875，红利支付率=股利分红净利润=4501125=0．4，留存比率RR=1-红利支付率=1-0．4=0．6，该公司的可持续增长率SGR=(ROERR)／(1-ROERR)=0．18750．6／(1-0．18750．6)≈12．68％。故选C。,0,0
1,(单选题)目前（）是银行最重要的营销渠道。,<p>A网点机构营销</p><p>B电子银行营销</p><p>C登门拜访营销</p><p>D以上三种均是</p>,4,A,迄今为止网点机构营销仍然是银行最重要的营销渠道。,0,0
1,(单选题)如果某公司总固定资产为1000万元，固定资产的累计折旧为500万元，总折旧固定资产为800万元，则该公司的固定资产使用率为（）。,<p>A0.75</p><p>B0.5</p><p>C0.8</p><p>D0.625</p>,4,D,该公司固定资产使用率=(累计折旧／总折旧固定资产)100%=(500／800)100%=62．5%。故D选项正确。,0,0
1,(单选题)商业银行对客户进行评级时，下列不属于财务报表分析的重点是（）。,<p>A借款人的偿债能力</p><p>B借款人的信誉</p><p>C所占用的现金流量</p><p>D资产的流动性</p>,4,B,财务报表分析的重点是借款人的偿债能力、所占用的现金流量、资产的流动性以及借款人除本银行之外获得其他资金的能力，故A、C、D属于财务报表分析的重点。借款人的信誉属于非财务因素，一般很难通过财务报表评估，故B不属于财务报表分析的重点。,0,0
1,(单选题)商业银行项目融资贷前调查报告内容分为非财务分析和财务分析两大部分，其中财务分析不包括（）。,<p>A项目建设期和运营期内的现金流量分析</p><p>B项目清偿能力评价</p><p>C项目不确定性分析</p><p>D市场需求预测</p>,4,D,商业银行项目融资贷前调查报告内容分为非财务分析和财务分析两大部分，其中财务分析包括项目投资估算与资金筹措评估、项目建设期和运营期内的现金流量分析、项目盈利能力分析、项目清偿能力评价和项目不确定性分析。,0,0
1,(单选题)设备在规定时问内和规定条件下，完成规定功能的能力称为（）。,<p>A设备生产能力</p><p>B设备可靠性</p><p>C设备生产效率</p><p>D设备经济能力</p>,4,B,设备可靠性是指设备在规定时间内和规定条件下，完成规定功能的能力，一般用可靠度来衡量。选择有较高可靠度的设备，可以满足生产工艺要求，连续不断生产出高质量的产品，避免设备故障可能带来的重大经济损失和人身事故。,0,0
1,(单选题)速动比率又称“酸性测验比率”，下列不属于速动资产的是（）。,<p>A货币资金</p><p>B短期投资</p><p>C存货</p><p>D应收票据</p>,4,C,货币资金、短期投资及应收票据属于速动资产，而存货属于流动资产。故C符合题意。,0,0
1,(单选题)投资估算与资金筹措安排情况不包括（）。,<p>A借款人同银行的关系</p><p>B投资进度</p><p>C项目资本金的落实情况</p><p>D申请固定资产贷款金额</p>,4,A,选项A属于借款人资信情况,0,0
1,(单选题)我国法律未规定（）质权。,<p>A不动产</p><p>B权利凭证</p><p>C动产</p><p>D股票</p>,4,A,我国法律未规定不动产质权。,0,0
1,(单选题)狭义的银行信贷不包括（）。,<p>A贷款</p><p>B承兑</p><p>C信贷承诺</p><p>D筹集债务资金</p>,4,D,狭义的银行信贷是指银行借出资金或提供信用支持的经济活动，主要包括贷款、担保、承兑、信用证、减免交易保证金、信贷承诺等活动。广义的银行信贷是银行筹集债务资金、借出资金或提供信用支持的经济活动。故选D。,0,0
1,(单选题)下列不属于按贷款主体的经营特性划分的公司信贷的是（）。,<p>A生产企业贷款</p><p>B流通企业贷款</p><p>C房地产企业贷款</p><p>D金融业贷款</p>,4,D,按贷款主体的经营特性划分的公司信贷有：生产企业贷款、流通企业贷款、房地产企业贷款。金融业贷款不属于按贷款主体的经营特性划分的公司信贷。故D符合题意。,0,0
1,(单选题)下列不属于贷款价格构成的是（）。,<p>A贷款利率</p><p>B贷款承诺费</p><p>C贷款本金</p><p>D补偿余额</p>,4,C,一般来讲，贷款价格的构成包括贷款利率、贷款承诺费、补偿余额和隐含价格。贷款本金不属于贷款价格的内容，故本题选C。,0,0
1,(单选题)下列不属于担保的具体形式的是（）。,<p>A抵押</p><p>B质押</p><p>C典押</p><p>D定金</p>,4,C,担保的具体形式主要有抵押、质押、保证、留置和定金，因此典押不属于担保的具体形式。,0,0
1,(单选题)下列不属于公共关系方式的是（）。,<p>A艺术和体育投资</p><p>B信息沟通</p><p>C提供赠品</p><p>D社会公益赞助活动</p>,4,C,公共关系方式包括信息沟通、游说政府和立法机关、社会公益赞助活动、艺术和体育投资等。,0,0
1,(单选题)下列不属于流动负债的是（）。,<p>A应付债券</p><p>B应交税费</p><p>C预收账款</p><p>D应付账款</p>,4,A,选项A应付债券属于长期负债,0,0
1,(单选题)下列不属于市场需求预测内容的是（）。,<p>A潜在的市场需求量</p><p>B区域市场潜量</p><p>C行业实际销售额</p><p>D行业未来可能销售额</p>,4,D,市场需求预测的内容包括：估计潜在的市场需求总量、区域市场潜量、行业实际销售额和公司的市场占有率。故D符合题意。,0,0
1,(单选题)下列不属于项目规模评估的方法的是（）。,<p>A盈亏平衡点比较法</p><p>B决策树分析法</p><p>C数学规划</p><p>D定量分析法</p>,4,D,项目规模评估的方法：效益成本评比法(盈亏平衡点比较法、净现值比较法和最低成本分析法)、多因素评比法(决策树分析法、数学规划等)。故D符合题意。,0,0
1,(单选题)下列不属于一级文件(押品)的是（）。,<p>A法律文件和贷前审批及贷后管理的有关文件</p><p>B银行开出的本外币存单、银行本票、银行承兑汇票</p><p>C抵债物资的物权凭证</p><p>D上市公司股票、政府和公司债券</p>,4,A,一级文件(押品)主要包括：银行开出的本外币存单、银行本票、银行承兑汇票，上市公司股票、政府和公司债券、保险批单、提货单、产权证或他项权益证书及抵(质)押物的物权凭证、抵债物资的物权凭证等。法律文件和贷前审批及贷后管理的有关文件属于二级信贷文件。,0,0
1,(单选题)下列不属于银行效益评估的内容的是（）,<p>A盈利性效益评估</p><p>B流动性效益评估</p><p>C银行效益动态分析</p><p>D安全性效益评估</p>,4,D,银行效益评估包括：盈利性效益评估、流动性效益评估和银行效益动态分析三个方面。故D不符合题意。,0,0
1,(单选题)下列措施不能提高商业银行经营流动性和安全性的是（）。,<p>A存贷款期限结构匹配</p><p>B提高存货周转速度</p><p>C提高二级市场股票的换手频率</p><p>D提高应收账款的周转速度</p>,4,C,遵循流动性原则是由银行这种特殊金融企业的性质所决定的，安全性是指商业银行在经营中要避免经营风险，保证资金的安全。C选项提高二级市场股票的换手频率不会影响商行手中现金流，因而不会对其经营流动性和安全性生产影响。其他三项都将增加商业银行的现金流入或使其现金流出与流入相匹配，从而提高商业银行经营流动性和安全性。故选C。,0,0
1,(单选题)下列关于产品组合宽度、深度和关联性的说法，不正确的有（）。,<p>A产品组合的宽度是指产品大类的数量或服务的种类</p><p>B产品组合的深度是指银行经营的每条产品线内所包含的产品项目的数量</p><p>C银行拥有的产品线越多，其产品组合深度就越大</p><p>D产品组合的关联性是指银行所有的产品线之间的相关程度或密切程度</p>,4,C,产品组合宽度，这是指产品组合中不同产品线的数量，即产品大类的数量或服务的种类。产品组合的深度，这是指银行经营的每条产品线内所包含的产品项目的数量。产品组合的关联性，是指银行所有的产品线之间的相关程度或密切程度。银行拥有的产品线越多，其产品组合的宽度越大，故本题应选C。,0,0
1,(单选题)下列关于贷款抵押额度，表述错误的是（）。,<p>A抵押人担保的债权不得超出其抵押物的价值</p><p>B抵押贷款额度=抵押物评估价值抵押贷款率</p><p>C再次抵押的财产的价值余额不能超出所担保的债权</p><p>D抵押财产价值高于所担保债权的余额部分不可以再次抵押</p>,4,D,抵押人所担保的债权不得超出其抵押物的价值。财产抵押后，该财产的价值大于所担保债权的余额部分，可以再次抵押，但不得超出其余额部分。故选项D错误。,0,0
1,(单选题)下列关于贷款种类说法错误的是（）。,<p>A按照贷款币种可分为人民币贷款和外币贷款</p><p>B按照贷款期限可分为短期贷款和中长期贷款</p><p>C按照贷款对象可分为生产企业贷款和外商投资企业贷款</p><p>D按照贷款利率可分为浮动利率贷款和固定利率贷款</p>,4,C,按照贷款对象可分为生产企业贷款、进出口企业贷款、外商投资企业贷款。,0,0
1,(单选题)下列关于抵债资产的处置描述不正确的是（）。,<p>A应以抵债协议书生效日或法院、仲裁机构裁决抵债的终结裁决书生效日，作为抵债资产取得日</p><p>B不动产和股权应自取得日起1年内予以处置</p><p>C银行处置抵债资产应坚持公开透明的原则</p><p>D抵债资产原则上应采用公开拍卖方式进行处置拍卖抵债金额1000万元(含)以上的单项抵债资产应通过公开招标方式确定拍卖机构</p>,4,B,不动产和股权应自取得日起2年内予以处置；除股权外的其他权利应在其有效期内尽快处置，最长不得超过自取得日起的2年；动产应自取得日起1年内予以处置。故B说法不正确。其他说法均正确。,0,0
1,(单选题)下列关于评价信贷资产质量的指标的说法不正确的是（）。,<p>A不良率变幅从静态上反映了目标区域信贷资产整体质量</p><p>B利息实收率用于衡量目标区域信贷资产的收益实现情况</p><p>C不良率变幅为负时，说明资产质量上升</p><p>D加权平均期限用于衡量目标区域信贷资产的期限结构</p>,4,A,选项A应该是信贷平均损失比率从静态上反映了目标区域信贷资产整体质量。,0,0
1,(单选题)下列关于商业银行产品组合策略的说法，不正确的有（）。,<p>A采取全线全面型策略的银行必须有能力满足整个市场的需求</p><p>B市场专业型策略强调产品组合的深度</p><p>C市场专业型策略产品组合的深度一般较小</p><p>D特殊产品专业型策略的产品组合宽度极小，深度不大，但关联性极强</p>,4,B,全线全面型是指商业银行尽量向自己业务范围内的所有顾客提供所需的产品，采取该种策的银行必须有能力满足整个市场的需求，故A选项说法正确。市场专业型是指商业银行着眼于向某专业市场提供其所需要的各种产品，这种策强调的是产品组合的广度和关联性，产品组合的深度一般较小。故B选项说法不正确，C选项说法正确。特殊产品专业型是指商业银行根据自己所具备的特殊资源条件和特殊技术专长，专门提供或经营某些具有优越销路的产品或服务项目。这种策的特点是：产品组合宽度极小，深度不大，但关联性极强．故D说法正确。因此本题应选B。,0,0
1,(单选题)下列关于信贷资金的运动特征描述错误的是（）。,<p>A是以偿还为前提的支出，有条件的让渡</p><p>B产生经济效益才能良性循环</p><p>C信贷资金的运动以市场为轴心</p><p>D与社会物质产品的生产和流通相结合</p>,4,C,信贷资金的运动以银行为轴心。,0,0
1,(单选题)下列关于质押的说法，错误的是（）。,<p>A质押是债权人所享有的通过占有由债务人或第三人移交的质物而使其债权优先受偿的权利</p><p>B设立质权的人称为质权人</p><p>C质押担保的范围包括质物保管费用</p><p>D以质物作担保所发放的贷款为质押贷款</p>,4,B,质押也称质权，就是债务人或第三人将其动产移交债权人占有，将该动产作为债权的担保，当债务人不履行债务时，债权人有权依法就该动产卖得价金优先受偿。设立质权的人，称为出质人；享有质权的人，称为质权人，所以B选项说法错误。故选B。,0,0
1,(单选题)下列属于银行市场定位中的产品定位手段的是（）。,<p>A设计特殊标志</p><p>B设计专用字体</p><p>C设计户外广告</p><p>D提供高效率服务</p>,4,D,产品定位是指根据客户的需要和客户对产品某种属性的重视程度，设计出区别于竞争对手的具有鲜明个性的产品，让产品在未来客户的心目中找到一个恰当的位置。公司信贷产品的属性有的表现为金融产品质量，如高效率的服务、增值服务等。故D选项符合题意。银行形象定位是指通过塑造和设计银行的经营观念、标志、商标、专用字体、标准色彩、外观建筑、图案、户外广告、陈列展示等手段在客户心目中留下别具一格的银行形象。故ABC选项不符合题意。故本题应选D,0,0
1,(单选题)下列指标计算中，错误的是（）。,<p>A流动资金一流动资产一流动负债</p><p>B存货一外购原辅材料、燃料+在产品+产成品</p><p>C存货周转率一销货收入／平均存货余额1000％</p><p>D固定资产周转率一销售收入净额／固定资产平均净值100％</p>,4,C,存货周转率一销货成本／平均存货余额100％，式中不是销货收入。故选C。,0,0
1,(单选题)相对大型和特大型企业来说，下列不属于中小企业的资金运行特点的是（）。,<p>A额度小</p><p>B周转快</p><p>C风险小</p><p>D需求急</p>,4,C,相对大型和特大型企业或企业集团来说，中小企业的资金运行特点是额度小、需求急、周转快。中小企业资金运行风险是不确定的，故本题应选C。,0,0
1,(单选题)项目的组织机构不包括（）。,<p>A项目的实施机构</p><p>B项目的协作机构</p><p>C项目的经营机构</p><p>D项目的承包机构</p>,4,D,项目的组织机构概括起来可以分为三大部分：项目的实施机构、项目的经营机构和项目的协作机构。,0,0
1,(单选题)信贷档案的保管期限自贷款结清(核销)后的（）起计算。,<p>A当年</p><p>B第2年</p><p>C第3年</p><p>D第4年</p>,4,B,信贷档案的保管期限自贷款结清(核销)后的第2年起计算。其中，短期贷款结清后原则上再保管5年；中长期贷款20年；经风险管理部及业务经办部门认定有特殊保存价值的项目可列为永久保存。故B符合题意。,0,0
1,(单选题)信贷授权应遵循的基本原则不包括（）。,<p>A无差别授权原则</p><p>B授权适度原则</p><p>C动态调整原则</p><p>D权责一致原则</p>,4,A,信贷授权应遵循的基本原则：(1)授权适度原则；(2)差别授权原则；(3)动态调整原则；(4)权责一致原则。,0,0
1,(单选题)一般的，银行主要采用（）分析方法对其内外部环境进行综合分析。,<p>A定性分析法</p><p>B定量分析法</p><p>C综合分析法</p><p>DSWOT分析法</p>,4,D,银行在对其内外部环境进行综合分析时，主要采用SWOT分析法。定性分析法与定量分析法属于银行战目标分析方法。综合分析法不是银行的某一具体采用的方法。,0,0
1,(单选题)以票据申请质押贷款的，需对（）进行连续性审查。,<p>A票据</p><p>B出票人</p><p>C所有人</p><p>D背书</p>,4,D,对于用票据进行质押的，必须对背书进行连续性审查。故选D。,0,0
1,(单选题)以下关于财务内部收益率的说法错误的是（）。,<p>A财务内部收益率是反映项目获利能力的静态指标</p><p>B财务内部收益率可以分为全部投资内部收益率和自由资金内部收益率</p><p>C在贷款项目评估中．一般计算全部投资内部收益率</p><p>D计算用的两个相邻折现率之差最好不要超过2%．最大不用超过5%</p>,4,A,财务内部收益率是反映项目获利能力的动态指标。,0,0
1,(单选题)以下关于抵押资产的处置做法不正确的是（）。,<p>A抵债资产在处置时限内不可以出租</p><p>B抵债资产收取后原则上不能对外出租</p><p>C银行不得擅自使用抵债资产</p><p>D抵债资产拍卖原则上应采用有保留价拍卖的方式</p>,4,A,因受客观条件限制，在规定时间内确实无法处置的抵债资产，为避免资产闲置造成更大损失，在租赁关系的确立不影响资产处置的情况下，可在处置时限内暂时出租。,0,0
