1,(单选题)（）的强弱是反映客户财务状况稳定与安全程度的重要标志。,<p>A盈利能力</p><p>B运营能力</p><p>C短期偿债能力</p><p>D长期偿债能力</p>,4,D,长期偿债能力的强弱是反映客户财务状况稳定与安全程度的重要标志。,0,0
1,(单选题)贷款发放的原则不包括（）。,<p>A计划、比例放款原则</p><p>B进度放款原则</p><p>C资本金足额原则</p><p>D统一审批原则</p>,4,D,商业银行贷款，应当实行计划、比例放款原则、进度放款原则、资本金足额原则、分级审批的制度(而不是统一审批原则)，所以D选项符合题意。故选D。,0,0
1,(单选题)贷款项目评估的出发点为（）。,<p>A贷款银行利益</p><p>B担保人利益</p><p>C借款人利益</p><p>D国家利益</p>,4,A,贷款项目评估是银行为提高自身信贷资产的质量和效益而进行的研究，它以贷款银行的立场为出发点。,0,0
1,(单选题)贷前调查的主要对象不包括（）。,<p>A借款人</p><p>B抵(质)押人</p><p>C市场行情</p><p>D保证人</p>,4,C,贷前调查的主要对象就是借款人、保证人、抵(质)押人、抵(质)押物等。,0,0
1,(单选题)抵押权人对抵押物行使权利的条件是（）。,<p>A主债务履行期限届满</p><p>B贷款合同期内，借款人由于管理不善，出现了明显的影响还款能力的不利情况</p><p>C主债务履行期限届满，抵押权人的债权未受清偿</p><p>D债权人有扩大信贷规模的倾向</p>,4,C,抵押权人对抵押物行使权利的条件是主债务履行期限届满，抵押权人的债权未受清偿。故C符合题意。,0,0
1,(单选题)对项目微观背景的分析，下列说法不正确的是（）。,<p>A分析项目的微观背景主要从项目发起人和项目本身着手</p><p>B投资的理由主要是指对提出项目的理由及投资意向进行分析评估</p><p>C投资环境是指在一定时间、一定地点或范围内，影响和制约项目投资活动的各种外部境况和条件要素的有机集合体</p><p>D项目对其投资环境具有不可选择性，这正是资本寻求其生存和发展的各种必要条件的集中表现</p>,4,D,投资环境是指在一定时间、一定地点或范围内，影响和制约项目投资活动的各种外部境况和条件要素的有机集合体。项目对其投资环境具有选择性，这正是资本寻求其生存和发展的各种必要条件的集中表现。投资环境实为一个多层次、由多种因素构成的动态系统，它们之间既相互联系又相互制约。一个良好的项目投资环境，会为项目的顺利实施提供一个好的条件，有利于项目的成功。故选项D中描述项目对其投资环境具有不可选择性是错误的。,0,0
1,(单选题)对于票据贴现，不用提交的借款用途证明文件是（）。,<p>A经承兑的汇票</p><p>B贴现人的资信证明或说明文件</p><p>C原辅料采购合同</p><p>D产品销售合同</p>,4,B,一般短期借款用途证明文件主要包括原辅材料采购合同、产品销售合同、进出口商务合同。对于票据贴现，应出具经承兑的汇票、行内有关部门对票据真伪(包括核定密押)进行鉴定的材料、承兑人资信证明或说明文件。,0,0
1,(单选题)二级文件(押品)的管理不包括（）。,<p>A保管</p><p>B交接</p><p>C借阅</p><p>D结清、退还</p>,4,D,二级文件(押品)的管理包括保管、交接、借阅，结清、退还是一级文件(押品)的管理。故选D。,0,0
1,(单选题)风险预警程序不包括（）。,<p>A信用信息的收集和传递</p><p>B事后评价</p><p>C风险处置</p><p>D信用卡查询</p>,4,D,风险预警是各种工具和各种处理机制的组合结果，无论是否依托于动态化、系统化、精确化的风险预警系统，都应当逐级、依次完成以下程序。包括：(1)信用信息的收集和传递；(2)风险分析；(3)风险处置；(4)事后评价。,0,0
1,(单选题)根据世界市场研究中心的国别风险计算方法，某国的政治风险为2．5，经济风险为2，法律风险为2，税收风险为1．5，运作风险为3，安全性为1．5，则该国的国别风险为（）。,<p>A2.5</p><p>B2.25</p><p>C2.15</p><p>D2</p>,4,C,该国的国别风险=(2．520．25+220．25+220．15+1．520．15+320．1+1．52O．1)1/2=2．15。,0,0
1,(单选题)根据真实票据理论，以商业行为为基础的短期贷款的特点不包括（）。,<p>A有利于满足银行资金的流动性需求</p><p>B可以在金融市场上被出售</p><p>C以真实的商业票据为凭证作抵押</p><p>D带有自动清偿性质</p>,4,B,根据亚当?斯密的理论，银行的资金来源主要是同商业流通有关的闲散资金，都是临时性的存款，银行需要有资金的流动性，以应付预料不到的提款需要。因此，最好只发放以商业行为为基础的短期贷款，因为这样的短期贷款有真实的商业票据为凭证作抵押，带有自动清偿性质。,0,0
1,(单选题)关于保证贷款，下列说法错误的是（）。,<p>A银行与借款人协商变更借款合同时，可不告知保证人</p><p>B事前如有书面约定的，银行对借款人有关合同的修改可不通知保证人</p><p>C未经保证人同意，展期后的贷款保证人可不承担保证责任</p><p>D银行办完保证贷款手续并发放贷款后，容易在保证人的经营状况等环节上出现问题</p>,4,A,根据《担保法》的规定，银行与借款人协商变更借款合同应经保证人同意，否则可能保证无效。表现为：办理贷款展期手续时，未经保证人同意，展期后的贷款，保证人可不承担保证责任等。除事前有书面约定外，银行对借款人有关合同方面的修改，都应取得保证人书面意见，否则保证可能由此落空。,0,0
1,(单选题)关于抵押物的转让说法，不正确的是（）。,<p>A在抵押期间，抵押人转让已办理抵押登记的抵押物的，应当通知银行并告知受让人转让物已经抵押的情况</p><p>B抵押人未通知银行或者未告知受让人的，转让行为无效</p><p>C若转让抵押物的价款明显低于其价值的，银行可以要求抵押人提供相应的担保</p><p>D抵押权可以与其担保的债权分离而单独转让或者作为其他债权的担保</p>,4,D,抵押权不得与其担保的债权分离而单独转让或者作为其他债权的担保。,0,0
1,(单选题)关于生产阶段的分析，下列说法不正确的是（）。,<p>A生产阶段的核心是技术</p><p>B客户的生产设备是生产技术的载体</p><p>C环保问题将直接影响银行客户的生存与发展</p><p>D生产阶段的核心是市场</p>,4,D,客户技术水平是其核心竞争力的主要内容，因此A正确，D不正确。客户的生产设备是生产技术的载体，设备的性能不仅反映出生产的技术水平和产品的质量，还反映出劳动生产率状况，B正确。随着社会环保意识的增强和环保法律体系的完善，环保问题将直接影响银行客户的生存与发展，C正确。,0,0
1,(单选题)国有独资公司属于我国《公司法》上的（）。,<p>A有限责任公司</p><p>B全民所有制企业</p><p>C国有控股公司</p><p>D股份有限公司</p>,4,A,我国《公司法》主要以股东承担责任的范围和形式、股东人数的多少将公司分为有限责任公司和股份有限公司两类。国有独资公司是一类特殊的有限责任公司。,0,0
1,(单选题)计算现金流量时，以（）为基础，根据（）期初期末的变动数进行调整。,<p>A损益表，股东权益变动表</p><p>B资产负债表，损益表</p><p>C资产负债表，股东权益变动表</p><p>D损益表，资产负债表</p>,4,D,收益和费用在损益表中全额反映，其中，收益中未收到的现金和费用中未支付的现金表现在资产负债表中的有关科目(如应收账款的增加和应付账款的增加)。所以，计算现金流量时，以损益表为基础，根据资产负债表期初期末的变动数进行调整。,0,0
1,(单选题)借款需求和借款目的是两个紧密联系的概念，下列关于二者的说法，不正确的是（）。,<p>A借款需求是指公司对现金的需求超过了公司的现金储备，从而需要借款</p><p>B长期性资本支出会产生借款需求</p><p>C借款目的主要指借款用途</p><p>D一般来说，长期贷款可用于短期融资的目的</p>,4,D,借款需求是指公司对现金的需求超过了公司的现金储备，从而需要借款，其中长期性资本支出会产生借款需求。借款目的主要指借款用途一般来说，长期贷款用于长期融资的目的，短期贷款用于短期融资的目的。故选D。,0,0
1,(单选题)竞争性进入威胁的严重程度取决于（）。,<p>A进入新领域的障碍大小与预期现有企业对于进入者的反应情况</p><p>B替代品的威胁</p><p>C买方的讨价还价能力</p><p>D供方的讨价还价能力</p>,4,A,竞争者进入威胁的严重程度取决于两方面的因素，这就是进入新领域的障碍大小与预期现有企业对于进入者的反映情况。故选A。,0,0
1,(单选题)客户的还贷能力，不包括（）。,<p>A经济效益</p><p>B还款资金来源</p><p>C客户与银行关系</p><p>D主营业务状况</p>,4,C,客户的还贷能力，包括主营业务状况、现金流量构成、经济效益、还款资金来源、保证人的经济实力等。,0,0
1,(单选题)扩散指数小于（），表示半数以上警兆指数收缩或下降，即风险整体呈下降趋势。,<p>A0.1</p><p>B0.2</p><p>C0.3</p><p>D0.5</p>,4,D,扩散指数小于0．5，表示半数以上警兆指数收缩或下降，即风险整体呈下降趋势。,0,0
1,(单选题)某行凭借其在市场上占有的极大份额，控制或影响其他商业银行的行为，又可以凭借资金规模充足，产品创新保持主导地位的银行在定位选择时可采用（）。,<p>A补缺式定位</p><p>B追随式定位</p><p>C主导式定位</p><p>D竞争式定位</p>,4,C,具有产品创新意保持主导地位的银行可采取主导式定位。故C符合题意。,0,0
1,(单选题)某银行从业人员在向客户销售理财产品时，故意混淆预期收益率与保证收益率的概念，并口头保证该产品肯定能够达到预期收益率。这种做法违反了从业人员职业操守的（）原则。,<p>A公平对待</p><p>B信息披露</p><p>C岗位职责</p><p>D风险提示</p>,4,D,风险提示原则要求银行从业人员在向客户推荐产品时，不得为达成交易而隐瞒风险或进行虚假或误导性陈述，并不得向客户作出不符合有关法律法规及所在机构有关规章制度的承诺或保证。,0,0
1,(单选题)企业产品的竞争力取决于产品品牌等多种因素，但主要还是取决于（）。,<p>A产品自身的性价比</p><p>B企业信誉</p><p>C管理者水平</p><p>D竞争格局</p>,4,A,企业产品的竞争力取决于产品品牌等多种因素，但主要还是取决于产品自身的性价比，那些性能先进、质量稳定、销价合理的产品往往在市场上具有较强的竞争力，为企业赢得市场和利润。,0,0
1,(单选题)商业银行不可接受的财产质押为（）。,<p>A汇票、支票、本票、债券、存款单、仓单、提单</p><p>B出质人所有的、依法有权处分的机器、交通运输工具</p><p>C依法可以转让的商标专用权、专利权等知识产权</p><p>D国家机关的财产</p>,4,D,商业银行不可接受的财产质押有：①所有权、使用权不明或有争议的财产；②法律法规禁止流通的财产或者不可转让的财产；③国家机关的财产：④依法被查封、扣押、监管的财产；⑤珠宝、首饰、字画、文物等难以确定价值的财产；⑥租用的财产；⑦其他依法不得质押的其他财产。,0,0
1,(单选题)商业银行根据自身所具备的特殊资源条件和特殊技术专长，专门提供或经营某些具有优越销路的产品或服务项目，这种类型的策略属于（）。,<p>A全线全面型</p><p>B市场专业型</p><p>C产品线专业型</p><p>D特殊产品专业型</p>,4,D,特殊产品专业型是指商业银行根据自身所具备的特殊资源条件和特殊技术专长，专门提供或经营某些具有优越销路的产品或服务项目。采取该策时，由于产品或服务的特殊性，决定了商业银行所能开拓的市场是有限的，但竞争的威胁也很小。这种策的特点是：产品组合的宽度极小，深度不大，但关联性极强。故选D。,0,0
1,(单选题)商业银行最主要的资产业务是（）。,<p>A汇兑</p><p>B存款</p><p>C结算</p><p>D贷款</p>,4,D,贷款是商业银行最主要的资产业务，银行要承担多方面的风险。,0,0
1,(单选题)市场细分的作用不包括（）。,<p>A有利于产品的生产和研发</p><p>B有利于选择目标市场和制定营销策略</p><p>C有利于发掘市场机会，开拓新市场，更好地满足不同客户对金融产品的需要</p><p>D有利于集中人力、物力投入目标市场，提高银行的经济效益</p>,4,A,市场细分的作用包括有利于选择目标市场和制定营销策、有利于发掘市场机会，开拓新市场，更好地满足不同客户对金融产品的需要、有利于集中人力、物力投入目标市场，提高银行的经济效益。,0,0
1,(单选题)损益表分析中，计算企业净利润的步骤应为（）。,<p>A收入利润总额毛利润净利润</p><p>B毛利润营业利润利润总额净利润</p><p>C营业利润毛利润利润总额净利润</p><p>D营业利润利润总额毛利润净利润</p>,4,B,在损益表分析中，一般先用主营业务收入减主营业务成本、营业费用、营业税，得到毛利润；然后再以毛利润加其他业务利润，减去管理费用、财务费用，得到营业利润；第三步由营业利润加上投资收益及营业外收入，减去营业外支出，得到利润总额；最后由利润总额减去所得税，得到当期净利润。,0,0
1,(单选题)伪造货币罪侵犯的对象不是（）。,<p>A金融机构</p><p>B纸币和硬币</p><p>C境外货币</p><p>D人民币</p>,4,A,伪造货币罪是指违反货币管理法规，依照货币样式制造假币冒充真币的行为。本罪侵犯的对象是可在国内市场流通或兑换的人民币和境外货币，包括纸币和硬币。,0,0
1,(单选题)我国中央银行从（）年5月开始试行《贷款风险分类指导原则》。,<p>A1997</p><p>B1998</p><p>C2001</p><p>D2000</p>,4,B,《贷款风险分类指导原则》开始试行是在1998年5月，并在2001年12月修正后正式发布。故B符合题意。,0,0
1,(单选题)下列不会形成企业的借款需求的是（）。,<p>A应收账款的减少</p><p>B存货的增加</p><p>C应收账款的增加</p><p>D应付账款的减少</p>,4,A,通常，应收账款、存货的增加，以及应付账款的减少将形成企业的借款需求。,0,0
1,(单选题)下列不属于产品组合一般衡量标准的是（）。,<p>A宽度</p><p>B广度</p><p>C深度</p><p>D关联度</p>,4,B,产品组合是由多条产品线组成，每条产品线又由多种产品类型构成，而每种产品类型又包含了很多类产品项目。一个银行的产品组合，通常包括产品组合宽度和产品组合深度两个度量化要素。确定产品组合就要有效地选择其宽度、深度和关联性。故本题应选B,0,0
1,(单选题)下列不属于贷前调查方法中搜寻调查的方法形式的是（）。,<p>A搜索行业相关期刊登载的文章</p><p>B查看官方记录</p><p>C阅读有关杂志</p><p>D从其他银行处购买客户信息</p>,4,D,搜寻调查指通过各种媒介物搜寻有价值的资料展开调查。这些媒介物包括：有助于贷前调查的杂志、书籍、期刊、互联网资料、官方记录等。故A、B、C、选项均属于搜寻调查的方法。选项D从其他银行处购买客户信息违反了银行业从业人员职业操守，故本题应选D选项。,0,0
1,(单选题)下列不属于短期贷款报审材料的是（）。,<p>A借款申请文件</p><p>B资信审查文件</p><p>C借款人背景文件</p><p>D担保文件</p>,4,C,短期贷款报审材料包括：借款申请文件、资信审查文件、担保文件、借款用途证明文件、其他文件。借款人背景文件不属于短期贷款报审材料。故C符合题意。,0,0
1,(单选题)下列不属于国际通行的信用“6C”标准原则的是（）。,<p>A品德(ChArACter)</p><p>B竞争(Competition)</p><p>C资本(CApitAl)</p><p>D环境(ConDition)</p>,4,C,面谈过程中，调查人员可以按照国际通行的信用“6C”标准原则，即品德(ChArAC-ter)、资本(CApitAl)、还款能力(CApACity)、抵押(CollAterAl)、经营环境(ConDition)和控制(Con，trol)，从客户的公司状况、贷款需求、还贷能力、抵押品的可接受性以及客户目前与银行的关系等方面集中获取客户的相关信息。故只有C选项符合题意。,0,0
1,(单选题)下列不属于企业收款条件的是（）。,<p>A赊购</p><p>B现金交易</p><p>C赊销</p><p>D预收账款</p>,4,A,客户收款条件主要有三种：(1)预收账款，是在货物销售前向买方提前收取一笔订金，它可为客户带来资金；(2)现金交易，是在销售货物的同时收到现金，也不会占压客户资金；(3)赊销，是出售货物后过一段时间才能收到货款，在这段时间内，客户的资金相当于压在买方那里，因而赊销会占压客户资金，并且还存在应收账款风险。,0,0
1,(单选题)下列不属于我国现有的外汇贷款币种的是（）。,<p>A港元</p><p>B日元</p><p>C马克</p><p>D英镑</p>,4,C,我国现有的外汇贷款币种主要有美元，港元，日元，英镑和欧元，其中，马克不属于我国的外汇的贷款币种。,0,0
1,(单选题)下列不属于项目微观背景分析的内容的是（）。,<p>A项目企业分析</p><p>B项目建设的合规性分析</p><p>C投资的理由</p><p>D投资环境评估</p>,4,B,项目建设的合规性分析属于项目的宏观背景分析，故B选项符合题意。,0,0
1,(单选题)下列不属于银行公司信贷产品扩展产品层次的是（）。,<p>A为客户提供便利窗口</p><p>B为客户免费保管质押品</p><p>C为公司信贷客户开立临时存款账户</p><p>D产品的咨询和融资便利</p>,4,D,扩展产品也称为附加产品，是指在基础产品的基础上，为客户提供的系列化服务，这类服务虽然是从属产品，但起到方便客户、锦上添花的作用。例如为公司信贷客户开立临时存款账户，办理公司财务有关贷款文件的起草、登记等手续，为客户免费保管质押品，为客户提供便利窗口等。,0,0
1,(单选题)下列不属于直接融资工具的是（）。,<p>A可转让大额定期存单</p><p>B企业债券</p><p>C商业票据</p><p>D政府、企业发行的国库券</p>,4,A,直接融资工具包括政府、企业发行的国库券、企业债券、商业票据、公司股票等。可转让大额定期存单是银行吸收存款的工具，属于间接融资工具。,0,0
1,(单选题)下列各项中，能够衡量目标区域信贷资产的收益实现情况的是（）。,<p>A贷款实际收益率</p><p>B银行收益率</p><p>C利息实收率</p><p>D信贷资产相对不良率</p>,4,C,利息实收率是用于衡量目标区域信贷资产的收益实现情况。对于选项A，贷款实际收益率反映了信贷业务的价值创造能力。对于选项D，信贷资产相对不良率用于评价目标区域信贷资产质量水平在银行系统中所处的相对位置，通过系统内比较，反映出目标区域风险状况。,0,0
1,(单选题)下列关于贷款担保作用的说法，错误的是（）。,<p>A协调稳定商品流转秩序，维护国民经济健康运行</p><p>B降低银行存款风险，提高资金使用效率</p><p>C促进企业加强管理，改善经营管理状况</p><p>D巩固和发展信用关系</p>,4,B,贷款担保可以降低银行贷款风险，提高资金使用效率。故选B。,0,0
1,(单选题)下列关于贷款回收与处置说法错误的是（）。,<p>A银行业金融机构应提前提示借款人到期还本付息</p><p>B对于确因借款人暂时经营困难不能按期还款的，贷款人可与借款人协商贷款重组</p><p>C对于不良贷款，贷款人要按照有关规定和方式予以核销或保全处置</p><p>D对贷款需要展期的，贷款人应审慎评估展期的风险性和操作性，科学确定展期期限</p>,4,D,贷款回收与处置直接关系到银行业金融机构预期收益的实现和信贷资金的安全，贷款到期按合同约定足额归还本息，是借款人履行借款合同、维护信用关系当事人各方权益的基本要求。银行业金融机构应提前提示借款人到期还本付息；对贷款需要展期的，贷款人应审慎评估展期的合理性和可行性，科学确定展期期限，加强展期后管理；对于确因借款人暂时经营困难不能按期还款的，贷款人可与借款人协商贷款重组；对于不良贷款，贷款人要按照有关规定和方式予以核销或保全处置。,0,0
1,(单选题)下列关于抵押物处理，错误的表述是（）。,<p>A抵押物因为出险所得的赔偿金应存入商业银行指定的账户</p><p>B抵押人应该保持剩余抵押物价值不低于规定的抵押率</p><p>C抵押人转让或部分转让所得的价款应当存入商业银行转户，必须在到期才能一并清偿所担保的债权</p><p>D借款人要对抵押物出险后所得的赔偿数额不足清偿的部分提供新的担保</p>,4,C,抵押是债务人或第三人对债权人以一定财产作为清偿债务担保的法律行为。提供抵押财产的债务人或第三人称为抵押人；所提供抵押财产称为抵押物；债权人则为抵押权人。抵(质)押人在抵(质)押期间内转让或处分抵(质)押物的，必须首先向银行提出书面申请，并经过银行同意之后方可办理。经过银行同意，抵(质)押人可以完全或部分转让抵(质)押物，但转让价款不得低于银行认可的最低水平，抵(质)押人必须将这些价款优先用于清偿银行债权或存入银行专门账户，部分处置后所保持的剩余贷款抵(质)押物价值不得低于规定的抵(质)押率，可以提前一并清偿所担保的债权，C选项的说法错误。故选C。,0,0
1,(单选题)下列关于借款人借款资格条件方面的审查内容，说法错误的是（）。,<p>A对外股本权益性投资的累计额是否超过净资产的40%</p><p>B企业法人的股本及自筹资金比例是否符合要求</p><p>C固定资产贷款的立项手续是否齐全</p><p>D项目是否经过有权审批部门的批准</p>,4,A,在贷款审查过程中，在对借款人的资格条件审查时，关注有限责任公司或股份公司的对外股本权益性投资累计额是否超过净资产总额的50%(国务院批准的除外)，故选项A错误。,0,0
1,(单选题)下列关于启动阶段行业的说法，不正确的是（）。,<p>A企业管理者一般都缺乏行业经验</p><p>B资金应当主要来自商业银行</p><p>C由于价格比较高，导致销售量很小</p><p>D销售量低而成本相对很高</p>,4,B,因为行业相对较新，企业管理者一般都缺乏行业经验。故A选项说法正确。由于启动阶段的企业将来获得成功的几率很难估算，所以这一阶段的资金应当主要来自于企业所有者或者风险投资者，而不应该是来自商业银行。故B选项说法不正确。启动阶段行业的销售、利润和现金流分别有以下特点：(1)销售方面，由于价格比较高，故销售量很小；(2)利润方面，因为销售量低而成本相对很高，故利润为负值；(3)现金流方面，低销售、高投资和快速的资本成长需求造成现金流也为负值。故C、D选项说法正确。,0,0
1,(单选题)下列关于市场定位的描述正确的是（）。,<p>A使细分市场更明确</p><p>B使银行充分利用自身优劣势，攻击对手弱点</p><p>C占据市场空位</p><p>D面面俱到</p>,4,B,市场定位的实质是银行在客户广泛重视的众多方面中挑出一个或多个为许多客户所重视的特性，把自己放在这个恰当位置上以满足客户的需求。这样，恰当的定位不仅可使银行或信贷产品为更多的客户接受和认同，而且可使银行能充分利用本身的优势和资源，攻击竞争对手的弱点和缺陷，在市场中形成持久的竞争优势。故本题应选B。,0,0
1,(单选题)下列关于银行营销机构组织形式的说法中，不正确的有（）。,<p>A矩阵制的缺点是成员不固定，有临时观念</p><p>B事业部制对具有独立信贷产品市场的部门实行分权管理</p><p>C事业部制保证了集中统一指挥，能发挥营销专家对公司信贷业务的指导作用</p><p>D事业部制的缺点是相对需要较多具有高素质的专业人员来运作，出现矛盾时银行领导协调起来比较困难</p>,4,C,C项直线职能制保证了集中统一指挥，能发挥营销专家对公司信贷业务的指导作用而非事业部制；而ABD描述均正确。故本题应选C。,0,0
1,(单选题)下列情形中，可能导致长期资产增加的是（）。,<p>A季节性销售增长</p><p>B固定资产扩张</p><p>C资产效率下降</p><p>D长期销售增长</p>,4,B,从资产负债表看，季节性销售增长、长期销售增长、资产效率下降可能导致流动资产增加。故A、C、D选项不符合题意。固定资产重置及扩张、长期投资可能导致长期资产的增加。,0,0
1,(单选题)下列有关浮动利率说法，错误的是（）。,<p>A借贷期限内利率随物价、市场利率或其他因素变化相应调整的利率</p><p>B可以灵敏地反映金融市场上资金的供求状况</p><p>C借贷双方所承担的利率变动风险较小</p><p>D不需要“随行就市”</p>,4,D,不需要“随行就市”是固定汇率的特征。,0,0
1,(单选题)下面几项不属于抵债资产的保管方式的是（）。,<p>A亲自保管</p><p>B上收保管</p><p>C就地保管</p><p>D委托保管</p>,4,A,银行在办理抵债资产接收后应根据抵债资产的类别(包括不动产、动产和权利等)、特点等决定采取上收保管、就地保管、委托保管等方式。故选A。,0,0
1,(单选题)向人民法院申请保护债权的诉讼时效期间通常为（），从债务人应当还款之日起算。,<p>A半年</p><p>B1年</p><p>C2年</p><p>D3年</p>,4,C,向人民法院申请保护债权的诉讼时效期间通常为2年，从债务人应当还款之日起算，但在2年期间届满之前，债权银行提起诉讼、向债务人提出清偿要求或者债务人同意履行债务的，重新计算诉讼时效期间(仍然为2年)。故C符合题意。,0,0
