7,(单选题)（ ）反映在总资产中借债来筹资的比率以及公司在清算时保护债权人利益.,<p>A资产负债率</p><p>B资产负债比率</p><p>C长期负债率</p><p>D股东权益比率</p>,4,A,资产负债率反映在总资产中借债来筹资的比率以及公司在清算时保护债权人利益。,0,0
7,(单选题)风险对冲是指利用特定的金融资产或金融工具构建相反的风险头寸，以减少或消除金融资产潜在风险的过 程，一般分为（ ）种情况,<p>A一</p><p>B二</p><p>C三</p><p>D四</p>,4,B,风险对冲(套期保值).是指利用待定的金融资产或金融工具构建相反的风险头寸。以减少或消除金融资产潜 在风险的过程，分为自我对冲和市场对冲两种情况.,0,0
7,(单选题)供给曲线代表的是（ ）。,<p>A厂商愿意提供的数量</p><p>B厂商能够提供的数量</p><p>C厂商的生产数量</p><p>D厂商愿意并且能够提供的数量</p>,4,D,"微曲线(Supply Curve)所谓是指个别厂商在一定时间内,在一定条件下,对某一商品愿意并且有商品出售的数 量。",0,0
7,(单选题)关于积极型债券组合管理策略中水平分析的说法，错误的是（ ）。,<p>A预期利率下降时，加投资组合的持续期</p><p>B预期利率上升时，缩短投资组合的持续期</p><p>C预期利率下降时，缩短投资组合的持续期</p><p>D水平分析的主要形式是利率预期策略</p>,4,C,"水平分析的主要形式是利率预期策略。预期利率下降时，增加投资组合的持续期；预期利率上升时,缩短 投资组合的持续期",0,0
7,(单选题)回归检验法可以处理回归模型中常见的（ ）问题。,<p>A异方差性</p><p>B序列相关性</p><p>C多重共线性</p><p>D同方差性</p>,4,B,回归模型中常见的间题有三种：异方差性、序列相关性和多重共线性，处理序列相关性的方法有：(1)回 归检验法；(2)D.W检验；(3)冯诺曼比检验法。,0,0
7,(单选题)技术分析是指以（ ）为研究对象，以判断市场趋势并跟随趋势的周期性变化来进行股票及一切金融衍生物交 易决策的方法的总和。,<p>A市场规律</p><p>B市场特征</p><p>C市场行为</p><p>D市场价格</p>,4,C,"技术分析认为市场行为包容一切信息，这是进行技术分析的基础。主要思想是：任何一个影响证券市场的 因素,最终都必然体现在股票价格变动上。",0,0
7,(单选题)家庭债务管理力主"量力而行"，其（ ）就是对未来的还贷能力以及借货活动对家庭财务的影响的评佑。,<p>A前提</p><p>B基础</p><p>C核心</p><p>D目标</p>,4,C,家庭债务管理力主"量力而行"，其核心就是对未来的还货能力以及借贷活动对家庭财务的影响的评估.,0,0
7,(单选题)假设其他条件保持不变，则下列关于利率风险的表述，正确的是（ ）。,<p>A资产以固定利率为主.负债以浮动利率为主。则利率上升有助于增加收益</p><p>B发行固定利率债券有助于降低利率上升可能造成的风险</p><p>C购买票面利率为3%的国债，当期资金成本为2%，则该交易不存在利率风险</p><p>D以3个月LIBOR为参照的浮动利率债券，其债券利率风险增加</p>,4,B,对发行人来说，发行固定利率债券固定了每期支付利率，将来即使市场利率上升，其支付的成本也不随之 上升，因而有效地降低了利率上升的风险。A项，当利率上升时，资产收益固定。负债成本上升，收益减 少；C项，该交易存在基准风险，又称利率定价基础风险；D项以3个月LIBOR为参照的浮动利率债券，其 利率会随市场状况波动，存在利率风险。,0,0
7,(单选题)交易者根据对同一外汇期货合约在不同交易所的价格走势的预测，在一个交易所买入一种外汇期货合约，同 时在另一个交易所卖出同种外汇期货合约而进行套利属于（ ）交易。,<p>A期现套利</p><p>B跨期套利</p><p>C跨市场套利</p><p>D跨币种套利</p>,4,C,外汇期货套利形式与商品期货套利形式大致相同，可分为期现套利、跨期套利、跨市场套利和跨币种套利 等类型。外汇期货跨市场套利是指交易者根据对同一外汇期货合约在不同交易所的价格走势的预测，在一 个交易所买入一种外汇期货合约，同时在另一个交易所卖出同种外汇期货合约，从而进行套利交易。,0,0
7,(单选题)理财师开展业务时，（ ）是了解客户、收集信息的最好时机,<p>A开户</p><p>B调查问卷</p><p>C面谈沟通</p><p>D电话沟通</p>,4,A,"开户，通常是理财师与客户的首次接触，也是了解客户、收集信息的最好时机。在填写开户资料时，理财 师可以获得客户姓名、性别、证件信息、出生日期、联系地址、电话号码等最基础的信息，还可以协助客 户填写一份类似《客户信息采集表》,在内容设计上,可以涵盖学历、就业情况、个人兴趣爱好，以及婚姻 状况、子女情况等，辅助收集客户信息。",0,0
7,(单选题)面对收益，人们表现为（ ）,<p>A风险厌恶</p><p>B风险寻求</p><p>C冒险</p><p>D避险</p>,4,A,面对收益，人们表现为风险厌恶。,0,0
7,(单选题)某投资者期望获得较高的收益，但又对于高风险望而生畏，则他是属于（ ）。,<p>A这是属于风险中立型的特点。</p><p>B风险畏惧型</p><p>C风险厌恶型</p><p>D风险中立型</p>,4,D,这是属于风险中立型的特点。,0,0
7,(单选题)某一期权标的物市价是57元，投资者购买一个敲定价格为60元的看涨期权，权利金为2元，然后购买一个敲定 价格为55元的看跌期权，权利金为1元，则这一竞跨式期权组合的盈亏平衡点为（ ）。,"<p>A63元,58元</p><p>B63元,52元</p><p>C52元,58元</p><p>D63元，66元</p>",4,B,该投资策略为买入宽跨式套利。高平衡点=执行价格+总权利金；低平衡点=低执行价格-总权利金。最大 亏损为：2+1=3(元）;看涨期权盈亏平衡点=60+3=63(元）;看跌期权盈亏平衡点2=55-3=52(元）,0,0
7,(单选题)人们越不喜欢现在。时间偏好就（ ）。,<p>A越低</p><p>B越高</p><p>C不确定</p><p>D不变</p>,4,A,人们越不喜欢现在.时间偏好就越低。,0,0
7,(单选题)若不能匹配到期资产与到期负债的到期日和规模，即形成资产负债的期限错配，于是（ ）造成流动性风险。,<p>A一定</p><p>B不一定</p><p>C可能</p><p>D不可能</p>,4,C,若不能匹配到期资产与到期负债的到期日和规模，即形成资产负债的期限错配，于是可能造成流动性风 险。,0,0
7,(单选题)投资规划中，进行资产配置的目标是（ ）,<p>A风险最小化</p><p>B收益最大化</p><p>C风险和收益的平</p><p>D效用最大化</p>,4,C,资产配置是指依据所要要达到的理财目标，按资产的风险最低与报酬最佳的原则，将资金有效地分配在不 同类型的资产上，构建达到增强投资组合报酬与控制风险的资产投资组合。,0,0
7,(单选题)王先生将1万元用于投资某项目，该项目的预期收益率为10%，项目投资期限为3年，每年年未支付一次利 息，王先生选择了利息再投资，最后一年王先生可以获得本金和利息共（ ）元。,<p>A13000</p><p>B13310</p><p>C13400</p><p>D13500</p>,4,B,FV=PV*(l+r)^t=10000*(l+10%)^3=13310(元）,0,0
7,(单选题)下列（ ）属于家庭收支预算中专项支出预算项目的内容。,<p>A食、住</p><p>B本息还货支出预算</p><p>C普通娱乐休闲</p><p>D医疗</p>,4,B,专项支出预算，包括:①子女教育或财务支持支出预算；②赡养支出预算；③旅游支出；④其他爱好支出 预算；⑤保费支出预算；⑥本息还货支出预算；⑦私家车换购或保养支出预算；⑧家居装修支出预算； ⑨与其他短期理财目标相关的现金流支出预算等。,0,0
7,(单选题)下列各项中。不属于心理账户效应的是（ ）。,<p>A晕轮效应</p><p>B沉没成本效应</p><p>C成本与损失的不等价</p><p>D赌场资金效应</p>,4,A,心理帐户是行为经济学中的-个重要概念。由于消费者心理帐户的存在，个休在做决策时往往会违背一些 简单的经济运算法则，从而做出许多非理性的消费行为。这些行为集中表现为以下几个心理效应:非替代 性效应、沉没成本效应、交易效用效应、赌场资金效应、成本与损失的不等价。,0,0
7,(单选题)下列关于市场有效性与获益情况，说法错误的是（ ）。,<p>A在弱式有效市场中，投资者不能根据历史价格信息获得超额收益</p><p>B在半强式有效市场中，投资者可以根据公开市场信息获得超额收益</p><p>C在半强式有效市在强式有效市场中，投资者不能获得超额收益 场中，投资者可以获得超额收益</p><p>D在强式有效市场中，投资者不能获得超额收益</p>,4,B,"B项，在半强式有效市场中，投资者可以获得超额收益,但根据公开市场信息不能获得超额收益。",0,0
7,(单选题)下列有关证券分析师应该受到的管理的说法，正确的是（ ）。,<p>A取得执业证书的人员，连续三年不在机构从业的，由证监会注销其执业证书</p><p>B从业人员取得执业证书后辞职的，原聘用机构应当在其辞职后五日内向协会振告</p><p>C机构不得聘用未取得执业证书的人员对外开展证券业务</p><p>D协会、机构应当不定期组织取得执业证书的人员进行后续职业培训</p>,4,C,"A项,取得执业证书的人员，连续三年不在机构从业的，由协会注销其执业证书；B项，从业人员取得执业 证书后，辞职或者不为原聘用机构所聘用的，或者其他原因与原聘用机构解除劳动合同的，原聘用机构应 当在上述情形发生后十日内向协会报告，由协会变更该人员执业注册登记；D项，协会、机构应当定期组 织取得执业证书的人员进行后续职业培训，提高从业人员的职业道德和专业素质。",0,0
7,(单选题)小王年初借款1000万元，3年后归还，年利率为5%，半年计息一次，若按复利计息，则年有效利率高出名义 利率（ ）。,<p>A0.0506</p><p>B0.0025</p><p>C0.0003</p><p>D0.0006</p>,4,D,m=2.r=5%有效年利率:(1+r/m)^m-1=(1+5%/2)^2-1=5.06%。5.06%-5%=0.06%.,0,0
7,"(单选题)已知某国债期货合约在某交易曰的发票价格为119.014元,对应标的物的现券价格（全价)为115.679元，交易曰 距离交割日刚好3个月,且在此期间无付息，则该可交割国债的隐含回购利率（IRR)是（ ）。",<p>A0.07654</p><p>B0.0375</p><p>C0.1153</p><p>D-0.0361</p>,4,C,"隐含回购利率是指购买国债现货，卖空对应的期货，然后把国债现货用于期货交割，这样获得的理论收益 就是隐含回购利率。具体公式为（假定组合中的国债到交割期间没有利息支付）：隐含回购利率=发票价 格-国债购买价格)/国债购买价格*365/交割日之前的天数=((期货价格*转换因子+交割日应计利息）-国债购买价格)/国债购买价格*365/交割日之前的天数。一般来说,隐含回购利率最高的券就是最便宜可交割债券。 IRR=(119.014-115.679)7115.679*4=11.53%。 ",0,0
7,(单选题)以下关于现值和终值的说法。错误的是（ ）.,<p>A随着复利计算频率的增加。实际利率增加，现金流量的现值增加</p><p>B期限越长，利率越高，终值就越大</p><p>C货币投资的时间越早.在一定时期期末所积累的金额就越高</p><p>D利率越低年金的期间越长，年金的现值越大</p>,4,A,频率和利率只能存在一个变量，两个变量没有办法比较.,0,0
7,(单选题)与经济活动总水平的周期及其振幅无关时，行业属于（ ）,<p>A增长型行业</p><p>B周期型行业</p><p>C防守型行业</p><p>D进攻型行业</p>,4,A,增长型行业:与经济活动总水平的周期及其振幅无关.周期型行业：与经济周期直接相关。防守型行业:与经 济周期无关。,0,0
7,(单选题)在制定收入预算的过程中，理财师应关注（ ）。,<p>A尽量对比较确定的支出项目进行预测</p><p>B不顾-切的追求最大利益</p><p>C尽量对比较确定的收入项目进行预测</p><p>D关注支出现全流入的时间点</p>,4,C,在制定收入预算的过程中理财师应关注；(1)尽量对比较确定的收入项目进行预测；(2)对收入的增长率抱 谨慎态度；(3)关注收入现金流入的时间点。,0,0
7,(单选题)张先生打算分5年偿还银行货款。每年末偿还100000元。贷款的利息为10%。则等价于在第一年年初一次性偿 还（ ）元,<p>A500000</p><p>B454545</p><p>C410000</p><p>D379079</p>,4,D,年金终值为:(100000/10%)[(1＋10%)^5－1=610510（元）等价于第五年年初一次性偿还610510/(1＋10%) ^5=379078.7(元),0,0
7,(单选题)正态分布等统计分布不具有下列哪项特征（ ）。,<p>A离散性</p><p>B对称性</p><p>C集中性</p><p>D均匀变动性</p>,4,A,正态分布等统计分布具有集中性、对称性、均匀变动性的特征。,0,0
7,(单选题)证券公司、证券投资咨询机构应当向客户提供风险揭示书，并由客户签收确认。《风险揭示书》内容与格式 要求由（ ）制定。,<p>A中国证监会</p><p>B交易所</p><p>C本公司</p><p>D中国证券业协会</p>,4,D,根据《证券投资顾问业务暂行规定》第十三条规定，证券公司、证券投资咨询机构应当向客户提供《风险 揭示书》。并由客户签收确认。《风险揭示书》内容与格式要求由中国证券业协会制定。,0,0
7,(单选题)证券交易活动中作出虚假陈述或者信息误导的，责令改正，处以（ ）的罚款。,<p>A3万元以上20万元以下</p><p>B5万元以上20万元以下</p><p>C3万元以上50万元以下</p><p>D5万元以上50万元以下</p>,4,A,证券交易活动中作出虚假陈述或者信息误导的，责令改正，处以3万元以上20万元以下的罚款。该条款的 主体包括证券投资咨询机构及证券投资咨询从业人员在内的一切机构与个人。,0,0
1,(单选题)EViews具有的功能有（ ） Ⅰ数据处理 Ⅱ.统计分析 Ⅲ.建模分析 Ⅳ.作图 Ⅴ.预测和模拟,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅣ.Ⅴ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ.Ⅴ</p>,4,D,"Eviews具有数据处理、作图、统计分析、建模分析、预测和模拟等功能，在建模分析方面，包括单方程的 线性模型和非线性模型，联立方程计量经济学模型，时间序列分析模型，分布滞后模型,向量自回归模 型，误差修正模型,离散选择模型等有多种估计方法。",0,0
1,(单选题)SAS是集（ ）为一体的应用软件系统 Ⅰ.数据管理 Ⅱ.数据分析 Ⅲ.信息处理 Ⅳ.数据处理,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅡ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,B,SAS是集数据管理、数据分析和信息处理为一体的应用软件系统。做为一种集成软件，用户可以将各种模 块适当组合以满足各白不同的需要。SAS不仅能完成经典计量经济学模型的估计和检验，而且还可进行模 型诊断。,0,0
1,(单选题)按基础工具的种类，金融衍生工具可以分为（ ）。 Ⅰ.信用衍生工具 Ⅱ.股权类产品的衍生工具 Ⅲ.货币衍生工具Ⅳ.利率衍生工具 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,金融衍生工具从基础工具分类角度，可以划分为股权类产品的衍生工具、货币衍生工具、利率衍生工具、 信用衍生工具以及其他衍工具。,0,0
1,(单选题)波浪理论考虑的因素（ ）。 Ⅰ.股价走势所形成的形态 Ⅱ.股价走势图中各个高点和低点所处的相对位置 Ⅲ.完成某个形态所经历的时间长短 Ⅳ.完成特定的一个形态所经历的时间长短,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅳ </p>,4,B,主要原理 ①波浪理论考虑的因素 A、股价走势所行成的形态 B、股价走势图中各个高点和低点所处的相对位置 C、完成某个形态所经历的时间长短,0,0
1,(单选题)传统体制下的直接传导机制的特点有（ ） Ⅰ.时滞短。方式简单，作用效应快 Ⅱ.信贷、现金计划从属于实物分配计划，中央银行无法主动又创经济进行调控 Ⅲ.缺乏中间变量，政策灵活性不足，会造成经济较大的波动 Ⅳ.企业对银行依赖性强。,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,其特点是:①时滞短，方式简单，作用效应快;②信贷、现金计划从属于实物分配计划，中央银行无法主动 对经济进行调控;③缺乏中间变量，政策灵活性不足，会造成经济较大的波动;④企业对银行依赖性强。,0,0
1,"(单选题)当时，我治理通货紧缩的政策主要有（ ）。 Ⅰ.下调利率 Ⅱ.调整存款准备金制度 Ⅲ.取消国有商业银行的货款限额控制，实行资产负债比例管理 Ⅳ.大力采取措施,弥补财政赤字",<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅳ</p>,4,B,1998年受到亚洲金融危机的影响，我国经济出现了通货紧缩，为此国家采取了积极的则政政策和稳健的货 币政策等一系列宏观调控措施。其中，治理通货紧缩的稳健货币政策主要包括:下调利率、改革存款准备 金制度、实行资产负债比例管理、运用央行再贷款、增加基础货币供应等。,0,0
1,"(单选题)杜邦分析法的局限性包括（ ）。 Ⅰ.过分重视短期财务结果,忽略企业长期的价值创造 Ⅱ.无法分析顾客、供应商、雇员、技术创新等对企业经营业绩的影响 Ⅲ.不能解决无形资产的估值问题 Ⅳ.无法使财务比率分析的层次清晰、条理突出",<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,杜邦分析法使财务比率分析的层次更清晰、条理更突出。所以Ⅳ错误。杜邦分析法的局限性包括：(1)过 分重视短期财务结果，忽略企业长期的价值创造。(2)无法分析顾客、供应商、雇员、技术创新等对企业 经营业绩的影响。(3)不能解决无形资产的估值间题。,0,0
1,(单选题)多重负债下的组合免疫策略组合应满足的条件有（ ）。Ⅰ.证券组合的久期与负债的久期相等 Ⅱ.组合内各种债券的久期的分布必须比负债的久期分布更广 Ⅲ.债券组合的现金流现值必须与负债的现值相等 Ⅳ.债券组合的现金流现值必须与负债的现值不相等 ,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅲ</p><p>DⅡ.Ⅳ</p>,4,B,"多重负债下的组合免疫策略组合应满足以下条件： ①证券组合的久期与负债的久期相等 ②组合内各种债券的久期的分布必须比负债的久期分布更广 ③债券组合的现金流现值必须与负债的现值相等 在上述三个条件满足的情况下,用数字规划的方法求得规避风险最小化的债券组合",0,0
1,(单选题)分析师具体判断一个行业实际的生命周期阶段时，一般考虑的内容包括（ ）。 Ⅰ.产出增长率 Ⅱ.行业规模 Ⅲ.技术进步和技术成熟程度 Ⅳ.利润率水平 Ⅴ.从业人员的职业化水平和工资福利收入水平,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ.Ⅴ</p><p>BⅡ.Ⅲ.Ⅳ.Ⅴ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ.Ⅴ</p>,4,A,"分析师具体判断一个行业实际的生命周期阶段时，一般考虑以下几个方面:(1)产出增长率.成长期，产出增 长率较高，成熟期以后降低衰退期，行业低速运行或出现负增长态。(2)行业规模.行业的市场容量经历""小 一大一小""的进程行业的资产总规模出现""小一大一萎缩""的阶段.(3)技术进步和技术成熟程度.行业的创新能 力由强增长到逐步衰减。技术成熟程度经历""低高一老化""的阶段.(4)利润率水平.通常经历""低一高一稳定 一低一严重亏损""的阶段.(5)从业人员的职业化水平和工资福利收入水平.通常会经历""低一高一低""的阶段。 (6)开工率.行业处在成长或成熟期间,长时期开工充足休现了景气状态.衰退期一般休现为开工不足.（7）资 本进退.成熟期之前。企业数量及资本量的进入量大于退出量:成熟期。则企业表现为均衡:衰退期，表现为 退出量超过进入量，行业规模委缩，企业转产、倒闭时常发生.",0,0
1,(单选题)负债结构分析包含（ ）。 Ⅰ.平均负债利率分析 Ⅱ.自用性负债比率Ⅲ.投资性负债比率 Ⅳ.消费负债比率 Ⅴ.债务负担率分析 ,<p>AⅠ.Ⅱ.</p><p>BⅠ.Ⅱ.Ⅳ.Ⅴ</p><p>CⅠ.Ⅲ.Ⅳ.Ⅴ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,D,偿债能力分析：①消费负债比率；②投资性负债比率；③自用性负债比率。负债结构分析：①均负债利 率分析；②债务负担率分析。,0,0
1,(单选题)各国保险法律都规定，只有对保险标的有可保利益才能为其投保，否则，该投保行为无效。可保利益应该符 合的要求有（ ）。 I.必须是法律认可的利益 Ⅱ.必须是客观存在的利益 Ⅲ.必须是可以衡量的利益 Ⅳ.必须是无风险的行为 Ⅴ.必须是有收入的行为,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅢ.Ⅳ.Ⅴ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ.Ⅴ</p>,4,A,各国保险法律都规定，只有对保险标的有可保利益才能为其投保，否则，该投保行为无效。可保利益应该 符合三个要求：①必须是法律认可的利益。②必须是客观存在的利益。③必须是可以衡量的利益。,0,0
1,(单选题)根据套利者对不同合约月份中近月合约与远月合约买卖方向的不同，跨期套利可以分为（ ）。 Ⅰ.跨月套利 Ⅱ.蝶式套利 Ⅲ.牛市套利 Ⅳ.熊市套利,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,B,根据套利者对不同合约月份中近月合约与远月合约买卖方向的不同，跨期套利可以分为牛市套利、熊市套 利和蝶式套利。,0,0
1,(单选题)根据资本资产定价模型在资源配置方面的应用， 以下正确的有（ ）。 Ⅰ.牛市到来时，应选择那些低p系数的证券或组合 Ⅱ.牛市到来时，应选择那些高p系数的证券或组合 Ⅲ.熊市到来之际，应选择那些低p系数的证券或组合 Ⅳ.熊市到来之际，应选择那些高p系数的证券或组合,<p>AⅠ.Ⅲ</p><p>BⅡ.Ⅲ</p><p>CⅡ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,B,证券市场线表明，p系数反映证券或组合对市场变化的敏感性。因此，当有很大把握预测牛市到时，应选 择那些高p系数的证券或组合。这些高p系数的证券将成倍地放大市场收益率，带来较高的收益。相反，在 熊市到来之际，应选择那些低p系数的证券或组合，以减少因市场下跌而造成的损失。,0,0
1,(单选题)公司在开展投资顾问业务时应制定相关风险控制措施，包括的内容有（ ）。 Ⅰ.根据投资顾问建议的不同，分别制定审核流程 Ⅱ.定期进行风险评估.投资顾问绩效评估 Ⅲ.证券投资顾问结合客户的风险承受能力，对客户做出风险提示 Ⅳ.定期检服务流程的有效性和合规性,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,"公司在开展投资顾问业务时应制定相关风险控制措施，包括但不限于以下内容：（1）根据投资顾问建议 的不同，分别制定审核流程；（2）定期进行风险评估、投资顾问绩效评估，检查服务流程的有效性和合 规性；（3）证券投资顾问对服务客户的资产组合进行账户跟踪服务,结合客户的风险承受能力，对客户做 出风险提示等。",0,0
1,(单选题)股票类证券产品的组成包括（ ）。 Ⅰ.普通股票 Ⅱ.积累优先股 Ⅲ.优先股票 Ⅳ.非积累优先,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅲ</p><p>DⅢ.Ⅳ</p>,4,C,股票类证券产品组成：①普通股票：普通股票持有者享有股东的基本权利和义务，股利完全随公司盈利的高低而变化。在公司盈利和余财产的分配顺序上列在债权人和优先股票股东之后。②优先股票：优 先股票持有者的股东权利受到一定限制，股息率是固定的，在公司盈利和剩余财产的分配顺序上比普通股 票股东享有优先权。 ,0,0
